Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevuti,cross,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cutBack,dribblingPositivo,dribblingPositivo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,traversoni,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,inFuorigioco,traversoniRiusciti,traversoniRiusciti_PERC,ammonizioni,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,crossRiusciti,crossRiusciti_PERC,interventoPositivo,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,espulsioni,doppieAmm
30927,LIAM,MILLAR,MILLAR L.,27-09-1999,131487,33,1,,,1,100.00%,,12,2,16.67%,8,66.67%,1,50.00%,14,,1,5,,,,,,1,3,60.00%,1,100.00%,1,,,,9,2,22.22%,1,50.00%,5,250.00%,3,33.33%,1,33.33%,3,33.33%,1,33.33%,2,,,2,40.00%,0.064,0.000,0.351,0.000,0.415,-0.064,0.064,0.000,3914,3,21.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,
36777,KAMAL,MILLER,MILLER K.,16-05-1997,131487,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56002,TANITOLUWA,OLUWATIMIKHIN OLUWASEYI,OLUWASEYI T.,15-05-2000,131487,22,,,,,,,7,,,5,71.43%,,,12,,,8,1,,,1,100.00%,,,,,,,,,,7,1,14.29%,1,100.00%,6,600.00%,3,42.86%,1,33.33%,3,42.86%,,,1,,,,,0.000,0.000,0.358,0.000,-0.194,0.000,0.000,0.000,3914,2,16.67%,,,3,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
36786,JONATHAN,OSORIO,OSORIO J.,12-06-1992,131487,102,,,,,,3,58,3,5.17%,52,89.66%,1,33.33%,49,,,3,1,1,100.00%,,,5,1,33.33%,1,20.00%,,1,,,7,5,71.43%,1,20.00%,,,1,14.29%,1,100.00%,5,71.43%,3,60.00%,,,,,,0.000,0.000,0.403,0.000,0.403,0.000,0.000,0.000,3914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,
51325,JACOB,SHAFFELBURG,SHAFFELBURG J.,26-11-1999,131487,69,,,,,,1,16,5,31.25%,12,75.00%,2,40.00%,16,1,2,3,,,,,,2,1,33.33%,1,50.00%,2,4,4,100.00%,13,4,30.77%,4,100.00%,6,150.00%,3,23.08%,2,66.67%,2,15.38%,,,1,,,,,0.000,0.000,0.633,0.066,0.527,0.000,0.000,0.000,3914,1,6.25%,,,3,18.75%,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,1,100.00%,1,1,7.69%,1,,,,,1,50.00%,,,1,100.00%,,,,,
16788,GABRIEL,ARIAS,ARIAS G.,13-09-1987,131487,102,,,,,,,45,1,2.22%,39,86.67%,,,24,,,7,,,,,,4,1,14.29%,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,2,28.57%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412,,,,,,,,,,,,,3,6,3,3,100.00%,8,16,6,75.00%,15,93.75%,21,2,9.52%,11,52.38%,3,100.00%,8,38.10%,1.462,1.462,,,,,,,,,1,100.00%,1,,,,,,,,,,,3,,,,
56464,MARCOS NIKOLAS,BOLADOS HIDALGO,BOLADOS M.,28-02-1996,131487,52,,,,,,,12,1,8.33%,7,58.33%,,,17,,1,4,,,,,,,2,50.00%,,,2,,,,17,6,35.29%,5,83.33%,9,150.00%,4,23.53%,1,25.00%,7,41.18%,3,42.86%,2,,,2,50.00%,0.000,0.000,0.000,0.000,-0.679,0.000,0.000,0.000,412,,,,,3,17.65%,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11.76%,2,,,,,,,,,,,,,,,
26497,BEN,BRERETON,BRERETON B.,18-04-1999,131487,21,,,,,,,1,,,,,,,5,,,2,,,,,,,1,50.00%,,,,,,,3,,,,,3,,3,100.00%,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412,,,,,1,20.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32908,VICTOR,DAVILA,DAVILA V.,04-11-1997,131487,81,2,,,1,50.00%,,19,4,21.05%,14,73.68%,2,50.00%,18,1,1,5,,,,,,3,2,40.00%,,,,1,,,11,8,72.73%,2,25.00%,2,25.00%,3,27.27%,2,66.67%,3,27.27%,2,66.67%,1,,,4,80.00%,0.208,0.000,0.759,0.000,0.696,-0.208,0.208,0.000,412,3,16.67%,1,33.33%,1,5.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,3,27.27%,3,,,,,,,,,,,,,,,
53502,RODRIGO EDUARDO,ECHEVERRIA SAEZ,ECHEVERRIA R.,07-04-1995,131487,86,1,1,100.00%,1,100.00%,,27,1,3.70%,18,66.67%,,,21,,,3,,,,,,4,,,3,75.00%,,3,1,33.33%,9,6,66.67%,3,50.00%,1,16.67%,3,33.33%,2,66.67%,1,11.11%,1,100.00%,1,1,100.00%,,,0.218,0.118,0.172,0.000,-0.168,-0.100,0.218,0.000,412,1,4.76%,1,100.00%,2,9.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.11%,1,,,,,1,25.00%,1,100.00%,,,,,,,
44070,THOMAS,GALDAMES,GALDAMES T.,20-11-1998,131487,72,,,,,,1,26,5,19.23%,14,53.85%,1,20.00%,11,,2,11,,,,,,4,3,27.27%,2,50.00%,1,2,2,100.00%,11,3,27.27%,2,66.67%,4,133.33%,3,27.27%,2,66.67%,4,36.36%,1,25.00%,1,,,4,36.36%,0.000,0.000,0.712,0.000,0.712,0.000,0.000,0.000,412,1,9.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,25.00%,,,,,,,,,
8631,MAURICIO ANIBAL,ISLA,ISLA M.,12-06-1988,131487,102,,,,,,1,57,2,3.51%,41,71.93%,,,28,1,1,5,,,,,,11,,,3,27.27%,,5,1,20.00%,13,12,92.31%,2,16.67%,,,2,15.38%,2,100.00%,5,38.46%,5,100.00%,,,,,,0.000,0.000,0.589,0.000,0.371,0.000,0.000,0.000,412,3,10.71%,2,66.67%,2,7.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.69%,1,,,,,1,9.09%,,,,,,,,,
20526,IGOR,LICHNOVSKY,LICHNOVSKY I.,07-03-1994,131487,102,1,1,100.00%,1,100.00%,2,50,1,2.00%,45,90.00%,,,40,,,3,,,,,,7,,,2,28.57%,4,3,,,16,15,93.75%,3,20.00%,,,5,31.25%,4,80.00%,4,25.00%,4,100.00%,,1,100.00%,,,0.238,0.421,0.269,0.031,0.296,0.184,0.238,0.000,412,1,2.50%,1,100.00%,1,2.50%,3,,,,4,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,100.00%,,,,,,,
16789,GUILLERMO,MARIPAN,MARIPAN G.,06-05-1994,131487,102,,,,,,,51,2,3.92%,41,80.39%,2,100.00%,39,,,4,,,,,,5,1,25.00%,1,20.00%,1,1,1,100.00%,9,6,66.67%,2,33.33%,1,16.67%,4,44.44%,3,75.00%,3,33.33%,2,66.67%,,,,,,0.000,0.000,0.699,0.000,0.333,0.000,0.000,0.000,412,,,,,2,5.13%,10,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.00%,,,,,,,,,
26491,MARCELINO,NUNEZ,NUNEZ M.,01-03-2000,131487,50,1,1,100.00%,,,,12,1,8.33%,8,66.67%,,,10,,,4,,,,,,2,2,50.00%,2,100.00%,1,3,2,66.67%,9,3,33.33%,3,100.00%,4,133.33%,3,33.33%,1,33.33%,1,11.11%,,,1,,,,,0.021,0.232,0.000,0.000,0.021,0.211,0.021,0.000,412,,,,,,,1,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,1,100.00%,,
56611,DARIO ESTEBAN,OSORIO OSORIO,OSORIO D.,24-01-2004,131487,30,,,,,,,7,,,5,71.43%,,,5,1,1,1,,,,,,,,,,,2,1,,,6,5,83.33%,2,40.00%,1,20.00%,1,16.67%,1,100.00%,2,33.33%,1,50.00%,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56577,CESAR IGNACIO,PEREZ MALDONADO,PEREZ C.,29-11-2002,131487,16,1,1,100.00%,,,,5,1,20.00%,4,80.00%,,,4,,,2,,,,,,1,1,50.00%,,,,1,,,1,1,100.00%,,,,,,,,,,,,,,,,,,0.020,0.055,0.229,0.000,0.250,0.035,0.020,0.000,412,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,1,100.00%,,
8679,ERICK,PULGAR,PULGAR E.,15-01-1994,131487,52,,,,,,3,18,3,16.67%,16,88.89%,3,100.00%,10,,,3,,,,,,6,,,1,16.67%,2,2,2,100.00%,6,1,16.67%,,,4,400.00%,,,,,2,33.33%,1,50.00%,,,,,,0.000,0.000,0.399,0.038,0.399,0.000,0.000,0.000,412,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,1,,,,,,,,,,,,,,,,,,,,,
7720,ALEXIS ALEJANDRO,SANCHEZ SANCHEZ,SANCHEZ A.,19-12-1988,131487,102,1,1,100.00%,1,100.00%,3,33,8,24.24%,20,60.61%,4,50.00%,40,3,4,14,2,,,2,100.00%,1,1,7.14%,1,100.00%,1,,,,23,10,43.48%,8,80.00%,12,120.00%,12,52.17%,4,33.33%,8,34.78%,3,37.50%,,1,100.00%,,,0.064,0.217,1.312,0.111,0.964,0.153,0.064,0.000,412,2,5.00%,,,1,2.50%,2,2,100.00%,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,3,100.00%,2,2,100.00%,,2,8.70%,2,,,,,1,100.00%,,,1,33.33%,,,,,
29873,GABRIEL,SUAZO,SUAZO G.,09-08-1997,131487,26,,,,,,2,23,1,4.35%,17,73.91%,1,100.00%,14,1,1,2,2,2,100.00%,,,2,1,50.00%,1,50.00%,,,,,7,3,42.86%,,,2,66.67%,,,,,4,57.14%,2,50.00%,2,,,,,0.000,0.000,0.154,0.035,0.154,0.000,0.000,0.000,412,1,7.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,1,100.00%,,1,14.29%,1,,,,2,1,50.00%,,,1,100.00%,,,,1,1
11318,EDUARDO JESUS,VARGAS ROJAS,VARGAS E.,20-11-1989,131487,50,,,,,,1,10,,,8,80.00%,,,11,,,4,,,,,,2,,,1,50.00%,,,,,10,2,20.00%,2,100.00%,6,300.00%,3,30.00%,,,5,50.00%,1,20.00%,1,,,,,0.000,0.000,0.117,0.043,0.117,0.000,0.000,0.000,412,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,10.00%,1,,,,,,,,,,,,,,,
