Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,thirdPass,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,duelliAerei,duelliAerei_PERC,giochiPortiereRicevuti,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,dribblingPositivo,dribblingPositivo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,ammonizioni,golProcurati,tiriDiRigore,tiriDiRigore_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,inFuorigioco,tiroGolRigore,tiroGolRigore_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoCorner,golSviluppoCorner_PERC,tiriInPortaSubitiPortiere,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioPiede,rinvioPiede_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,retiSub,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,traversoni,parate,interventoNegativo,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,rinvioMano,rinvioMano_PERC,parataMano,parataMano_PERC,retiSubGK
65047,RICHARD,RIOS MONTOYA,RIOS R.,02-06-2000,131484,48,1,1,100.00%,1,100.00%,1,1,100.00%,20,3,15.00%,13,65.00%,1,33.33%,2,9.52%,21,1,,,1,100.00%,,,,5,,,,,,2,2,40.00%,,,1,,,,6,,,1,16.67%,,,3,300.00%,3,50.00%,,,1,,1,100.00%,,,0.024,0.065,0.325,0.041,0.244,0.041,0.024,0.000,414,1,16.67%,,2,40.00%,,,,,,,,,2,1,50.00%,2,,,1,100.00%,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7488,JAMES DAVID,RODRIGUEZ RUBIO,RODRIGUEZ J.,12-07-1991,131484,74,1,1,100.00%,,,8,1,12.50%,50,8,16.00%,45,90.00%,5,62.50%,2,4.88%,41,2,,,1,50.00%,,,,4,1,1,100.00%,,,3,1,25.00%,2,66.67%,2,4,2,50.00%,11,1,9.09%,6,54.55%,3,50.00%,4,66.67%,3,27.27%,2,66.67%,,1,,,1,33.33%,0.166,0.507,1.717,0.071,1.737,0.340,0.166,0.000,414,1,9.09%,,2,50.00%,1,100.00%,,,,,1,2.44%,1,,,3,,,1,100.00%,,,,,,,1,100.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14259,DAVINSON,SANCHEZ,SANCHEZ D.,12-06-1996,131484,94,1,1,100.00%,,,5,,,72,2,2.78%,58,80.56%,1,50.00%,1,1.61%,62,,,,,,,,,4,,,,,,5,1,25.00%,2,40.00%,1,,,,9,1,11.11%,6,66.67%,1,16.67%,,,2,22.22%,1,50.00%,,1,,,,,0.176,0.526,0.551,0.000,0.117,0.350,0.176,0.000,414,5,55.56%,6,,,1,100.00%,1,100.00%,1,100.00%,3,4.84%,,,,,,,4,80.00%,1,100.00%,1,100.00%,,,1,100.00%,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13302,RAFAEL,SANTOS BORRE' MAURY,BORRE' R.,15-09-1995,131484,15,,,,,,,,,4,1,25.00%,3,75.00%,,,,,5,,,,,,,,,1,,,,,,,,,,,,1,1,100.00%,3,,,,,,,3,,1,33.33%,,,1,,,,,,0.000,0.000,0.407,0.000,0.147,0.000,0.000,0.000,414,,,,,,,,,,,,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16562,MATEUS,URIBE,URIBE M.,21-03-1991,131484,46,,,,,,1,,,22,,,20,90.91%,,,,,18,,,,,,,,,1,1,,,1,100.00%,4,1,100.00%,,,,,,,4,1,25.00%,2,50.00%,,,1,50.00%,2,50.00%,1,50.00%,1,1,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16561,CAMILO,VARGAS,VARGAS C.,09-03-1989,131484,94,,,,,,1,,,29,,,22,75.86%,,,,,20,,,,,,,,,4,,,,,,3,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,16,1,14.29%,16,100.00%,6,2,33.33%,4,66.67%,0.073,0.073,,,,,,,,,,,,,,
36601,BRANDON,AGUILERA,AGUILERA B.,28-06-2003,131484,67,,,,,,1,,,33,1,3.03%,27,81.82%,,,,,28,,,,,,,,,5,,,,,,2,1,20.00%,1,50.00%,,1,1,100.00%,3,1,33.33%,1,33.33%,1,100.00%,,,,,,,,1,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
49651,JOSIMAR,ALCOCER,ALCOCER J.,07-07-2004,131484,27,,,,,,,,,2,,,2,100.00%,,,2,25.00%,8,,,,,,,,,5,,,,,,,1,20.00%,,,1,,,,10,,,1,10.00%,1,100.00%,7,700.00%,7,70.00%,1,14.29%,1,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,1,10.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,
49341,JEFFERSON,BRENES,BRENES J.,13-04-1997,131484,27,1,,,,,,,,14,1,7.14%,11,78.57%,,,,,9,,,,,,,,,2,1,,,1,100.00%,2,,,,,,,,,2,,,1,50.00%,,,1,100.00%,1,50.00%,1,100.00%,1,,,,,,0.082,0.000,0.211,0.000,0.293,-0.082,0.082,0.000,416,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11332,FRANCISCO,CALVO,CALVO F.,08-07-1992,131484,94,,,,,,4,1,25.00%,40,1,2.50%,26,65.00%,1,100.00%,,,22,,,,,,,,,11,,,,,,7,4,36.36%,1,14.29%,4,2,,,18,4,22.22%,14,77.78%,1,7.14%,1,7.14%,6,33.33%,5,83.33%,,4,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,2,11.11%,1,6,54.55%,,,,,,,,,,,,,2,50.00%,1,50.00%,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
8279,JOEL,CAMPBELL,CAMPBELL J.,26-06-1992,131484,46,,,,,,3,,,28,2,7.14%,23,82.14%,,,,,26,,,,,,,,,7,1,1,100.00%,,,5,1,14.29%,3,60.00%,2,,,,13,5,38.46%,9,69.23%,5,55.56%,4,44.44%,3,23.08%,2,66.67%,2,5,,,1,20.00%,0.000,0.000,0.133,0.000,0.133,0.000,0.000,0.000,416,1,7.69%,,2,28.57%,,,,,,,,,,,,,1,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
49587,ORLANDO,GALO,GALO O.,11-08-2000,131484,94,2,,,2,100.00%,,,,29,,,22,75.86%,,,4,17.39%,23,,,,,,,,,2,,,,,,6,,,1,16.67%,3,4,,,12,3,25.00%,10,83.33%,,,2,20.00%,,,,,,3,,,,,0.090,0.000,0.000,0.000,-0.163,-0.090,0.090,0.000,416,2,16.67%,,,,,,,,,,1,4.35%,,,,,2,66.67%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
55842,ARIEL DANIEL,LASSITER ACUNA,LASSITER A.,27-09-1994,131484,48,1,1,100.00%,1,100.00%,,,,16,4,25.00%,10,62.50%,,,,,9,,,,,,,,,2,,,,,,2,,,2,100.00%,,,,,,,,,,,,,,,,,,,,1,100.00%,1,50.00%,0.026,0.073,0.514,0.000,0.540,0.048,0.026,0.000,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
48476,WARREN,MADRIGAL,MADRIGAL W.,24-07-2004,131484,84,1,,,,,,,,12,,,10,83.33%,,,4,28.57%,14,,,,,,,,,3,,,,,,2,,,,,,3,1,33.33%,19,2,10.53%,9,47.37%,5,55.56%,8,88.89%,6,31.58%,2,33.33%,2,2,,,,,0.165,0.000,0.199,0.000,0.363,-0.165,0.165,0.000,416,6,31.58%,1,,,1,100.00%,,,1,25.00%,1,7.14%,,,,,,,3,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,100.00%,,,,,,,,,,,
51977,JEYLAND,MITCHELL,MITCHELL J.,29-09-2004,131484,94,,,,,,2,,,35,1,2.86%,26,74.29%,,,,,22,,,,,,,,,3,,,,,,2,2,66.67%,1,50.00%,1,2,,,10,1,10.00%,8,80.00%,1,12.50%,1,12.50%,5,50.00%,4,80.00%,1,1,,,,,0.000,0.000,0.167,0.000,0.167,0.000,0.000,0.000,416,,,,2,66.67%,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
61758,JOSEPH MARTIN,MORA CORTEZ,MORA J.,15-01-1993,131484,46,,,,,,,,,16,1,6.25%,13,81.25%,,,2,16.67%,12,,,,,,,,,1,,,,,,1,,,1,100.00%,,,,,2,,,1,50.00%,1,100.00%,1,100.00%,2,100.00%,1,50.00%,,,,,,,0.000,0.000,0.112,0.000,0.112,0.000,0.000,0.000,416,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,
49571,HAXZEL,QUIROS,QUIROS H.,03-06-1998,131484,94,,,,,,,,,29,3,10.34%,25,86.21%,1,33.33%,6,23.08%,26,,,,,,,,,5,1,1,100.00%,,,3,,,,,2,,,,10,,,5,50.00%,4,80.00%,3,60.00%,6,60.00%,3,50.00%,1,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,1,10.00%,,,,,,,,,,,,1,,,1,1,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
52247,ANDY,ROJAS,ROJAS A.,05-12-2005,131484,10,,,,,,,,,3,,,3,100.00%,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36591,PATRICK,SEQUEIRA,SEQUEIRA P.,01-03-1999,131484,94,,,,,,2,,,20,,,6,30.00%,,,,,9,,,,,,,,,10,,,,,,1,2,20.00%,,,,,,,1,,,,,,,,,,,,,1,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,2,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,3,2,25.00%,2,66.67%,9,2,22.22%,6,66.67%,2.760,-0.240,3,,,,2,1,2,33.33%,1,1,11.11%,2,100.00%,3
53321,MANFRED,UGALDE,UGALDE M.,25-05-2002,131484,48,,,,,,,,,2,,,2,100.00%,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,8,1,12.50%,2,25.00%,2,100.00%,5,250.00%,2,25.00%,1,50.00%,2,1,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,3,37.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
36592,JUAN PABLO,VARGAS CAMPOS,VARGAS J.,06-06-1995,131484,94,,,,,,4,,,36,,,32,88.89%,,,,,23,,,,,,,,,,,,,,,6,,,,,,5,1,20.00%,9,,,4,44.44%,,,,,1,11.11%,,,1,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,3,33.33%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
36600,ALVARO,ZAMORA,ZAMORA A.,09-03-2002,131484,67,,,,,,2,,,15,,,11,73.33%,,,,,11,2,,,,,,,,5,1,,,1,100.00%,3,1,20.00%,2,66.67%,,,,,7,1,14.29%,3,42.86%,3,100.00%,3,100.00%,3,42.86%,1,33.33%,2,1,,,1,33.33%,0.000,0.000,0.253,0.059,0.054,0.000,0.000,0.000,416,1,14.29%,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
