Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cross,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,inFuorigioco,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiriDiTesta,tiriDiTesta_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assist,assistInArea,assistInArea_PERC,traversoni,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,interventoPositivo,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoCorner,golSviluppoCorner_PERC,traversoniRiusciti,traversoniRiusciti_PERC,triangolazione,triChiusa,triChiusa_PERC,thirdPass,ammonizioni,crossRiusciti,crossRiusciti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,triFatta,triFatta_PERC,cutBack,tiroGolTesta,tiroGolTesta_PERC,parataPiede,parataPiede_PERC
36706,ALEXANDER,PRASS,PRASS A.,26-05-2001,132289,50,,,,,,,,36,5,13.89%,27,75.00%,1,4.17%,,,24,,,,,,4,4,5,4,1,20.00%,2,50.00%,11,3,27.27%,,,5,166.67%,1,9.09%,,,5,45.45%,2,40.00%,,,,,,,1,,,0.000,0.000,0.886,0.104,0.886,0.000,0.000,0.000,510,,,3,1,33.33%,3,60.00%,1,1,100.00%,,2,,,3,2,66.67%,,,,,,,,,,,,,,,,,,,1,,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,
10852,MARCEL,SABITZER,SABITZER M.,17-03-1994,132289,96,2,1,50.00%,,,2,100.00%,64,18,28.13%,43,67.19%,6,10.91%,,,55,1,1.82%,,,,6,8,11,2,2,18.18%,,,8,3,37.50%,1,33.33%,4,133.33%,1,12.50%,,,3,37.50%,1,33.33%,,1,,,1,100.00%,2,,,0.073,0.448,2.974,0.076,2.887,0.375,0.073,0.000,510,,,3,1,33.33%,6,33.33%,2,1,50.00%,,3,1,33.33%,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.67%,4,36.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21566,ROMANO,SCHMID,SCHMID R.,27-01-2000,132289,46,,,,,,,,25,7,28.00%,19,76.00%,3,17.65%,,,17,2,11.76%,,,,2,2,5,4,1,20.00%,3,75.00%,8,2,25.00%,2,100.00%,5,250.00%,3,37.50%,1,33.33%,1,12.50%,1,100.00%,3,,,,,,1,3,75.00%,0.000,0.000,1.094,0.038,1.094,0.000,0.000,0.000,510,,,1,1,100.00%,4,57.14%,1,1,100.00%,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,1,1,100.00%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27994,NICOLAS,SEIWALD,SEIWALD N.,04-05-2001,132289,96,,,,,,,,81,4,4.94%,76,93.83%,3,4.55%,1,33.33%,66,1,1.52%,5,,,,1,5,6,1,20.00%,,,10,8,80.00%,3,37.50%,1,12.50%,,,,,7,70.00%,7,100.00%,,,,,,,2,,,0.000,0.000,0.546,0.085,0.546,0.000,0.000,0.000,510,,,5,1,20.00%,3,75.00%,1,1,100.00%,,2,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,,,,
13829,MAXIMILIAN,WOBER,WOBER M.,04-02-1998,132289,31,,,,,,,,29,2,6.90%,27,93.10%,,,,,22,3,13.64%,1,,,1,1,2,7,,,3,42.86%,6,2,33.33%,1,50.00%,3,150.00%,4,66.67%,2,50.00%,1,16.67%,,,,,,,,,,2,28.57%,0.000,0.000,0.281,0.036,-0.085,0.000,0.000,0.000,510,,,1,,,1,50.00%,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26395,KEREM,AKTURKOGLU,AKTURKOGLU K.,21-10-1998,132289,17,,,,,,,,4,2,50.00%,2,50.00%,,,,,5,,,,,,,,3,,2,66.67%,,,3,1,33.33%,1,100.00%,,,1,33.33%,,,,,,,1,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,,,,1,50.00%,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,133.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14828,KAAN,AYHAN,AYHAN K.,10-11-1994,132289,96,,,,,,,,37,,,32,86.49%,,,,,23,,,,,,,,2,5,,,1,20.00%,8,4,50.00%,,,,,1,12.50%,1,100.00%,1,12.50%,,,,,,,,,1,1,20.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,5,,,,,,,,,,,,4,3,75.00%,2,25.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35499,ABDULKERIM,BARDAKCI,BARDAKCI A.,07-09-1994,132289,96,,,,,,,,54,1,1.85%,44,81.48%,1,2.50%,,,40,,,4,,,,,5,6,2,40.00%,1,16.67%,10,6,60.00%,,,3,50.00%,4,40.00%,3,75.00%,4,40.00%,2,50.00%,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,2,,,,,,,,,,,,2,1,50.00%,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,
19107,MERIH,DEMIRAL,DEMIRAL M.,05-03-1998,132289,96,3,2,66.67%,3,100.00%,,,37,1,2.70%,31,83.78%,2,8.00%,2,100.00%,25,2,8.00%,,,,1,1,2,8,,,,,17,11,64.71%,3,27.27%,,,10,58.82%,6,60.00%,6,35.29%,4,66.67%,,,2,100.00%,,,1,,,1.200,1.117,0.212,0.000,1.037,-0.083,1.200,0.000,579,2,66.67%,1,,,,,,,,,,,,,,,1,5.88%,1,2,3,100.00%,2,66.67%,2,100.00%,2,100.00%,1,50.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,100.00%,,,,,,,,,,1,50.00%,,
34287,ARDA,GULER,GULER A.,25-02-2005,132289,79,1,,,,,1,100.00%,34,8,23.53%,27,79.41%,7,18.92%,,,37,1,2.70%,1,1,100.00%,1,2,11,3,5,45.45%,1,33.33%,21,10,47.62%,5,50.00%,7,70.00%,5,23.81%,1,20.00%,5,23.81%,2,40.00%,,,,,,,1,,,0.004,0.000,1.187,0.096,1.191,-0.004,0.004,0.000,579,,,2,2,100.00%,3,37.50%,2,2,100.00%,,5,2,40.00%,3,1,33.33%,3,14.29%,3,,,,,,,,,,,,,,,,,,,,,,,6,54.55%,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,50.00%,,,1,,,,
21530,MERT,GUNOK,GUNOK M.,01-03-1989,132289,96,,,,,,,,23,,,19,82.61%,,,,,10,,,,,,,,3,2,,,,,1,1,100.00%,,,,,1,100.00%,1,100.00%,,,,,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,5,6,5,4,80.00%,6,5,4,66.67%,5,100.00%,12,2,16.67%,2,16.67%,4,80.00%,1,8,66.67%,3.246,2.246,,,,,,,,,,1,20.00%
20912,FERDI,KADIOGLU,KADIOGLU F.,07-10-1999,132289,96,1,1,100.00%,1,100.00%,,,52,3,5.77%,43,82.69%,3,7.14%,,,42,,,,,,1,1,6,4,2,33.33%,,,20,16,80.00%,6,37.50%,1,6.25%,1,5.00%,1,100.00%,6,30.00%,4,66.67%,,,1,100.00%,,,1,,,0.067,0.076,0.206,0.052,0.274,0.009,0.067,0.000,579,,,4,,,,,1,,,,4,3,75.00%,6,1,16.67%,3,15.00%,3,,,,,,,,,,,,,,,,2,2,100.00%,,,,,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21531,IRFAN CAN,KAHVECI,KAHVECI I.,15-07-1995,132289,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21550,ORKUN,KOKCU,KOKCU O.,29-12-2000,132289,84,,,,,,,,52,2,3.85%,38,73.08%,2,4.76%,,,42,,,,,,1,1,12,4,5,41.67%,1,25.00%,12,6,50.00%,2,33.33%,1,16.67%,4,33.33%,1,25.00%,3,25.00%,2,66.67%,2,,,,,,1,,,0.000,0.000,0.476,0.044,0.476,0.000,0.000,0.000,579,,,4,,,,,1,,,,1,1,100.00%,1,,,1,8.33%,1,,,,,,,,,,,,,,,,2,1,50.00%,,1,,,6,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,
17563,MERT,MULDUR,MULDUR M.,03-04-1999,132289,96,,,,,,,,40,4,10.00%,30,75.00%,2,7.69%,,,26,,,1,,,1,2,5,4,2,40.00%,,,12,8,66.67%,1,12.50%,2,25.00%,3,25.00%,2,66.67%,5,41.67%,3,60.00%,,,,,,,1,,,0.000,0.000,0.255,0.000,0.051,0.000,0.000,0.000,579,,,,,,2,50.00%,,,,,2,1,50.00%,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,
15792,SALIH,OZCAN,OZCAN S.,11-01-1998,132289,38,,,,,,,,13,,,12,92.31%,,,,,10,,,,,,,,2,3,2,100.00%,1,33.33%,3,2,66.67%,,,,,1,33.33%,1,100.00%,2,66.67%,1,50.00%,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31264,KENAN,YILDIZ,YILDIZ K.,04-05-2005,132289,79,,,,,,,,22,2,9.09%,17,77.27%,2,8.33%,,,24,,,1,1,100.00%,1,1,8,4,3,37.50%,1,25.00%,17,5,29.41%,2,40.00%,7,140.00%,5,29.41%,2,40.00%,3,17.65%,,,1,,,,,,1,1,25.00%,0.000,0.000,0.348,0.000,0.348,0.000,0.000,0.000,579,,,1,,,,,,,,,4,,,3,1,33.33%,1,5.88%,1,,,,,,,,,,,,,,,,,,,,,,,4,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29786,BARIS ALPER,YILMAZ,BARIS YILMAZ,23-05-2000,132289,96,1,1,100.00%,1,100.00%,,,19,,,14,73.68%,4,14.29%,,,28,3,10.71%,1,1,100.00%,1,2,9,3,3,33.33%,1,33.33%,23,13,56.52%,10,76.92%,7,53.85%,4,17.39%,1,25.00%,13,56.52%,8,61.54%,,1,1,100.00%,,,1,,,0.134,0.600,0.488,0.057,0.476,0.466,0.134,0.000,579,,,2,,,,,1,,,,3,2,66.67%,2,1,50.00%,1,4.35%,1,,,,,,,,,,,,,,,,2,1,50.00%,,,1,100.00%,4,44.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,,,,
19519,OKAY,YOKUSLU,YOKUSLU O.,09-03-1994,132289,17,,,,,,,,3,,,2,66.67%,,,,,2,,,,,,,,1,3,1,100.00%,,,1,1,100.00%,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36107,ISMAIL,YUKSEK,YUKSEK I.,26-01-1999,132289,59,,,,,,,,25,,,21,84.00%,,,,,18,,,1,,,,,3,6,1,33.33%,1,16.67%,8,5,62.50%,,,1,20.00%,2,25.00%,2,100.00%,2,25.00%,2,100.00%,1,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,1,,,,,,,,,1,,,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,1,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
