Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passRicevuti,duelli,duelliAerei,duelliAerei_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passInArea,passInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingSub,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,golProcurati,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,inFuorigioco,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,dribblingPositivo,dribblingPositivo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,ammonizioni,assist,thirdPass,interventoNegativo,interventoPositivo,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,tiriRigoreParati,tiriRigoreParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDaArea,tiriDaArea_PERC,tiriDiRigore,tiriDiRigore_PERC,passChiaveInArea,passChiaveInArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,assistInArea,assistInArea_PERC,palleLaterali,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolRigore,tiroGolRigore_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,retiSub,traversoni,cutBack,retiSubGK,cutBackRiusciti,cutBackRiusciti_PERC,tiriDiTesta,tiriDiTesta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC
32687,MIGUEL ANGEL,NAVARRO ZARATE,NAVARRO M.,26-02-1999,131481,99,37,26,70.27%,16,10,3,30.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,2,2,5.41%,,,,,,5,,,,,,9,2,40.00%,1,11.11%,,2,2,20.00%,6,60.00%,,,,,1,33.33%,2,20.00%,1,50.00%,2,2,,4,80.00%,,,,,,1,50.00%,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20504,YORDAN,OSORIO,OSORIO Y.,10-05-1994,131481,99,33,26,78.79%,22,14,3,21.43%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,1,,,,,3,,,9,,,,,,8,2,22.22%,1,12.50%,,1,2,14.29%,9,64.29%,1,11.11%,3,33.33%,2,66.67%,7,50.00%,4,57.14%,1,2,,2,22.22%,,,,,,,,,,,,,,,,,1,12.50%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9018,RAFAEL,ROMO,ROMO R.,25-02-1990,131481,99,29,22,75.86%,9,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,,2,6.90%,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,3,5,5,100.00%,1,1,100.00%,6,5,3,50.00%,4,80.00%,18,1,5.56%,7,38.89%,5,83.33%,10,55.56%,4.786,4.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7958,SALOMON,RONDON,RONDON S.,16-09-1989,131481,84,30,19,63.33%,45,28,16,57.14%,1.059,1.176,0.646,0.129,1.268,0.117,0.304,0.000,781,3,4,13.33%,2,4.44%,2,2,100.00%,17,1,,,1,100.00%,1,4,23.53%,1,100.00%,2,,1,3.57%,14,50.00%,12,85.71%,11,78.57%,7,43.75%,9,32.14%,6,66.67%,,1,,,,4,2,50.00%,2,50.00%,2,50.00%,7,15.56%,,,2,1,50.00%,,,1,100.00%,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,1,25.00%,1,33.33%,1,14.29%,1,33.33%,1,1,25.00%,1,100.00%,1,100.00%,1,100.00%,1,50.00%,,,,,,,,,,,,,
20457,JEFFERSON,SAVARINO,SAVARINO J.,11-11-1996,131481,47,9,8,88.89%,14,8,1,12.50%,0.000,0.000,0.105,0.039,-0.082,0.000,0.000,0.000,781,1,1,11.11%,,,,,,4,,,,,,,,,,,1,,,,1,12.50%,1,100.00%,4,400.00%,,,6,75.00%,,,,,,,,,,,,,1,100.00%,,,,,,,,1,100.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
20459,YEFERSON,SOTELDO,SOTELDO Y.,30-06-1997,131481,84,29,25,86.21%,32,9,2,22.22%,0.172,0.367,1.261,0.123,1.236,0.195,0.172,0.000,781,3,4,13.79%,2,6.25%,,,,7,1,,,1,100.00%,3,2,28.57%,2,66.67%,3,,1,11.11%,4,44.44%,2,50.00%,3,75.00%,,,3,33.33%,1,33.33%,,1,,2,28.57%,2,1,50.00%,1,50.00%,2,50.00%,4,12.50%,,,,,,2,66.67%,1,33.33%,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,1,25.00%,,,2,,,,,,,,,1,100.00%,2,1,50.00%,,,,,,,,,,
29854,URIEL,ANTUNA,ANTUNA U.,21-08-1997,131481,74,26,17,65.38%,28,7,2,28.57%,0.150,0.070,0.588,0.000,0.045,-0.080,0.150,0.000,245,,5,19.23%,4,14.29%,1,1,100.00%,9,1,,,1,100.00%,1,,,1,100.00%,1,,,,3,42.86%,3,100.00%,4,133.33%,1,50.00%,3,42.86%,2,66.67%,1,,,,,2,1,50.00%,1,50.00%,2,40.00%,6,21.43%,,,2,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,2,33.33%,,,2,,,,,,,,,,,2,,,1,,,,,,,,,
17870,GERARDO,ARTEAGA,ARTEAGA G.,07-09-1998,131481,99,49,44,89.80%,40,14,3,21.43%,0.148,0.000,0.793,0.112,0.455,-0.148,0.148,0.000,245,1,4,8.16%,2,5.00%,,,,6,,,,,,5,1,16.67%,2,40.00%,3,2,1,7.14%,7,50.00%,3,42.86%,3,42.86%,1,33.33%,5,35.71%,3,60.00%,,1,,,,1,,,,,3,75.00%,1,2.50%,,,,,,,,2,40.00%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,1,100.00%,1,100.00%,1,100.00%,4,,,,,,,,,,,4,3,75.00%,1,,,,,,,,,
33523,LUIS,CHAVEZ,CHAVEZ L.,15-01-1996,131481,99,43,31,72.09%,35,15,3,20.00%,0.074,0.065,2.073,0.047,2.147,-0.009,0.074,0.000,245,3,11,25.58%,4,11.43%,,,,9,1,1,100.00%,,,4,1,11.11%,1,25.00%,2,1,3,20.00%,7,46.67%,2,28.57%,5,71.43%,,,6,40.00%,2,33.33%,,3,,,,1,1,100.00%,1,100.00%,2,18.18%,1,2.86%,,,,1,100.00%,1,50.00%,1,25.00%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,1,2,,,,,,,
59252,SANTIAGO TOMAS,GIMENEZ,GIMENEZ S.,18-04-2001,131481,63,17,11,64.71%,21,17,3,17.65%,0.197,0.448,0.242,0.034,0.161,0.252,0.197,0.000,245,1,2,11.76%,1,4.76%,,,,11,,,,,,2,1,9.09%,1,50.00%,2,,,,7,41.18%,4,57.14%,8,114.29%,2,66.67%,9,52.94%,5,55.56%,4,,,,,1,1,100.00%,,,2,100.00%,5,23.81%,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,1,100.00%,,,,1,,,,,,,,,
45442,JULIO,GONZALEZ,GONZALEZ JU.,23-04-1991,131481,99,37,34,91.89%,30,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,245,,,,,,,,,2,,,,,,4,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,1,50.00%,1,,,4,27,1,25.00%,27,100.00%,6,2,33.33%,,,1,100.00%,4,66.67%,1.685,0.685,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
20879,CESAR,HUERTA,HUERTA C.,03-12-2000,131481,25,8,6,75.00%,10,3,1,33.33%,0.267,1.150,0.582,0.080,0.489,0.883,0.267,0.000,245,2,3,37.50%,1,10.00%,,,,3,,,,,,1,,,,,,,1,33.33%,1,33.33%,1,100.00%,2,200.00%,,,1,33.33%,,,,1,,,,2,2,100.00%,,,3,100.00%,1,10.00%,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,2,100.00%,,,2,100.00%,2,,,,,,,,,2,100.00%,1,1,100.00%,,,1,,1,100.00%,,,,
45509,GUILLERMO,MARTINEZ,MARTINEZ G.,15-03-1995,131481,37,6,5,83.33%,7,5,4,80.00%,0.531,0.689,1.217,0.043,1.129,0.158,0.531,0.000,245,1,2,33.33%,3,42.86%,,,,,,,,,,,,,,,,,,,3,60.00%,2,66.67%,2,66.67%,3,75.00%,,,,,1,,,,,1,1,100.00%,,,2,100.00%,2,28.57%,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,1,100.00%,1,50.00%,1,100.00%,,,,,,,,,,1,100.00%,,,,,,,,,,,,,
33519,CESAR,MONTES,MONTES C.,24-02-1997,131481,47,34,26,76.47%,22,9,3,33.33%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,245,1,1,2.94%,,,9,,,2,,,,,,5,,,,,,,,,2,22.22%,1,50.00%,,,,,5,55.56%,2,40.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33526,ORBELIN,PINEDA,PINEDA O.,24-03-1996,131481,20,7,7,100.00%,8,4,,,0.756,0.979,0.167,0.000,0.922,0.223,0.000,0.000,245,1,2,28.57%,,,,,,2,,,,,,,,,,,3,,,,1,25.00%,1,100.00%,3,300.00%,,,1,25.00%,,,,,,,,1,1,100.00%,,,2,100.00%,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,,,,,1,,,,,,,,,1,100.00%,1,1,100.00%,,,,,,,,,,
45372,JULIAN,QUINONES,QUINONES J.,24-03-1997,131481,79,30,21,70.00%,30,15,2,13.33%,0.000,0.000,0.472,0.113,0.279,0.000,0.000,0.000,245,2,7,23.33%,1,3.33%,,,,10,1,,,1,100.00%,4,1,10.00%,2,50.00%,2,1,1,6.67%,4,26.67%,,,7,175.00%,1,50.00%,7,46.67%,1,14.29%,2,1,,2,20.00%,,,,,,3,42.86%,6,20.00%,1,100.00%,,,,1,50.00%,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,1,100.00%,3,,,,,,,,,,,3,1,33.33%,1,,,,,,,,,
29861,ISRAEL,REYES,REYES I.,23-05-2000,131481,52,34,33,97.06%,32,7,2,28.57%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,245,1,,,,,5,,,1,,,,,,2,1,100.00%,1,50.00%,,1,1,14.29%,3,42.86%,1,33.33%,2,66.67%,,,3,42.86%,1,33.33%,,1,,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
36791,CARLOS,RODRIGUEZ,RODRIGUEZ C.,03-01-1997,131481,62,23,15,65.22%,23,4,,,0.423,0.332,0.569,0.043,0.833,-0.090,0.423,0.000,245,2,2,8.70%,1,4.35%,,,,4,1,1,100.00%,,,1,1,25.00%,,,,1,,,2,50.00%,2,100.00%,,,,,3,75.00%,1,33.33%,,,,2,50.00%,2,1,50.00%,,,1,50.00%,1,4.35%,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,1,50.00%,1,100.00%,1,100.00%,1,,,,,,,,,1,100.00%,1,,,1,,,,,,1,50.00%,,
33525,LUIS,ROMO,ROMO L.,05-06-1995,131481,99,71,55,77.46%,53,22,12,54.55%,0.346,0.571,0.875,0.000,0.365,0.225,0.346,0.000,245,7,5,7.04%,2,3.77%,1,,,6,,,,,,8,3,50.00%,4,50.00%,1,3,,,14,63.64%,4,28.57%,3,21.43%,8,66.67%,6,27.27%,5,83.33%,,,,2,33.33%,2,1,50.00%,,,3,60.00%,3,5.66%,3,100.00%,,,,1,100.00%,3,37.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,2,28.57%,2,66.67%,,,1,,,,,,,,,1,100.00%,1,,,1,,,,,,,,1,50.00%
33521,JORGE,SANCHEZ,SANCHEZ J.,10-12-1997,131481,99,57,47,82.46%,35,13,2,15.38%,0.207,0.449,1.110,0.037,0.667,0.241,0.207,0.000,245,2,8,14.04%,5,14.29%,,,,10,2,1,50.00%,1,50.00%,11,3,30.00%,4,36.36%,2,2,,,6,46.15%,2,33.33%,5,83.33%,2,100.00%,5,38.46%,3,60.00%,2,,,,,1,1,100.00%,,,2,25.00%,4,11.43%,1,50.00%,,,,,,1,9.09%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,2,100.00%,4,100.00%,1,100.00%,4,,,,,,,,,1,100.00%,1,,,1,1,1,,1,100.00%,,,,
26673,JOHAN,VASQUEZ,VASQUEZ J.,22-10-1998,131481,99,78,76,97.44%,52,10,4,40.00%,0.029,0.034,0.293,0.000,-0.197,0.005,0.029,0.000,245,5,1,1.28%,1,1.92%,12,,,1,,,,,,17,,,2,11.76%,,2,,,8,80.00%,3,37.50%,,,3,75.00%,4,40.00%,4,100.00%,,,,,,1,1,100.00%,1,100.00%,1,100.00%,,,1,50.00%,,1,100.00%,,,1,5.88%,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
33528,ALEXIS,VEGA,VEGA A.,25-11-1997,131481,37,20,15,75.00%,17,8,2,25.00%,0.000,0.000,0.505,0.005,0.088,0.000,0.000,0.000,245,1,3,15.00%,1,5.88%,,,,6,,,,,,1,1,16.67%,,,3,,,,3,37.50%,2,66.67%,5,166.67%,1,50.00%,2,25.00%,1,50.00%,1,,,,,,,,,,,,,,,,,,,1,33.33%,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
