Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,falliFatti,interventoNegativo,espulsioni,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,retiSub,tiri,tiriDaFuori,tiriDaFuori_PERC,passChiave,passInAreaRiusciti,passInAreaRiusciti_PERC,triangolazione,triFatta,triFatta_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,cross,palleLaterali,triChiusa,triChiusa_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,inFuorigioco,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,thirdPass,crossRiusciti,crossRiusciti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,ammonizioni,assistVincenti,assistVincenti_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC
22446,ALPHONSO,DAVIES,DAVIES A.,02-11-2000,131478,107,49,10,20.41%,36,73.47%,36,,9,8,2,22.22%,2,25.00%,1,10,5,50.00%,2,40.00%,1,10.00%,1,100.00%,,,,0.000,0.000,0.556,0.000,0.422,0.000,0.000,0.000,3914,4,2,50.00%,,,3,60.00%,3,30.00%,,,,,,,2,4,40.00%,1,1,100.00%,,,,,,,1,2.78%,,,,,1,1,,,,,,,,,,,,1,10.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36781,ALISTAIR,JOHNSTON,JOHNSTON A.,08-10-1998,131478,107,51,5,9.80%,43,84.31%,33,1,7,8,3,42.86%,1,12.50%,3,14,7,50.00%,1,14.29%,2,14.29%,1,50.00%,2,,,0.000,0.000,0.361,0.000,0.361,0.000,0.000,0.000,3914,,,,1,33.33%,4,57.14%,6,42.86%,3,50.00%,,,,,1,,,,,,1,12.50%,,,,,,,,,,,1,1,,,,,,,,,,,,1,7.14%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
36785,ISMAEL,KONE',KONE' I.,16-06-2002,131478,54,24,,,22,91.67%,23,,2,4,2,100.00%,1,25.00%,,4,2,50.00%,2,100.00%,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,,,,,,1,50.00%,2,50.00%,,,,,,,,,,,,,,,,,,,2,8.70%,,,,,,,,,,,,,,,,,,2,50.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28652,CYLE,LARIN,LARIN C.,17-04-1995,131478,91,12,,,8,66.67%,26,,9,,2,22.22%,,,,21,6,28.57%,2,33.33%,9,42.86%,2,22.22%,1,,,0.442,0.000,0.000,0.000,-0.058,-0.442,0.442,0.000,3914,2,1,50.00%,,,13,216.67%,7,33.33%,1,14.29%,,1,,,,,,,,,,,,,1,100.00%,2,7.69%,1,50.00%,2,7.69%,,,,,,,,,,,,,,2,9.52%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,
36782,RICHIE,LARYEA,LARYEA R.,07-01-1995,131478,75,15,1,6.67%,12,80.00%,15,,2,3,1,50.00%,1,33.33%,2,10,6,60.00%,1,16.67%,1,10.00%,1,100.00%,1,,,0.000,0.000,0.000,0.000,-0.264,0.000,0.000,0.000,3914,1,1,100.00%,1,50.00%,2,33.33%,3,30.00%,1,33.33%,,,,,1,,,,,,,,,,,,1,6.67%,1,100.00%,1,6.67%,1,1,,,,,,,,,,,,2,20.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
49309,MOISE BOMBITO,LUMPUNGU,BOMBITO M.,30-03-2000,131478,107,39,1,2.56%,34,87.18%,28,4,,4,,,,,2,15,8,53.33%,1,12.50%,8,53.33%,4,50.00%,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,,,,,,,,4,26.67%,2,50.00%,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30927,LIAM,MILLAR,MILLAR L.,27-09-1999,131478,54,10,1,10.00%,10,100.00%,14,,3,,2,66.67%,,,2,9,2,22.22%,1,50.00%,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,4,1,25.00%,1,50.00%,2,100.00%,2,22.22%,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,4,133.33%,,,,,,,,,,,,,,
36777,KAMAL,MILLER,MILLER K.,16-05-1997,131478,52,30,,,22,73.33%,15,1,5,10,3,60.00%,1,10.00%,,12,8,66.67%,1,12.50%,8,66.67%,4,50.00%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,,,,,,,,4,33.33%,4,100.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40.00%,,,,,,,,,,,,,,
56002,TANITOLUWA,OLUWATIMIKHIN OLUWASEYI,OLUWASEYI T.,15-05-2000,131478,16,1,,,1,100.00%,5,,1,,,,,,,3,1,33.33%,1,100.00%,1,33.33%,,,,,,0.719,0.420,0.000,0.000,0.535,-0.299,0.719,0.000,3914,,,,,,2,200.00%,2,66.67%,1,50.00%,,2,,,,,,,,,,,1,50.00%,2,100.00%,2,40.00%,1,50.00%,1,20.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,
36786,JONATHAN,OSORIO,OSORIO J.,12-06-1992,131478,52,21,2,9.52%,15,71.43%,14,,4,2,2,50.00%,1,50.00%,3,5,3,60.00%,,,,,,,1,,,0.000,0.000,0.193,0.000,0.193,0.000,0.000,0.000,3914,,,,1,33.33%,,,1,20.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51325,JACOB,SHAFFELBURG,SHAFFELBURG J.,26-11-1999,131478,52,22,7,31.82%,12,54.55%,22,,8,1,1,12.50%,,,,7,2,28.57%,1,50.00%,,,,,,,,0.000,0.000,1.311,0.302,1.311,0.000,0.000,0.000,3914,4,1,25.00%,,,4,200.00%,2,28.57%,,,,,,,4,2,28.57%,,,,,,,,,,4,18.18%,,,2,9.09%,1,4,,,,,,,2,50.00%,4,2,50.00%,1,14.29%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,3,2,66.67%
