Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriDaArea,tiriDaArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,traversoni,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,recuperaPalla,dribbling,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliPersiMetaCampo,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriInPorta,tiriInPorta_PERC,cross,crossRiusciti,crossRiusciti_PERC,triChiusa,triChiusa_PERC,dribblingPositivo,dribblingPositivo_PERC,inFuorigioco,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,assistVincenti,assistVincenti_PERC,ammonizioni,tiriDiTesta,tiriDiTesta_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,retiSub,traversoniRiusciti,traversoniRiusciti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,parataPiede,parataPiede_PERC,retiSubGK
7421,LIONEL,MESSI,MESSI L.,24-06-1987,133246,66,1,1,100.00%,36,8,22.22%,27,75.00%,2,25.00%,2,6.25%,1,50.00%,32,1,3.13%,,,,,,7,1,,,,4,,,,5,2,,,1,20.00%,0.212,0.649,1.007,0.083,0.641,0.437,0.212,0.000,421,2,1,50.00%,1,1,100.00%,,,,1,14.29%,,,,,3,60.00%,3,100.00%,66.67%,,,,,,,,,1,100.00%,,,,1,100.00%,3,75.00%,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23982,NAHUEL,MOLINA,MOLINA N.,06-04-1998,133246,58,,,,20,,,15,75.00%,,,2,15.38%,,,13,,,,,,,,3,,,,1,,3,,,8,3,2,25.00%,3,37.50%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,,,,,,,2,66.67%,,,,,4,50.00%,,,75.00%,1,50.00%,,,,,4,133.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26455,GONZALO,MONTIEL,MONTIEL G.,01-01-1997,133246,72,,,,32,2,6.25%,22,68.75%,1,50.00%,4,17.39%,,,23,1,4.35%,1,,,,3,6,,,,2,1,,,,7,2,2,28.57%,2,28.57%,0.000,0.000,0.439,0.039,0.311,0.000,0.000,0.000,421,1,1,100.00%,1,1,100.00%,,,,1,16.67%,,,1,14.29%,5,71.43%,,,40.00%,2,100.00%,2,100.00%,1,1,2,33.33%,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7507,NICOLAS,OTAMENDI,OTAMENDI N.,12-02-1988,133246,8,,,,1,,,1,100.00%,,,,,,,1,,,,,,,,1,,,,1,,,,,2,,1,50.00%,1,50.00%,0.000,0.000,0.000,0.000,-0.455,0.000,0.000,0.000,421,,,,,,,,,,1,100.00%,,,,,1,50.00%,,,,,,1,100.00%,,,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972,LEANDRO,PAREDES,PAREDES L.,29-06-1994,133246,29,,,,11,2,18.18%,10,90.91%,1,50.00%,,,,,8,,,,,,,,1,,,,4,,2,2,100.00%,10,,,,5,50.00%,0.000,0.000,0.136,0.000,-0.138,0.000,0.000,0.000,421,4,,,,,,,,,,,1,25.00%,2,20.00%,7,70.00%,1,14.29%,,,,5,100.00%,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17761,CRISTIAN,ROMERO,ROMERO C.,27-04-1998,133246,131,,,,46,2,4.35%,41,89.13%,1,50.00%,,,,,33,2,6.06%,2,,,,,2,,,,8,,2,,,7,,3,42.86%,1,14.29%,0.000,0.000,1.265,0.111,0.738,0.000,0.000,0.000,421,4,1,25.00%,1,1,100.00%,,,,1,50.00%,1,12.50%,1,14.29%,7,100.00%,1,14.29%,,3,100.00%,1,100.00%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15904,NICOLAS,TAGLIAFICO,TAGLIAFICO N.,31-08-1992,133246,131,1,1,100.00%,64,,,51,79.69%,,,5,11.63%,1,20.00%,43,1,2.33%,2,,,,1,3,,,,9,1,,,,10,3,3,30.00%,4,40.00%,0.148,0.000,0.455,0.039,-0.048,-0.148,0.148,0.000,421,1,,,1,,,,,,1,33.33%,,,2,20.00%,3,30.00%,1,33.33%,100.00%,1,33.33%,,,,2,,,,,1,1,100.00%,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52201,JHON,ARIAS,ARIAS J.,21-09-1997,133246,111,3,1,33.33%,56,1,1.79%,54,96.43%,,,6,11.11%,1,16.67%,54,1,1.85%,1,1,100.00%,,,2,1,1,100.00%,9,1,4,1,25.00%,18,5,2,11.11%,5,27.78%,0.110,0.414,0.311,0.000,0.203,0.304,0.110,0.000,414,2,,,,,,,,,1,50.00%,3,33.33%,4,22.22%,11,61.11%,6,54.55%,45.45%,1,50.00%,3,60.00%,2,4,,,1,33.33%,,,,,,,,,,,1,11.11%,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,1,100.00%,,,,,,,,
10386,SANTIAGO,ARIAS NARANJO,ARIAS S.,13-01-1992,133246,131,1,1,100.00%,52,8,15.38%,42,80.77%,4,50.00%,1,3.03%,1,100.00%,33,3,9.09%,,,,,3,3,,,,5,,5,2,40.00%,12,1,4,33.33%,2,16.67%,0.061,0.000,1.022,0.083,0.749,-0.061,0.061,0.000,414,3,2,66.67%,2,1,50.00%,,,,1,33.33%,1,20.00%,,,5,41.67%,1,20.00%,20.00%,1,25.00%,1,50.00%,1,,2,66.67%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
16565,MIGUEL,BORJA,BORJA M.,26-01-1993,133246,19,1,1,100.00%,4,2,50.00%,2,50.00%,1,50.00%,2,50.00%,2,100.00%,4,3,75.00%,1,,,,,2,,,,1,,,,,4,2,2,50.00%,1,25.00%,0.092,0.000,0.570,0.000,0.430,-0.092,0.092,0.000,414,,,,,,,,,,,,1,100.00%,,,2,50.00%,1,50.00%,100.00%,2,100.00%,,,1,,,,,,,,,,,,,,,,1,100.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
31361,JORGE,CARRASCAL,CARRASCAL J.,25-05-1998,133246,19,1,,,14,3,21.43%,13,92.86%,3,100.00%,2,12.50%,,,16,1,6.25%,,,,,,1,,,,,2,,,,3,2,,,1,33.33%,0.022,0.000,0.106,0.073,0.128,-0.022,0.022,0.000,414,4,2,50.00%,2,1,50.00%,,,,,,,,,,1,33.33%,1,100.00%,200.00%,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,1,,,,,,,
56177,KEVIN DUVAN,CASTANO GIL,CASTANO K.,29-09-2000,133246,41,,,,23,1,4.35%,19,82.61%,,,1,3.70%,,,27,,,1,1,100.00%,,,4,,,,,,,,,6,4,2,33.33%,3,50.00%,0.000,0.000,0.102,0.000,-0.211,0.000,0.000,0.000,414,1,,,,,,,,,,,,,1,16.67%,1,16.67%,,,400.00%,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
15095,JHON ANDRES,CORDOBA COPETE,CORDOBA J.,11-05-1993,133246,90,1,1,100.00%,14,2,14.29%,11,78.57%,2,100.00%,4,26.67%,2,50.00%,15,6,40.00%,,,,,,3,,,,,,,,,6,4,3,50.00%,2,33.33%,0.121,0.000,0.872,0.179,-0.126,-0.121,0.121,0.000,414,2,2,100.00%,2,2,100.00%,,,,,,,,,,2,33.33%,1,50.00%,200.00%,1,33.33%,1,50.00%,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21776,CARLOS ECCEHOMO,CUESTA FIGUEROA,CUESTA C.,09-03-1999,133246,131,2,2,100.00%,62,2,3.23%,55,88.71%,,,2,4.00%,2,100.00%,50,3,6.00%,7,,,,,1,,,,8,,2,,,8,,2,25.00%,3,37.50%,0.397,0.589,0.792,0.000,0.263,0.192,0.397,0.000,414,1,,,,,,,,,,,1,12.50%,,,7,87.50%,1,14.29%,,2,100.00%,3,100.00%,1,,,,1,50.00%,,,,,,,,,1,100.00%,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
20505,LUIS FERNANDO,DIAZ MARULANDA,DIAZ L. F.,13-01-1997,133246,111,1,,,26,,,24,92.31%,,,7,16.67%,,,42,,,,,,,,14,2,,,,6,,,,21,15,5,23.81%,6,28.57%,0.040,0.452,0.292,0.035,0.332,0.411,0.040,0.000,414,2,,,1,,,,,,3,21.43%,,,,,1,4.76%,1,100.00%,1500.00%,,,,,5,,,,1,100.00%,,,,2,100.00%,1,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,
16563,JEFFERSON ANDRES,LERMA SOLIS,LERMA J.,25-10-1994,133246,112,2,,,69,1,1.45%,62,89.86%,1,100.00%,2,3.77%,,,53,1,1.89%,,,,,,4,,,,10,1,4,2,50.00%,13,1,1,7.69%,6,46.15%,0.058,0.352,0.319,0.132,-0.025,0.294,0.058,0.000,414,7,1,14.29%,1,1,100.00%,,,,2,50.00%,4,40.00%,,,8,61.54%,3,37.50%,12.50%,1,100.00%,4,66.67%,1,,,,1,50.00%,,,,,,1,100.00%,,,,1,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,1,100.00%,,,,,,,,
16564,JOHAN,MOJICA,MOJICA J.,21-08-1992,133246,131,,,,71,6,8.45%,60,84.51%,1,16.67%,2,3.85%,,,52,,,3,,,1,6,6,1,,,6,2,1,,,5,1,1,20.00%,1,20.00%,0.000,0.000,0.186,0.063,0.186,0.000,0.000,0.000,414,3,,,2,,,,,,1,16.67%,2,33.33%,,,3,60.00%,1,33.33%,33.33%,,,1,100.00%,,,2,33.33%,,,5,1,20.00%,1,100.00%,1,50.00%,,,,1,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,
53534,JUAN FERNANDO,QUINTERO PANIAGUA,QUINTERO J.,18-01-1993,133246,35,1,,,28,4,14.29%,23,82.14%,2,50.00%,3,11.11%,,,27,,,,,,,1,4,,,,,3,,,,4,1,,,1,25.00%,0.001,0.077,0.311,0.039,0.312,0.076,0.001,0.000,414,2,,,1,,,,,,,,,,,,3,75.00%,3,100.00%,33.33%,,,,,,,,,1,100.00%,1,1,100.00%,,,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,,,,,,,
65047,RICHARD,RIOS MONTOYA,RIOS R.,02-06-2000,133246,90,1,,,41,3,7.32%,38,92.68%,1,33.33%,,,,,38,1,2.63%,,,,,3,3,,,,3,3,2,2,100.00%,10,3,,,5,50.00%,0.023,0.302,0.601,0.075,0.499,0.280,0.023,0.000,414,3,1,33.33%,2,1,50.00%,,,,,,1,33.33%,,,6,60.00%,1,16.67%,50.00%,,,4,80.00%,,,,,1,100.00%,2,1,50.00%,,,2,66.67%,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,
7488,JAMES DAVID,RODRIGUEZ RUBIO,RODRIGUEZ J.,12-07-1991,133246,95,1,,,68,10,14.71%,54,79.41%,6,60.00%,3,5.17%,,,58,,,,,,,1,12,1,1,100.00%,4,4,1,1,100.00%,9,4,,,,,0.028,0.244,1.735,0.115,1.459,0.216,0.028,0.000,414,5,1,20.00%,2,1,50.00%,,,,3,25.00%,2,50.00%,3,33.33%,4,44.44%,4,100.00%,100.00%,,,,,1,3,2,16.67%,1,100.00%,1,1,100.00%,,,1,25.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,
14259,DAVINSON,SANCHEZ,SANCHEZ D.,12-06-1996,133246,131,1,1,100.00%,91,5,5.49%,71,78.02%,2,40.00%,1,1.30%,1,100.00%,77,2,2.60%,9,,,,,5,,,,6,3,2,,,14,,6,42.86%,3,21.43%,0.306,0.000,0.570,0.000,0.124,-0.306,0.306,0.000,414,4,,,,,,,,,,,2,33.33%,,,10,71.43%,2,20.00%,,2,33.33%,3,100.00%,,,,,,,,,,,,3,100.00%,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,100.00%,,,
13302,RAFAEL,SANTOS BORRE' MAURY,BORRE' R.,15-09-1995,133246,41,,,,8,1,12.50%,6,75.00%,,,2,22.22%,,,9,2,22.22%,,,,,,4,,,,,,,,,6,4,1,16.67%,2,33.33%,0.000,0.000,0.318,0.000,0.087,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,2,33.33%,2,100.00%,200.00%,,,2,100.00%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
16562,MATEUS,URIBE,URIBE M.,21-03-1991,133246,19,1,,,11,1,9.09%,10,90.91%,,,1,14.29%,,,7,,,,,,,1,,1,1,100.00%,2,,,,,2,,1,50.00%,1,50.00%,0.026,0.000,0.159,0.000,0.185,-0.026,0.026,0.000,414,,,,,,,,,,,,,,,,2,100.00%,,,,1,100.00%,1,100.00%,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,1,,,,,,,
16561,CAMILO,VARGAS,VARGAS C.,09-03-1989,133246,131,,,,40,,,37,92.50%,,,,,,,19,,,,,,,,1,,,,8,,,,,,,,,,,0.000,0.000,0.650,0.000,0.650,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,5,4,80.00%,3,21,2,66.67%,20,95.24%,16,5,31.25%,3,18.75%,3,75.00%,8,50.00%,1.972,0.972,,,,,,,,,,,1,,,,,1,25.00%,1
