Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,cross,crossRiusciti,crossRiusciti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,palleLaterali,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,inFuorigioco,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,retiSub,golProcurati,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,giochiPortiereRicevuti,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assistInArea,assistInArea_PERC,triFatta,triFatta_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,thirdPass,dribbling,dribblingPositivo,dribblingPositivo_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolArea,tiroGolArea_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,interventoPositivo,lanciPositivi,lanciPositivi_PERC,rinvioPiede,rinvioPiede_PERC,parataPiede,parataPiede_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,ammonizioni
36655,FACUNDO,PELLISTRI,PELLISTRI F.,20-12-2001,131475,97,,,,,,,,,,2,23,5,21.74%,19,82.61%,6,28.57%,3,50.00%,21,3,14.29%,2,1,1,100.00%,2,2,100.00%,3,3,1,1,100.00%,4,,,1,25.00%,1,,,9,2,22.22%,5,55.56%,3,60.00%,4,80.00%,3,33.33%,,,3,33.33%,2,66.67%,,2,,,,,,,,,,,,1,,,,0.000,0.000,0.878,0.066,0.878,0.000,0.000,0.000,246,1,25.00%,,2,100.00%,3,60.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26458,SERGIO,ROCHET,ROCHET S.,23-03-1993,131475,97,,,,,,,,,,,19,,,13,68.42%,,,,,5,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,66.67%,2,4,4,100.00%,13,5,38.46%,2,100.00%,1,8,61.54%,0.799,-0.201,,,,,,,,,,,,,,,,,,,
29661,MANUEL,UGARTE,UGARTE M.,11-04-2001,131475,97,1,1,100.00%,1,100.00%,,,,,3,50,3,6.00%,45,90.00%,,,,,43,,,1,,,,,,,,3,1,,,4,,,1,25.00%,,,,12,,,6,50.00%,1,16.67%,3,50.00%,1,8.33%,1,100.00%,10,83.33%,5,50.00%,1,,,,,,,,,1,100.00%,,,1,,,,0.190,0.455,0.262,0.039,0.452,0.265,0.190,0.000,246,1,25.00%,,,,1,33.33%,,,1,100.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16801,FEDERICO,VALVERDE,VALVERDE F.,22-07-1998,131475,86,3,,,1,33.33%,2,66.67%,,,6,52,7,13.46%,46,88.46%,5,11.11%,1,20.00%,45,1,2.22%,1,,,,,,,1,3,,,,4,,,3,75.00%,,,,4,1,25.00%,3,75.00%,3,100.00%,1,33.33%,3,75.00%,2,66.67%,,,,,,1,,,,,,,,,,,,,,,,0.243,0.000,0.892,0.061,0.972,-0.243,0.243,0.000,246,2,50.00%,,2,33.33%,4,57.14%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,
26459,MATIAS,VINA,VINA M.,09-11-1997,131475,97,1,1,100.00%,1,100.00%,,,1,100.00%,6,65,3,4.62%,54,83.08%,2,4.88%,1,50.00%,41,1,2.44%,4,1,,,,,,1,7,1,,,10,,,2,20.00%,1,,,12,1,8.33%,9,75.00%,1,11.11%,2,22.22%,5,41.67%,4,80.00%,4,33.33%,3,75.00%,,1,,1,100.00%,,,,,1,100.00%,,,1,,,,0.110,0.486,0.628,0.096,0.439,0.376,0.110,0.000,246,1,10.00%,1,1,16.67%,2,66.67%,,,1,100.00%,1,25.00%,,,,1,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,
54430,ABDIEL ARMANDO,AYARZA BOCANEGRA,AYARZA A.,12-09-1992,131475,7,,,,,,,,,,,2,,,2,100.00%,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,1,33.33%,2,66.67%,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16678,EDGAR YOEL,BARCENAS HERRERA,BARCENAS Y.,23-10-1993,131475,91,,,,,,,,,,1,26,7,26.92%,18,69.23%,3,9.38%,1,33.33%,32,4,12.50%,,2,,,,,,2,7,,,,,1,14.29%,,,,,,10,2,20.00%,3,30.00%,2,66.67%,4,133.33%,2,20.00%,,,6,60.00%,1,16.67%,,2,,,,,,,,,,,,2,,2,28.57%,0.000,0.000,1.222,0.000,1.222,0.000,0.000,0.000,821,,,,1,100.00%,1,14.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55914,ADALBERTO ELIECER,CARRASQUILLA ALCAZAR,CARRASQUILLA A.,28-11-1998,131475,91,2,1,50.00%,,,2,100.00%,,,4,38,3,7.89%,31,81.58%,1,3.45%,,,29,,,,,,,,,,,4,2,1,50.00%,2,1,25.00%,,,,,,7,1,14.29%,3,42.86%,,,2,66.67%,1,14.29%,,,4,57.14%,2,50.00%,1,1,,,,,,,,,,1,100.00%,2,,,,0.109,0.129,0.309,0.000,0.418,0.019,0.109,0.000,821,,,,2,50.00%,3,100.00%,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52986,JOSE',CORDOBA,CORDOBA J.,03-06-2001,131475,97,,,,,,,,,,,41,,,34,82.93%,,,,,21,,,,,,,,,,,4,,,,4,1,25.00%,1,25.00%,,,,4,,,,,,,2,,2,50.00%,,,1,25.00%,,,1,,,,,,,,,,,,,3,,2,50.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,9,100.00%,,,,,,,,,,,,,,,,,,,,,
16682,ERIC JAVIER,DAVIS GRAJALES,DAVIS E.,31-03-1991,131475,97,,,,,,,,,,1,31,8,25.81%,22,70.97%,,,,,18,,,1,2,,,,,,2,5,,,,4,,,,,1,,,7,1,14.29%,3,42.86%,,,1,33.33%,,,,,,,,,3,1,,,,,,,,,,,,3,,,,0.000,0.000,1.078,0.055,1.078,0.000,0.000,0.000,821,,,,1,100.00%,2,25.00%,1,100.00%,,,,,,,,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54418,JOSE',FAJARDO NELSON,FAJARDO J.,18-08-1993,131475,86,2,,,1,50.00%,1,50.00%,,,1,22,2,9.09%,18,81.82%,4,16.00%,1,25.00%,25,3,12.00%,,,,,,,,,7,2,2,100.00%,2,1,14.29%,,,1,1,100.00%,13,1,7.69%,2,15.38%,2,100.00%,10,500.00%,6,46.15%,1,16.67%,4,30.77%,,,1,1,1,,,,,,,,,,,1,,2,28.57%,0.157,0.000,0.616,0.000,0.163,-0.157,0.157,0.000,821,,,3,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100.00%,,,,,,,,,,
98301,EDGARDO ISAAC,FARINA WYNTER,FARINA E.,21-09-2001,131475,97,,,,,,,,,,,32,,,26,81.25%,,,,,25,,,,,,,,,,,3,,,,3,1,33.33%,,,1,1,100.00%,10,,,6,60.00%,2,33.33%,2,33.33%,2,20.00%,1,50.00%,6,60.00%,5,83.33%,1,,,,,,,,,,,,,3,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49660,FREDDY,GONDOLA,GONDOLA F.,18-09-1995,131475,12,,,,,,,,,,1,2,1,50.00%,2,100.00%,,,,,2,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,0.000,0.000,0.186,0.034,0.186,0.000,0.000,0.000,821,,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86392,EDUARDO ANTONIO,GUERRERO LOZCANO,GUERRERO E.,21-02-2000,131475,12,,,,,,,,,,,3,,,3,100.00%,,,,,1,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63247,KAHISER,LENIS NAVARRO,LENIS K.,23-07-2001,131475,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,
71450,CRISTIAN JESUS,MARTINEZ,MARTINEZ C.,06-02-1997,131475,67,,,,,,,,,,1,35,4,11.43%,25,71.43%,2,6.25%,1,50.00%,32,3,9.38%,,4,,,,,,4,6,3,1,33.33%,4,2,33.33%,1,25.00%,,,,10,1,10.00%,5,50.00%,3,60.00%,2,40.00%,5,50.00%,1,20.00%,4,40.00%,3,75.00%,,1,,,,,,,,,,,,1,,2,33.33%,0.000,0.000,0.753,0.000,0.614,0.000,0.000,0.000,821,,,2,,,1,25.00%,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93497,RODERICK ALONSO,MILLER MOLINA,MILLER R.,03-04-1992,131475,97,1,,,1,100.00%,,,1,100.00%,1,34,,,29,85.29%,1,4.55%,1,100.00%,22,1,4.55%,1,,,,,,,,3,,,,8,2,66.67%,,,,,,9,1,11.11%,7,77.78%,,,1,14.29%,6,66.67%,5,83.33%,1,11.11%,1,100.00%,1,1,,,,,,,,,,,,3,,2,66.67%,0.102,0.000,0.000,0.039,-0.085,-0.102,0.102,0.000,821,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,
50441,ORLANDO,MOSQUERA,MOSQUERA O.,25-12-1994,131475,97,,,,,,,,,,1,40,,,32,80.00%,,,,,26,,,,,,,,,,,4,,,,1,2,50.00%,,,1,,,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,,,,,,,,,,,,,,,,,,,,,,4,3,10,4,40.00%,16,13,13,100.00%,11,3,27.27%,3,75.00%,3,2,18.18%,4.444,1.444,,,,,,,,,,1,11,68.75%,6,54.55%,1,25.00%,,,
16676,MICHAEL AMIR,MURILLO BERMUDEZ,MURILLO A.,11-02-1996,131475,97,2,1,50.00%,1,50.00%,1,50.00%,,,2,40,7,17.50%,33,82.50%,2,6.90%,2,100.00%,29,2,6.90%,1,2,,,,,,3,3,1,1,100.00%,4,1,33.33%,1,25.00%,1,,,13,3,23.08%,7,53.85%,4,57.14%,4,57.14%,4,30.77%,1,25.00%,4,30.77%,1,25.00%,,3,,1,50.00%,,,1,100.00%,1,100.00%,,,3,,,,0.133,0.302,0.719,0.026,0.533,0.169,0.133,0.000,821,1,25.00%,2,,,4,57.14%,,,,,,,,,,1,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,1,100.00%,
16685,JOSE' LUIS,RODRIGUEZ FRANCIS,PUMA,19-06-1998,131475,86,2,1,50.00%,,,2,100.00%,,,3,22,1,4.55%,17,77.27%,3,10.71%,,,28,1,3.57%,1,,,,,,,1,8,4,1,25.00%,2,4,50.00%,,,,,,13,1,7.69%,3,23.08%,2,66.67%,9,300.00%,6,46.15%,,,5,38.46%,2,40.00%,,1,,,,,,,,,,1,100.00%,1,,4,50.00%,0.122,0.368,0.159,0.045,0.282,0.246,0.122,0.000,821,,,6,1,33.33%,1,100.00%,,,3,75.00%,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50.00%,,,,,,,,,,
44468,JOVANI,WELCH,WELCH J.,07-12-1999,131475,31,,,,,,,,,,,12,,,9,75.00%,,,,,8,,,,,,,,,,,1,,,,1,,,,,,,,2,,,2,100.00%,2,100.00%,,,1,50.00%,1,100.00%,1,50.00%,1,100.00%,,,,,,,,,,,,,,2,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
