Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,falliFatti,falliSubiti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevutiInArea,passRicevutiInArea_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliTackleVinti,duelliTackleVinti_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,ammonizioni,retiSub,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assist,assistVincenti,assistVincenti_PERC,triangolazione,triChiusa,triChiusa_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,cross,palleLaterali,inFuorigioco,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,golSviluppoCorner,golSviluppoCorner_PERC,triFatta,triFatta_PERC,giochiPortiereRicevuti,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,crossRiusciti,crossRiusciti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC
23794,OMAR FEDERICO,ALDERETE FERNANDEZ,ALDERETE O.,26-12-1996,131493,97,3,55,1,1.82%,45,81.82%,41,4,5,1,20.00%,4,19,2,10.53%,12,63.16%,4,33.33%,2,16.67%,3,15.79%,3,100.00%,5,26.32%,4,2,0.038,0.223,0.153,0.000,0.190,0.186,0.038,0.000,787,1,1,100.00%,1,100.00%,,,,,1,25.00%,4,100.00%,1,1,100.00%,3,60.00%,,,,,,,1,100.00%,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11341,MIGUEL,ALMIRON,ALMIRON M.,10-02-1994,131493,46,1,11,1,9.09%,9,81.82%,8,1,,,,1,3,,,,,,,3,,,,,,1,33.33%,1,,0.000,0.000,0.165,0.029,-0.014,0.000,0.000,0.000,787,,,,,,,,1,12.50%,,,,,,,,,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11339,FABIAN,BALBUENA,BALBUENA F.,23-08-1991,131493,97,2,61,1,1.64%,52,85.25%,41,3,11,3,27.27%,,15,,,15,100.00%,3,20.00%,,,6,40.00%,6,100.00%,6,40.00%,,,0.210,0.330,0.000,0.000,0.027,0.120,0.210,0.000,787,1,1,100.00%,,,1,2.44%,1,2.44%,,,,,3,,,6,100.00%,,,,,,,,,,2,,,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,,,,,,,,1,100.00%,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43703,ADAM,BAREIRO,BAREIRO A.,26-07-1996,131493,46,,14,,,9,64.29%,11,7,3,1,33.33%,,7,,,4,57.14%,3,75.00%,3,75.00%,2,28.57%,1,50.00%,3,42.86%,2,,0.000,0.000,0.279,0.000,0.058,0.000,0.000,0.000,787,,,,,,1,9.09%,1,9.09%,1,14.29%,,,,,,3,100.00%,,,,,,,,,,2,,,2,28.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,
68174,DAMIAN JOSUE',BOBADILLA BENITEZ,BOBADILLA D.,11-07-2001,131493,83,1,52,,,45,86.54%,46,2,5,4,80.00%,,9,1,11.11%,6,66.67%,3,50.00%,3,50.00%,,,,,4,44.44%,1,1,0.025,0.000,0.149,0.048,0.003,-0.025,0.025,0.000,787,1,,,1,100.00%,2,4.35%,,,1,50.00%,,,3,1,33.33%,3,75.00%,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.00%,,,,
60245,HERNESTO EZEQUIEL,CABALLERO BENITEZ,CABALLERO H.,09-04-1991,131493,51,1,54,2,3.70%,46,85.19%,39,2,5,1,20.00%,1,7,,,5,71.43%,2,40.00%,1,20.00%,2,28.57%,2,100.00%,3,42.86%,1,,0.000,0.000,0.308,0.000,0.308,0.000,0.000,0.000,787,,,,,,,,,,,,1,100.00%,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.00%,,,,
26480,JULIO,ENCISO,ENCISO J.,23-01-2004,131493,97,6,58,14,24.14%,41,70.69%,62,16,,,,6,20,3,15.00%,7,35.00%,6,85.71%,11,157.14%,2,10.00%,,,7,35.00%,2,3,0.119,0.361,2.379,0.131,2.345,0.242,0.119,0.000,787,4,2,50.00%,4,100.00%,10,16.13%,2,3.23%,1,6.25%,1,16.67%,1,1,100.00%,3,42.86%,,,,,,,2,100.00%,,2,,,,,4,28.57%,3,,,2,,,,,,,,,3,3,,,,,,,,,,2,100.00%,,1,16.67%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60230,NESTOR RAFAEL,GIMENEZ FLORENTIN,GIMENEZ N.,24-07-1997,131493,97,4,86,5,5.81%,76,88.37%,68,8,7,2,28.57%,,14,,,7,50.00%,3,42.86%,6,85.71%,1,7.14%,,,9,64.29%,2,,0.000,0.000,0.609,0.038,0.609,0.000,0.000,0.000,787,,,,,,,,,,,,,,2,,,5,55.56%,,,,,,,,,,2,,,,,2,40.00%,1,,,2,2,100.00%,,,,,,,3,3,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14.29%,,,,
7807,DERLIS ALBERTO,GONZALEZ GALEANO,GONZALEZ D.,20-03-1994,131493,14,,5,,,5,100.00%,4,1,2,1,50.00%,,4,,,2,50.00%,1,50.00%,,,1,25.00%,,,2,50.00%,1,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,787,,,,,,,,,,1,100.00%,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,
60223,RODRIGO MARIO,MORINIGO ACOSTA,MORINIGO R.,07-10-1998,131493,97,,29,,,29,100.00%,18,,6,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,4,15,4,100.00%,15,100.00%,10,6,60.00%,3,30.00%,,,,,2,1,10.00%,0.986,-1.014,,,,,,,,
60232,IVAN RODRIGO,RAMIREZ SEGOVIA,RAMIREZ I.,08-12-1994,131493,23,,14,2,14.29%,12,85.71%,13,1,,,,,2,,,,,,,1,,1,50.00%,,,1,50.00%,,,0.000,0.000,0.391,0.000,0.391,0.000,0.000,0.000,787,,,,,,1,7.69%,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,
26481,ANGEL,ROMERO,ROMERO AN.,04-07-1992,131493,51,,16,2,12.50%,11,68.75%,21,5,,,,3,5,,,2,40.00%,2,100.00%,2,100.00%,1,20.00%,,,1,20.00%,,,0.766,1.236,0.247,0.000,0.549,0.470,0.766,0.000,787,3,2,66.67%,2,66.67%,4,19.05%,1,4.76%,1,20.00%,2,66.67%,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,1,33.33%,,,1,25.00%,1,1,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%
131294,ALEJANDRO SEBASTIAN,ROMERO GAMARRA,KAKU,11-01-1995,131493,23,5,24,4,16.67%,20,83.33%,19,1,1,,,1,2,,,2,100.00%,1,50.00%,,,,,,,1,50.00%,,,0.000,0.000,0.431,0.080,0.431,0.000,0.000,0.000,787,,,,,,,,,,,,1,100.00%,,,,1,100.00%,,,,,,,,,,,,,,,1,25.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43664,RAMON,SOSA ACOSTA,SOSA R.,31-08-1999,131493,97,2,53,3,5.66%,40,75.47%,58,12,1,1,100.00%,6,17,1,5.88%,5,29.41%,5,100.00%,12,240.00%,4,23.53%,1,25.00%,4,23.53%,2,1,0.168,0.771,0.477,0.034,0.480,0.604,0.168,0.000,787,3,3,100.00%,1,33.33%,8,13.79%,1,1.72%,1,8.33%,2,33.33%,,,,1,25.00%,1,33.33%,,,1,100.00%,1,33.33%,1,2,,,,,,,1,,,2,1,50.00%,2,66.67%,,,1,12.50%,,1,,1,100.00%,,,2,66.67%,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43831,GUSTAVO,VELAZQUEZ,VELAZQUEZ G.,17-04-1991,131493,74,,38,,,32,84.21%,18,1,10,4,40.00%,,13,1,7.69%,8,61.54%,4,50.00%,3,37.50%,8,61.54%,5,62.50%,2,15.38%,,1,0.000,0.000,0.142,0.000,-0.204,0.000,0.000,0.000,787,,,,,,1,5.56%,2,11.11%,,,,,2,1,50.00%,1,50.00%,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,10.00%,,,,
26474,MATHIAS,VILLASANTI,VILLASANTI M.,24-01-1997,131493,74,4,40,2,5.00%,37,92.50%,42,4,1,,,2,11,2,18.18%,4,36.36%,3,75.00%,4,100.00%,2,18.18%,1,50.00%,2,18.18%,1,2,0.000,0.000,0.165,0.037,0.016,0.000,0.000,0.000,787,,,,,,1,2.38%,,,3,75.00%,,,2,1,50.00%,,,,,,,,,,,,2,,,,,1,50.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
