Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiriDaFuori,tiriDaFuori_PERC,triangolazione,triChiusa,triChiusa_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDiTesta,tiriDiTesta_PERC,passChiave,cross,palleLaterali,ammonizioni,passChiaveInArea,passChiaveInArea_PERC,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoCorner,golSviluppoCorner_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,crossRiusciti,crossRiusciti_PERC,triFatta,triFatta_PERC,inFuorigioco,thirdPass,tiroGolFuoriArea,tiroGolFuoriArea_PERC,parataPiede,parataPiede_PERC
15495,SCOTT,MCTOMINAY,MCTOMINAY S.,08-12-1996,131371,97,2,2,100.00%,2,100.00%,27,6,22.22%,21,77.78%,5,83.33%,3,12.00%,2,66.67%,25,3,12.00%,1,1,100.00%,9,3,,,2,66.67%,,12,1,8.33%,4,33.33%,2,50.00%,7,175.00%,6,50.00%,2,33.33%,5,41.67%,1,20.00%,,1,,,2,100.00%,1,2,66.67%,,,0.377,0.757,1.131,0.014,0.771,0.380,0.377,0.000,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,100.00%,1,,,1,100.00%,,,,,1,50.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,
14917,ANTHONY,RALSTON,RALSTON A.,16-11-1998,131371,97,,,,,,37,4,10.81%,28,75.68%,1,25.00%,,,,,35,1,2.86%,5,3,60.00%,8,2,2,25.00%,,,4,16,1,6.25%,6,37.50%,1,16.67%,8,133.33%,8,50.00%,2,25.00%,3,18.75%,1,33.33%,,1,,,,,1,,,2,25.00%,0.000,0.000,0.646,0.063,0.464,0.000,0.000,0.000,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,,1,50.00%,2,,,1,50.00%,,,2,50.00%,,,,,,,,,1,1,100.00%,,,,,,,,,,
9864,ANDREW HENRY,ROBERTSON,ROBERTSON A.,11-03-1994,131371,97,,,,,,50,10,20.00%,39,78.00%,4,40.00%,,,,,32,2,6.25%,1,,,5,4,1,20.00%,,,1,7,,,2,28.57%,,,3,150.00%,1,14.29%,1,100.00%,1,14.29%,,,1,,,,,,1,,,,,0.000,0.000,1.261,0.163,1.054,0.000,0.000,0.000,462,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,,2,100.00%,2,,,2,100.00%,,,,,,,,,,,,,,,,2,66.67%,1,100.00%,,,,,,
37163,LAWRENCE,SHANKLAND,SHANKLAND L.,10-08-1995,131371,4,,,,,,2,,,1,50.00%,,,,,,,1,,,1,1,100.00%,2,1,,,1,100.00%,,1,,,,,,,1,,1,100.00%,,,,,,,,,,,,,,1,100.00%,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10929,KIERAN,TIERNEY,TIERNEY K.,05-06-1997,131371,64,,,,,,50,5,10.00%,42,84.00%,1,20.00%,,,,,36,,,3,,,4,4,1,25.00%,1,25.00%,4,7,2,28.57%,4,57.14%,1,25.00%,,,1,14.29%,1,100.00%,,,,,,2,,,,,1,,,2,50.00%,0.000,0.000,0.343,0.000,0.343,0.000,0.000,0.000,462,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,100.00%,,,,,,,1,,,,,,,,,,,3,75.00%,,,,,,,,,,,,,,,,,,,,,
17412,MICHEL,AEBISCHER,AEBISCHER M.,06-01-1997,131371,97,,,,,,46,,,44,95.65%,,,,,,,32,,,,,,,4,,,,,,11,2,18.18%,7,63.64%,1,14.29%,4,57.14%,3,27.27%,3,100.00%,4,36.36%,2,50.00%,1,2,,,,,1,,,,,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,418,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14955,MANUEL,AKANJI,AKANJI M.,19-07-1995,131371,97,,,,,,54,1,1.85%,52,96.30%,1,100.00%,,,,,39,1,2.56%,5,,,1,9,1,100.00%,,,,4,,,2,50.00%,,,1,50.00%,2,50.00%,1,50.00%,1,25.00%,1,100.00%,1,,,,,,1,,,,,0.000,0.000,0.310,0.000,0.161,0.000,0.000,0.000,418,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,3,100.00%,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26326,ZEKI,AMDOUNI,AMDOUNI Z.,04-12-2000,131371,8,1,,,1,100.00%,1,1,100.00%,,,,,1,33.33%,1,100.00%,3,1,33.33%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.230,0.000,0.121,0.000,0.161,-0.230,0.230,0.000,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7809,BREEL,EMBOLO,EMBOLO B.,14-02-1997,131371,35,,,,,,5,,,4,80.00%,,,1,11.11%,,,9,,,,,,3,2,1,33.33%,1,50.00%,,8,3,37.50%,6,75.00%,3,50.00%,1,16.67%,1,12.50%,,,3,37.50%,2,66.67%,,3,,,,,,,,2,66.67%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
10289,REMO,FREULER,FREULER R.,15-04-1992,131371,77,,,,,,39,,,35,89.74%,,,,,,,35,,,1,,,3,2,1,33.33%,,,1,8,,,5,62.50%,1,20.00%,2,40.00%,2,25.00%,1,50.00%,4,50.00%,3,75.00%,1,,,,,,1,,,2,66.67%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24817,DAN,NDOYE,NDOYE D.,25-10-2000,131371,89,4,1,25.00%,4,100.00%,14,2,14.29%,12,85.71%,1,50.00%,5,20.00%,2,40.00%,25,3,12.00%,1,,,10,3,1,10.00%,,,1,17,1,5.88%,8,47.06%,4,50.00%,8,100.00%,4,23.53%,1,25.00%,2,11.76%,1,50.00%,2,1,,,1,100.00%,1,,,,,0.718,0.191,0.371,0.029,0.407,-0.527,0.718,0.000,418,,,,,,7,4,57.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,100.00%,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,,1,,,,,
24663,FABIAN,RIEDER,RIEDER F.,16-02-2002,131371,20,,,,,,5,2,40.00%,4,80.00%,1,50.00%,1,20.00%,,,5,,,,,,3,1,1,33.33%,,,,4,1,25.00%,2,50.00%,2,100.00%,,,2,50.00%,,,1,25.00%,1,100.00%,,1,,,,,,,,2,66.67%,0.000,0.000,0.190,0.098,0.190,0.000,0.000,0.000,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,50.00%,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,
8585,RICARDO,RODRIGUEZ,RODRIGUEZ R.,25-08-1992,131371,97,1,,,,,45,1,2.22%,40,88.89%,,,,,,,35,,,6,,,2,6,,,2,33.33%,1,15,1,6.67%,9,60.00%,2,22.22%,4,44.44%,7,46.67%,6,85.71%,5,33.33%,2,40.00%,1,1,,,,,1,1,16.67%,,,0.123,0.000,0.195,0.000,0.318,-0.123,0.123,0.000,418,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,1,,,,
7798,FABIAN,SCHAR,SCHAR F.,20-12-1991,131371,97,,,,,,61,4,6.56%,48,78.69%,2,50.00%,,,,,54,1,1.85%,7,,,6,4,2,33.33%,1,25.00%,1,17,2,11.76%,8,47.06%,,,4,50.00%,7,41.18%,3,42.86%,4,23.53%,2,50.00%,2,2,,,,,1,,,2,33.33%,0.000,0.000,0.360,0.054,0.173,0.000,0.000,0.000,418,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,,1,20.00%,2,,,1,50.00%,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,
7037,XHERDAN,SHAQIRI,SHAQIRI X.,10-10-1991,131371,62,1,1,100.00%,,,30,6,20.00%,23,76.67%,1,16.67%,2,8.33%,,,24,,,,,,3,1,1,33.33%,1,100.00%,,2,,,1,50.00%,1,100.00%,,,2,100.00%,1,50.00%,,,,,,,,,,,1,1,100.00%,,,0.073,0.401,0.940,0.000,1.013,0.328,0.073,0.000,418,1,100.00%,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,100.00%,,,1,100.00%,,,,,,,,,,,,1,100.00%,,
24664,VINCENT,SIERRO,SIERRO V.,08-10-1995,131371,20,,,,,,10,,,7,70.00%,,,,,,,8,,,,,,1,,1,100.00%,,,,4,,,2,50.00%,1,50.00%,,,2,50.00%,1,50.00%,1,25.00%,1,100.00%,1,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9554,YANN,SOMMER,SOMMER Y.,17-12-1988,131371,97,,,,,,29,,,25,86.21%,,,,,,,23,,,,,,3,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,66.67%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,,,,,,,,,3,1,,3,2,66.67%,3,21,1,33.33%,20,95.24%,5,3,60.00%,1,20.00%,2,66.67%,1,1,20.00%,1.986,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%
25684,LEONIDAS,STERGIOU,STERGIOU L.,03-03-2002,131371,8,,,,,,1,,,1,100.00%,,,,,,,1,,,,,,,,,,,,1,2,,,2,100.00%,,,,,,,,,1,50.00%,1,100.00%,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23932,RUBEN,VARGAS,VARGAS R.,05-08-1998,131371,77,2,1,50.00%,2,100.00%,28,5,17.86%,19,67.86%,3,60.00%,5,15.15%,1,20.00%,33,1,3.03%,1,,,8,1,2,25.00%,,,,12,,,2,16.67%,1,50.00%,6,300.00%,3,25.00%,,,6,50.00%,2,33.33%,1,,,,1,100.00%,1,,,,,0.210,0.377,0.754,0.145,0.802,0.167,0.210,0.000,418,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,,2,66.67%,3,,,2,66.67%,,,,,,,,,,,,,,,,,,,,1,,,,,
6351,SILVAN,WIDMER,WIDMER S.,05-03-1993,131371,89,1,,,1,100.00%,36,1,2.78%,28,77.78%,,,1,3.85%,,,26,1,3.85%,,,,7,4,1,14.29%,,,,7,1,14.29%,3,42.86%,,,1,33.33%,3,42.86%,1,33.33%,2,28.57%,1,50.00%,1,1,,,,,1,,,2,28.57%,0.085,0.000,0.184,0.000,0.268,-0.085,0.085,0.000,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
10018,GRANIT,XHAKA,XHAKA G.,27-09-1992,131371,97,1,1,100.00%,1,100.00%,60,3,5.00%,49,81.67%,,,2,5.13%,1,50.00%,39,1,2.56%,,,,8,11,5,62.50%,2,18.18%,1,9,,,7,77.78%,,,,,5,55.56%,3,60.00%,2,22.22%,2,100.00%,,,,,1,100.00%,1,1,9.09%,8,100.00%,0.080,0.127,0.000,0.000,-0.040,0.046,0.080,0.000,418,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
