Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passRicevuti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passInArea,passInArea_PERC,cross,palleLaterali,perdePalla,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,parate,uscite,retiSub,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,FxGoT,gkGP,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiave,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assist,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,ammonizioni,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,giochiPortiereRicevuti,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,triangolazione,triFatta,triFatta_PERC,dribbling,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,inFuorigioco,interventoNegativo,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,triChiusa,triChiusa_PERC,tiriDaFuori,tiriDaFuori_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,traversoniVincenti,traversoniVincenti_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,dribblingPositivo,dribblingPositivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,crossRiusciti,crossRiusciti_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,golProcurati,tiriDiRigore,tiriDiRigore_PERC,tiroGolRigore,tiroGolRigore_PERC,tiroGolPiede,tiroGolPiede_PERC,interventoPositivo,parataPiede,parataPiede_PERC
9912,PETER,PEKARIK,PEKARIK P.,30-10-1986,131349,95,38,33,86.84%,18,0.000,0.000,0.556,0.105,0.556,0.000,0.000,0.000,475,4,10.53%,1,2,2,10,7,70.00%,4,57.14%,3,42.86%,2,20.00%,2,100.00%,3,30.00%,1,33.33%,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,75.00%,1,5.56%,,,,,2,1,10.00%,1,,,,,,,,,,1,20.00%,1,,,,,,,2,2,,,1,,2,100.00%,2,100.00%,,,,,,,,,,,,,1,50.00%,1,100.00%,1,100.00%,,,,,,,,,,,,
26390,IVAN,SCHRANZ,SCHRANZ I.,13-09-1993,131349,80,19,16,84.21%,20,0.000,0.000,0.243,0.000,-0.017,0.000,0.000,0.000,475,1,5.26%,1,2,5,12,2,16.67%,,,9,450.00%,5,41.67%,1,20.00%,3,25.00%,,,2,1,2,40.00%,,,1,,,,,,,,,,,,,,,,,,,,,2,40.00%,,,,,,,,,,,,,,,,,1,5.00%,,1,8.33%,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,
10918,MILAN,SKRINIAR,SKRINIAR M.,11-02-1995,131349,98,86,78,90.70%,63,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,475,1,1.16%,,,5,17,14,82.35%,3,21.43%,,,6,35.29%,5,83.33%,7,41.18%,5,71.43%,,15,1,20.00%,,,1,,,,,,,,,,,,,,,,,,,,,2,40.00%,,,,,,,,,,2,,,,,,,,,,4,23.53%,4,,,,,,,,,,1,6.67%,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27998,DAVID,STRELEC,STRELEC D.,04-04-2001,131349,73,15,9,60.00%,21,0.286,0.153,0.259,0.000,-0.135,-0.133,0.286,0.286,475,1,6.67%,,,9,14,5,35.71%,2,40.00%,7,140.00%,5,35.71%,1,20.00%,8,57.14%,4,50.00%,1,1,3,33.33%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,1,33.33%,2,66.67%,,,,,,3,14.29%,2,66.67%,5,23.81%,,,,,,,,,,,1,100.00%,,1,100.00%,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,
26389,TOMAS,SUSLOV,SUSLOV T.,07-06-2002,131349,24,4,2,50.00%,4,0.000,0.000,0.187,0.000,0.187,0.000,0.000,0.000,475,1,25.00%,,,1,4,2,50.00%,1,50.00%,1,50.00%,,,,,2,50.00%,1,50.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15765,DENIS,VAVRO,VAVRO D.,10-04-1996,131349,98,72,59,81.94%,61,0.008,0.000,0.000,0.000,-0.256,-0.008,0.008,0.008,475,2,2.78%,,1,5,7,6,85.71%,2,33.33%,1,16.67%,3,42.86%,2,66.67%,2,28.57%,2,100.00%,,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,50.00%,1,1.64%,,,1,1.64%,,1,14.29%,1,,,,,,,,,,,,11,,,,,,,1,,,,,,,,,,,,1,100.00%,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,
62173,NICUSOR SILVIU,BANCU,BANCU N.,18-09-1992,131349,98,53,42,79.25%,35,0.000,0.000,0.662,0.110,0.662,0.000,0.000,0.000,486,5,9.43%,,2,5,13,10,76.92%,2,20.00%,2,20.00%,5,38.46%,3,60.00%,3,23.08%,3,100.00%,1,8,1,20.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,60.00%,,,,,,,2,2,15.38%,2,,,,,,,,,1,3,37.50%,1,1,,,,,,1,1,,,,,1,50.00%,1,50.00%,,,,,,,,,,,,,1,100.00%,,,,,1,12.50%,,,,,,,,,,
21539,ANDREI,BURCA,BURCA A.,15-04-1993,131349,98,55,44,80.00%,45,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,,,,4,17,8,47.06%,1,12.50%,2,25.00%,9,52.94%,6,66.67%,6,35.29%,2,33.33%,1,3,1,25.00%,,,1,,,,,,,,,,,,,,,,,,,,,2,50.00%,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16006,FLORINEL,COMAN,COMAN F.,10-04-1998,131349,61,16,14,87.50%,13,0.000,0.000,0.403,0.068,0.295,0.000,0.000,0.000,486,2,12.50%,1,1,1,8,5,62.50%,,,2,40.00%,,,,,6,75.00%,4,66.67%,,3,1,100.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,50.00%,,,,,2,15.38%,2,1,12.50%,1,,,,,,,,,,1,33.33%,,,,,,,,1,,,,,,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,
19571,DENIS,DRAGUS,DRAGUS D.,06-07-1999,131349,69,14,7,50.00%,18,0.126,0.000,0.304,0.000,0.242,-0.126,0.126,0.126,486,1,7.14%,,,8,14,6,42.86%,4,66.67%,6,100.00%,8,57.14%,4,50.00%,4,28.57%,2,50.00%,2,,3,37.50%,,,1,,,,,,,,,,,,,,,,,,,,,2,25.00%,,,2,,,2,100.00%,,,,,,2,11.11%,1,50.00%,2,11.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23248,RADU,DRAGUSIN,DRAGUSIN R.,03-02-2002,131349,98,41,34,82.93%,33,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,1,2.44%,,,5,5,3,60.00%,,,1,33.33%,,,,,3,60.00%,2,66.67%,1,6,1,20.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.00%,1,,,,,,,,,,1,16.67%,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546,IANIS,HAGI,HAGI I.,22-10-1998,131349,69,23,13,56.52%,23,0.043,0.000,0.287,0.052,0.330,-0.043,0.043,0.043,486,1,4.35%,,,8,14,8,57.14%,3,37.50%,3,37.50%,2,14.29%,,,5,35.71%,3,60.00%,1,3,1,12.50%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,100.00%,,,1,,,2,8.70%,,,,,1,3,21.43%,3,,,,,,,,,,2,66.67%,2,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,50.00%,2,100.00%,,,,,1,,,,,,,,,
16004,DENNIS,MAN,MAN D.,26-08-1998,131349,28,7,5,71.43%,4,0.000,0.000,0.000,0.000,-0.102,0.000,0.000,0.000,486,1,14.29%,,,1,5,3,60.00%,,,2,66.67%,,,,,3,60.00%,1,33.33%,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.00%,1,,,,,,,,,,1,50.00%,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14394,MARIUS,MARIN,MARIN M.,30-08-1998,131349,98,26,20,76.92%,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,,,,5,8,4,50.00%,2,50.00%,1,25.00%,,,,,3,37.50%,2,66.67%,1,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,25.00%,2,,,,,,,,,,3,75.00%,,,,,,,,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,,,,,,,,,,
18555,RAZVAN,MARIN,MARIN R.,23-05-1996,131349,89,17,14,82.35%,17,0.837,1.022,0.102,0.000,0.820,0.184,0.082,0.061,486,,,,,3,6,1,16.67%,1,100.00%,4,400.00%,5,83.33%,1,20.00%,1,16.67%,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,2,66.67%,1,33.33%,,,1,,,2,11.76%,,,,,,,,,1,33.33%,1,100.00%,,,1,50.00%,,2,66.67%,,,,,,,,,,,,,,,,,,,,2,66.67%,,,,,,,1,50.00%,,,,,,,1,33.33%,,1,33.33%,1,100.00%,1,100.00%,,,
24910,FLORIN,NITA,NITA F.,03-07-1987,131349,98,38,34,89.47%,13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,,,,4,2,2,100.00%,,,,,2,100.00%,2,100.00%,,,,,,4,2,50.00%,3,2,1,4,3,75.00%,,7,11,6,85.71%,10,90.91%,20,2,10.00%,7,35.00%,2,66.67%,1,11,55.00%,,,1.344,0.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,33.33%
7093,GEORGE,PUSCAS,PUSCAS G.,08-04-1996,131349,28,6,2,33.33%,17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,,,,9,17,3,17.65%,3,100.00%,11,366.67%,9,52.94%,2,22.22%,6,35.29%,1,16.67%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.88%,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,
19590,ANDREI,RATIU,RATIU A.,20-06-1998,131349,98,34,27,79.41%,18,0.077,0.409,0.272,0.000,0.245,0.332,0.077,0.077,486,2,5.88%,,1,4,14,6,42.86%,3,50.00%,4,66.67%,3,21.43%,1,33.33%,6,42.86%,2,33.33%,,7,1,25.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,100.00%,1,50.00%,,,,1,50.00%,2,11.11%,1,50.00%,1,5.56%,,,,,,,,,,,1,50.00%,,3,42.86%,1,1,,,,,,3,2,,,,,,,,,,,1,50.00%,,,,,,,1,50.00%,1,33.33%,,,,,2,28.57%,,,,,,,,,,
19566,ADRIAN,RUS,RUS A.,18-03-1996,131349,9,4,1,25.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,,,,,2,2,100.00%,,,,,2,100.00%,2,100.00%,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29715,DEIAN,SORESCU,SORESCU D.,29-08-1997,131349,37,9,6,66.67%,7,0.000,0.000,0.188,0.000,0.188,0.000,0.000,0.000,486,1,11.11%,1,1,3,2,,,,,2,,1,50.00%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11106,NICOLAE,STANCIU,STANCIU N.,07-05-1993,131349,98,27,20,74.07%,22,0.017,0.035,0.107,0.000,0.124,0.019,0.017,0.017,486,2,7.41%,,,8,6,2,33.33%,1,50.00%,4,200.00%,1,16.67%,,,2,33.33%,1,50.00%,1,4,3,37.50%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,1,50.00%,2,9.09%,,,,,,,,,,,,,,,,,,1,25.00%,1,,,,,,,,2,1,50.00%,,,,,,,,,1,100.00%,,,,,,,1,100.00%,,,,,,,1,25.00%,,,,,,,,,,
