Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,perdePalla,triangolazione,triChiusa,triChiusa_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passInArea,passInArea_PERC,recuperaPalla,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,FxGoT,gkGP,dribblingSub,passChiave,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,triFatta,triFatta_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliAerei,duelliAerei_PERC,falliSubiti,duelliAereiVinti,duelliAereiVinti_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assist,cross,palleLaterali,ammonizioni,interventoNegativo,passInAreaRiusciti,passInAreaRiusciti_PERC,inFuorigioco,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,traversoni,tiriDiTesta,tiriDiTesta_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoCorner,golSviluppoCorner_PERC
56611,DARIO ESTEBAN,OSORIO OSORIO,OSORIO D.,24-01-2004,131479,99,25,19,76.00%,3,11.54%,26,11,1,,,3,27.27%,4,,,17,5,29.41%,1,20.00%,8,160.00%,4,23.53%,1,25.00%,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412,1,4.00%,5,,,,,,,,,,,,,,,,,,,,,,,,,2,18.18%,,,5,1,1,1,100.00%,1,100.00%,2,40.00%,4,80.00%,1,5.88%,2,11.76%,1,2,100.00%,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,
8679,ERICK,PULGAR,PULGAR E.,15-01-1994,131479,79,33,29,87.88%,,,24,2,,,,,,,,,8,3,37.50%,1,33.33%,2,66.67%,3,37.50%,2,66.67%,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,,,,,4,40.00%,3,75.00%,,,1,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7720,ALEXIS ALEJANDRO,SANCHEZ SANCHEZ,SANCHEZ A.,19-12-1988,131479,68,19,13,68.42%,4,14.29%,28,11,,,,6,54.55%,2,1,50.00%,21,6,28.57%,1,16.67%,6,100.00%,9,42.86%,2,22.22%,2,,0.000,0.000,0.405,0.000,0.405,0.000,0.000,0.000,412,1,5.26%,2,,,,,,,,,,,,,,,,,,,,,,,,,6,54.55%,,,3,1,,,,,,1,50.00%,3,100.00%,3,14.29%,2,9.52%,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
29873,GABRIEL,SUAZO,SUAZO G.,09-08-1997,131479,99,59,52,88.14%,2,4.65%,43,3,4,1,25.00%,,,2,2,100.00%,10,4,40.00%,,,4,100.00%,2,20.00%,1,50.00%,2,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412,2,3.39%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,1,50.00%,3,75.00%,1,33.33%,2,66.67%,,,1,10.00%,,,,,,,,,,,,,,,,,,,,,,1,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,
11318,EDUARDO JESUS,VARGAS ROJAS,VARGAS E.,20-11-1989,131479,89,18,15,83.33%,5,20.83%,24,8,1,1,100.00%,,,3,2,66.67%,20,7,35.00%,1,14.29%,10,142.86%,7,35.00%,,,2,,0.000,0.000,0.000,0.000,-0.268,0.000,0.000,0.000,412,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,2,100.00%,,,2,10.00%,4,20.00%,2,1,25.00%,,,,,,,,,,,,,,1,4.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14945,MARCOS,ACUNA,ACUNA M.,28-10-1991,131479,13,4,1,25.00%,,,2,2,,,,1,50.00%,2,,,3,,,,,1,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,1,25.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26457,JULIAN,ALVAREZ,ALVAREZ J.,31-01-2000,131479,75,20,19,95.00%,7,31.82%,22,2,,,,,,2,2,100.00%,6,5,83.33%,3,60.00%,1,20.00%,2,33.33%,1,50.00%,,,0.426,0.850,0.000,0.000,0.071,0.424,0.426,0.000,421,2,10.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,100.00%,,,,,,,1,16.67%,,,1,,,2,1,50.00%,1,50.00%,1,50.00%,1,100.00%,,,,,2,9.09%,,,,,,2,100.00%,,1,14.29%,,,,,,,,,,,,,,,,,,,,
11569,RODRIGO,DE PAUL,DE PAUL R.,24-05-1994,131479,99,68,58,85.29%,7,10.94%,64,8,2,2,100.00%,4,50.00%,4,3,75.00%,12,6,50.00%,2,33.33%,5,83.33%,5,41.67%,2,40.00%,,,0.265,0.486,1.076,0.054,1.174,0.221,0.265,0.000,421,5,7.35%,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,2,50.00%,2,100.00%,1,8.33%,,,1,,,4,1,25.00%,1,25.00%,3,75.00%,,,1,100.00%,1,25.00%,,,1,,1,,,2,40.00%,,,,1,25.00%,1,100.00%,1,,,,,,,,,,,,,,,
7512,ANGEL,DI MARIA,DI MARIA A.,14-02-1988,131479,23,10,8,80.00%,,,8,3,,,,1,33.33%,2,,,3,,,,,2,,1,33.33%,,,,,0.000,0.000,0.663,0.196,0.663,0.000,0.000,0.000,421,4,40.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,75.00%,,,,2,100.00%,2,100.00%,,,,,,,,,,,,,,,,
35040,ENZO,FERNANDEZ,FERNANDEZ E.,17-01-2001,131479,67,46,42,91.30%,2,4.35%,46,5,,,,,,,,,9,3,33.33%,,,4,133.33%,4,44.44%,1,25.00%,1,,0.052,0.540,0.408,0.144,0.307,0.487,0.052,0.000,421,2,4.35%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,,,,,,,1,100.00%,2,22.22%,1,11.11%,2,,,1,1,100.00%,,,1,100.00%,,,1,100.00%,,,,,4,,,,,1,50.00%,,,,1,16.67%,1,25.00%,,,,,,,,,,,,,,,,
26456,NICOLAS,GONZALEZ,GONZALEZ N.,06-04-1998,131479,76,41,37,90.24%,2,4.65%,43,10,2,,,3,30.00%,4,1,25.00%,17,6,35.29%,1,16.67%,7,116.67%,5,29.41%,3,60.00%,2,,0.184,0.121,0.425,0.148,0.316,-0.063,0.184,0.000,421,2,4.88%,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,2,100.00%,,,3,100.00%,1,5.88%,2,11.76%,1,1,50.00%,2,1,50.00%,1,50.00%,1,50.00%,1,100.00%,,,,,5,11.63%,4,,1,,,1,50.00%,,,,1,20.00%,1,25.00%,,1,50.00%,1,1,100.00%,,,,,,,,,,
14920,GIOVANI,LO CELSO,LO CELSO G.,09-04-1996,131479,32,19,15,78.95%,2,15.38%,13,1,1,1,100.00%,,,1,,,4,3,75.00%,2,66.67%,1,33.33%,2,50.00%,2,100.00%,,,0.893,0.918,0.464,0.000,0.992,0.024,0.893,0.000,421,3,15.79%,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,,,1,100.00%,,,,,1,7.69%,,,1,,,1,33.33%,,1,50.00%,,,,,1,,,,,,1,100.00%,,,,,,,,
32684,ALEXIS,MAC ALLISTER,MAC ALLISTER A.,24-12-1998,131479,99,66,57,86.36%,2,3.70%,54,7,,,,3,42.86%,2,2,100.00%,19,12,63.16%,8,66.67%,5,41.67%,7,36.84%,7,100.00%,2,,0.591,0.475,1.000,0.000,1.087,-0.116,0.591,0.000,421,2,3.03%,8,,,,,,,,,,,,,,,,,,,,,,,,,2,28.57%,,,6,5,2,,,,,4,50.00%,5,83.33%,1,5.26%,1,5.26%,1,1,100.00%,2,1,50.00%,1,50.00%,1,50.00%,1,100.00%,,,1,12.50%,3,5.56%,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,
8278,DAMIAN EMILIANO,MARTINEZ,MARTINEZ E.,02-09-1992,131479,99,27,25,92.59%,,,19,3,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,4,3,2,2,3,3,100.00%,2,17,1,50.00%,17,100.00%,8,6,75.00%,2,25.00%,2,66.67%,1,33.33%,,,,,,0.809,0.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16755,LAUTARO JAVIER,MARTINEZ,LAUTARO MARTINEZ,22-08-1997,131479,24,3,3,100.00%,2,22.22%,9,2,,,,1,50.00%,,,,3,1,33.33%,1,100.00%,1,100.00%,2,66.67%,,,,,0.883,0.958,0.000,0.000,0.122,0.075,0.883,0.000,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,1,,,3,2,66.67%,3,100.00%,,,2,100.00%,,,,,3,33.33%,,,,,,,,,2,100.00%,,,,,,,,,,,,,1,33.33%,1,100.00%,1,100.00%,1,100.00%
21433,LISANDRO,MARTINEZ,LISANDRO MARTINEZ,18-01-1998,131479,99,86,79,91.86%,1,1.33%,75,3,,,,1,33.33%,1,1,100.00%,11,7,63.64%,2,28.57%,3,42.86%,4,36.36%,4,100.00%,2,,0.108,0.000,0.655,0.622,0.319,-0.108,0.108,0.000,421,6,6.98%,8,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,1,4,9,,,,,2,25.00%,1,100.00%,,,3,27.27%,,2,66.67%,1,,,1,100.00%,,,,,,,1,12.50%,4,5.33%,2,1,1,,,3,50.00%,,1,100.00%,1,25.00%,1,50.00%,,,,,,,,,,,,,,,,
7421,LIONEL,MESSI,MESSI L.,24-06-1987,131479,99,41,38,92.68%,7,16.28%,43,8,1,,,,,12,9,75.00%,25,15,60.00%,9,60.00%,10,66.67%,7,28.00%,1,14.29%,,,0.080,0.087,1.556,0.289,1.520,0.007,0.080,0.000,421,10,24.39%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,1,100.00%,1,100.00%,1,50.00%,3,12.00%,1,4.00%,3,1,100.00%,2,1,50.00%,,,2,100.00%,,,1,100.00%,,,2,4.65%,3,,,,,9,90.00%,1,,,2,66.67%,2,66.67%,,,,,,,,,,,,,,,,
23982,NAHUEL,MOLINA,MOLINA N.,06-04-1998,131479,86,50,43,86.00%,1,2.86%,35,3,1,1,100.00%,3,100.00%,,,,8,6,75.00%,2,33.33%,,,3,37.50%,3,100.00%,,,0.142,0.138,0.384,0.000,0.361,-0.004,0.142,0.000,421,2,4.00%,6,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,3,,,,,,,1,16.67%,2,66.67%,,,2,25.00%,,2,100.00%,1,1,100.00%,1,100.00%,,,1,100.00%,,,,,1,2.86%,,1,1,,1,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,
26455,GONZALO,MONTIEL,MONTIEL G.,01-01-1997,131479,13,2,2,100.00%,,,2,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17761,CRISTIAN,ROMERO,ROMERO C.,27-04-1998,131479,99,76,62,81.58%,1,1.67%,60,5,,,,4,80.00%,,,,16,14,87.50%,2,14.29%,,,5,31.25%,5,100.00%,1,,0.194,0.000,0.156,0.000,0.130,-0.194,0.194,0.000,421,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,,,,,,,1,20.00%,,,5,31.25%,,5,100.00%,1,,,1,100.00%,,,,,,,,,1,1.67%,,,,,,,,,1,100.00%,,,,,,1,100.00%,,,,,,,,,,,,,
15904,NICOLAS,TAGLIAFICO,TAGLIAFICO N.,31-08-1992,131479,86,56,49,87.50%,,,43,2,1,,,,,1,1,100.00%,10,7,70.00%,4,57.14%,1,14.29%,3,30.00%,3,100.00%,1,,0.000,0.000,0.243,0.000,0.136,0.000,0.000,0.000,421,2,3.57%,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,1,100.00%,2,40.00%,1,50.00%,2,20.00%,1,10.00%,2,,,,,,,,,,,,,,1,20.00%,1,2.33%,,,2,,,1,50.00%,,,,,,,,,,,1,,,,,,,,,,,,
