Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,ammonizioni,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevutiInArea,passRicevutiInArea_PERC,dribbling,inFuorigioco,tiri,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelliAereiVinti,duelliAereiVinti_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,triFatta,triFatta_PERC,dribblingPositivo,dribblingPositivo_PERC,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,traversoni,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,tiriDiTesta,tiriDiTesta_PERC,giochiPortiereRicevuti,interventoPositivo,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,golProcurati,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC
17809,JOSH,SARGENT,SARGENT J.,20-02-2000,132446,25,1,4,2,50.00%,1,20.00%,5,1,,,,1,1,100.00%,,7,2,28.57%,2,100.00%,5,250.00%,5,71.43%,1,14.29%,,,,,,0.000,0.000,0.313,0.056,0.313,0.000,0.000,0.000,819,2,50.00%,1,50.00%,1,20.00%,,,,,,1,100.00%,1,1,100.00%,1,1,100.00%,2,,,1,20.00%,,,,,,,,,,,1,100.00%,,1,14.29%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36637,JOE,SCALLY,SCALLY J.,31-12-2002,132446,85,1,27,17,62.96%,,,14,5,1,,,1,1,100.00%,1,8,5,62.50%,2,40.00%,1,20.00%,,,5,62.50%,3,60.00%,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819,,,,,,,,,,,,,,,,,,,,,2,40.00%,,,,,1,100.00%,,,,,,,,,,2,25.00%,2,,,,,,,,,1,100.00%,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11419,MALIK,TILLMAN,TILLMAN M.,28-05-2002,132446,8,,3,3,100.00%,1,50.00%,2,,,,,,,,,3,2,66.67%,2,100.00%,1,50.00%,,,1,33.33%,1,100.00%,1,,,0.149,0.086,0.000,0.000,-0.012,-0.063,0.149,0.000,819,,,,,1,50.00%,1,,1,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36635,MATT,TURNER,TURNER M.,24-06-1994,132446,102,,34,21,61.76%,,,20,7,,,,4,,,,,,,,,,,,,,,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819,1,2.94%,,,,,,,,,,,,,,,,,,,2,28.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,57.14%,4,1,5,4,80.00%,9,9,1,11.11%,8,88.89%,16,5,31.25%,3,18.75%,4,100.00%,1,8,50.00%,2.398,1.398,,,,,,,,,,,,,,,
35497,HAJI,WRIGHT,WRIGHT H.,27-03-1998,132446,18,1,3,1,33.33%,1,25.00%,4,1,,,,,,,,3,1,33.33%,1,100.00%,2,200.00%,1,33.33%,1,33.33%,,,,,,0.188,0.420,0.816,0.000,0.337,0.232,0.188,0.000,819,2,66.67%,1,50.00%,3,75.00%,1,,1,,,1,100.00%,,,,,,,,,,1,100.00%,,,,,,,1,100.00%,1,100.00%,1,100.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45313,MAXIMILIANO,ARAUJO,ARAUJO M.,15-02-2000,132446,26,,3,3,100.00%,1,25.00%,4,1,,,,1,,,,4,3,75.00%,2,66.67%,,,1,25.00%,1,25.00%,1,100.00%,1,,,0.000,0.000,0.000,0.000,-0.197,0.000,0.000,0.000,246,,,,,1,25.00%,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,1,25.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24553,RONALD,ARAUJO,ARAUJO R.,07-03-1999,132446,102,2,41,29,70.73%,1,3.85%,26,5,1,1,100.00%,2,,,,13,11,84.62%,1,9.09%,,,7,53.85%,6,46.15%,4,66.67%,,,,0.082,0.358,0.000,0.000,-0.055,0.276,0.082,0.000,246,1,2.44%,,,1,3.85%,,,1,,,,,,,,,,,,1,20.00%,7,100.00%,,,,,,,1,100.00%,1,100.00%,1,100.00%,,,,,1,100.00%,,,1,100.00%,1,,,,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
14080,RODRIGO,BENTANCUR,BENTANCUR R.,25-06-1997,132446,18,1,4,3,75.00%,,,4,1,,,,,,,1,3,1,33.33%,1,100.00%,,,,,,,,,1,,,0.000,0.000,0.247,0.061,0.132,0.000,0.000,0.000,246,1,25.00%,1,100.00%,1,25.00%,1,,,,,1,100.00%,1,1,100.00%,,,,,1,100.00%,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45207,SEBASTIAN,CACERES,CACERES S.,18-08-1999,132446,8,,1,1,100.00%,,,,,,,,1,,,1,3,2,66.67%,1,50.00%,,,,,2,66.67%,1,50.00%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26462,NICOLAS,DE LA CRUZ,DE LA CRUZ N.,01-06-1997,132446,85,2,25,16,64.00%,8,33.33%,24,6,,,,1,,,,11,7,63.64%,4,57.14%,,,2,18.18%,5,45.45%,2,40.00%,,,,0.105,0.376,1.078,0.097,1.082,0.271,0.105,0.000,246,6,24.00%,3,50.00%,1,4.17%,1,,2,2,100.00%,2,100.00%,2,2,100.00%,2,1,50.00%,2,1,16.67%,1,50.00%,,,,,1,100.00%,2,100.00%,,,,,,3,27.27%,3,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7671,JOSE' MARIA,GIMENEZ,GIMENEZ J.,20-01-1995,132446,25,,3,2,66.67%,,,,,,,,,,,,1,1,100.00%,,,,,1,100.00%,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13863,NAHITAN,NANDEZ,NANDEZ N.,28-12-1995,132446,102,1,36,24,66.67%,1,6.25%,16,5,,,,5,,,4,13,5,38.46%,1,20.00%,,,1,7.69%,4,30.77%,2,50.00%,3,,,0.000,0.000,0.443,0.000,0.443,0.000,0.000,0.000,246,4,11.11%,,,,,,,,,,,,,,,3,1,33.33%,3,3,60.00%,,,,,,,,,,,,,,,,1,7.69%,1,,,,,,,1,,2,50.00%,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24912,DARWIN,NUNEZ,NUNEZ D.,24-06-1999,132446,95,,11,8,72.73%,2,15.38%,13,5,,,,1,,,1,13,2,15.38%,,,5,250.00%,6,46.15%,3,23.08%,,,2,1,,0.243,0.000,0.000,0.000,0.038,-0.243,0.243,0.000,246,1,9.09%,,,1,7.69%,1,,1,,,,,,,,,,,,2,40.00%,2,33.33%,,,,,,,,,1,100.00%,1,50.00%,,,,,,,,,,,1,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51068,CRISTIAN,OLIVERA,OLIVERA C.,17-04-2002,132446,76,2,14,9,64.29%,3,20.00%,15,5,1,1,100.00%,1,1,100.00%,,6,5,83.33%,2,40.00%,1,20.00%,,,4,66.67%,3,75.00%,1,,,0.000,0.000,0.894,0.068,0.894,0.000,0.000,0.000,246,5,35.71%,2,40.00%,,,1,,,,,1,50.00%,2,1,50.00%,4,1,25.00%,4,,,,,,,,,1,100.00%,,,,,,,,1,16.67%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23369,MATHIAS,OLIVERA MIRAMONTES,OLIVERA M.,31-10-1997,132446,102,10,52,40,76.92%,,,37,4,,,,8,1,12.50%,2,11,8,72.73%,2,25.00%,1,12.50%,3,27.27%,5,45.45%,4,80.00%,,,,0.573,0.597,0.000,0.045,0.573,0.023,0.573,0.000,246,1,1.92%,,,,,,,1,,,,,1,,,,,,,1,25.00%,2,66.67%,,,,,,,1,100.00%,1,100.00%,,,,1,9.09%,1,1,100.00%,,,,,2,,1,50.00%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,
36655,FACUNDO,PELLISTRI,PELLISTRI F.,20-12-2001,132446,102,3,12,11,91.67%,3,27.27%,11,2,1,,,4,1,25.00%,,8,5,62.50%,1,20.00%,2,40.00%,,,5,62.50%,3,60.00%,,,,0.423,0.579,0.101,0.029,0.276,0.157,0.423,0.000,246,,,,,1,9.09%,2,,2,,,,,1,,,,,,,,,,,,,1,100.00%,1,50.00%,1,50.00%,2,100.00%,1,33.33%,,1,12.50%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26458,SERGIO,ROCHET,ROCHET S.,23-03-1993,132446,102,,21,12,57.14%,,,8,6,,,,8,,,,1,1,100.00%,,,,,,,1,100.00%,1,100.00%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,4,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,2,50.00%,6,6,2,33.33%,6,100.00%,9,2,22.22%,4,44.44%,2,100.00%,,3,33.33%,0.870,0.870,,,,,,,,,,,,,,,
7420,LUIS,SUAREZ,SUAREZ L.,24-01-1987,132446,8,,3,2,66.67%,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.163,0.115,0.000,0.000,0.163,-0.048,0.163,0.000,246,,,,,,,,,1,,,,,,,,,,,,1,100.00%,,,,,,,,,1,100.00%,1,100.00%,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29661,MANUEL,UGARTE,UGARTE M.,11-04-2001,132446,94,,34,29,85.29%,2,10.00%,20,4,1,,,11,3,27.27%,2,15,12,80.00%,1,8.33%,1,8.33%,4,26.67%,7,46.67%,7,100.00%,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,2,50.00%,1,25.00%,,,1,100.00%,,,,,,,,,,2,13.33%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16801,FEDERICO,VALVERDE,VALVERDE F.,22-07-1998,132446,102,6,53,40,75.47%,4,8.70%,46,6,1,1,100.00%,5,2,40.00%,3,8,4,50.00%,,,,,1,12.50%,2,25.00%,2,100.00%,,,,0.016,0.373,0.557,0.000,0.573,0.356,0.016,0.000,246,4,7.55%,1,25.00%,,,1,,2,2,100.00%,,,,,,1,,,1,1,16.67%,1,100.00%,1,20.00%,,,,,1,50.00%,,,,,,1,12.50%,1,,,1,100.00%,,,1,,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26459,MATIAS,VINA,VINA M.,09-11-1997,132446,77,1,37,23,62.16%,3,12.50%,24,10,1,,,5,1,20.00%,,4,2,50.00%,1,50.00%,2,100.00%,1,25.00%,2,50.00%,1,50.00%,,,,0.049,0.000,0.631,0.000,0.574,-0.049,0.049,0.000,246,5,13.51%,1,20.00%,2,8.33%,1,,1,,,,,,,,3,,,3,1,10.00%,1,100.00%,,,1,100.00%,,,,,1,100.00%,1,33.33%,,,,,,,,,1,100.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%
