Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,inFuorigioco,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,falliFatti,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,traversoni,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,thirdPass,ammonizioni,uscite,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,FxGoT,gkGP,tiriDiTesta,tiriDiTesta_PERC,parate,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC
49573,ALEJANDRO,BRAN,BRAN A.,05-03-2001,131477,32,,16,11,68.75%,10,,,,,,4,3,1,33.33%,,,,3,1,33.33%,1,100.00%,1,33.33%,,,2,66.67%,1,50.00%,,0.000,0.000,0.213,0.000,0.213,0.000,0.000,0.000,416,,,,,,2,12.50%,1,50.00%,,,,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,4,100.00%,,,,,,,,,,,,,,,
49341,JEFFERSON,BRENES,BRENES J.,13-04-1997,131477,68,1,26,21,80.77%,21,,,,,,2,3,,,2,1,50.00%,11,4,36.36%,2,50.00%,1,9.09%,,,4,36.36%,1,25.00%,,0.000,0.000,0.392,0.000,0.392,0.000,0.000,0.000,416,,,,,,2,7.69%,,,,,,,,,1,50.00%,1,9.09%,1,25.00%,2,1,,,,,,,,,1,1,100.00%,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,
11332,FRANCISCO,CALVO,CALVO F.,08-07-1992,131477,99,2,38,31,81.58%,27,,,,,,8,9,,,3,2,66.67%,8,2,25.00%,,,,,,,3,37.50%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,,,,,,,3,37.50%,,,,,1,,,,,,,,,,1,1,100.00%,,,1,1,100.00%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,75.00%,,,,,,,,,,,,,,,
8279,JOEL,CAMPBELL,CAMPBELL J.,26-06-1992,131477,26,,3,2,66.67%,7,,,,,,3,,,,3,2,66.67%,11,7,63.64%,1,14.29%,,,,,1,9.09%,1,100.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,,,,,,,1,33.33%,2,18.18%,2,28.57%,,2,,,,,,,,,,,,,,5,3,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49587,ORLANDO,GALO,GALO O.,11-08-2000,131477,99,1,23,16,69.57%,13,,,,,,3,7,1,14.29%,1,1,100.00%,17,9,52.94%,4,44.44%,3,17.65%,1,33.33%,8,47.06%,5,62.50%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,1,4.35%,,,,,1,,,1,2,66.67%,1,5.88%,4,44.44%,1,1,,,,,,,,,1,,,1,100.00%,3,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,
55842,ARIEL DANIEL,LASSITER ACUNA,LASSITER A.,27-09-1994,131477,96,,22,16,72.73%,16,,,,,,5,3,,,2,2,100.00%,6,2,33.33%,1,50.00%,,,,,2,33.33%,,,,0.000,0.000,0.509,0.000,0.509,0.000,0.000,0.000,416,,,,,,3,13.64%,1,33.33%,,,1,,,1,4,80.00%,1,16.67%,2,100.00%,,1,,,,,,,,,1,,,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48476,WARREN,MADRIGAL,MADRIGAL W.,24-07-2004,131477,32,,6,4,66.67%,14,1,7.14%,1,1,100.00%,6,1,,,,,,15,5,33.33%,7,140.00%,5,33.33%,2,40.00%,5,33.33%,2,40.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,1,7.14%,,,,,,,1,6.67%,2,40.00%,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51977,JEYLAND,MITCHELL,MITCHELL J.,29-09-2004,131477,99,,31,24,77.42%,17,1,5.88%,,,,3,7,,,4,1,25.00%,13,9,69.23%,2,22.22%,3,23.08%,1,33.33%,3,23.08%,3,100.00%,,0.000,0.000,0.126,0.000,-0.058,0.000,0.000,0.000,416,,,,,,2,6.45%,1,50.00%,,,,,,,1,33.33%,,,1,11.11%,1,,,,,,,,,,,,,,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,
61758,JOSEPH MARTIN,MORA CORTEZ,MORA J.,15-01-1993,131477,4,,,,,,,,,,,,1,,,1,,,2,2,100.00%,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,,,,,,,,,1,50.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49571,HAXZEL,QUIROS,QUIROS H.,03-06-1998,131477,99,1,17,14,82.35%,14,,,,,,1,4,1,25.00%,3,1,33.33%,9,5,55.56%,1,20.00%,2,22.22%,,,3,33.33%,3,100.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,2,11.76%,,,2,14.29%,1,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36591,PATRICK,SEQUEIRA,SEQUEIRA P.,01-03-1999,131477,99,,25,20,80.00%,2,,,,,,6,5,,,,,,1,,,,,,,,,1,100.00%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,,,,,,,3,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,1,50.00%,,,22,6,27.27%,10,45.45%,2,33.33%,2.462,2.462,,,4,3,3,3,100.00%,6,27.27%,3,75.00%,1,25.00%
49333,GERALD,TAYLOR,TAYLOR G.,28-05-2001,131477,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53321,MANFRED,UGALDE,UGALDE M.,25-05-2002,131477,68,,8,4,50.00%,17,1,5.88%,,,,14,4,,,1,1,100.00%,26,6,23.08%,14,233.33%,6,23.08%,1,16.67%,11,42.31%,3,27.27%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,1,5.88%,,,,,3,21.43%,2,7.69%,1,16.67%,5,2,,,,,,,,,1,1,100.00%,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36592,JUAN PABLO,VARGAS CAMPOS,VARGAS J.,06-06-1995,131477,99,2,37,31,83.78%,20,,,,,,1,8,,,3,3,100.00%,7,4,57.14%,,,1,14.29%,1,100.00%,1,14.29%,1,100.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
36600,ALVARO,ZAMORA,ZAMORA A.,09-03-2002,131477,73,,17,12,70.59%,23,,,,,,10,1,,,1,,,10,5,50.00%,4,80.00%,2,20.00%,1,50.00%,3,30.00%,,,,0.034,0.181,0.000,0.000,0.034,0.148,0.034,0.000,416,1,1,100.00%,1,100.00%,,,,,2,8.70%,,,,1,2,20.00%,3,30.00%,2,40.00%,,3,1,100.00%,,,,,,,1,1,100.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20.00%,,,,,,,,,,,,,,,
