Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriDaArea,tiriDaArea_PERC,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,thirdPass,perdePalla,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,golProcurati,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,perdeMetaCampoProria,perdeMetaCampoProria_PERC,inFuorigioco,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriInPorta,tiriInPorta_PERC,tiriDiRigore,tiriDiRigore_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolRigore,tiroGolRigore_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,triangolazione,triChiusa,triChiusa_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,thirdPassVincenti,thirdPassVincenti_PERC,cross,traversoni,palleLaterali,tiroGolTesta,tiroGolTesta_PERC,golSviluppoCorner,golSviluppoCorner_PERC,tiriDaFuori,tiriDaFuori_PERC,assist,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,triFatta,triFatta_PERC,assistVincenti,assistVincenti_PERC,crossRiusciti,crossRiusciti_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,traversoniRiusciti,traversoniRiusciti_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,ammonizioni,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,FxGoT,gkGP,retiSub,interventoNegativo,cutBack,uscite,tiriRigoreSubiti,rinvioMano,rinvioMano_PERC,retiSubGK
65047,RICHARD,RIOS MONTOYA,RIOS R.,02-06-2000,132455,96,2,,,1,37,1,2.70%,31,83.78%,3,8.33%,36,,,,8,3,5,2,40.00%,1,,,13,1,7.69%,4,30.77%,1,25.00%,6,150.00%,,,,,4,30.77%,,,2,1,,0.076,0.395,0.115,0.047,0.083,0.319,0.076,0.000,414,1,12.50%,,,,1,50.00%,,,1,50.00%,,,,,1,100.00%,,,,,,,,,,2,66.67%,1,33.33%,,,,,,,,1,,2,,,,,2,100.00%,1,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7488,JAMES DAVID,RODRIGUEZ RUBIO,RODRIGUEZ J.,12-07-1991,132455,75,1,1,100.00%,5,40,8,20.00%,31,77.50%,1,3.57%,28,,,,2,1,,,,1,,,4,2,50.00%,3,75.00%,2,66.67%,,,,,,,1,25.00%,,,,2,,0.756,0.960,1.501,0.173,2.256,0.205,0.000,0.000,414,,,,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,4,50.00%,,,,,,,,,,,,,,,,,,1,1,,,,,,,3,,,,,,,,,2,66.67%,,,1,20.00%,1,33.33%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14259,DAVINSON,SANCHEZ,SANCHEZ D.,12-06-1996,132455,96,,,,2,44,1,2.27%,32,72.73%,,,34,,,,5,5,,,,,,,6,1,16.67%,5,83.33%,2,40.00%,1,20.00%,1,16.67%,1,100.00%,3,50.00%,3,100.00%,1,1,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,3,60.00%,,4,80.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,
21549,LUIS FERNANDO,SINISTERRA LUCUMI,SINISTERRA L.,17-06-1999,132455,30,,,,,8,,,7,87.50%,2,18.18%,11,,,,3,,3,,,2,,,9,1,11.11%,5,55.56%,4,80.00%,3,60.00%,,,,,3,33.33%,2,66.67%,,1,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,1,33.33%,,2,66.67%,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16562,MATEUS,URIBE,URIBE M.,21-03-1991,132455,96,,,,1,34,2,5.88%,29,85.29%,1,4.00%,25,1,4.00%,,2,6,2,2,100.00%,3,3,100.00%,9,,,4,44.44%,2,50.00%,,,2,22.22%,2,100.00%,1,11.11%,,,1,,,0.000,0.000,0.278,0.000,0.154,0.000,0.000,0.000,414,1,50.00%,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,2,33.33%,1,16.67%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
16561,CAMILO,VARGAS,VARGAS C.,09-03-1989,132455,96,,,,4,31,,,21,67.74%,,,15,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9,69.23%,,3,2,2,100.00%,8,10,5,62.50%,10,100.00%,4,30.77%,3,100.00%,0.328,0.328,,,,,,,,
54430,ABDIEL ARMANDO,AYARZA BOCANEGRA,AYARZA A.,12-09-1992,132455,33,2,1,50.00%,,5,,,3,60.00%,1,25.00%,4,1,25.00%,,1,2,,,,1,1,100.00%,3,,,,,,,2,,,,,,1,33.33%,,,1,,,0.238,0.061,0.000,0.000,0.018,-0.177,0.238,0.000,821,,,,,,1,50.00%,,,,,,,,,,,1,100.00%,,,1,100.00%,,,,1,50.00%,,,1,50.00%,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
16678,EDGAR YOEL,BARCENAS HERRERA,BARCENAS Y.,23-10-1993,132455,96,1,,,2,32,4,12.50%,28,87.50%,2,8.33%,24,1,4.17%,,1,2,1,,,,,,7,1,14.29%,1,14.29%,1,100.00%,5,500.00%,2,28.57%,,,,,,,3,1,,0.064,0.042,0.665,0.000,0.730,-0.023,0.064,0.000,821,,,,,,1,100.00%,,,,,,,,,,,,,1,25.00%,,,1,,,1,50.00%,,,,,2,,,,,,,,,,,,1,100.00%,,,,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
64833,CESAR RODOLFO,BLACKMAN CAMARENA,BLACKMAN C.,02-04-1998,132455,47,1,,,1,14,2,14.29%,13,92.86%,5,38.46%,13,,,,,,1,1,100.00%,,,,2,,,1,50.00%,1,100.00%,1,100.00%,,,,,,,,,1,,,0.036,0.048,0.157,0.000,0.192,0.013,0.036,0.000,821,,,,,,1,100.00%,,,,,,,,,,,,,1,50.00%,,,2,2,100.00%,,,,,,,,,,,,1,,1,,,,,1,100.00%,,,,1,100.00%,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
52986,JOSE',CORDOBA,CORDOBA J.,03-06-2001,132455,96,,,,4,40,1,2.50%,33,82.50%,,,27,,,,4,2,1,,,2,,,13,1,7.69%,6,46.15%,1,16.67%,3,50.00%,4,30.77%,2,50.00%,4,30.77%,1,25.00%,1,1,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,3,75.00%,,2,50.00%,,,,,,,,,,,,,,,1,100.00%,,,,,,1,50.00%,1,50.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,1,,,,,,
16682,ERIC JAVIER,DAVIS GRAJALES,DAVIS E.,31-03-1991,132455,84,1,,,2,44,9,20.45%,31,70.45%,2,6.06%,33,,,,9,5,,,,2,1,50.00%,10,1,10.00%,5,50.00%,,,,,3,30.00%,2,66.67%,3,30.00%,1,33.33%,1,1,,0.030,0.000,1.127,0.117,1.157,-0.030,0.030,0.000,821,2,22.22%,,4,44.44%,,,,,,,,,,,,,,,3,33.33%,,,1,1,100.00%,1,20.00%,1,20.00%,,,,,,,,5,,6,,,,,1,100.00%,2,,,,,,,,,,,1,20.00%,2,100.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
16680,ISMAEL,DIAZ DE LEON,DIAZ I.,12-05-1997,132455,10,,,,,1,,,1,100.00%,,,2,,,,1,,,,,,,,1,,,,,,,1,,,,,,1,100.00%,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
54418,JOSE',FAJARDO NELSON,FAJARDO J.,18-08-1993,132455,86,1,,,,10,3,30.00%,7,70.00%,4,33.33%,12,1,8.33%,,3,1,3,,,1,1,100.00%,7,,,1,14.29%,,,3,300.00%,1,14.29%,,,1,14.29%,1,100.00%,1,,,0.130,0.000,0.484,0.000,0.513,-0.130,0.130,0.000,821,1,33.33%,,,,,,,,,,,,,,,,,,1,33.33%,1,25.00%,,,,1,100.00%,1,100.00%,,,,,,,,,1,2,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,
98301,EDGARDO ISAAC,FARINA WYNTER,FARINA E.,21-09-2001,132455,96,2,,,3,34,2,5.88%,24,70.59%,1,4.55%,22,1,4.55%,,3,5,2,1,50.00%,4,2,50.00%,19,1,5.26%,10,52.63%,1,10.00%,4,40.00%,4,21.05%,4,100.00%,4,21.05%,2,50.00%,4,1,,0.043,0.053,0.491,0.000,0.216,0.010,0.043,0.000,821,,,,,,1,50.00%,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,2,100.00%,,,,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,
86392,EDUARDO ANTONIO,GUERRERO LOZCANO,GUERRERO E.,21-02-2000,132455,49,1,1,100.00%,,8,1,12.50%,7,87.50%,3,33.33%,9,2,22.22%,,2,1,,,,,,,4,1,25.00%,2,50.00%,1,50.00%,2,100.00%,,,,,2,50.00%,1,50.00%,1,1,,0.099,0.000,0.101,0.000,0.200,-0.099,0.099,0.000,821,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
72331,CARLOS MIGUEL,HARVEY CESNEROS,HARVEY C.,03-02-2000,132455,49,,,,3,29,1,3.45%,26,89.66%,,,22,,,,3,4,2,1,50.00%,,,,9,1,11.11%,7,77.78%,,,,,1,11.11%,1,100.00%,5,55.56%,4,80.00%,,1,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
71450,CRISTIAN JESUS,MARTINEZ,MARTINEZ C.,06-02-1997,132455,63,1,1,100.00%,3,39,1,2.56%,31,79.49%,2,5.26%,38,1,2.63%,,8,1,1,1,100.00%,1,1,100.00%,11,2,18.18%,7,63.64%,5,71.43%,2,28.57%,1,9.09%,,,6,54.55%,4,66.67%,,2,,0.109,0.079,0.000,0.049,0.109,-0.029,0.109,0.000,821,3,37.50%,,,,1,100.00%,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,33.33%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
93497,RODERICK ALONSO,MILLER MOLINA,MILLER R.,03-04-1992,132455,47,2,2,100.00%,,13,1,7.69%,11,84.62%,2,25.00%,8,2,25.00%,,3,4,,,,2,2,100.00%,12,,,4,33.33%,,,2,50.00%,3,25.00%,1,33.33%,6,50.00%,3,50.00%,1,,,0.294,0.000,0.000,0.000,0.009,-0.294,0.294,0.000,821,1,33.33%,,2,66.67%,,,,,,,,,,,,,,,1,100.00%,2,100.00%,,,,,,,,2,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
50441,ORLANDO,MOSQUERA,MOSQUERA O.,25-12-1994,132455,96,,,,2,16,,,13,81.25%,,,10,,,,1,2,,,,1,1,100.00%,2,,,,,,,,,,,,,,,,,1,,,0.000,0.000,0.000,0.065,0.000,0.000,0.000,0.000,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,,,1,6,1,16.67%,4,5,1,25.00%,5,100.00%,2,28.57%,1,100.00%,3.381,-1.619,5,1,,1,2,5,71.43%,5
16676,MICHAEL AMIR,MURILLO BERMUDEZ,MURILLO A.,11-02-1996,132455,96,,,,4,41,4,9.76%,26,63.41%,4,12.12%,33,1,3.03%,,11,5,2,1,50.00%,,,,7,1,14.29%,3,42.86%,2,66.67%,3,100.00%,1,14.29%,,,2,28.57%,1,50.00%,1,1,,0.000,0.000,0.624,0.030,0.452,0.000,0.000,0.000,821,1,9.09%,,2,18.18%,,,,,,,,,,,,,,,,,,,1,,,1,20.00%,1,20.00%,,,1,,,,,2,1,3,,,,,,,1,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
61731,OMAR JAVIER,VALENCIA ARAUZ,VALENCIA O.,08-06-2004,132455,12,,,,,7,,,6,85.71%,,,6,,,,,,,,,,,,2,2,100.00%,2,100.00%,1,50.00%,,,,,,,,,,,,2,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
44468,JOVANI,WELCH,WELCH J.,07-12-1999,132455,96,2,,,3,35,1,2.86%,33,94.29%,1,3.33%,30,,,,1,8,,,,3,1,33.33%,13,3,23.08%,7,53.85%,4,57.14%,2,28.57%,,,,,4,30.77%,2,50.00%,3,3,,0.080,0.044,0.220,0.090,0.193,-0.036,0.080,0.000,821,,,,,,1,50.00%,,,,,,,,,,,,,1,100.00%,,,,,,2,25.00%,1,12.50%,,,,,,,,1,,1,,,,,2,100.00%,2,,,1,100.00%,,,,,,,1,100.00%,1,33.33%,1,50.00%,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,
