Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,perdePalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,falliFatti,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,assist,assistInArea,assistInArea_PERC,cross,palleLaterali,triangolazione,triFatta,triFatta_PERC,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,interventoNegativo,tiri,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,ammonizioni,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataPiede,parataPiede_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,inFuorigioco,tiriInPorta,tiriInPorta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,golSviluppoCorner,golSviluppoCorner_PERC,triChiusa,triChiusa_PERC,crossRiusciti,crossRiusciti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,parataMano,parataMano_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,thirdPass,tiriDiRigore,tiriDiRigore_PERC,crossVincenti,crossVincenti_PERC
23982,NAHUEL,MOLINA,MOLINA N.,06-04-1998,132452,95,49,34,69.39%,32,1,,,8,1,12.50%,3,9,6,66.67%,,,1,16.67%,,,,1,0.000,0.000,0.247,0.023,0.247,0.000,0.000,0.000,421,1,1,100.00%,1,2.04%,1,100.00%,1,3.13%,1,1,100.00%,1,1,2,,,4,1,,,1,33.33%,1,11.11%,4,44.44%,3,75.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,
26455,GONZALO,MONTIEL,MONTIEL G.,01-01-1997,132452,6,1,1,100.00%,1,,,,,,,,,,,,,,,,,,,0.756,0.970,0.000,0.000,0.756,0.214,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7507,NICOLAS,OTAMENDI,OTAMENDI N.,12-02-1988,132452,20,5,4,80.00%,2,,,,1,1,100.00%,1,4,2,50.00%,,,,,3,75.00%,,1,0.756,0.986,0.000,0.000,0.756,0.230,0.000,0.000,421,,,,,,,,,,,,,,,,,,1,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17761,CRISTIAN,ROMERO,ROMERO C.,27-04-1998,132452,101,67,60,89.55%,52,6,,,2,,,4,10,7,70.00%,,,2,28.57%,2,20.00%,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,2,,,,,,,,,,,,,,,,,5,,,,1,25.00%,,,3,30.00%,2,66.67%,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15904,NICOLAS,TAGLIAFICO,TAGLIAFICO N.,31-08-1992,132452,101,47,41,87.23%,29,,,,5,,,,10,7,70.00%,3,42.86%,1,14.29%,3,30.00%,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,1,2.13%,,,1,3.45%,,,,,,,,,5,2,1,50.00%,,,,,4,40.00%,4,100.00%,,,,,,,,,,,,2,40.00%,1,20.00%,2,66.67%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30956,JORDY,CAICEDO,CAICEDO J.,18-11-1997,132452,11,,,,2,,,,1,,,,,,,,,,,,,,,1.072,0.880,0.000,0.000,0.829,-0.192,0.317,0.000,419,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,2,2,100.00%,1,50.00%,2,100.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32674,MOISES,CAICEDO,CAICEDO M.,02-11-2001,132452,101,51,38,74.51%,42,,,,8,3,37.50%,2,16,6,37.50%,3,50.00%,8,133.33%,2,12.50%,3,1,0.000,0.000,1.032,0.058,1.032,0.000,0.000,0.000,419,5,2,40.00%,10,19.61%,5,50.00%,2,4.76%,2,2,100.00%,3,5,1,1,100.00%,4,1,,,1,50.00%,2,12.50%,6,37.50%,2,33.33%,2,,,,,,,,,1,2.38%,1,25.00%,,,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,1,1,100.00%,,,,,,,,,,,,,,,
11348,ALEXANDER,DOMINGUEZ,DOMINGUEZ A.,05-06-1987,132452,101,26,25,96.15%,21,,,,1,1,100.00%,,,,,,,,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,419,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,50.00%,,2,18,2,100.00%,17,94.44%,6,3,50.00%,,,,,1,3,50.00%,4.324,-0.676,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,
32673,ALAN,FRANCO,FRANCO A.,21-08-1998,132452,89,38,30,78.95%,30,1,,,2,2,100.00%,,2,,,,,,,,,,1,0.000,0.000,0.455,0.000,0.351,0.000,0.000,0.000,419,,,,2,5.26%,,,,,,,,,,,,,2,,,,,,,,2,100.00%,,,,,,,,,,,,1,3.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11252,CARLOS,GRUEZO,GRUEZO C.,19-04-1995,132452,82,25,19,76.00%,17,,,,6,3,50.00%,,7,4,57.14%,1,25.00%,2,50.00%,,,2,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,419,2,,,,,,,,,,,,,,,,,3,1,1,100.00%,,,2,28.57%,2,28.57%,1,50.00%,2,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,66.67%,,,,,,,,,,,
30855,PIERO,HINCAPIE',HINCAPIE' P.,09-01-2002,132452,101,53,44,83.02%,36,3,,,5,,,4,16,8,50.00%,2,25.00%,5,62.50%,1,6.25%,3,1,0.111,0.000,0.872,0.000,0.579,-0.111,0.111,0.000,419,1,,,4,7.55%,2,50.00%,3,8.33%,,,,2,2,,,,6,3,2,66.67%,1,25.00%,1,6.25%,4,25.00%,1,25.00%,1,,1,1,100.00%,,,,,3,8.33%,1,16.67%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,
20486,ANGEL,MENA,MENA A.,21-01-1988,132452,19,7,6,85.71%,4,,,,1,,,,3,3,100.00%,2,66.67%,,,,,,,0.794,1.144,0.000,0.000,0.794,0.349,0.039,0.000,419,,,,1,14.29%,,,,,,,,,,,,,2,1,1,100.00%,,,1,33.33%,1,33.33%,1,100.00%,1,,1,,,,,,,1,25.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,
57354,ALAN STEVE,MINDA GARCIA,MINDA A.,14-05-2003,132452,22,3,3,100.00%,3,,,,,,,,,,,,,,,,,,,0.756,0.929,0.243,0.080,0.999,0.173,0.000,0.000,419,1,1,100.00%,1,33.33%,1,100.00%,,,1,1,100.00%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,
36812,WILLIAN JOEL,PACHO TENORIO,PACHO W.,16-10-2001,132452,101,64,47,73.44%,50,6,,,5,2,40.00%,1,6,3,50.00%,,,1,33.33%,1,16.67%,,1,0.000,0.000,0.129,0.000,0.129,0.000,0.000,0.000,419,2,,,2,3.13%,1,50.00%,,,,,,,,,,,4,1,1,100.00%,,,,,3,50.00%,,,,,,,,,,,,,,1,25.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40.00%,,,,,,,,,,,
61155,RAY KENDRY,PAEZ ANDRADE,PAEZ K.,04-05-2007,132452,78,26,23,88.46%,20,,,,3,1,33.33%,3,9,3,33.33%,1,33.33%,3,100.00%,1,11.11%,1,1,0.193,0.000,0.000,0.000,-0.022,-0.193,0.193,0.000,419,1,,,1,3.85%,1,100.00%,3,15.00%,,,,,,,,,6,,,,2,66.67%,,,4,44.44%,2,50.00%,,,1,1,100.00%,,,1,33.33%,1,5.00%,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30362,ANGELO,PRECIADO,PRECIADO AN.,18-02-1998,132452,101,40,27,67.50%,23,,,,4,2,50.00%,4,17,12,70.59%,2,16.67%,2,16.67%,4,23.53%,,1,0.247,0.000,0.379,0.000,0.401,-0.247,0.247,0.000,419,,,,2,5.00%,1,50.00%,2,8.70%,,,,1,1,,,,5,1,,,1,25.00%,4,23.53%,4,23.53%,2,50.00%,4,,1,1,100.00%,,,1,50.00%,2,8.70%,,,,,3,75.00%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,4,100.00%,,,,,,,,,,,
36817,KEVIN,RODRIGUEZ,RODRIGUEZ K.,04-03-2000,132452,22,1,1,100.00%,7,1,1,100.00%,6,,,,7,1,14.29%,1,100.00%,6,600.00%,5,71.43%,1,,0.074,0.383,0.000,0.040,-0.188,0.308,0.074,0.000,419,1,1,100.00%,1,100.00%,1,100.00%,2,28.57%,1,1,100.00%,,,,,,,1,,,,,,,1,14.29%,,,,,1,1,100.00%,1,100.00%,1,50.00%,2,28.57%,,,,,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,1,100.00%,1,100.00%,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,1,100.00%,,,,,
32693,JEREMY,SARMIENTO,SARMIENTO J.,16-06-2002,132452,78,16,11,68.75%,16,1,1,100.00%,3,,,,8,4,50.00%,4,100.00%,4,100.00%,1,12.50%,1,1,0.195,0.522,0.000,0.000,0.195,0.327,0.195,0.000,419,,,,1,6.25%,,,4,25.00%,,,,,,1,,,1,4,3,75.00%,,,,,2,25.00%,1,50.00%,,,1,1,100.00%,,,1,25.00%,1,6.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,
36811,FELIX,TORRES,TORRES F.,11-01-1997,132452,101,55,49,89.09%,43,7,,,2,,,,5,3,60.00%,1,33.33%,,,1,20.00%,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,419,3,1,33.33%,1,1.82%,1,100.00%,,,,,,,,,,,7,1,,,,,,,3,60.00%,2,66.67%,,,,,,,,,,,,1,14.29%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
11255,ENNER,VALENCIA,VALENCIA E.,04-11-1989,132452,82,8,7,87.50%,14,,,,5,1,20.00%,,12,2,16.67%,,,9,450.00%,,,1,1,0.756,0.000,0.225,0.039,0.661,-0.756,0.000,0.000,419,2,1,50.00%,1,12.50%,1,100.00%,1,7.14%,1,1,100.00%,,2,,,,,2,,,,,1,8.33%,8,66.67%,1,12.50%,1,,1,1,100.00%,,,1,100.00%,2,14.29%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,1,100.00%,,
59457,JOHN,YEBOAH ZAMORA,YEBOAH J.,23-06-2000,132452,19,2,2,100.00%,4,,,,,,,,3,2,66.67%,2,100.00%,,,,,,,0.756,0.979,0.147,0.057,0.903,0.223,0.000,0.000,419,1,1,100.00%,2,100.00%,2,100.00%,,,1,1,100.00%,1,1,,,,,2,1,50.00%,,,1,33.33%,,,,,1,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,1,100.00%
