Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passInArea,passInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,duelliAereiVinti,duelliAereiVinti_PERC,inFuorigioco,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,triangolazione,triChiusa,triChiusa_PERC,ammonizioni,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,triFatta,triFatta_PERC,traversoni,interventoNegativo,espulsioni,tiriInPorta,tiriInPorta_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,thirdPass,tiriInPortaDaArea,tiriInPortaDaArea_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC
36655,FACUNDO,PELLISTRI,PELLISTRI F.,20-12-2001,132456,79,,,,,,,11,5,45.45%,,,12,,5,1,,,1,100.00%,3,3,100.00%,1,,,19,1,5.26%,10,52.63%,6,60.00%,4,40.00%,2,10.53%,9,47.37%,3,33.33%,3,1,,,0.000,0.000,0.351,0.000,0.241,0.000,0.000,0.000,246,3,27.27%,,,2,100.00%,1,,,,,,,,1,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26458,SERGIO,ROCHET,ROCHET S.,23-03-1993,132456,97,,,,,,1,16,12,75.00%,,,9,,2,1,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,4,3,75.00%,2,6,1,50.00%,5,83.33%,8,2,25.00%,3,37.50%,2,66.67%,1,33.33%,3,37.50%,4.863,2.863,,,,,
29661,MANUEL,UGARTE,UGARTE M.,11-04-2001,132456,97,,,,,,4,41,38,92.68%,,,24,,3,10,1,33.33%,5,50.00%,1,1,100.00%,1,1,100.00%,19,1,5.26%,9,47.37%,1,11.11%,7,77.78%,3,15.79%,9,47.37%,6,66.67%,5,1,,,0.756,0.977,0.185,0.076,0.776,0.221,0.000,0.000,246,1,2.44%,,,1,33.33%,,1,100.00%,1,25.00%,1,1,100.00%,,,,,4,1,25.00%,1,,,3,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16801,FEDERICO,VALVERDE,VALVERDE F.,22-07-1998,132456,97,3,,,3,100.00%,2,40,33,82.50%,3,10.00%,30,,6,7,,,4,57.14%,,,,3,1,33.33%,20,,,13,65.00%,7,53.85%,6,46.15%,4,20.00%,12,60.00%,9,75.00%,1,,3,42.86%,0.869,1.357,0.368,0.000,1.109,0.488,0.113,0.000,246,2,5.00%,,,2,50.00%,,1,50.00%,,,,,,1,,,1,3,2,66.67%,,,,1,33.33%,,,,2,66.67%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,
10466,GUILLERMO,VARELA,VARELA G.,24-03-1993,132456,18,,,,,,,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26459,MATIAS,VINA,VINA M.,09-11-1997,132456,47,,,,,,,14,7,50.00%,,,8,,2,1,,,,,2,1,50.00%,1,1,100.00%,8,,,4,50.00%,1,25.00%,1,25.00%,1,12.50%,4,50.00%,2,50.00%,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,1,7.14%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7431,MARCOS,AOAS CORREA,MARQUINHOS,14-05-1994,132456,97,,,,,,2,80,63,78.75%,,,59,13,8,5,2,25.00%,1,20.00%,,,,,,,12,,,9,75.00%,1,11.11%,1,11.11%,9,75.00%,2,16.67%,2,100.00%,1,,,,0.000,0.000,0.000,0.000,-0.170,0.000,0.000,0.000,243,2,2.50%,1,1.69%,7,77.78%,,2,100.00%,,,,,,,,,,,,,,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,6,100.00%,,,,,,,
18557,GUILHERME ANTONIO,ARANA LOPES,GUILHERME ARANA,14-04-1997,132456,97,,,,,,3,52,44,84.62%,,,30,,2,5,1,50.00%,,,1,1,100.00%,,,,11,2,18.18%,7,63.64%,4,57.14%,2,28.57%,4,36.36%,4,36.36%,2,50.00%,,2,,,0.000,0.000,0.206,0.000,0.206,0.000,0.000,0.000,243,3,5.77%,,,2,50.00%,,2,66.67%,1,33.33%,,,,1,1,100.00%,2,2,,,,2,100.00%,2,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7674,DANILO LUIZ,DA SILVA,DANILO,15-07-1991,132456,97,,,,,,4,45,39,86.67%,,,26,1,1,6,,,3,50.00%,,,,,,,1,,,1,100.00%,,,,,1,100.00%,,,,,,,,,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,243,2,4.44%,,,1,100.00%,,1,50.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24577,FRANCISCO EVANILSON,DE LIMA BARBOSA,EVANILSON,06-10-1999,132456,8,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,100.00%,1,100.00%,,,,,,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21572,RAPHAEL,DIAS BELLOLI,RAPHINHA,14-12-1996,132456,83,3,1,33.33%,2,66.67%,1,23,17,73.91%,3,13.64%,22,,3,,,,,,1,1,100.00%,1,,,11,1,9.09%,8,72.73%,4,50.00%,2,25.00%,,,8,72.73%,5,62.50%,,1,,,0.319,0.649,1.029,0.034,1.347,0.331,0.319,0.000,243,5,21.74%,1,4.55%,,,,2,40.00%,,,1,,,1,,,2,1,1,100.00%,,,,,,,,,3,100.00%,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,1,1,100.00%
58498,JOAO VICTOR,GOMES DA SILVA,JOAO GOMES,12-02-2001,132456,83,,,,,,2,25,21,84.00%,1,4.76%,21,1,9,6,7,77.78%,1,16.67%,3,1,33.33%,5,5,100.00%,31,3,9.68%,13,41.94%,1,7.69%,6,46.15%,4,12.90%,12,38.71%,8,66.67%,5,3,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,243,,,,,1,25.00%,,,,,,,,,,,,,1,,,1,4,44.44%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23388,BRUNO,GUIMARAES RODRIGUEZ MOURA,GUIMARAES B.,16-11-1997,132456,89,,,,,,2,41,37,90.24%,2,6.90%,29,1,5,7,2,40.00%,3,42.86%,1,1,100.00%,,,,18,5,27.78%,11,61.11%,5,45.45%,2,18.18%,2,11.11%,8,44.44%,4,50.00%,2,5,1,14.29%,0.000,0.000,0.000,0.066,0.000,0.000,0.000,0.000,243,,,,,1,50.00%,,,,,,1,,,,,,,3,1,33.33%,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16927,ANDREAS HUGO,HOELGEBAUM PEREIRA,PEREIRA A.,01-01-1996,132456,14,,,,,,,2,2,100.00%,1,25.00%,4,,2,,,,,,,,,,,,3,,,,,,,1,,,,2,66.67%,,,1,,,,0.756,0.988,0.000,0.000,0.756,0.233,0.000,0.000,243,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21828,GABRIEL TEODORO,MARTINELLI SILVA,MARTINELLI G.,18-06-2001,132456,9,,,,,,,3,2,66.67%,1,20.00%,5,,,,,,,,3,1,33.33%,,,,4,,,1,25.00%,1,100.00%,3,300.00%,,,1,25.00%,,,,,,,0.756,0.974,0.000,0.000,0.756,0.218,0.000,0.000,243,1,33.33%,1,20.00%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17393,EDER GABRIEL,MILITAO,MILITAO E.,18-01-1998,132456,97,,,,,,2,48,38,79.17%,,,36,7,2,5,,,,,1,1,100.00%,2,,,16,2,12.50%,13,81.25%,1,7.69%,1,7.69%,6,37.50%,5,31.25%,3,60.00%,,2,,,0.756,0.977,0.452,0.000,1.208,0.221,0.000,0.000,243,2,4.17%,2,5.56%,5,83.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,100.00%,,,,,,,
37123,SAVIO,MOREIRA DE OLIVEIRA,SAVIO,10-04-2004,132456,14,,,,,,,4,3,75.00%,,,5,,2,,,,,,,,,,,,3,,,,,,,3,,,,2,66.67%,,,1,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,243,1,25.00%,,,,,,,,,,,,,,,,1,1,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65030,ENDRICK FELIPE,MOREIRA DE SOUSA,ENDRICK,21-07-2006,132456,97,1,,,1,100.00%,,8,4,50.00%,6,33.33%,18,1,11,1,1,9.09%,,,4,3,75.00%,3,3,100.00%,27,3,11.11%,9,33.33%,5,55.56%,16,177.78%,2,7.41%,13,48.15%,3,23.08%,2,3,,,0.037,0.487,0.358,0.000,-0.013,0.450,0.037,0.000,243,2,25.00%,2,11.11%,,,,1,50.00%,,,,,,1,1,100.00%,1,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,
58428,ALISSON,RAMSES BECKER,ALISSON,02-10-1992,132456,97,,,,,,2,44,41,93.18%,,,30,,1,3,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,243,,,,,,,,,,,,,,,,,,,,,,,2,200.00%,,,,,,,,,,,,,,1,,,1,2,,3,1,33.33%,4,26,2,50.00%,25,96.15%,14,6,42.86%,2,14.29%,1,100.00%,,,6,42.86%,6.182,2.182,,,,,
20860,RODRYGO,SILVA DE GOES,RODRYGO,09-01-2001,132456,88,2,,,2,100.00%,,17,12,70.59%,2,7.41%,27,1,5,1,1,20.00%,,,8,5,62.50%,1,1,100.00%,27,4,14.81%,14,51.85%,10,71.43%,10,71.43%,4,14.81%,10,37.04%,4,40.00%,,4,,,0.072,0.349,0.000,0.000,0.072,0.278,0.072,0.000,243,,,1,3.70%,1,25.00%,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,2,100.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,
50916,DOUGLAS LUIZ,SOARES DE PAULO,DOUGLAS LUIZ,09-05-1998,132456,14,,,,,,,8,8,100.00%,,,9,,,,,,,,,,,,,,5,1,20.00%,3,60.00%,,,,,2,40.00%,1,20.00%,1,100.00%,1,1,,,0.756,0.000,0.000,0.000,0.756,-0.756,0.000,0.000,243,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17876,LUCAS,TOLENTINO COELHO DE LIMA,PAQUETA' L.,27-08-1997,132456,83,1,,,1,100.00%,2,37,31,83.78%,4,9.76%,41,2,11,,3,27.27%,,,,,,3,3,100.00%,16,1,6.25%,3,18.75%,2,66.67%,9,300.00%,3,18.75%,8,50.00%,2,25.00%,1,1,,,0.055,0.439,0.124,0.048,0.018,0.384,0.055,0.000,243,1,2.70%,,,,,,1,100.00%,,,1,,,,,,,3,3,100.00%,1,,,,,,,,1,100.00%,,,,,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,
