Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passRicevutiInArea,passRicevutiInArea_PERC,tiri,tiriDaArea,tiriDaArea_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,inFuorigioco,tiriInPorta,tiriInPorta_PERC,tiriDiTesta,tiriDiTesta_PERC,triFatta,triFatta_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,ammonizioni,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,thirdPass,traversoni,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,tiriDaFuori,tiriDaFuori_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,interventoPositivo,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC
65047,RICHARD,RIOS MONTOYA,RIOS R.,02-06-2000,131476,100,1,45,3,6.67%,33,73.33%,1,2.22%,45,,12,4,2,50.00%,4,2,16.67%,1,25.00%,12,8,66.67%,6,4,66.67%,34,4,11.76%,19,55.88%,15,78.95%,8,42.11%,2,5.88%,1,50.00%,9,26.47%,4,44.44%,1,4,1,1,25.00%,2,16.67%,0.022,0.000,0.199,0.000,0.221,-0.022,0.022,0.000,414,,,1,,,,,,,,,,,,,,1,,,3,,,,,,2,50.00%,,,,,,,,,,,,,1,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7488,JAMES DAVID,RODRIGUEZ RUBIO,RODRIGUEZ J.,12-07-1991,131476,94,8,72,13,18.06%,58,80.56%,3,4.76%,63,1,8,1,1,100.00%,4,2,25.00%,1,25.00%,1,,,2,1,50.00%,11,2,18.18%,5,45.45%,2,40.00%,5,100.00%,2,18.18%,,,3,27.27%,2,66.67%,1,2,1,1,25.00%,,,0.176,0.061,2.316,0.139,2.156,-0.115,0.176,0.000,414,3,4.76%,2,1,50.00%,2,25.00%,4,30.77%,1,33.33%,1,100.00%,2,2,100.00%,,,,3,,1,50.00%,,,,,,,,,,,,,,,,,3,,,,1,50.00%,2,100.00%,2,100.00%,1,33.33%,1,33.33%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14259,DAVINSON,SANCHEZ,SANCHEZ D.,12-06-1996,131476,100,2,69,1,1.45%,61,88.41%,1,1.85%,54,2,3,,,,12,1,33.33%,,,,,,4,3,75.00%,20,,,10,50.00%,1,10.00%,3,30.00%,8,40.00%,4,50.00%,7,35.00%,5,71.43%,1,,1,,,2,66.67%,0.065,0.000,0.000,0.000,-0.242,-0.065,0.065,0.000,414,2,3.70%,1,1,100.00%,,,,,1,100.00%,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13302,RAFAEL,SANTOS BORRE' MAURY,BORRE' R.,15-09-1995,131476,71,,10,,,7,70.00%,2,20.00%,10,2,7,,,,2,4,57.14%,2,100.00%,1,,,4,3,75.00%,11,,,1,9.09%,1,100.00%,6,600.00%,5,45.45%,,,1,9.09%,,,,,,1,50.00%,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,1,10.00%,,,,,,,,1,50.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16562,MATEUS,URIBE,URIBE M.,21-03-1991,131476,30,1,19,,,19,100.00%,,,7,,,,,,6,,,2,33.33%,,,,4,2,50.00%,7,,,5,71.43%,2,40.00%,,,2,28.57%,2,100.00%,1,14.29%,1,100.00%,,,1,1,16.67%,,,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,414,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16561,CAMILO,VARGAS,VARGAS C.,09-03-1989,131476,100,,30,,,24,80.00%,,,15,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,66.67%,10,7,5,50.00%,7,100.00%,13,1,7.69%,5,38.46%,2,100.00%,1,7,53.85%,1.839,0.839,,,,,,,
23794,OMAR FEDERICO,ALDERETE FERNANDEZ,ALDERETE O.,26-12-1996,131476,100,1,28,2,7.14%,23,82.14%,,,19,2,3,1,,,6,1,33.33%,,,3,1,33.33%,2,1,50.00%,15,,,7,46.67%,2,28.57%,3,42.86%,6,40.00%,5,83.33%,2,13.33%,,,2,,2,,,,,0.000,0.000,0.454,0.121,0.296,0.000,0.000,0.000,787,1,5.26%,,,,1,100.00%,1,50.00%,,,,,1,1,100.00%,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,100.00%,,,,,,,,,
11341,MIGUEL,ALMIRON,ALMIRON M.,10-02-1994,131476,61,,8,2,25.00%,5,62.50%,2,28.57%,7,,5,,,,4,1,20.00%,1,25.00%,3,3,100.00%,3,2,66.67%,14,1,7.14%,6,42.86%,2,33.33%,4,66.67%,,,,,5,35.71%,1,20.00%,2,1,2,,,,,0.000,0.000,0.546,0.000,0.437,0.000,0.000,0.000,787,1,14.29%,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113190,ALEX,ARCE,ARCE A.,16-06-1995,131476,82,1,15,4,26.67%,10,66.67%,4,16.00%,25,1,7,,,,4,1,14.29%,2,50.00%,2,1,50.00%,3,3,100.00%,31,1,3.23%,14,45.16%,13,92.86%,13,92.86%,16,51.61%,8,50.00%,8,25.81%,4,50.00%,1,1,2,2,50.00%,,,0.315,0.000,0.508,0.041,0.223,-0.315,0.315,0.000,787,4,16.00%,3,1,33.33%,,,1,25.00%,1,25.00%,1,100.00%,1,,,,,,1,,,,1,33.33%,,,,,,,,,,,,,,,,1,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11339,FABIAN,BALBUENA,BALBUENA F.,23-08-1991,131476,100,1,30,1,3.33%,22,73.33%,,,16,,3,,,,8,,,,,,,,,,,10,,,7,70.00%,1,14.29%,2,28.57%,5,50.00%,4,80.00%,5,50.00%,3,60.00%,,,2,,,,,0.235,0.000,0.000,0.000,0.235,-0.235,0.235,0.000,787,,,1,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,,,,
43703,ADAM,BAREIRO,BAREIRO A.,26-07-1996,131476,18,,5,,,2,40.00%,,,8,1,5,,,,1,,,,,2,2,100.00%,,,,7,,,2,28.57%,2,100.00%,5,250.00%,3,42.86%,,,1,14.29%,,,1,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,787,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68174,DAMIAN JOSUE',BOBADILLA BENITEZ,BOBADILLA D.,11-07-2001,131476,39,1,7,,,6,85.71%,,,4,,,1,,,1,,,,,,,,3,2,66.67%,6,1,16.67%,3,50.00%,,,,,,,,,1,16.67%,1,100.00%,1,1,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,787,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60245,HERNESTO EZEQUIEL,CABALLERO BENITEZ,CABALLERO H.,09-04-1991,131476,61,,20,2,10.00%,15,75.00%,,,14,,8,,,,4,1,12.50%,2,50.00%,1,,,4,2,50.00%,9,,,4,44.44%,2,50.00%,3,75.00%,1,11.11%,1,100.00%,2,22.22%,1,50.00%,2,,2,1,25.00%,2,25.00%,0.000,0.000,0.145,0.000,0.145,0.000,0.000,0.000,787,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13129,ADRIAN ANDRES,CUBAS,CUBAS A.,22-05-1996,131476,100,2,34,1,2.94%,30,88.24%,,,21,,5,,,,9,3,60.00%,3,33.33%,1,1,100.00%,4,1,25.00%,15,1,6.67%,10,66.67%,1,10.00%,1,10.00%,1,6.67%,1,100.00%,7,46.67%,4,57.14%,1,1,2,,,4,80.00%,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,787,,,,,,,,1,100.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26480,JULIO,ENCISO,ENCISO J.,23-01-2004,131476,94,1,23,5,21.74%,16,69.57%,3,11.54%,26,,12,1,1,100.00%,2,1,8.33%,2,100.00%,14,8,57.14%,5,3,60.00%,28,2,7.14%,13,46.43%,8,61.54%,12,92.31%,1,3.57%,,,5,17.86%,1,20.00%,1,2,2,2,100.00%,2,16.67%,0.604,1.382,0.533,0.000,0.297,0.778,0.604,0.000,787,2,7.69%,4,1,25.00%,,,1,20.00%,1,33.33%,,,,,,,,,1,,3,75.00%,,,,,1,25.00%,1,100.00%,,,1,33.33%,,,,,,,,,3,75.00%,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,,1,100.00%,1,100.00%
60248,MATIAS DAVID,ESPINOZA ACOSTA,ESPINOZA M.,19-09-1997,131476,100,,41,1,2.44%,24,58.54%,1,4.00%,25,,8,,,,6,2,25.00%,3,50.00%,,,,5,3,60.00%,23,,,12,52.17%,6,50.00%,4,33.33%,9,39.13%,6,66.67%,7,30.43%,4,57.14%,2,,2,2,33.33%,4,50.00%,0.036,0.457,0.000,0.000,0.036,0.420,0.036,0.000,787,2,8.00%,1,,,,,,,,,,,,,,,,,1,,1,100.00%,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60223,RODRIGO MARIO,MORINIGO ACOSTA,MORINIGO R.,07-10-1998,131476,100,,17,,,14,82.35%,,,6,,3,,,,2,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,1,33.33%,7,2,6,85.71%,2,100.00%,8,1,12.50%,1,12.50%,1,100.00%,2,6,75.00%,1.195,-0.805,,,,,,,
20508,MATIAS,ROJAS,ROJAS M.,03-11-1995,131476,6,,1,,,,,1,50.00%,2,,1,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,2,100.00%,,,,,,,,,,0.025,0.000,0.000,0.000,0.025,-0.025,0.025,0.000,787,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26481,ANGEL,ROMERO,ROMERO AN.,04-07-1992,131476,18,,2,,,2,100.00%,1,20.00%,5,1,2,,,,,,,,,1,,,,,,4,1,25.00%,2,50.00%,1,50.00%,2,100.00%,1,25.00%,1,100.00%,1,25.00%,,,,1,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,787,,,,,,,,,,,,1,100.00%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43664,RAMON,SOSA ACOSTA,SOSA R.,31-08-1999,131476,39,2,7,3,42.86%,5,71.43%,,,6,,3,1,1,100.00%,2,,,,,2,1,50.00%,,,,4,,,1,25.00%,,,1,100.00%,,,,,1,25.00%,,,1,,,,,,,0.000,0.000,0.699,0.092,0.587,0.000,0.000,0.000,787,1,16.67%,,,,1,50.00%,1,33.33%,,,,,2,1,50.00%,1,,,2,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,50.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43831,GUSTAVO,VELAZQUEZ,VELAZQUEZ G.,17-04-1991,131476,100,,38,3,7.89%,26,68.42%,,,15,3,4,,,,9,1,25.00%,3,33.33%,1,1,100.00%,4,2,50.00%,24,3,12.50%,17,70.83%,4,23.53%,3,17.65%,8,33.33%,5,62.50%,7,29.17%,6,85.71%,1,3,2,1,11.11%,,,0.000,0.000,0.555,0.000,0.288,0.000,0.000,0.000,787,1,6.67%,,,,,,1,33.33%,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26474,MATHIAS,VILLASANTI,VILLASANTI M.,24-01-1997,131476,82,3,21,4,19.05%,16,76.19%,,,17,,8,,,,1,1,12.50%,1,100.00%,3,1,33.33%,3,2,66.67%,16,,,5,31.25%,5,100.00%,6,120.00%,2,12.50%,,,6,37.50%,3,50.00%,3,,2,,,2,25.00%,0.086,0.000,0.687,0.076,0.773,-0.086,0.086,0.000,787,,,1,,,,,3,75.00%,,,,,2,,,1,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
