Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,cross,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,thirdPass,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,falliSubiti,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,tiri,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,falliFatti,interventoPositivo,interventoNegativo,ammonizioni,crossRiusciti,crossRiusciti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriInPorta,tiriInPorta_PERC,inFuorigioco,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,triChiusa,triChiusa_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriDiRigore,tiriDiRigore_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolRigore,tiroGolRigore_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,rinvioPiede,rinvioPiede_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC
32408,JOEY,VEERMAN,VEERMAN J.,19-11-1998,132628,64,3,40,6,15.00%,37,92.50%,5,83.33%,2,6.06%,33,,,1,1,1,3,,,,,,,,3,4,1,25.00%,,,,,,,1,0.000,0.000,1.107,0.066,1.107,0.000,0.000,0.000,411,,,,1,100.00%,,,,,,2,66.67%,2,2,100.00%,,,,,,,,,,,,2,66.67%,1,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28329,BART,VERBRUGGEN,VERBRUGGEN B.,18-08-2002,132628,98,3,34,,,31,91.18%,,,,,29,,,,,,4,,,,2,,,,,,,,,,,,,,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,33.33%,2,1,4,2,50.00%,1,10,21,7,70.00%,21,100.00%,2,66.67%,2,100.00%,2,3.147,1.147,,,,,,,,,,,,,,,,,,,
14245,WOUT,WEGHORST,WEGHORST W.,07-08-1992,132628,50,,10,,,7,70.00%,,,1,6.67%,15,2,13.33%,2,,,6,,,,,,,,,13,3,23.08%,3,100.00%,4,30.77%,,,1,0.000,0.000,0.271,0.000,-0.144,0.000,0.000,0.000,411,,,,8,266.67%,6,46.15%,3,50.00%,,,,,,,,,,,,,,2,100.00%,1,16.67%,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23032,JOSHUA,ZIRKZEE,ZIRKZEE J.,22-05-2001,132628,2,,1,,,1,100.00%,,,1,25.00%,4,,,1,,,1,,,,,,,,,3,,,,,1,33.33%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,,,2,,2,66.67%,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24532,JUDE,BELLINGHAM,BELLINGHAM J.,29-06-2003,132628,98,1,54,3,5.56%,47,87.04%,1,33.33%,1,1.92%,52,1,1.92%,,1,2,4,,,,5,2,2,100.00%,1,16,9,56.25%,6,66.67%,5,31.25%,2,40.00%,1,0.000,0.000,0.312,0.035,-0.065,0.000,0.000,0.000,16,,3,18.75%,3,33.33%,4,25.00%,2,50.00%,3,,,1,,,,,,,,,,,,,,1,100.00%,1,,,1,,,,,,,,,,,,,,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.00%,,,,,,,,,,,,,,,,,
15748,PHILIP WALTER,FODEN,FODEN P.,28-05-2000,132628,83,1,44,2,4.55%,42,95.45%,1,50.00%,8,16.00%,50,1,2.00%,,,,6,1,1,100.00%,,3,2,66.67%,1,10,3,30.00%,3,100.00%,3,30.00%,,,1,0.568,1.138,0.401,0.000,0.532,0.570,0.568,0.568,16,,1,10.00%,6,200.00%,1,10.00%,,,1,,,,,,3,1,33.33%,,,1,12.50%,,,,,1,100.00%,1,,,,,,,,2,66.67%,1,1,50.00%,2,66.67%,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,
25676,CONOR,GALLAGHER,GALLAGHER C.,06-02-2000,132628,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25673,MARC,GUEHI,GUEHI M.,13-07-2000,132628,98,1,86,,,83,96.51%,,,,,79,,,3,,,2,,,,4,,,,,8,4,50.00%,,,2,25.00%,1,50.00%,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16,,1,12.50%,,,4,50.00%,2,50.00%,1,,,,,,,,,,,,,,,1,50.00%,,,1,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7345,HARRY,KANE,KANE H.,28-07-1993,132628,83,1,19,4,21.05%,14,73.68%,2,50.00%,5,20.00%,25,1,4.00%,1,1,1,8,1,,,,2,,,1,14,6,42.86%,6,100.00%,5,35.71%,3,60.00%,1,0.781,1.316,0.726,0.050,1.295,0.535,0.026,0.026,16,,1,7.14%,7,116.67%,5,35.71%,2,40.00%,1,1,100.00%,1,1,100.00%,2,1,50.00%,,,,,1,100.00%,,,1,100.00%,,,,,,,,,2,100.00%,,1,50.00%,1,50.00%,1,100.00%,,,1,50.00%,,,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,100.00%,1,100.00%,,,,,,,,,
18222,EZRI,KONSA,KONSA E.,23-10-1997,132628,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58426,KOBBIE BOATENG,MAINOO,MAINOO K.,19-04-2005,132628,96,5,42,3,7.14%,39,92.86%,2,66.67%,2,4.88%,41,1,2.44%,1,,,2,1,,,2,3,1,33.33%,2,7,5,71.43%,3,60.00%,1,14.29%,1,100.00%,1,0.037,0.000,0.626,0.089,0.663,-0.037,0.037,0.037,16,,1,14.29%,2,40.00%,,,,,1,1,20.00%,2,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,
24667,COLE,PALMER,PALMER C.,06-05-2002,132628,16,1,6,1,16.67%,4,66.67%,1,100.00%,2,28.57%,7,1,14.29%,,,,2,,,,,,,,,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,0.078,0.000,0.000,0.053,-0.169,-0.078,0.078,0.078,16,,,,,,,,,,,1,100.00%,1,1,100.00%,1,1,100.00%,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,
12802,JORDAN,PICKFORD,PICKFORD J.,07-03-1994,132628,98,,21,1,4.76%,20,95.24%,1,100.00%,,,15,,,,,,,,,,3,,,,,,,,,,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,33.33%,2,1,3,2,66.67%,,2,13,1,50.00%,13,100.00%,2,33.33%,2,100.00%,1,0.769,-0.231,,,,,,,,,,,,,,,2,33.33%,,,
22931,DECLAN,RICE,RICE D.,14-01-1999,132628,98,5,96,2,2.08%,91,94.79%,,,1,1.11%,90,1,1.11%,2,,1,4,,,,7,1,1,100.00%,1,12,6,50.00%,2,33.33%,6,50.00%,2,33.33%,1,0.000,0.000,0.419,0.000,0.167,0.000,0.000,0.000,16,,1,8.33%,3,50.00%,3,25.00%,2,66.67%,1,,,,,,,,,,,,,,,1,25.00%,1,100.00%,,,,,,,,,,,,,,,,,,3,42.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
18698,BUKAYO,SAKA,SAKA B.,05-09-2001,132628,95,3,19,1,5.26%,16,84.21%,,,1,5.00%,20,3,15.00%,,1,2,4,1,1,100.00%,2,1,,,,6,3,50.00%,3,100.00%,3,50.00%,2,66.67%,1,0.143,0.243,0.932,0.035,0.964,0.100,0.143,0.143,16,1,1,16.67%,2,66.67%,,,,,1,,,1,,,1,1,100.00%,,,1,100.00%,,,,,,,1,,,1,1,100.00%,,,1,100.00%,,1,100.00%,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,1,,
9879,LUKE,SHAW,SHAW L.,12-07-1995,132628,50,1,36,3,8.33%,32,88.89%,1,33.33%,1,4.55%,22,,,1,1,3,,,,,4,,,,,4,3,75.00%,1,33.33%,1,25.00%,1,100.00%,,0.000,0.000,0.433,0.019,0.433,0.000,0.000,0.000,16,,,,1,33.33%,2,50.00%,2,100.00%,,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%
10024,JOHN,STONES,STONES J.,28-05-1994,132628,98,3,86,2,2.33%,84,97.67%,1,50.00%,,,77,,,6,,,2,,,,4,,,,,6,5,83.33%,1,20.00%,3,50.00%,2,66.67%,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16,,2,33.33%,1,20.00%,1,16.67%,1,100.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9271,KIERAN,TRIPPIER,TRIPPIER K.,19-09-1990,132628,48,,42,4,9.52%,37,88.10%,1,25.00%,2,6.25%,32,1,3.13%,,1,2,4,,,,4,,,,1,3,3,100.00%,1,33.33%,1,33.33%,1,100.00%,1,0.000,0.000,0.672,0.000,0.672,0.000,0.000,0.000,16,,,,,,1,33.33%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
7348,KYLE,WALKER,WALKER K.,28-05-1990,132628,98,3,64,4,6.25%,59,92.19%,2,50.00%,1,1.82%,55,2,3.64%,,,2,4,,,,2,1,1,100.00%,,8,3,37.50%,1,33.33%,6,75.00%,2,33.33%,1,0.000,0.000,0.160,0.000,-0.006,0.000,0.000,0.000,16,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,1,,
26454,OLLIE,WATKINS,WATKINS O.,30-12-1995,132628,15,,2,,,2,100.00%,,,1,20.00%,5,1,20.00%,,,,1,,,,,,,,,2,,,,,1,50.00%,,,,0.086,0.450,0.000,0.000,0.086,0.364,0.086,0.086,16,,,,2,,1,50.00%,,,,,,,,,1,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,1,100.00%,,1,100.00%,,,,,,,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,
