Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingSub,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,palleLaterali,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,falliFatti,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,assist,triangolazione,triChiusa,triChiusa_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,reteDaPunizioneDiretta,reteDaPunizioneDiretta_PERC,triFatta,triFatta_PERC,ammonizioni,passChiaveInArea,passChiaveInArea_PERC,thirdPass,cross,tiriDaArea,tiriDaArea_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,parate,uscite,interventoPositivo,interventoNegativo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,cutBack,assistInArea,assistInArea_PERC,crossRiusciti,crossRiusciti_PERC,tiriDiTesta,tiriDiTesta_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,inFuorigioco,tiroGolArea,tiroGolArea_PERC,thirdPassVincenti,thirdPassVincenti_PERC
7683,WENDELL,NASCIMENTO BORGES,WENDELL,20-07-1993,131492,92,,50,1,2.00%,44,88.00%,38,,7,4,4,57.14%,3,14,1,7.14%,5,35.71%,,,,,,,6,42.86%,3,50.00%,1,1,2,28.57%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,243,,,,,,,,,,,,,,,3,100.00%,2,40.00%,1,,,,,,,1,,,3,1,33.33%,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16802,VINICIUS JOSE',PAIXAO DE OLIVEIRA JUNIOR,VINICIUS JUNIOR,12-07-2000,131492,101,2,16,4,25.00%,12,75.00%,21,,5,2,1,20.00%,2,15,4,26.67%,8,53.33%,3,37.50%,1,6.67%,,,6,40.00%,3,50.00%,4,1,,,0.042,0.000,0.840,0.000,0.724,-0.042,0.042,0.000,243,1,25.00%,3,14.29%,,,1,4.76%,,,,2,1,50.00%,1,50.00%,4,50.00%,2,1,,,1,100.00%,,,,,1,,,,,,,,,,,,,,,1,1,50.00%,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58428,ALISSON,RAMSES BECKER,ALISSON,02-10-1992,131492,101,1,29,,,24,82.76%,16,,5,1,1,20.00%,,,,,,,,,,,,,,,,,,1,2,40.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,1,7,5,71.43%,4,14,1,25.00%,13,92.86%,11,4,36.36%,2,18.18%,5,100.00%,1,5,45.45%,2.047,1.047,,,,,,,,,,,,,,,,
20860,RODRYGO,SILVA DE GOES,RODRYGO,09-01-2001,131492,79,1,26,2,7.69%,22,84.62%,27,,6,2,,,1,12,2,16.67%,6,50.00%,3,50.00%,1,8.33%,1,100.00%,4,33.33%,1,25.00%,2,1,,,0.000,0.000,0.488,0.000,0.488,0.000,0.000,0.000,243,,,5,18.52%,1,20.00%,3,11.11%,,,,1,1,50.00%,1,100.00%,6,100.00%,,,,,,,,1,,,4,2,50.00%,,,,,,,,,,,1,100.00%,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
50916,DOUGLAS LUIZ,SOARES DE PAULO,DOUGLAS LUIZ,09-05-1998,131492,10,,10,1,10.00%,8,80.00%,8,,1,1,1,100.00%,,3,,,2,66.67%,1,50.00%,2,66.67%,1,50.00%,1,33.33%,1,100.00%,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,243,,,1,12.50%,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17876,LUCAS,TOLENTINO COELHO DE LIMA,PAQUETA' L.,27-08-1997,131492,51,,15,3,20.00%,13,86.67%,11,,4,5,2,50.00%,1,12,,,8,66.67%,3,37.50%,3,25.00%,1,33.33%,8,66.67%,6,75.00%,,1,2,50.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,243,2,66.67%,,,,,1,9.09%,,,,,2,40.00%,,,2,25.00%,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52201,JHON,ARIAS,ARIAS J.,21-09-1997,131492,101,2,36,2,5.56%,29,80.56%,28,,4,2,3,75.00%,7,16,,,6,37.50%,3,50.00%,,,,,3,18.75%,2,66.67%,,1,2,50.00%,0.069,0.000,0.121,0.024,0.190,-0.069,0.069,0.000,414,2,100.00%,2,7.14%,,,,,,,,1,1,50.00%,6,85.71%,3,50.00%,3,1,,,1,100.00%,1,,,,3,3,100.00%,,,,,,,,,,,,,,2,100.00%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,
31361,JORGE,CARRASCAL,CARRASCAL J.,25-05-1998,131492,15,,6,1,16.67%,6,100.00%,5,,1,1,,,,3,,,1,33.33%,1,100.00%,,,,,3,100.00%,1,33.33%,,,,,0.096,0.101,0.000,0.000,0.096,0.005,0.096,0.000,414,1,100.00%,,,,,,,,,,,1,100.00%,,,2,200.00%,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15095,JHON ANDRES,CORDOBA COPETE,CORDOBA J.,11-05-1993,131492,81,1,10,2,20.00%,9,90.00%,22,2,9,1,1,11.11%,,23,1,4.35%,8,34.78%,7,87.50%,8,34.78%,5,62.50%,9,39.13%,2,22.22%,1,1,,,0.424,0.091,0.374,0.061,0.286,-0.333,0.424,0.000,414,1,50.00%,5,22.73%,2,40.00%,3,13.64%,,,,,,,,,13,162.50%,3,2,1,50.00%,,,1,,,,2,,,,,,,,,,,,,,,,1,100.00%,,,2,100.00%,1,100.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,2,100.00%,1,100.00%,1,100.00%,1,,,,
21776,CARLOS ECCEHOMO,CUESTA FIGUEROA,CUESTA C.,09-03-1999,131492,101,2,58,,,53,91.38%,53,6,,2,,,1,4,,,4,100.00%,,,,,,,3,75.00%,3,100.00%,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20505,LUIS FERNANDO,DIAZ MARULANDA,DIAZ L. F.,13-01-1997,131492,95,1,23,2,8.70%,20,86.96%,29,,5,3,1,20.00%,,20,2,10.00%,9,45.00%,7,77.78%,3,15.00%,,,11,55.00%,4,36.36%,2,1,,,0.089,0.247,0.687,0.047,0.776,0.158,0.089,0.000,414,2,100.00%,3,10.34%,1,33.33%,2,6.90%,1,1,100.00%,3,2,66.67%,,,9,100.00%,,1,1,100.00%,1,100.00%,1,,,,4,3,75.00%,,,,,,,1,100.00%,,,,,,1,100.00%,,2,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,2,100.00%,,,,,,,,,,,
16563,JEFFERSON ANDRES,LERMA SOLIS,LERMA J.,25-10-1994,131492,101,3,51,,,45,88.24%,41,,6,7,2,33.33%,,10,2,20.00%,6,60.00%,3,50.00%,4,40.00%,1,25.00%,4,40.00%,3,75.00%,2,1,,,0.000,0.000,0.000,0.044,-0.216,0.000,0.000,0.000,414,,,1,2.44%,,,1,2.44%,,,,,4,57.14%,,,2,33.33%,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,14.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17902,DEIVER,MACHADO,MACHADO D.,02-09-1993,131492,51,,30,1,3.33%,28,93.33%,24,,,3,,,1,12,3,25.00%,9,75.00%,3,33.33%,,,,,3,25.00%,1,33.33%,3,1,,,0.000,0.000,0.344,0.000,0.344,0.000,0.000,0.000,414,,,2,8.33%,,,,,,,,1,1,33.33%,,,,,1,,,,,,,,,,4,4,100.00%,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16564,JOHAN,MOJICA,MOJICA J.,21-08-1992,131492,50,1,29,3,10.34%,25,86.21%,21,1,3,4,,,4,9,,,3,33.33%,,,2,22.22%,1,50.00%,2,22.22%,1,50.00%,,,,,0.000,0.000,0.297,0.000,0.297,0.000,0.000,0.000,414,1,33.33%,1,4.76%,,,,,,,,2,1,25.00%,3,75.00%,2,66.67%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,100.00%,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30367,DANIEL,MUNOZ,MUNOZ D.,26-05-1996,131492,101,,41,,,38,92.68%,33,1,6,5,4,66.67%,3,22,,,8,36.36%,,,2,9.09%,1,50.00%,10,45.45%,4,40.00%,,1,,,0.155,0.614,0.000,0.000,-0.058,0.459,0.155,0.000,414,,,1,3.03%,1,100.00%,1,3.03%,,,,,1,20.00%,,,10,125.00%,6,1,1,100.00%,,,,1,1,100.00%,1,,,1,100.00%,,,1,100.00%,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,
65047,RICHARD,RIOS MONTOYA,RIOS R.,02-06-2000,131492,81,,35,3,8.57%,28,80.00%,33,,5,4,,,2,19,1,5.26%,11,57.89%,9,81.82%,1,5.26%,1,100.00%,11,57.89%,7,63.64%,1,1,,,0.131,0.901,0.299,0.000,0.430,0.770,0.131,0.000,414,,,1,3.03%,,,,,,,,2,3,75.00%,2,100.00%,7,63.64%,1,2,2,100.00%,1,50.00%,,,,,3,2,66.67%,,,,,,,1,50.00%,,,,,,,,,1,1,50.00%,1,50.00%,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7488,JAMES DAVID,RODRIGUEZ RUBIO,RODRIGUEZ J.,12-07-1991,131492,87,6,53,10,18.87%,41,77.36%,37,,5,7,1,20.00%,1,16,3,18.75%,12,75.00%,10,83.33%,1,6.25%,1,100.00%,8,50.00%,5,62.50%,3,1,,,0.192,0.092,1.874,0.134,1.946,-0.100,0.192,0.000,414,5,50.00%,3,8.11%,1,33.33%,1,2.70%,,,,2,5,71.43%,,,2,16.67%,1,3,1,33.33%,2,66.67%,2,1,,,2,2,100.00%,,,,,,,1,100.00%,,,1,100.00%,,2,33.33%,1,2,1,33.33%,,,,,2,28.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,1,50.00%,,,,,,,,,,1,100.00%
14259,DAVINSON,SANCHEZ,SANCHEZ D.,12-06-1996,131492,101,6,47,3,6.38%,40,85.11%,36,2,5,6,1,20.00%,2,11,,,7,63.64%,1,14.29%,2,18.18%,2,100.00%,5,45.45%,2,40.00%,,1,,,0.000,0.000,0.285,0.000,-0.355,0.000,0.000,0.000,414,2,66.67%,,,,,3,8.33%,,,,,,,,,4,57.14%,1,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,1,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
13302,RAFAEL,SANTOS BORRE' MAURY,BORRE' R.,15-09-1995,131492,20,,5,1,20.00%,3,60.00%,7,2,3,1,1,33.33%,,3,,,1,33.33%,,,2,66.67%,1,50.00%,1,33.33%,,,,,2,66.67%,0.314,0.000,0.216,0.000,0.177,-0.314,0.314,0.000,414,,,3,42.86%,2,66.67%,3,42.86%,,,,1,,,,,2,200.00%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
21549,LUIS FERNANDO,SINISTERRA LUCUMI,SINISTERRA L.,17-06-1999,131492,6,,6,,,6,100.00%,5,,,1,,,,1,,,1,100.00%,1,100.00%,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,,,,,,,1,20.00%,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16562,MATEUS,URIBE,URIBE M.,21-03-1991,131492,20,,9,,,8,88.89%,9,,,,,,,2,,,,,,,,,,,1,50.00%,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,,,1,11.11%,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16561,CAMILO,VARGAS,VARGAS C.,09-03-1989,131492,101,1,30,2,6.67%,22,73.33%,18,,3,3,,,,,,,,,,,,,,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,3,2,66.67%,9,10,5,55.56%,9,90.00%,11,3,27.27%,5,45.45%,2,100.00%,1,3,27.27%,1.602,0.602,,,,,,,,,,,,,,,,
