Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevuti,assist,assistInArea,assistInArea_PERC,perdePalla,triangolazione,triFatta,triFatta_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliPersiMetaCampo,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,falliFatti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,palleLaterali,triChiusa,triChiusa_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,ammonizioni,cross,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliPersiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,thirdPass,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,crossRiusciti,crossRiusciti_PERC,golProcurati,uscite,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,FxGoT,gkGP,traversoni,retiSub,interventoNegativo,autogol,interventoPositivo,traversoniRiusciti,traversoniRiusciti_PERC,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK
14553,UNAI,SIMON MENDIBIL,SIMON U.,11-06-1997,131353,98,1,,,35,1,2.86%,28,80.00%,,,25,,,,5,,,,4,1,20.00%,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,50.00%,,,,,,2,7,22,2,28.57%,21,95.45%,2,33.33%,1,16.67%,0.000,0.000,,,,,,,,,,,,,,,,
17790,FERRAN,TORRES GARCIA,FERRAN TORRES,29-02-2000,131353,26,1,1,100.00%,6,3,50.00%,4,66.67%,1,33.33%,7,1,1,100.00%,2,1,,,1,,,,,,3,2,1,33.33%,1,33.33%,,0.000,0.000,0.656,0.038,0.656,0.000,0.000,0.000,2,1,14.29%,,,,1,,,3,1,100.00%,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,14.29%,1,100.00%,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
35462,NICHOLAS,WILLIAMS ARTHUER,WILLIAMS N.,12-07-2002,131353,79,3,2,66.67%,35,8,22.86%,31,88.57%,4,50.00%,44,3,2,66.67%,10,1,1,100.00%,2,,,1,1,100.00%,25,16,2,8.00%,9,36.00%,2,0.161,0.000,1.720,0.164,1.488,-0.161,0.161,0.041,2,3,6.82%,1,1,100.00%,,,,4,,,1,50.00%,1,4.00%,7,28.00%,7,100.00%,,,1,,4,10,5,50.00%,228.57%,1,50.00%,2,,,2,100.00%,,,1,50.00%,8,18.18%,2,25.00%,,,,,1,50.00%,,,,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31404,LAMINE,YAMAL NASRAOUI EBANA,LAMINE YAMAL,13-07-2007,131353,73,2,2,100.00%,30,6,20.00%,26,86.67%,4,66.67%,29,1,1,100.00%,5,1,,,1,,,,,,11,3,1,9.09%,4,36.36%,,0.023,0.000,0.941,0.083,0.858,-0.023,0.023,0.023,2,1,3.45%,,,,,,,1,1,100.00%,1,100.00%,,,8,72.73%,8,100.00%,3,75.00%,,,1,6,4,66.67%,37.50%,1,100.00%,1,,,,,1,100.00%,,,2,6.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6438,NICOLO',BARELLA,BARELLA N.,07-02-1997,131353,98,4,,,52,2,3.85%,42,80.77%,,,44,1,,,8,,,,2,2,25.00%,,,,9,1,2,22.22%,6,66.67%,,0.000,0.000,0.794,0.046,0.794,0.000,0.000,0.000,1,,,1,,,,,,2,,,1,50.00%,1,11.11%,5,55.56%,,,4,66.67%,1,,2,,,,20.00%,,,,,,,,,,,,3,6.82%,,,,,,,,,,,,,2,25.00%,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
12940,ALESSANDRO,BASTONI,BASTONI A.,13-04-1999,131353,98,3,,,68,1,1.47%,63,92.65%,,,49,,,,2,,,,7,1,50.00%,2,1,50.00%,10,1,1,10.00%,6,60.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,,2,,,,,,,,,2,28.57%,1,10.00%,7,70.00%,,,4,66.67%,1,,,,,,14.29%,1,100.00%,,,,,,,,,,,,,,,,,,,,,4,4,100.00%,2,100.00%,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
16122,RICCARDO,CALAFIORI,CALAFIORI R.,19-05-2002,131353,98,6,,,68,,,62,91.18%,,,53,,,,1,,,,11,1,100.00%,2,2,100.00%,11,2,4,36.36%,1,9.09%,2,0.031,0.000,0.000,0.000,0.031,-0.031,0.031,0.000,1,,,8,,,,,,,,,2,18.18%,1,9.09%,5,45.45%,2,40.00%,,,1,,,1,1,100.00%,40.00%,3,75.00%,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,
21320,ANDREA,CAMBIASO,CAMBIASO A.,20-02-2000,131353,51,,,,29,4,13.79%,21,72.41%,1,25.00%,23,,,,2,,,,3,1,50.00%,3,1,33.33%,4,,,,,,1,0.000,0.000,0.909,0.000,0.663,0.000,0.000,0.000,1,1,4.35%,,,,,,,2,,,,,,,2,50.00%,1,50.00%,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,1,50.00%,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
11798,FEDERICO,CHIESA,CHIESA F.,25-10-1997,131353,65,1,,,12,,,6,50.00%,,,17,,,,6,1,,,,1,16.67%,1,1,100.00%,11,9,1,9.09%,4,36.36%,3,0.040,0.000,0.000,0.000,0.040,-0.040,0.040,0.040,1,,,,,,,,,,1,100.00%,,,,,1,9.09%,,,1,25.00%,,,,2,,,900.00%,,,1,,,1,100.00%,,,,,1,5.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
8131,BRYAN,CRISTANTE,CRISTANTE B.,03-03-1995,131353,51,,,,27,4,14.81%,22,81.48%,1,25.00%,26,,,,5,,,,2,,,,,,3,1,1,33.33%,,,2,0.000,0.000,0.731,0.000,0.372,0.000,0.000,0.000,1,2,7.69%,,,,,,,2,,,1,50.00%,,,1,33.33%,,,,,,1,,,,,100.00%,1,100.00%,,,,,,,,,,3,11.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,100.00%,,,,,,,,,
10593,GIOVANNI,DI LORENZO,DI LORENZO G.,04-08-1993,131353,98,4,,,62,2,3.23%,53,85.48%,,,45,,,,5,1,1,100.00%,4,1,20.00%,11,5,45.45%,21,1,2,9.52%,5,23.81%,1,0.000,0.000,0.327,0.000,0.030,0.000,0.000,0.000,1,1,2.22%,3,,,,,,,,,,,2,9.52%,14,66.67%,1,7.14%,5,100.00%,2,,,,,,7.14%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
7814,FEDERICO,DIMARCO,DIMARCO F.,10-11-1997,131353,98,,,,39,3,7.69%,29,74.36%,,,30,,,,7,,,,5,1,14.29%,2,,,9,2,1,11.11%,5,55.56%,,0.000,0.000,0.468,0.000,0.468,0.000,0.000,0.000,1,,,1,,,,,,2,,,3,60.00%,1,11.11%,6,66.67%,3,50.00%,3,60.00%,1,,1,,,,33.33%,,,,,,,,,,,,1,3.33%,,,,,,,,,,,,,2,28.57%,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
8715,GIANLUIGI,DONNARUMMA,DONNARUMMA G.,25-02-1999,131353,98,,,,30,,,25,83.33%,,,21,,,,3,,,,1,3,100.00%,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,12.50%,6,200.00%,,,,3,3,19,2,66.67%,15,78.95%,6,75.00%,1,12.50%,2.908,1.908,,1,,,5,,,8,8,8,100.00%,7,87.50%,1,12.50%,1
14083,DAVIDE,FRATTESI,FRATTESI D.,22-09-1999,131353,47,,,,7,,,6,85.71%,,,10,,,,4,,,,1,2,50.00%,,,,12,4,2,16.67%,3,25.00%,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,,,,,,,,,,,,,3,25.00%,6,50.00%,2,33.33%,1,33.33%,3,,,2,1,50.00%,66.67%,1,50.00%,,,,,,,,,,1,10.00%,,,,,,,,,,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6203,JORGE LUIZ,FRELLO FILHO,JORGINHO,20-12-1991,131353,47,1,,,31,,,27,87.10%,,,24,,,,4,,,,3,3,75.00%,3,3,100.00%,5,,,,2,40.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,,,,,,,,,,,,,,,1,20.00%,,,1,50.00%,,,,,,,,,,,,,,,,,,,3,12.50%,,,,,,,,,,,,,4,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7227,LORENZO,PELLEGRINI,PELLEGRINI LO.,19-06-1996,131353,83,,,,24,1,4.17%,20,83.33%,1,100.00%,22,,,,4,,,,4,2,50.00%,3,2,66.67%,13,2,1,7.69%,4,30.77%,1,0.047,0.000,0.000,0.000,0.047,-0.047,0.047,0.000,1,,,1,1,100.00%,,,,,,,,,3,23.08%,8,61.54%,5,62.50%,3,75.00%,3,,,1,,,25.00%,1,100.00%,1,,,,,1,100.00%,,,3,13.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
19990,GIACOMO,RASPADORI,RASPADORI G.,18-02-2000,131353,15,1,,,14,3,21.43%,13,92.86%,3,100.00%,12,,,,,1,,,,,,1,,,2,,,,1,50.00%,,0.000,0.000,0.508,0.000,0.508,0.000,0.000,0.000,1,,,,,,,,,1,1,100.00%,,,,,1,50.00%,1,100.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38196,MATEO,RETEGUI,RETEGUI M.,29-04-1999,131353,33,,,,1,,,1,100.00%,,,4,,,,1,,,,,1,100.00%,,,,5,1,1,20.00%,3,60.00%,,0.000,0.000,0.000,0.000,-0.337,0.000,0.000,0.000,1,1,25.00%,,,,,,,,,,,,1,20.00%,3,60.00%,3,100.00%,2,66.67%,1,,,,,,33.33%,,,,,,,,,,,,2,50.00%,,,,,,,,,,,,,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14684,GIANLUCA,SCAMACCA,SCAMACCA G.,01-01-1999,131353,65,,,,12,1,8.33%,6,50.00%,,,15,,,,9,,,,2,2,22.22%,,,,11,3,2,18.18%,5,45.45%,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,1,6.67%,1,1,100.00%,,,,,,,,,1,9.09%,5,45.45%,2,40.00%,2,40.00%,1,,,1,1,100.00%,60.00%,1,50.00%,,,,,,,,,,2,13.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
8666,MATTIA,ZACCAGNI,ZACCAGNI M.,16-06-1995,131353,33,,,,14,2,14.29%,11,78.57%,1,50.00%,12,,,,1,1,1,100.00%,1,,,,,,5,,1,20.00%,2,40.00%,,0.000,0.000,0.246,0.000,0.246,0.000,0.000,0.000,1,1,8.33%,,,,,,,1,,,,,1,20.00%,4,80.00%,3,75.00%,1,50.00%,1,,1,1,1,100.00%,,1,100.00%,,,,,,,,,,1,8.33%,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
