Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,palleLaterali,perdePalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,traversoni,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliFatti,falliSubiti,inFuorigioco,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,dribblingPositivo,dribblingPositivo_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,duelliTackleVinti,duelliTackleVinti_PERC,interventoNegativo,espulsioni,giochiPortiereRicevuti,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,ammonizioni,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,lanciPositivi,lanciPositivi_PERC,tiriDiTesta,tiriDiTesta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,cutBack
71450,CRISTIAN JESUS,MARTINEZ,MARTINEZ C.,06-02-1997,131482,80,1,1,100.00%,4,2,50.00%,57,6,10.53%,46,80.70%,4,66.67%,1,1.85%,54,1,1.85%,,,,,,,,3,1,33.33%,,,3,8,1,12.50%,10,4,40.00%,1,25.00%,4,100.00%,3,30.00%,1,33.33%,3,30.00%,0.037,0.036,0.617,0.000,0.654,0.000,0.037,0.000,821,1,100.00%,,,,1,1,100.00%,,,3,2,66.67%,1,1,,,,,2,,,,,1,100.00%,1,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93497,RODERICK ALONSO,MILLER MOLINA,MILLER R.,03-04-1992,131482,100,,,,,,,75,2,2.67%,67,89.33%,1,50.00%,,,63,,,,,,,,,,,,,,,,3,,,11,8,72.73%,2,25.00%,1,12.50%,6,54.55%,5,83.33%,2,18.18%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,,,,,,,,,8,1,12.50%,,1,,,1,9.09%,1,1,,,,,,1,,,,,,,,,,,1,50.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50441,ORLANDO,MOSQUERA,MOSQUERA O.,25-12-1994,131482,100,,,,,,,20,,,19,95.00%,,,,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,13,4,30.77%,,2,2,1,3,2,66.67%,1,6,6,100.00%,7,53.85%,2,15.38%,2,100.00%,1,1.359,0.359,,,,,,,,,
16676,MICHAEL AMIR,MURILLO BERMUDEZ,MURILLO A.,11-02-1996,131482,100,1,,,1,,,60,7,11.67%,52,86.67%,4,57.14%,1,2.08%,48,2,4.17%,,,,,,,,5,2,40.00%,,,5,3,,,8,5,62.50%,1,20.00%,1,20.00%,5,62.50%,4,80.00%,1,12.50%,0.112,0.125,1.082,0.000,0.905,0.013,0.112,0.000,821,1,100.00%,1,100.00%,,,,,,,6,,,,1,,,,,1,,,1,100.00%,,,1,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17799,TYLER,ADAMS,ADAMS T.,14-02-1999,131482,50,,,,3,,,17,1,5.88%,12,70.59%,,,,,9,,,,,,,,,,,,,,,,4,1,25.00%,7,5,71.43%,4,80.00%,1,20.00%,4,57.14%,4,100.00%,1,14.29%,0.000,0.000,0.333,0.000,0.333,0.000,0.000,0.000,819,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,,,,,,,
24860,FOLARIN,BALOGUN,BALOGUN F.,03-07-2001,131482,77,2,,,,,,7,1,14.29%,6,85.71%,1,100.00%,4,21.05%,19,2,10.53%,,,,,,,,,,,,,,7,,,11,5,45.45%,3,60.00%,6,120.00%,5,45.45%,,,3,27.27%,0.175,0.480,0.000,0.000,0.175,0.305,0.175,0.000,819,1,50.00%,2,100.00%,,,,,,,1,,,,,,,3,27.27%,,3,2,1,100.00%,,,1,,,,,1,50.00%,1,100.00%,1,100.00%,2,66.67%,,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11486,CAMERON,CARTER-VICKERS,CARTER-VICKERS C.,31-12-1997,131482,49,,,,,,,4,1,25.00%,3,75.00%,,,,,3,,,,,,,,,,,,,,,,1,,,6,5,83.33%,1,20.00%,1,20.00%,2,33.33%,1,50.00%,1,16.67%,0.000,0.000,0.201,0.000,0.201,0.000,0.000,0.000,819,,,,,,,,,,,2,,,,2,,,1,16.67%,,1,,,,,,1,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65577,JOAO LUCAS,DE SOUZA CARDOSO,CARDOSO J.,20-09-2001,131482,49,,,,,,,10,,,7,70.00%,,,,,7,,,,,,,,,,,,,,,,1,1,100.00%,7,4,57.14%,,,3,75.00%,2,28.57%,,,3,42.86%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819,,,,,,,,,,,2,1,50.00%,,2,1,50.00%,,,,,,,,,,1,,,,,,,,,,,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10223,ETHAN,HORVATH,HORVATH E.,09-06-1995,131482,49,,,,,,,20,1,5.00%,10,50.00%,,,,,3,,,,,,,,,,,,,,,,7,2,28.57%,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,16,6,37.50%,,2,3,,3,2,66.67%,2,2,1,50.00%,,,10,62.50%,2,100.00%,1,1.024,0.024,4,57.14%,1,50.00%,,,,,
17390,WESTON,MCKENNIE,MCKENNIE W.,28-08-1998,131482,100,2,,,1,1,100.00%,17,4,23.53%,13,76.47%,1,25.00%,2,10.00%,20,3,15.00%,1,,,1,100.00%,,,1,,,,,1,3,2,66.67%,11,7,63.64%,4,57.14%,4,57.14%,6,54.55%,4,66.67%,3,27.27%,0.557,0.487,0.806,0.086,0.633,-0.070,0.557,0.000,819,1,50.00%,2,100.00%,,,,,,,2,1,50.00%,,,,,2,18.18%,,2,,1,100.00%,,,2,,,,,,,,,,,1,33.33%,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,2,100.00%,,,
59298,RICARDO DANIEL,PEPI,PEPI R.,09-01-2003,131482,23,1,,,,,,3,,,3,100.00%,,,1,16.67%,6,1,16.67%,,,,,,,,,,,,,,3,1,33.33%,6,,,,,5,,4,66.67%,,,1,16.67%,0.255,0.393,0.000,0.000,-0.094,0.138,0.255,0.000,819,1,100.00%,1,100.00%,,,,,,,1,1,100.00%,,1,1,100.00%,,,,,,1,100.00%,,,1,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,1,100.00%,1,100.00%,
10444,CHRISTIAN,PULISIC,PULISIC C.,18-09-1998,131482,100,,,,4,3,75.00%,19,6,31.58%,14,73.68%,4,66.67%,1,5.56%,18,1,5.56%,4,,,3,75.00%,,,,,,,,,9,2,22.22%,7,3,42.86%,2,66.67%,3,100.00%,1,14.29%,,,3,42.86%,0.000,0.000,1.096,0.278,0.995,0.000,0.000,0.000,819,,,,,,1,1,100.00%,,,,,,1,,,,2,28.57%,,2,,,,,,2,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22.22%,,,,,,,
26314,TIM,REAM,REAM T.,05-10-1987,131482,91,,,,,,,15,,,10,66.67%,,,,,10,,,,,,,,,,,,,,,,3,,,4,2,50.00%,,,,,,,,,1,25.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819,,,,,,,,,,,3,,,,2,1,50.00%,,,1,,1,,,,,2,,,,,,,,,,,1,100.00%,,,1,,,1,1,100.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
23343,GIOVANNI,REYNA,REYNA G.,13-11-2002,131482,50,,,,,,,6,1,16.67%,6,100.00%,1,100.00%,,,6,,,,,,,,,,,,,,,,2,1,50.00%,4,1,25.00%,1,100.00%,1,100.00%,1,25.00%,,,3,75.00%,0.000,0.000,0.102,0.000,0.102,0.000,0.000,0.000,819,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24935,CHRISTOPHER JEFFREY,RICHARDS,RICHARDS C.,28-03-2000,131482,100,1,,,,,,28,1,3.57%,21,75.00%,,,1,6.67%,15,2,13.33%,,,,,,,,,,,,,,3,,,7,7,100.00%,1,14.29%,,,4,57.14%,4,100.00%,3,42.86%,0.199,0.000,0.474,0.000,0.217,-0.199,0.199,0.000,819,,,1,100.00%,,,,,,,8,1,12.50%,,,,,,,,,,,,,,2,,,,,,,,,,,3,100.00%,,,2,1,100.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
17797,ANTONEE,ROBINSON,ROBINSON A.,08-08-1997,131482,100,,,,1,1,100.00%,38,5,13.16%,26,68.42%,3,60.00%,,,13,1,7.69%,1,1,100.00%,1,100.00%,1,100.00%,2,1,50.00%,,,3,4,2,50.00%,10,9,90.00%,,,1,11.11%,1,10.00%,1,100.00%,5,50.00%,0.000,0.000,0.602,0.035,0.602,0.000,0.000,0.000,819,,,,,,1,,,1,100.00%,13,3,23.08%,1,1,,,2,20.00%,,2,,,,,,2,,,1,100.00%,,,,,,,4,80.00%,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
17809,JOSH,SARGENT,SARGENT J.,20-02-2000,131482,9,,,,,,,1,,,1,100.00%,,,,,2,,,,,,,,,,,,,,,,1,,,3,1,33.33%,,,1,100.00%,1,33.33%,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819,,,,,,,,,,,,,,,,,,1,33.33%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36637,JOE,SCALLY,SCALLY J.,31-12-2002,131482,100,,,,,,,24,,,16,66.67%,,,,,18,,,,,,,,,,,,,,,,8,1,12.50%,16,12,75.00%,5,41.67%,3,25.00%,5,31.25%,2,40.00%,3,18.75%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819,,,,,,,,,,,2,,,3,,,,5,31.25%,,5,,,,,,2,,,2,66.67%,,,,,,,3,100.00%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36635,MATT,TURNER,TURNER M.,24-06-1994,131482,50,,,,,,,16,,,9,56.25%,,,,,6,,,,,,,,,,,,,,,,6,1,16.67%,2,2,100.00%,,,,,1,50.00%,1,100.00%,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819,,,,,,,,,,,5,,,,,,,1,50.00%,,1,,,,,,1,,,,,,,,,,,,,,,,,,10,5,50.00%,,,2,,1,,,2,4,3,75.00%,2,20.00%,3,30.00%,,,1,0.735,-0.265,,,,,,,,,
17803,TIMOTHY,WEAH,WEAH T.,22-02-2000,131482,15,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,3,,,,,3,,1,33.33%,,,1,33.33%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
