Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiriDaFuori,tiriDaFuori_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,thirdPass,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,inFuorigioco,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,cutBackVincenti,cutBackVincenti_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,retiSub,triangolazione,triChiusa,triChiusa_PERC,triFatta,triFatta_PERC,ammonizioni,interventoPositivo,parataPiede,parataPiede_PERC,retiSubGK
36655,FACUNDO,PELLISTRI,PELLISTRI F.,20-12-2001,131483,86,1,1,100.00%,1,100.00%,1,100.00%,3,2,66.67%,26,7,26.92%,21,80.77%,5,71.43%,2,7.41%,1,50.00%,27,4,14.81%,,2,1,50.00%,2,100.00%,1,50.00%,3,1,33.33%,5,5,4,,,2,50.00%,3,3,100.00%,5,2,40.00%,16,1,6.25%,8,50.00%,4,50.00%,8,100.00%,1,6.25%,1,100.00%,3,18.75%,,,3,1,1,100.00%,1,100.00%,,,1,100.00%,2,50.00%,0.544,0.676,1.412,0.113,1.306,0.131,0.544,0.000,246,,,1,100.00%,1,100.00%,1,100.00%,,,,,,,2,1,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26458,SERGIO,ROCHET,ROCHET S.,23-03-1993,131483,95,,,,,,,,1,,,16,,,15,93.75%,,,,,,,12,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,100.00%,2,10,1,50.00%,10,100.00%,4,2,50.00%,1,25.00%,1,100.00%,1,25.00%,0.045,0.045,,,,,,,,,,,,,,,,,
7420,LUIS,SUAREZ,SUAREZ L.,24-01-1987,131483,11,,,,,,,,,,,6,,,5,83.33%,,,1,25.00%,,,4,,,,,,,,,,,,,,,1,1,,,1,100.00%,,,,,,,1,,,1,100.00%,1,100.00%,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,1,100.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29661,MANUEL,UGARTE,UGARTE M.,11-04-2001,131483,95,1,1,100.00%,,,,,,,,53,2,3.77%,47,88.68%,1,50.00%,2,5.13%,,,39,,,1,,,,,,,,,,,,4,9,,,4,44.44%,1,,,8,4,50.00%,22,,,15,68.18%,7,46.67%,3,20.00%,,,,,13,59.09%,11,84.62%,,,,,,,,,,,2,22.22%,0.119,0.095,0.232,0.000,0.351,-0.024,0.119,0.000,246,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,
16801,FEDERICO,VALVERDE,VALVERDE F.,22-07-1998,131483,86,3,3,100.00%,2,66.67%,,,9,3,33.33%,58,5,8.62%,56,96.55%,5,100.00%,4,6.90%,2,50.00%,58,3,5.17%,,3,,,2,66.67%,,,1,1,100.00%,1,2,7,2,100.00%,4,57.14%,4,4,100.00%,1,1,100.00%,13,2,15.38%,9,69.23%,7,77.78%,,,2,15.38%,1,50.00%,3,23.08%,2,66.67%,2,2,1,33.33%,1,100.00%,1,100.00%,2,66.67%,2,28.57%,0.514,0.659,1.111,0.112,0.610,0.146,0.514,0.000,246,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,2,100.00%,,,,,,,,,,,,,
26459,MATIAS,VINA,VINA M.,09-11-1997,131483,83,,,,,,,,3,1,33.33%,46,3,6.52%,36,78.26%,1,33.33%,2,6.45%,,,31,1,3.23%,1,1,,,1,100.00%,,,,,,2,11,4,4,36.36%,1,25.00%,3,1,33.33%,2,2,100.00%,14,,,5,35.71%,3,60.00%,5,100.00%,3,21.43%,2,66.67%,6,42.86%,2,33.33%,1,,,,,,,,,,1,25.00%,0.000,0.000,0.369,0.028,0.369,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18.18%,,,,,,,,,,,,,
48446,CARMELO,ALGARANAZ,ALGARANAZ C.,27-01-1996,131483,83,2,1,50.00%,1,50.00%,,,,,,6,,,6,100.00%,,,1,4.55%,1,100.00%,22,1,4.55%,3,,,,,,,,,,,,9,4,1,11.11%,3,75.00%,5,2,40.00%,3,3,100.00%,31,,,5,16.13%,5,100.00%,23,460.00%,10,32.26%,2,20.00%,10,32.26%,1,10.00%,3,,,,,,,,1,100.00%,,,0.072,0.045,0.000,0.000,0.072,-0.027,0.072,0.000,779,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100.00%,4,,,,,,,,,,
20852,BORIS,CESPEDES,CESPEDES B.,19-06-1995,131483,95,,,,,,,,1,,,41,,,39,95.12%,,,1,3.13%,,,32,,,,,,,,,,,,,,,3,2,1,33.33%,1,50.00%,1,1,100.00%,3,2,66.67%,11,1,9.09%,6,54.55%,3,50.00%,3,50.00%,2,18.18%,2,100.00%,3,27.27%,1,33.33%,1,1,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,100.00%,,,,,,,
48443,LUCAS,CHAVEZ,CHAVEZ L.,17-04-2003,131483,26,,,,,,,,,,,6,,,4,66.67%,,,,,,,11,,,,,,,,,,,,,,,5,1,2,40.00%,,,2,,,1,1,100.00%,10,1,10.00%,1,10.00%,,,3,300.00%,,,,,4,40.00%,,,2,1,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40.00%,,,3,,,,,,,,,,
26512,JAUME ALBERT,CUELLAR MENDOZA,CUELLAR J. A.,23-08-2001,131483,20,,,,,,,,,,,5,,,2,40.00%,,,1,14.29%,,,7,,,,,,,,,,,,,,,5,,3,60.00%,,,3,,,,,,10,,,3,30.00%,1,33.33%,5,166.67%,2,20.00%,1,50.00%,5,50.00%,2,40.00%,1,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,80.00%,,,3,,,,,,,,,,
54469,HECTOR MANUEL,CUELLAR ROSALES,CUELLAR H.,16-08-2000,131483,95,,,,,,,,1,,,50,,,42,84.00%,,,,,,,39,,,2,,,,,,,,,,,,7,10,4,57.14%,,,7,6,85.71%,8,5,62.50%,26,1,3.85%,14,53.85%,2,14.29%,2,14.29%,5,19.23%,2,40.00%,5,19.23%,2,40.00%,,1,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,57.14%,,,5,1,1,100.00%,,,,,,,
20503,ROBERTO,FERNANDEZ,FERNANDEZ ROBERTO,12-07-1999,131483,47,,,,,,,,1,1,100.00%,18,2,11.11%,10,55.56%,2,100.00%,1,7.14%,,,14,,,,1,,,1,100.00%,,,,,,,7,,4,57.14%,,,1,,,1,1,100.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.022,0.000,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,114.29%,,,2,1,,,1,100.00%,,,,,
20448,LUIS FERNANDO,HAQUIN LOPEZ,HAQUIN L.,15-11-1997,131483,95,,,,,,,,1,,,46,1,2.17%,39,84.78%,,,,,,,33,1,3.03%,,,,,,,,,,,,,1,6,1,100.00%,1,16.67%,,,,3,3,100.00%,10,,,6,60.00%,1,16.67%,,,5,50.00%,4,80.00%,2,20.00%,2,100.00%,,,,,,,,,,,,,0.000,0.000,0.347,0.000,0.211,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,200.00%,,,5,,,,,,,,,,
48440,DIEGO DANIEL,MEDINA,MEDINA D.,13-01-2002,131483,20,,,,,,,,,,,7,,,5,71.43%,,,,,,,5,,,,,,,,,,,,,,,1,1,,,1,100.00%,,,,1,1,100.00%,4,,,1,25.00%,1,100.00%,2,200.00%,,,,,1,25.00%,1,100.00%,2,,,,,,,,,,1,100.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
55380,YOMAR RENE,ROCHA RODRIGUEZ,ROCHA Y.,21-06-2003,131483,75,,,,,,,,,,,18,,,14,77.78%,,,,,,,7,,,,,,,,,,,,,,,3,4,2,66.67%,1,25.00%,1,1,100.00%,4,2,50.00%,15,2,13.33%,10,66.67%,3,30.00%,1,10.00%,2,13.33%,1,50.00%,5,33.33%,4,80.00%,1,2,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,133.33%,,,2,,,,,,1,,,,
26505,JESUS MANUEL,SAGREDO CHAVEZ,SAGREDO JESUS,10-03-1994,131483,95,,,,,,,,2,,,47,,,42,89.36%,,,,,,,41,,,1,,,,,,,,,,,,6,7,5,83.33%,,,4,2,50.00%,3,2,66.67%,14,1,7.14%,8,57.14%,1,12.50%,,,3,21.43%,1,33.33%,3,21.43%,3,100.00%,,1,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,100.00%,,,5,,,,,,,2,,,
48439,MARCELO SEBASTIAN,SUAREZ,SUAREZ M.,20-12-2001,131483,48,,,,,,,,,,,13,2,15.38%,11,84.62%,,,2,16.67%,1,50.00%,12,1,8.33%,,,,,,,,,1,,,1,3,3,1,33.33%,1,33.33%,2,1,50.00%,5,2,40.00%,14,3,21.43%,8,57.14%,1,12.50%,2,25.00%,,,,,4,28.57%,1,25.00%,,3,,,,,,,,,,,0.000,0.000,0.348,0.000,0.231,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,3,,,,,,,,,,
48445,MIGUEL ANGEL,TERCEROS ACUNA,MIGUELITO,25-04-2004,131483,69,,,,,,,,1,1,100.00%,19,2,10.53%,15,78.95%,1,50.00%,2,8.00%,,,25,1,4.00%,,,,,,,,,1,,,1,6,3,3,50.00%,2,66.67%,8,4,50.00%,3,3,100.00%,20,,,6,30.00%,3,50.00%,8,133.33%,,,,,8,40.00%,2,25.00%,1,,,,,,,,,,1,33.33%,0.000,0.000,0.209,0.000,0.209,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,66.67%,,,2,1,,,1,100.00%,,,,,
54475,ADALID,TERRAZAS ABASTO,TERRAZAS A.,25-08-2000,131483,11,,,,,,,,1,,,4,,,4,100.00%,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,3,,,1,33.33%,1,100.00%,1,100.00%,,,,,2,66.67%,1,50.00%,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20453,RAMIRO,VACA,VACA R.,01-07-1999,131483,75,,,,,,,,2,,,29,4,13.79%,20,68.97%,1,25.00%,2,9.52%,,,21,,,2,,,,,,,,,,,,7,3,2,28.57%,1,33.33%,1,1,100.00%,3,2,66.67%,9,1,11.11%,4,44.44%,2,50.00%,2,50.00%,2,22.22%,,,2,22.22%,1,50.00%,,1,,,,,,,,,,,0.000,0.000,0.634,0.000,0.634,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28.57%,1,50.00%,2,1,,,1,100.00%,,,,,
48441,GABRIEL ALEJANDRO,VILLAMIL,VILLAMIL G.,28-06-2001,131483,95,,,,,,,,1,,,35,1,2.86%,30,85.71%,,,1,4.35%,,,23,,,,,,,,,,,1,,,1,8,4,4,50.00%,1,25.00%,3,2,66.67%,2,2,100.00%,14,,,5,35.71%,2,40.00%,5,100.00%,1,7.14%,1,100.00%,5,35.71%,2,40.00%,3,,,,,,,,,,,,0.000,0.000,0.199,0.000,0.199,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
48438,GUILLERMO,VISCARRA,VISCARRA G.,07-02-1993,131483,95,,,,,,,,,,,27,,,22,81.48%,,,,,,,8,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,4,2,9,4,44.44%,6,3,5,83.33%,3,100.00%,18,2,11.11%,6,33.33%,3,75.00%,10,55.56%,2.767,-2.233,,,,,,,5,,,,,,,2,1,25.00%,5
