Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevuti,assist,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,interventoPositivo,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,falliFatti,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,inFuorigioco,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,palleLaterali,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,ammonizioni,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,cross,triFatta,triFatta_PERC,tiriDiTesta,tiriDiTesta_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC
9554,YANN,SOMMER,SOMMER Y.,17-12-1988,131354,96,,,,30,,,24,80.00%,,,17,,3,,,,4,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,,,,,,,11,6,54.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,66.67%,7,12,4,57.14%,12,100.00%,4,36.36%,1,9.09%,2,100.00%,1,0.885,-0.115,,,,,,,,,,,,,,,,
23932,RUBEN,VARGAS,VARGAS R.,05-08-1998,131354,30,1,,,15,3,20.00%,9,60.00%,1,33.33%,13,1,4,,,,1,,,1,100.00%,,,,1,,,5,,,3,60.00%,3,100.00%,2,66.67%,4,80.00%,2,50.00%,,1,,,0.000,0.000,0.790,0.032,0.790,0.000,0.000,0.000,418,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
6351,SILVAN,WIDMER,WIDMER S.,05-03-1993,131354,96,,,,38,,,32,84.21%,,,17,,5,,,,4,1,20.00%,1,25.00%,,,,1,1,100.00%,6,,,3,50.00%,,,1,33.33%,4,66.67%,3,75.00%,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,,,,,,,,,,1,25.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018,GRANIT,XHAKA,XHAKA G.,27-09-1992,131354,96,1,,,42,,,35,83.33%,,,31,1,5,2,,,7,1,20.00%,5,71.43%,1,1,100.00%,,,,9,1,11.11%,4,44.44%,1,25.00%,3,75.00%,4,44.44%,2,50.00%,1,1,,,0.030,0.384,0.000,0.027,-0.131,0.354,0.030,0.030,418,,,1,,,,,,,,,1,14.29%,,,4,1,1,100.00%,1,100.00%,1,3.23%,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,
30865,ROBERT,ANDRICH,ANDRICH R.,22-09-1994,131354,67,5,,,63,1,1.59%,60,95.24%,,,57,1,3,,,,5,,,1,20.00%,,,,,,,11,,,6,54.55%,2,33.33%,2,33.33%,9,81.82%,6,66.67%,,1,,,0.045,0.000,0.323,0.045,-0.129,-0.045,0.045,0.018,11,1,1.75%,,2,18.18%,,,,,,,,,,,,2,,,2,100.00%,2,3.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38427,MAXIMILIAN,BEIER,BEIER M.,17-10-2002,131354,29,,,,6,2,33.33%,3,50.00%,,,10,,6,,,,,1,16.67%,,,,,,,,,7,,,2,28.57%,2,100.00%,4,200.00%,6,85.71%,2,33.33%,,,,,0.000,0.000,0.387,0.000,0.283,0.000,0.000,0.000,11,3,30.00%,1,1,14.29%,,,,,,,,,1,100.00%,,,,,,,1,10.00%,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14216,NICLAS,FULLKRUG,FULLKRUG N.,09-02-1993,131354,19,,,,2,,,2,100.00%,,,3,,,,,,,,,,,,,,,,,2,,,1,50.00%,1,100.00%,1,100.00%,1,50.00%,,,,,,,0.127,0.508,0.125,0.000,-0.081,0.381,0.127,0.000,11,1,33.33%,,1,50.00%,1,100.00%,,,,,,,,,,1,1,100.00%,,,1,33.33%,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,1,100.00%,1,100.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,,,,,,,
7218,ILKAY,GUNDOGAN,GUNDOGAN I.,24-10-1990,131354,96,2,,,42,3,7.14%,36,85.71%,,,45,,6,,,,1,1,16.67%,,,1,1,100.00%,3,2,66.67%,11,,,3,27.27%,2,66.67%,4,133.33%,4,36.36%,1,25.00%,,1,2,33.33%,0.325,0.036,0.215,0.000,0.392,-0.289,0.325,0.325,11,1,2.22%,,2,18.18%,,,,,,,,,,,1,2,1,50.00%,1,50.00%,4,8.89%,1,1,100.00%,,,,,,,,,,,,1,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13310,KAI,HAVERTZ,HAVERTZ K.,11-06-1999,131354,96,,,,29,4,13.79%,27,93.10%,2,50.00%,39,,7,2,2,100.00%,2,2,28.57%,,,1,,,,,,17,1,5.88%,7,41.18%,5,71.43%,7,100.00%,11,64.71%,4,36.36%,1,1,,,0.530,0.056,0.104,0.000,-0.806,-0.475,0.530,0.231,11,6,15.38%,2,4,23.53%,2,50.00%,,,,,,,1,50.00%,,5,1,20.00%,,,5,12.82%,1,,,,,,,,,,,,,,,5,100.00%,5,100.00%,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,4,80.00%,,,,,,,,,,,
9831,JOSHUA,KIMMICH,KIMMICH J.,08-02-1995,131354,96,,,,80,5,6.25%,71,88.75%,,,68,,5,,,,5,1,20.00%,3,60.00%,,,,1,,,4,,,3,75.00%,2,66.67%,1,33.33%,3,75.00%,2,66.67%,,1,2,40.00%,0.164,0.192,1.065,0.000,0.879,0.029,0.164,0.164,11,3,4.41%,3,,,,,,,,,1,20.00%,,,,1,1,100.00%,,,1,1.47%,,,,,,,,,,,,,,,3,1,100.00%,1,100.00%,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
7487,TONI,KROOS,KROOS T.,04-01-1990,131354,96,9,4,44.44%,115,15,13.04%,107,93.04%,10,66.67%,92,4,2,1,1,100.00%,8,1,50.00%,2,25.00%,,,,2,1,50.00%,8,2,25.00%,7,87.50%,4,57.14%,,,3,37.50%,3,100.00%,2,1,,,0.052,0.000,2.542,0.134,2.318,-0.052,0.052,0.052,11,1,1.09%,,1,12.50%,1,100.00%,,,,,2,25.00%,,,1,1,,,1,100.00%,2,2.17%,,,,,,4,100.00%,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,66.67%,,,,,
15741,MAXIMILIAN,MITTELSTADT,MITTELSTADT M.,18-03-1997,131354,63,,,,44,4,9.09%,36,81.82%,,,39,,6,2,,,5,1,16.67%,2,40.00%,1,1,100.00%,,,,9,4,44.44%,7,77.78%,2,28.57%,1,14.29%,4,44.44%,2,50.00%,4,1,2,33.33%,0.000,0.000,0.595,0.000,0.595,0.000,0.000,0.000,11,2,5.13%,1,,,,,,,,,,,,,,,,,,,2,5.13%,,,,,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,100.00%,,,,,,,,,,,,,
24707,JAMAL,MUSIALA,MUSIALA J.,26-02-2003,131354,77,4,1,25.00%,31,6,19.35%,30,96.77%,6,100.00%,32,4,6,,,,4,1,16.67%,2,50.00%,5,2,40.00%,2,2,100.00%,18,1,5.56%,7,38.89%,4,57.14%,10,142.86%,7,38.89%,3,42.86%,1,1,,,0.172,0.094,0.932,0.163,1.104,-0.078,0.172,0.172,11,,,,1,5.56%,1,100.00%,,,,,1,25.00%,,,2,1,1,100.00%,1,100.00%,3,9.38%,,1,100.00%,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7446,MANUEL,NEUER,NEUER M.,27-03-1986,131354,96,,,,36,,,29,80.56%,,,26,,7,,,,5,5,71.43%,,,,,,,,,,,,,,,,,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,66.67%,5,22,2,40.00%,18,81.82%,9,100.00%,,,2,100.00%,1,1.450,0.450,,,,,,,,,,,,,,,,
25117,DAVID,RAUM,RAUM D.,22-04-1998,131354,33,2,2,100.00%,20,2,10.00%,17,85.00%,2,100.00%,14,2,,,,,1,,,,,2,2,100.00%,,,,8,1,12.50%,5,62.50%,3,60.00%,3,60.00%,2,25.00%,1,50.00%,1,,,,0.011,0.000,0.417,0.130,0.429,-0.011,0.011,0.000,11,,,2,2,25.00%,1,50.00%,,,,,,,,,1,1,,,1,100.00%,1,7.14%,,,,1,50.00%,2,100.00%,1,50.00%,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,100.00%,1,50.00%,,,
8755,ANTONIO,RUDIGER,RUDIGER A.,03-03-1993,131354,96,,,,83,2,2.41%,79,95.18%,2,100.00%,77,,2,,,,9,2,100.00%,1,11.11%,1,,,1,,,18,2,11.11%,9,50.00%,3,33.33%,4,44.44%,9,50.00%,5,55.56%,2,1,4,200.00%,0.053,0.000,0.000,0.000,-0.688,-0.053,0.053,0.000,11,3,3.90%,5,3,16.67%,1,33.33%,,,,,,,,,2,1,,,,,1,1.30%,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,
7766,LEROY,SANE',SANE' L.,11-01-1996,131354,19,,,,5,,,5,100.00%,,,7,,1,1,,,,,,,,2,1,50.00%,,,,5,,,3,60.00%,,,1,33.33%,3,60.00%,2,66.67%,,,,,0.060,0.000,0.105,0.000,0.165,-0.060,0.060,0.060,11,,,,,,,,,,,,,,,,,1,,,,,1,14.29%,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,
20932,NICO,SCHLOTTERBECK,SCHLOTTERBECK N.,01-12-1999,131354,33,1,,,20,,,18,90.00%,,,12,1,1,,,,5,,,2,40.00%,,,,1,1,100.00%,8,,,4,50.00%,1,25.00%,1,25.00%,2,25.00%,1,50.00%,,,,,0.000,0.000,0.000,0.037,0.000,0.000,0.000,0.000,11,,,1,4,50.00%,3,75.00%,,1,1,100.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9565,JONATHAN,TAH,TAH J.,11-02-1996,131354,63,,,,48,2,4.17%,42,87.50%,,,44,,2,,,,2,2,100.00%,2,100.00%,,,,1,,,10,,,5,50.00%,3,60.00%,2,40.00%,6,60.00%,3,50.00%,,1,,,0.000,0.000,0.264,0.000,0.079,0.000,0.000,0.000,11,1,2.27%,5,1,10.00%,1,100.00%,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23830,FLORIAN,WIRTZ,WIRTZ F.,03-05-2003,131354,77,2,1,50.00%,53,2,3.77%,49,92.45%,1,50.00%,46,2,6,2,1,50.00%,3,1,16.67%,,,2,1,50.00%,1,,,14,,,6,42.86%,4,66.67%,4,66.67%,9,64.29%,4,44.44%,,1,,,0.000,0.000,0.449,0.107,0.449,0.000,0.000,0.000,11,1,2.17%,,,,,,,,,,,,,,2,,,,,,1,2.17%,,,,,,1,50.00%,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50.00%,,,,,,,,,,,1,1,100.00%
