Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,cross,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,assist,assistVincenti,assistVincenti_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,triChiusa,triChiusa_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliFatti,falliSubiti,inFuorigioco,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,ammonizioni,interventoNegativo,thirdPass,tiroGolFuoriArea,tiroGolFuoriArea_PERC,traversoni,crossRiusciti,crossRiusciti_PERC,retiSub,tiriDiTesta,tiriDiTesta_PERC,retiSubGK,cutBack
27431,AMADOU,ONANA,ONANA A.,16-08-2001,131361,95,52,,,49,94.23%,,,,,39,,,,,,1,,,,7,3,42.86%,1,,,5,2,40.00%,10,7,70.00%,4,57.14%,2,28.57%,1,10.00%,1,100.00%,3,30.00%,3,100.00%,0.049,0.000,0.000,0.000,0.049,-0.049,0.049,0.049,428,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,1,14.29%,,,,,,,,,,1,,,,,,,,,,,
26708,ARTHUR,THEATE,THEATE A.,25-05-2000,131361,77,42,1,2.38%,34,80.95%,1,100.00%,,,25,,,1,,,4,,,,6,1,16.67%,,,,,,,11,9,81.82%,4,44.44%,,,7,63.64%,5,71.43%,4,36.36%,4,100.00%,0.000,0.000,0.000,0.025,0.000,0.000,0.000,0.000,428,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,75.00%,4,100.00%,,,,,,,,,,,,,,,,,
13799,YOURI,TIELEMANS,TIELEMANS Y.,07-05-1997,131361,73,52,2,3.85%,47,90.38%,,,2,5.13%,39,1,2.56%,,1,1,4,1,,,7,4,57.14%,1,1,100.00%,2,1,50.00%,12,8,66.67%,4,50.00%,2,25.00%,1,8.33%,,,5,41.67%,5,100.00%,0.128,0.406,0.380,0.051,-0.097,0.277,0.128,0.128,428,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,100.00%,,,2,100.00%,,,,,1,100.00%,1,8.33%,2,1,,1,50.00%,,,1,100.00%,,,2,100.00%,,,1,14.29%,,,,,,,,,,,2,1,100.00%,,,,,,,,
13125,LEANDRO,TROSSARD,TROSSARD L.,04-12-1994,131361,38,10,3,30.00%,7,70.00%,,,1,7.69%,13,2,15.38%,1,,1,2,,,,1,1,100.00%,5,4,80.00%,,,,7,5,71.43%,2,40.00%,1,20.00%,1,14.29%,,,,,,,0.074,0.446,0.960,0.000,0.933,0.371,0.074,0.074,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,,,,,,,,,1,14.29%,,1,1,,,,,,,1,100.00%,,,,,,,,,,,,,1,100.00%,,,,,,1,,,,,,,
8549,JAN,VERTONGHEN,VERTONGHEN J.,24-04-1987,131361,95,46,,,41,89.13%,,,1,2.44%,41,1,2.44%,2,,,3,,,,3,2,66.67%,,,,,,,8,6,75.00%,1,16.67%,1,16.67%,2,25.00%,2,100.00%,4,50.00%,3,75.00%,0.191,0.000,0.000,0.000,-0.051,-0.191,0.191,0.191,428,1,,,,,,1,,,,,,,,,,1,,,,,,,,,1,100.00%,,,1,,,1,100.00%,,,,,,,,,1,12.50%,1,1,,,,,,,,,,,,,,,,2,66.67%,2,66.67%,1,100.00%,,,,,,,,,,,,,,,
9542,DENIS,ALIBEC,ALIBEC D.,05-01-1991,131361,14,1,,,1,100.00%,,,1,20.00%,5,,,2,,,2,,,,,,,,,,,,,3,2,66.67%,1,50.00%,1,50.00%,,,,,2,66.67%,1,50.00%,0.307,0.790,0.000,0.000,0.307,0.483,0.307,0.307,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,,,,,,,,,1,33.33%,,1,,,,,,,,1,100.00%,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,
62173,NICUSOR SILVIU,BANCU,BANCU N.,18-09-1992,131361,95,50,3,6.00%,42,84.00%,1,33.33%,1,2.86%,35,,,1,3,3,8,,,,3,,,1,,,8,7,87.50%,13,1,7.69%,,,6,600.00%,,,,,2,15.38%,,,0.000,0.000,0.690,0.053,0.564,0.000,0.000,0.000,486,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,6,75.00%,2,25.00%,,,,,1,,,,,,1,33.33%,2,,,,
21539,ANDREI,BURCA,BURCA A.,15-04-1993,131361,95,49,,,42,85.71%,,,1,3.23%,31,1,3.23%,3,,,1,,,,8,1,12.50%,,,,5,3,60.00%,14,8,57.14%,1,12.50%,1,12.50%,4,28.57%,3,75.00%,4,28.57%,2,50.00%,0.128,0.000,0.000,0.000,-0.058,-0.128,0.128,0.128,486,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,100.00%,,,,,,,,,1,7.14%,,1,,,,,,,,,,,,,,,,1,100.00%,,,1,100.00%,,,,,,,,,,,2,1,100.00%,,
19571,DENIS,DRAGUS,DRAGUS D.,06-07-1999,131361,81,14,2,14.29%,8,57.14%,,,2,9.52%,21,2,9.52%,1,1,1,10,3,1,33.33%,1,,,2,,,3,2,66.67%,18,5,27.78%,2,40.00%,7,140.00%,3,16.67%,,,7,38.89%,3,42.86%,0.000,0.000,0.594,0.000,0.220,0.000,0.000,0.000,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,1,5.56%,2,1,,,,,,,,,,,,,,,,5,50.00%,4,40.00%,,,1,100.00%,,,,,,,,,2,,,,
23248,RADU,DRAGUSIN,DRAGUSIN R.,03-02-2002,131361,95,27,,,22,81.48%,,,1,4.76%,21,3,14.29%,2,,,2,,,,5,2,40.00%,2,2,100.00%,3,2,66.67%,13,7,53.85%,1,14.29%,2,28.57%,3,23.08%,,,3,23.08%,2,66.67%,0.111,0.149,0.000,0.000,-0.630,0.038,0.111,0.019,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,50.00%,1,50.00%,1,50.00%,,,,,,,2,15.38%,,2,,,,,,,,1,100.00%,,,,,,,1,50.00%,2,100.00%,1,100.00%,,,,,,,,,,,2,1,50.00%,,
11546,IANIS,HAGI,HAGI I.,22-10-1998,131361,27,22,1,4.55%,20,90.91%,1,100.00%,1,3.85%,26,2,7.69%,2,,1,2,1,1,100.00%,,,,3,3,100.00%,,,,8,6,75.00%,3,50.00%,2,33.33%,1,12.50%,1,100.00%,3,37.50%,1,33.33%,0.000,0.000,0.000,0.000,-0.247,0.000,0.000,0.000,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.50%,,1,1,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,1,,,,
16004,DENNIS,MAN,MAN D.,26-08-1998,131361,95,30,8,26.67%,22,73.33%,5,62.50%,3,7.89%,38,3,7.89%,2,2,2,10,2,1,50.00%,2,,,4,2,50.00%,3,3,100.00%,21,3,14.29%,2,66.67%,10,333.33%,7,33.33%,1,14.29%,6,28.57%,,,0.414,1.533,1.316,0.040,0.925,1.119,0.414,0.414,486,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,100.00%,2,66.67%,1,33.33%,,,,,1,50.00%,,,1,,,,,,,,,2,66.67%,1,33.33%,,,,,2,20.00%,,,,,1,50.00%,,,,,,,2,100.00%,2,,,,
14394,MARIUS,MARIN,MARIN M.,30-08-1998,131361,68,34,1,2.94%,32,94.12%,1,100.00%,,,23,,,,1,1,,2,1,50.00%,7,1,14.29%,,,,7,5,71.43%,17,6,35.29%,,,3,50.00%,1,5.88%,,,5,29.41%,3,60.00%,0.000,0.000,0.195,0.092,0.195,0.000,0.000,0.000,486,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,50.00%,1,5.88%,3,1,,,,,,,,,,,,,,1,14.29%,,,,,,,,,1,,,,,,1,100.00%,1,,,,
18555,RAZVAN,MARIN,MARIN R.,23-05-1996,131361,95,38,3,7.89%,35,92.11%,1,33.33%,2,5.13%,39,,,,,,5,1,1,100.00%,2,,,2,,,6,5,83.33%,15,4,26.67%,1,25.00%,6,150.00%,1,6.67%,,,3,20.00%,1,33.33%,0.038,0.000,0.405,0.035,0.443,-0.038,0.038,0.038,486,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,100.00%,,,,,,,2,13.33%,1,2,,,,,,,,,,,,,,,,2,40.00%,2,40.00%,,,,,,,,,,,,,2,,,,
24459,VALENTIN,MIHAILA,MIHAILA V.,02-02-2000,131361,68,21,2,9.52%,16,76.19%,2,100.00%,2,7.41%,27,1,3.70%,2,,,5,4,2,50.00%,,,,3,1,33.33%,2,2,100.00%,14,3,21.43%,2,66.67%,4,133.33%,3,21.43%,1,33.33%,5,35.71%,1,20.00%,0.170,0.359,0.435,0.000,0.605,0.190,0.170,0.143,486,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,1,25.00%,1,25.00%,3,75.00%,,,,,2,50.00%,,,1,,,,,,,,,,,1,100.00%,,,,,3,60.00%,2,40.00%,,,2,100.00%,,,,,,,,,1,,,,
24910,FLORIN,NITA,NITA F.,03-07-1987,131361,95,34,1,2.94%,30,88.24%,,,,,15,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,486,2,1,,,8,5,2,9,7,77.78%,9,9,9,100.00%,7,77.78%,16,3,18.75%,7,43.75%,7,87.50%,1,12.50%,6,37.50%,5.272,3.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,4,133.33%,,,,,,,,,,,,,2,,,2,
19572,DARIUS,OLARU,OLARU D.,03-03-1998,131361,27,15,2,13.33%,12,80.00%,1,50.00%,,,13,2,15.38%,,1,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,1,100.00%,,,0.000,0.000,0.324,0.000,0.324,0.000,0.000,0.000,486,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,1,,,,
19590,ANDREI,RATIU,RATIU A.,20-06-1998,131361,90,30,1,3.33%,26,86.67%,,,1,7.14%,14,1,7.14%,,,1,3,,,,7,1,14.29%,3,1,33.33%,10,6,60.00%,19,9,47.37%,2,22.22%,7,77.78%,,,,,6,31.58%,4,66.67%,0.000,0.000,0.238,0.038,0.238,0.000,0.000,0.000,486,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,4,133.33%,,,,,,,,,,,,,2,,,,1
29715,DEIAN,SORESCU,SORESCU D.,29-08-1997,131361,5,7,,,7,100.00%,,,,,4,,,,,,,1,1,100.00%,,,,,,,,,,1,1,100.00%,,,,,,,,,1,100.00%,1,100.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11106,NICOLAE,STANCIU,STANCIU N.,07-05-1993,131361,95,36,3,8.33%,30,83.33%,3,100.00%,1,3.03%,33,,,1,2,2,6,1,,,,,,1,1,100.00%,5,5,100.00%,12,2,16.67%,1,50.00%,5,250.00%,1,8.33%,1,100.00%,4,33.33%,,,0.000,0.000,0.747,0.136,0.747,0.000,0.000,0.000,486,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,1,33.33%,1,100.00%,,,1,,,,,,,,,,,,,,,,,2,33.33%,,,,,,,,,,,,,2,100.00%,2,,,,
