Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,falliFatti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveInArea,passChiaveInArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,traversoni,palleLaterali,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,ammonizioni,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,giochiPortiereRicevuti,duelliTackleVinti,duelliTackleVinti_PERC,crossRiusciti,crossRiusciti_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDaFuori,tiriDaFuori_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriDiTesta,tiriDiTesta_PERC,interventoNegativo,autogol,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,lanci,lanciPositivi,lanciPositivi_PERC,parataPiede,parataPiede_PERC,golProcurati,inFuorigioco,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC
10852,MARCEL,SABITZER,SABITZER M.,17-03-1994,131375,100,2,32,23,71.88%,2,7.69%,26,2,7.69%,9,5,2,22.22%,4,80.00%,7,,,,,4,,1,14.29%,,,5,71.43%,,3,60.00%,0.024,0.000,1.501,0.113,1.377,-0.024,0.024,0.000,510,1,,,,,1,50.00%,8,25.00%,2,25.00%,,,1,1,100.00%,,2,2,1,,,1,100.00%,,,,1,1,100.00%,,,,,,,1,4,44.44%,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,
21566,ROMANO,SCHMID,SCHMID R.,27-01-2000,131375,8,,8,6,75.00%,,,6,,,2,1,,,,,2,,,,,1,,1,50.00%,,,,,,,,0.000,0.000,0.255,0.000,0.255,0.000,0.000,0.000,510,,,,,,,,2,25.00%,2,100.00%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27994,NICOLAS,SEIWALD,SEIWALD N.,04-05-2001,131375,100,3,60,57,95.00%,,,54,,,3,4,,,,,10,6,60.00%,4,66.67%,3,50.00%,,,,,4,40.00%,,,,0.000,0.000,0.166,0.000,0.166,0.000,0.000,0.000,510,,,,,,,,1,1.67%,,,,,,,,,,,,,,,,,,,6,2,33.33%,,,,,,,1,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23809,GERNOT,TRAUNER,TRAUNER G.,25-03-1992,131375,41,4,35,35,100.00%,,,27,,,,5,,,,,4,3,75.00%,,,,,,,,,3,75.00%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,2,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,
36154,PATRICK,WIMMER,WIMMER P.,30-05-2001,131375,40,2,18,11,61.11%,2,10.00%,20,1,5.00%,6,1,,,1,100.00%,15,6,40.00%,6,100.00%,6,100.00%,2,13.33%,1,50.00%,6,40.00%,,,,0.048,0.516,0.491,0.000,0.539,0.468,0.048,0.000,510,1,1,100.00%,1,100.00%,,,4,22.22%,,,1,50.00%,,,,,1,1,,,,,,3,1,33.33%,3,2,66.67%,1,6.67%,1,1,100.00%,,,,,1,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,
13829,MAXIMILIAN,WOBER,WOBER M.,04-02-1998,131375,60,,46,38,82.61%,,,40,,,6,4,2,33.33%,1,25.00%,9,6,66.67%,2,33.33%,1,16.67%,2,22.22%,1,50.00%,,,1,,,0.000,0.000,0.158,0.000,0.158,0.000,0.000,0.000,510,,,,,,,,1,2.17%,,,,,,,,1,,1,,,,,,,,,6,1,16.67%,,,,,,1,1,2,33.33%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
21574,EDUARDO,CAMAVINGA,CAMAVINGA E.,10-11-2002,131375,29,2,11,10,90.91%,,,8,1,12.50%,,4,,,1,25.00%,5,3,60.00%,,,,,1,20.00%,1,100.00%,1,20.00%,1,,,0.000,0.000,0.244,0.046,0.244,0.000,0.000,0.000,423,,,,,,1,50.00%,1,9.09%,1,100.00%,,,1,1,100.00%,,,1,,,,,,,,,,,,2,40.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,
11048,OUSMANE,DEMBELE',DEMBELE' O.,15-05-1997,131375,72,1,24,17,70.83%,2,8.70%,23,,,10,4,1,10.00%,1,25.00%,18,10,55.56%,6,60.00%,6,60.00%,2,11.11%,2,100.00%,5,27.78%,1,1,25.00%,0.054,0.000,0.587,0.040,0.641,-0.054,0.054,0.000,423,1,,,,,1,100.00%,5,20.83%,1,20.00%,,,1,1,100.00%,,1,2,,,,,,7,3,42.86%,,,,3,16.67%,3,,,1,,2,20.00%,,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,1,1,100.00%,,,,,,,,,
30850,YOUSSOUF,FOFANA,FOFANA Y.,10-01-1999,131375,9,,5,4,80.00%,,,3,,,,,,,,,2,1,50.00%,1,100.00%,,,1,50.00%,1,100.00%,,,,,,0.000,0.000,0.332,0.000,0.332,0.000,0.000,0.000,423,,,,,,,,1,20.00%,1,100.00%,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7723,OLIVIER,GIROUD,GIROUD O.,30-09-1986,131375,9,1,3,2,66.67%,,,6,2,33.33%,3,,,,,,3,2,66.67%,2,100.00%,1,50.00%,2,66.67%,1,50.00%,,,,,,0.000,0.000,0.153,0.032,-0.458,0.000,0.000,0.000,423,,,,,,1,100.00%,1,33.33%,1,100.00%,,,1,1,100.00%,,,,1,,,1,100.00%,,,,,,,1,33.33%,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,
7617,ANTOINE,GRIEZMANN,GRIEZMANN A.,21-03-1991,131375,91,2,35,25,71.43%,2,6.67%,30,,,8,,3,37.50%,,,6,1,16.67%,1,100.00%,1,100.00%,1,16.67%,,,2,33.33%,1,,,0.113,0.000,1.446,0.084,1.559,-0.113,0.113,0.000,423,1,,,1,100.00%,1,50.00%,8,22.86%,3,37.50%,,,1,1,100.00%,,1,1,,,,,,2,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15562,THEO BERNARD FRANCOIS,HERNANDEZ,HERNANDEZ T.,06-10-1997,131375,100,1,52,45,86.54%,1,2.27%,44,2,4.55%,6,4,4,66.67%,,,15,11,73.33%,2,18.18%,1,9.09%,2,13.33%,1,50.00%,4,26.67%,,,,0.000,0.000,0.659,0.023,0.531,0.000,0.000,0.000,423,,,,,,,,3,5.77%,,,1,100.00%,1,,,1,1,2,5,4,80.00%,1,20.00%,5,2,40.00%,2,,,2,13.33%,2,,,,,4,66.67%,2,4,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11041,N'GOLO,KANTE',KANTE' N.,29-03-1991,131375,100,6,52,44,84.62%,1,2.38%,42,,,6,7,2,33.33%,3,42.86%,18,10,55.56%,4,40.00%,2,20.00%,1,5.56%,,,6,33.33%,1,1,14.29%,0.000,0.000,0.648,0.077,0.648,0.000,0.000,0.000,423,,,,,,2,33.33%,3,5.77%,2,66.67%,,,2,1,50.00%,1,,1,,,,,,4,2,50.00%,5,2,40.00%,1,5.56%,1,,,,,2,33.33%,,4,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25704,RANDAL,KOLO MUANI,KOLO MUANI R.,05-12-1998,131375,29,1,9,6,66.67%,2,15.38%,13,1,7.69%,7,2,1,14.29%,1,50.00%,13,4,30.77%,4,100.00%,7,175.00%,2,15.38%,,,5,38.46%,2,1,50.00%,0.000,0.000,0.558,0.000,0.425,0.000,0.000,0.000,423,,,,,,,,3,33.33%,1,33.33%,,,,,,,,1,,,,,,3,1,33.33%,,,,1,7.69%,1,,,,,,,,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,
17928,JULES,KOUNDE',KOUNDE' J.,12-11-1998,131375,100,2,59,52,88.14%,2,5.71%,35,1,2.86%,5,8,1,20.00%,4,50.00%,10,6,60.00%,1,16.67%,3,50.00%,1,10.00%,1,100.00%,3,30.00%,,2,25.00%,0.197,0.213,0.250,0.000,0.205,0.016,0.197,0.000,423,1,1,100.00%,1,100.00%,,,1,1.69%,,,1,50.00%,,,,,1,1,,,,,,2,,,4,1,25.00%,,,,1,100.00%,,,,,4,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,,,,,,,,,,,,,,,,
21438,MIKE,MAIGNAN,MAIGNAN M.,03-07-1995,131375,100,,37,33,89.19%,,,25,,,3,5,2,66.67%,,,2,2,100.00%,,,,,,,,,1,50.00%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,,,,,,,,1,100.00%,,,2,5,2,2,2,100.00%,21,20,95.24%,9,5,55.56%,2,22.22%,1,50.00%,,2,22.22%,1.405,1.405,,,,,,,,,,,,7,5,71.43%,1,50.00%,,,,
11711,KYLIAN,MBAPPE',MBAPPE' K.,20-12-1998,131375,91,2,27,25,92.59%,8,22.22%,36,1,2.78%,5,,2,40.00%,,,14,8,57.14%,6,75.00%,4,50.00%,1,7.14%,1,100.00%,3,21.43%,,,,0.672,0.875,0.236,0.000,0.559,0.203,0.672,0.000,423,4,3,75.00%,4,100.00%,1,50.00%,5,18.52%,4,80.00%,1,12.50%,,,,,,1,3,,,3,100.00%,7,3,42.86%,,,,3,21.43%,3,3,100.00%,1,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,,,1,,,,,,,,1,,,
7437,ADRIEN,RABIOT,RABIOT A.,03-04-1995,131375,72,6,41,38,92.68%,2,6.25%,32,1,3.13%,3,4,,,1,25.00%,13,7,53.85%,3,42.86%,2,28.57%,3,23.08%,2,66.67%,4,30.77%,2,,,0.000,0.000,0.326,0.125,0.326,0.000,0.000,0.000,423,,,,,,,,1,2.44%,,,1,50.00%,3,,,,,1,1,1,100.00%,,,1,1,100.00%,2,2,100.00%,1,7.69%,1,,,,,,,1,3,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
30184,WILLIAM,SALIBA,SALIBA W.,24-03-2001,131375,100,1,63,60,95.24%,,,54,,,1,6,1,100.00%,,,9,6,66.67%,,,2,33.33%,2,22.22%,,,3,33.33%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,423,,,,,,,,,,,,,,,,,,,,1,,,1,100.00%,2,2,100.00%,2,,,,,,,,,,2,200.00%,7,2,66.67%,,,,,,,,,,,,1,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,
20214,MARCUS,THURAM,THURAM M.,06-08-1997,131375,100,1,25,21,84.00%,7,18.42%,38,6,15.79%,8,2,2,25.00%,,,23,13,56.52%,10,76.92%,4,30.77%,5,21.74%,3,60.00%,6,26.09%,2,,,0.514,0.841,0.454,0.000,-0.022,0.327,0.514,0.000,423,4,3,75.00%,3,75.00%,1,100.00%,2,8.00%,1,50.00%,4,57.14%,,,,,,,3,2,66.67%,1,33.33%,6,4,66.67%,2,1,50.00%,2,8.70%,2,2,66.67%,,,,,4,3,50.00%,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,1,25.00%,,,,,,,,,,,,,,1,1,33.33%
14949,DAYOT,UPAMECANO,UPAMECANO D.,27-10-1998,131375,100,1,59,50,84.75%,,,43,,,5,10,2,40.00%,4,40.00%,10,9,90.00%,3,33.33%,1,11.11%,3,30.00%,3,100.00%,5,50.00%,,1,10.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,423,,,,,,,,1,1.69%,,,,,,,,,,,,,,,,1,1,100.00%,,,,1,10.00%,1,,,,,4,80.00%,6,4,80.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
