Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,inFuorigioco,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,giochiPortiereRicevuti,triangolazione,triFatta,triFatta_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,triChiusa,triChiusa_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,thirdPass,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,ammonizioni,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,tiriDiTesta,tiriDiTesta_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,interventoNegativo
48439,MARCELO SEBASTIAN,SUAREZ,SUAREZ M.,20-12-2001,131490,96,9,,,55,2,3.64%,43,78.18%,,,,,41,,,,,,7,7,1,14.29%,,,2,15,1,6.67%,10,66.67%,,,,,5,33.33%,5,100.00%,4,26.67%,3,75.00%,2,1,,3,0.000,0.000,0.107,0.000,0.107,0.000,0.000,0.000,779,1,1,,,,,1,100.00%,1,1,100.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48445,MIGUEL ANGEL,TERCEROS ACUNA,MIGUELITO,25-04-2004,131490,82,,,,36,2,5.56%,32,88.89%,1,50.00%,8,22.86%,35,3,8.57%,,,,3,3,,,2,66.67%,1,12,,,6,50.00%,3,50.00%,4,66.67%,,,,,5,41.67%,1,20.00%,1,,,2,0.354,0.534,0.398,0.000,0.059,0.180,0.354,0.000,779,,3,2,66.67%,,,1,33.33%,5,5,100.00%,1,100.00%,4,3,75.00%,2,50.00%,1,12.50%,1,,,1,,,,,,,2,66.67%,,,,,,2,50.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54475,ADALID,TERRAZAS ABASTO,TERRAZAS A.,25-08-2000,131490,32,1,,,32,1,3.13%,31,96.88%,1,100.00%,3,10.00%,30,,,,,,2,2,1,50.00%,1,50.00%,2,6,,,1,16.67%,,,1,100.00%,1,16.67%,1,100.00%,1,16.67%,,,1,,,2,0.000,0.000,0.137,0.000,0.137,0.000,0.000,0.000,779,,2,2,100.00%,,,,,1,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20453,RAMIRO,VACA,VACA R.,01-07-1999,131490,82,2,1,50.00%,46,7,15.22%,37,80.43%,3,42.86%,5,11.36%,44,1,2.27%,1,1,100.00%,6,1,,,,,1,8,1,12.50%,2,25.00%,,,4,200.00%,,,,,2,25.00%,1,50.00%,3,1,1,2,0.000,0.000,0.573,0.057,0.573,0.000,0.000,0.000,779,,2,,,,,2,100.00%,1,,,1,100.00%,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48441,GABRIEL ALEJANDRO,VILLAMIL,VILLAMIL G.,28-06-2001,131490,64,,,,32,,,23,71.88%,,,2,6.67%,30,2,6.67%,,,,6,3,5,83.33%,,,,10,,,3,30.00%,1,33.33%,2,66.67%,2,20.00%,2,100.00%,5,50.00%,1,20.00%,3,,,1,0.290,0.749,0.000,0.000,-0.058,0.459,0.290,0.000,779,,2,2,100.00%,4,66.67%,,,,,,,,2,1,50.00%,2,100.00%,2,100.00%,,,,,,,,,,,1,100.00%,,,,,,,,,,1,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48438,GUILLERMO,VISCARRA,VISCARRA G.,07-02-1993,131490,96,,,,25,,,22,88.00%,,,,,9,,,,,,3,5,,,,,,2,,,2,100.00%,,,,,2,100.00%,2,100.00%,,,,,,,,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,7,3,42.86%,4,5,3,75.00%,5,100.00%,16,4,25.00%,2,12.50%,3,100.00%,3,10,62.50%,5.079,2.079,,,,,,,,,,,,,
54430,ABDIEL ARMANDO,AYARZA BOCANEGRA,AYARZA A.,12-09-1992,131490,22,,,,1,,,1,100.00%,,,,,2,,,,,,,1,,,1,100.00%,1,5,,,2,40.00%,2,100.00%,3,150.00%,1,20.00%,,,2,40.00%,1,50.00%,1,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16678,EDGAR YOEL,BARCENAS HERRERA,BARCENAS Y.,23-10-1993,131490,96,3,2,66.67%,37,3,8.11%,34,91.89%,2,66.67%,5,15.15%,33,3,9.09%,2,2,100.00%,4,1,1,25.00%,,,2,13,2,15.38%,8,61.54%,6,75.00%,4,50.00%,2,15.38%,,,2,15.38%,1,50.00%,,2,,1,0.284,1.104,0.549,0.097,0.591,0.820,0.284,0.000,821,2,1,,,,,1,100.00%,5,5,100.00%,2,100.00%,2,2,100.00%,1,50.00%,2,40.00%,1,1,100.00%,1,,,,,,,1,50.00%,,,1,50.00%,,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64833,CESAR RODOLFO,BLACKMAN CAMARENA,BLACKMAN C.,02-04-1998,131490,96,2,,,37,3,8.11%,30,81.08%,1,33.33%,3,8.33%,36,1,2.78%,1,,,8,4,1,12.50%,1,25.00%,1,15,1,6.67%,6,40.00%,4,66.67%,9,150.00%,5,33.33%,1,20.00%,6,40.00%,2,33.33%,,1,,1,0.000,0.000,0.694,0.050,0.694,0.000,0.000,0.000,821,2,2,1,50.00%,,,1,50.00%,2,2,100.00%,1,100.00%,,,,,,,,2,1,50.00%,4,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
52986,JOSE',CORDOBA,CORDOBA J.,03-06-2001,131490,96,6,,,64,1,1.56%,59,92.19%,,,1,2.22%,45,1,2.22%,,,,1,11,,,,,,9,1,11.11%,9,100.00%,,,,,2,22.22%,2,100.00%,6,66.67%,6,100.00%,,1,,1,0.086,0.000,0.000,0.000,-0.078,-0.086,0.086,0.000,821,2,1,1,100.00%,,,,,,,,,,1,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,100.00%,,,,,,,,,,,,,4,,,,,,,,4,100.00%,,,,,,,,,,,,,,,
16682,ERIC JAVIER,DAVIS GRAJALES,DAVIS E.,31-03-1991,131490,96,5,3,60.00%,65,14,21.54%,54,83.08%,8,57.14%,1,2.22%,45,2,4.44%,4,3,75.00%,2,7,,,4,57.14%,2,10,,,7,70.00%,4,57.14%,2,28.57%,5,50.00%,3,60.00%,2,20.00%,2,100.00%,,,,1,0.000,0.000,2.257,0.403,1.987,0.000,0.000,0.000,821,1,2,1,50.00%,,,1,50.00%,1,1,100.00%,1,50.00%,,,,,,1,100.00%,4,1,25.00%,8,,,,,,,,,2,28.57%,,,,,,,,,1,25.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,100.00%,1,50.00%,2,1,50.00%,,,,,
54418,JOSE',FAJARDO NELSON,FAJARDO J.,18-08-1993,131490,85,2,2,100.00%,19,4,21.05%,16,84.21%,2,50.00%,6,21.43%,28,8,28.57%,2,2,100.00%,9,1,,,1,100.00%,1,19,3,15.79%,9,47.37%,7,77.78%,10,111.11%,6,31.58%,1,16.67%,6,31.58%,4,66.67%,2,3,,1,0.886,0.597,1.089,0.083,0.648,-0.289,0.886,0.000,821,2,1,,,,,1,100.00%,1,1,100.00%,1,100.00%,3,1,33.33%,2,66.67%,2,33.33%,,,,,1,33.33%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,2,100.00%,,1,33.33%,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,
98301,EDGARDO ISAAC,FARINA WYNTER,FARINA E.,21-09-2001,131490,96,4,,,48,,,39,81.25%,,,,,35,1,2.86%,,,,6,5,,,,,,10,2,20.00%,8,80.00%,3,37.50%,2,25.00%,4,40.00%,3,75.00%,1,10.00%,1,100.00%,1,2,,1,0.000,0.000,0.000,0.000,-0.132,0.000,0.000,0.000,821,6,,,,,,,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49660,FREDDY,GONDOLA,GONDOLA F.,18-09-1995,131490,11,,,,1,,,1,100.00%,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,100.00%,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86392,EDUARDO ANTONIO,GUERRERO LOZCANO,GUERRERO E.,21-02-2000,131490,22,1,,,8,1,12.50%,6,75.00%,,,3,33.33%,9,1,11.11%,1,,,1,,,,,,,3,,,2,66.67%,2,100.00%,1,50.00%,2,66.67%,1,50.00%,,,,,,,,,0.262,0.786,0.214,0.058,0.321,0.525,0.262,0.000,821,,,,,,,,,1,1,100.00%,,,1,1,100.00%,1,100.00%,1,33.33%,,,,,1,100.00%,1,100.00%,,,1,100.00%,,,,,,,,,,,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,
72331,CARLOS MIGUEL,HARVEY CESNEROS,HARVEY C.,03-02-2000,131490,75,,,,44,1,2.27%,39,88.64%,,,,,40,2,5.00%,,,,4,2,1,25.00%,2,100.00%,,4,,,1,25.00%,1,100.00%,2,200.00%,2,50.00%,,,1,25.00%,1,100.00%,1,,,1,0.000,0.000,0.000,0.000,-0.149,0.000,0.000,0.000,821,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63247,KAHISER,LENIS NAVARRO,LENIS K.,23-07-2001,131490,50,,,,9,3,33.33%,7,77.78%,2,66.67%,5,35.71%,14,2,14.29%,,,,2,,,,,,,9,1,11.11%,4,44.44%,4,100.00%,5,125.00%,,,,,2,22.22%,,,1,1,,1,0.422,1.177,0.306,0.000,0.123,0.755,0.422,0.000,821,,,,,,,,,5,3,60.00%,,,2,2,100.00%,2,100.00%,2,40.00%,2,1,50.00%,3,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71450,CRISTIAN JESUS,MARTINEZ,MARTINEZ C.,06-02-1997,131490,74,2,2,100.00%,27,6,22.22%,21,77.78%,4,66.67%,3,12.50%,24,1,4.17%,1,1,100.00%,8,7,,,4,57.14%,1,17,5,29.41%,11,64.71%,8,72.73%,4,36.36%,2,11.76%,1,50.00%,6,35.29%,3,50.00%,,5,,1,0.084,0.499,0.690,0.077,0.286,0.415,0.084,0.000,821,,,,,,,,,3,2,66.67%,1,100.00%,1,1,100.00%,1,100.00%,1,33.33%,1,1,100.00%,2,,,,,,,1,100.00%,2,28.57%,,,1,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,
50441,ORLANDO,MOSQUERA,MOSQUERA O.,25-12-1994,131490,96,,,,39,,,30,76.92%,,,,,27,,,,,,6,1,3,50.00%,,,,1,,,1,100.00%,,,,,1,100.00%,1,100.00%,,,,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,4,2,50.00%,14,14,7,50.00%,13,92.86%,11,6,54.55%,5,45.45%,2,100.00%,1,,,1.941,0.941,,,,,,,,,,,,,1
16676,MICHAEL AMIR,MURILLO BERMUDEZ,MURILLO A.,11-02-1996,131490,46,1,,,19,2,10.53%,16,84.21%,2,100.00%,,,17,,,,,,4,2,1,25.00%,1,50.00%,,11,,,3,27.27%,2,66.67%,6,200.00%,3,27.27%,3,100.00%,5,45.45%,,,2,,,,0.000,0.000,0.329,0.000,0.329,0.000,0.000,0.000,821,1,1,1,100.00%,2,50.00%,,,1,,,,,,,,,,,,1,1,100.00%,2,,,,,,,,,,,1,100.00%,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44468,JOVANI,WELCH,WELCH J.,07-12-1999,131490,91,2,1,50.00%,33,1,3.03%,30,90.91%,1,100.00%,1,3.70%,27,,,,,,3,4,1,33.33%,3,75.00%,6,18,1,5.56%,11,61.11%,5,45.45%,3,27.27%,3,16.67%,1,33.33%,7,38.89%,6,85.71%,,1,,1,0.013,0.302,0.000,0.000,0.013,0.289,0.013,0.000,821,,,,,2,66.67%,,,1,1,100.00%,4,66.67%,1,1,100.00%,,,,,,,,,,,,,,,,,1,25.00%,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52031,CESAR,YANIS,YANIS C.,28-01-1996,131490,5,1,,,7,1,14.29%,5,71.43%,,,1,20.00%,5,,,,,,1,,,,,,,1,,,1,100.00%,1,100.00%,,,,,,,1,100.00%,1,100.00%,,,,,0.143,0.614,0.000,0.000,0.038,0.471,0.143,0.000,821,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,,,,,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
