Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,interventoPositivo,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdeMetaCampoProria,perdeMetaCampoProria_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,golSviluppoCorner,golSviluppoCorner_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistVincenti,assistVincenti_PERC,thirdPass,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,falliFatti,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,passChiaveInArea,passChiaveInArea_PERC,ammonizioni,assistInArea,assistInArea_PERC,triangolazione,triFatta,triFatta_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,inFuorigioco,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,triChiusa,triChiusa_PERC,tiroGolArea,tiroGolArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assistVincentiInArea,assistVincentiInArea_PERC,crossVincenti,crossVincenti_PERC,parataPiede,parataPiede_PERC
21550,ORKUN,KOKCU,KOKCU O.,29-12-2000,131367,99,2,55,4,7.27%,48,87.27%,58,,7,3,1,33.33%,2,1,50.00%,12,7,58.33%,5,71.43%,1,8.33%,,,4,33.33%,3,75.00%,,1,,,0.047,0.452,1.085,0.059,0.338,0.405,0.047,0.000,579,2,2,100.00%,2,100.00%,3,75.00%,4,6.90%,1,1,100.00%,1,,,,,,,,,2,100.00%,,,,,,,,,,,5,8.62%,1,1,100.00%,,2,16.67%,4,57.14%,1,2,,,1,50.00%,,,,2,,,,,,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,
17563,MERT,MULDUR,MULDUR M.,03-04-1999,131367,86,3,47,2,4.26%,40,85.11%,34,,5,5,4,80.00%,4,1,25.00%,13,8,61.54%,5,62.50%,2,15.38%,1,50.00%,4,30.77%,2,50.00%,,1,3,60.00%,0.470,1.150,0.351,0.023,0.459,0.680,0.470,0.000,579,3,3,100.00%,1,33.33%,1,50.00%,2,5.88%,1,1,100.00%,1,1,20.00%,1,33.33%,,,1,100.00%,1,33.33%,,,2,40.00%,2,66.67%,,,1,50.00%,1,2.94%,1,,,,1,7.69%,4,50.00%,1,1,2,66.67%,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,
15792,SALIH,OZCAN,OZCAN S.,11-01-1998,131367,7,,1,,,1,100.00%,2,,1,,,,,,,4,1,25.00%,,,2,50.00%,1,50.00%,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,200.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21439,YUSUF,YAZICI,YAZICI Y.,29-01-1997,131367,19,,4,,,3,75.00%,6,1,3,1,1,100.00%,,,,4,2,50.00%,2,100.00%,3,75.00%,1,33.33%,1,25.00%,1,100.00%,,,1,100.00%,0.265,0.235,0.000,0.000,0.017,-0.030,0.265,0.000,579,1,1,100.00%,,,,,1,16.67%,,,,,1,33.33%,,,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,1,16.67%,,,,,,,1,50.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,
31264,KENAN,YILDIZ,YILDIZ K.,04-05-2005,131367,86,2,37,3,8.11%,36,97.30%,45,,5,2,2,100.00%,1,1,100.00%,15,5,33.33%,5,100.00%,2,13.33%,1,50.00%,4,26.67%,,,,1,2,100.00%,0.123,0.452,0.743,0.037,0.289,0.329,0.123,0.000,579,2,2,100.00%,1,50.00%,3,100.00%,3,6.67%,,,,,1,20.00%,,,,,,,1,50.00%,,,,,1,50.00%,,,1,33.33%,4,8.89%,1,,,,,,8,160.00%,,,1,50.00%,1,50.00%,,,,,,,,,,8,4,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29786,BARIS ALPER,YILMAZ,BARIS YILMAZ,23-05-2000,131367,99,3,19,6,31.58%,15,78.95%,28,2,9,2,1,50.00%,1,1,100.00%,19,6,31.58%,3,50.00%,5,26.32%,1,20.00%,6,31.58%,1,16.67%,,1,1,50.00%,0.162,0.346,0.989,0.110,0.725,0.184,0.162,0.000,579,1,1,100.00%,,,3,50.00%,6,21.43%,2,1,50.00%,4,2,22.22%,,,,,,,,,,,,,1,100.00%,,,2,33.33%,4,14.29%,2,,,,2,10.53%,10,166.67%,1,2,1,100.00%,1,33.33%,,1,50.00%,,,,1,,,4,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,
27392,SANDRO,ALTUNASHVILI,ALTUNASHVILI S.,19-05-1997,131367,9,,7,1,14.29%,7,100.00%,6,,1,,,,,,,2,,,,,1,50.00%,,,,,,,,1,,,0.000,0.000,0.194,0.000,0.194,0.000,0.000,0.000,461,,,,,,1,100.00%,,,1,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23349,GIORGI,CHAKVETADZE,CHAKVETADZE G.,29-08-1999,131367,74,2,38,5,13.16%,32,84.21%,34,,4,,,,4,3,75.00%,15,7,46.67%,3,42.86%,3,20.00%,2,66.67%,5,33.33%,3,60.00%,,2,,,0.000,0.000,0.779,0.000,0.650,0.000,0.000,0.000,461,,,,,,3,60.00%,3,8.82%,,,,,1,25.00%,,,,,,,,,,,2,50.00%,,,,,,,,,,,,,,,2,28.57%,1,,,,,,,,,2,1,50.00%,,,,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,
27386,ZURIKO,DAVITASHVILI,DAVITASHVILI Z.,15-02-2001,131367,25,,5,,,5,100.00%,8,,2,,,,,,,4,,,,,,,,,3,75.00%,,,,1,,,0.217,0.183,0.000,0.000,0.217,-0.033,0.217,0.000,461,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,4,,,,1,100.00%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10079,LASHA,DVALI,DVALI L.,14-05-1995,131367,99,3,57,,,52,91.23%,41,2,2,9,1,11.11%,2,1,50.00%,10,6,60.00%,1,16.67%,4,40.00%,3,75.00%,3,30.00%,2,66.67%,,3,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27391,OTAR,KAKABADZE,KAKABADZE O.,27-06-1995,131367,99,4,57,8,14.04%,45,78.95%,37,,7,6,1,16.67%,4,1,25.00%,15,11,73.33%,3,27.27%,4,26.67%,3,75.00%,6,40.00%,4,66.67%,,3,1,16.67%,0.000,0.000,0.878,0.066,0.610,0.000,0.000,0.000,461,,,,,,6,75.00%,1,2.70%,3,2,66.67%,4,2,28.57%,,,,,,,,,,,4,57.14%,,,,,,,1,2.70%,1,,,,1,6.67%,2,18.18%,,1,,,1,25.00%,,1,100.00%,2,1,50.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,
8256,GURAM,KASHIA,KASHIA G.,04-07-1987,131367,99,1,56,1,1.79%,51,91.07%,41,3,,7,,,3,1,33.33%,11,8,72.73%,,,6,54.55%,4,66.67%,2,18.18%,2,100.00%,,3,,,0.000,0.000,0.000,0.000,-0.163,0.000,0.000,0.000,461,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.44%,,,,,,,1,12.50%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53252,GIORGI,KOCHORASHVILI,KOCHORASHVILI G.,29-06-1999,131367,99,4,70,2,2.86%,65,92.86%,66,2,3,5,1,20.00%,1,,,18,12,66.67%,6,50.00%,1,5.56%,,,7,38.89%,4,57.14%,,3,1,20.00%,0.328,0.373,0.538,0.042,0.865,0.045,0.328,0.000,461,2,1,50.00%,1,50.00%,1,50.00%,2,3.03%,1,1,100.00%,1,1,33.33%,,,,,,,1,100.00%,,,2,66.67%,1,50.00%,,,1,50.00%,1,1.52%,1,1,100.00%,,4,22.22%,3,25.00%,2,4,,,1,25.00%,,1,100.00%,3,1,33.33%,,,,3,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,,,1,100.00%,1,100.00%,,
31347,KHVICHA,KVARATSKHELIA,KVARATSKHELIA K.,12-02-2001,131367,99,2,40,7,17.50%,37,92.50%,50,,10,2,,,1,1,100.00%,25,10,40.00%,4,40.00%,3,12.00%,,,10,40.00%,3,30.00%,,3,,,0.214,0.000,1.552,0.108,1.004,-0.214,0.214,0.000,461,2,,,1,50.00%,6,85.71%,9,18.00%,3,3,100.00%,3,2,20.00%,,,,,,,,,,,4,40.00%,1,50.00%,,,1,11.11%,3,6.00%,2,,,,3,12.00%,9,90.00%,,3,,,1,50.00%,,1,50.00%,,,,,,,8,4,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23029,SOLOMON,KVIRKVELIA,KVIRKVELIA S.,06-02-1992,131367,85,3,36,1,2.78%,31,86.11%,28,,3,5,2,40.00%,1,,,5,3,60.00%,1,33.33%,3,60.00%,2,66.67%,,,,,,2,,,0.000,0.000,0.119,0.000,0.119,0.000,0.000,0.000,461,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25367,LUKA,LOCHOSHVILI,LOCHOSHVILI L.,29-05-1998,131367,25,,10,1,10.00%,9,90.00%,6,,2,2,1,50.00%,1,1,100.00%,6,2,33.33%,1,50.00%,2,33.33%,1,50.00%,2,33.33%,1,50.00%,,1,,,0.000,0.000,0.461,0.000,0.051,0.000,0.000,0.000,461,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,2,33.33%,,,,,,,4,200.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42387,GIORGI,MAMARDASHVILI,MAMARDASHVILI G.,29-09-2000,131367,99,,31,,,24,77.42%,10,,4,2,,,,,,,,,,,,,,,,,,,1,3,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,,,,,,,,,,,,,,3,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,8,5,62.50%,4,9,1,25.00%,8,88.89%,18,6,33.33%,4,22.22%,4,80.00%,3,8,44.44%,4.059,1.059,,,,,,,,,,,,,,1,20.00%
42398,ANZOR,MEKVABISHVILI,MEKVABISHVILI A.,05-06-2001,131367,90,3,45,,,39,86.67%,44,1,5,2,,,1,1,100.00%,6,2,33.33%,1,50.00%,2,33.33%,,,3,50.00%,2,66.67%,,2,,,0.063,0.537,0.132,0.000,0.072,0.475,0.063,0.000,461,1,1,100.00%,1,100.00%,,,1,2.27%,,,,,3,60.00%,,,,,,,1,100.00%,,,2,40.00%,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27393,GEORGES,MIKAUTADZE,MIKAUTADZE G.,31-10-2000,131367,99,3,16,2,12.50%,16,100.00%,29,,9,1,,,1,,,19,9,47.37%,5,55.56%,5,26.32%,1,20.00%,8,42.11%,3,37.50%,,3,,,1.499,1.314,0.486,0.088,1.026,-0.185,1.499,0.000,461,5,2,40.00%,1,20.00%,2,100.00%,6,20.69%,2,2,100.00%,2,3,33.33%,1,20.00%,,,1,100.00%,,,,,4,44.44%,4,80.00%,,,3,50.00%,7,24.14%,3,,,,1,5.26%,7,77.78%,,1,2,100.00%,1,33.33%,,1,33.33%,1,,,,,,4,3,75.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,
39056,GEORGIY,TSITAISHVILI,TSITAISHVILI G.,18-11-2000,131367,74,1,30,5,16.67%,21,70.00%,31,1,10,3,1,33.33%,2,1,50.00%,13,7,53.85%,1,14.29%,3,23.08%,2,66.67%,3,23.08%,2,66.67%,,2,1,33.33%,0.165,0.718,0.856,0.037,0.767,0.553,0.165,0.000,461,2,2,100.00%,,,1,20.00%,3,9.68%,4,,,5,4,40.00%,,,,,,,,,,,6,60.00%,2,100.00%,,,1,33.33%,3,9.68%,1,,,,1,7.69%,2,28.57%,1,1,2,100.00%,1,100.00%,,1,100.00%,1,1,100.00%,1,,,3,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,
45955,BUDU,ZIVZIVADZE,ZIVZIVADZE B.,10-03-1994,131367,14,,1,,,1,100.00%,4,,1,,,,,,,3,1,33.33%,1,100.00%,1,33.33%,,,2,66.67%,1,50.00%,,1,,,0.000,0.000,0.000,0.000,-0.419,0.000,0.000,0.000,461,,,,,,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,3,75.00%,,,,,,,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
