Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,perdePalla,triangolazione,triFatta,triFatta_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistVincenti,assistVincenti_PERC,cross,crossRiusciti,crossRiusciti_PERC,cutBack,palleLaterali,triChiusa,triChiusa_PERC,inFuorigioco,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passChiaveInArea,passChiaveInArea_PERC,giochiPortiereRicevuti,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataPiede,parataPiede_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,ammonizioni,traversoni,retiSub,lanciPositivi,lanciPositivi_PERC,parataMano,parataMano_PERC,retiSubGK,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC
26455,GONZALO,MONTIEL,MONTIEL G.,01-01-1997,132629,73,,,,,,,,43,39,90.70%,1,3.45%,29,1,2,,,7,,,,,,,,,,,3,,,3,100.00%,,,,,3,100.00%,3,100.00%,,,,,,,,,,,0.000,0.000,0.133,0.000,-0.074,0.000,0.000,0.000,421,1,2,4.65%,1,50.00%,,,,,,,,,,,2,100.00%,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7507,NICOLAS,OTAMENDI,OTAMENDI N.,12-02-1988,132629,30,,,,,,,,10,8,80.00%,,,7,1,,,,2,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,2,200.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23829,EXEQUIEL,PALACIOS,PALACIOS E.,05-10-1998,132629,17,,,,,,,,4,3,75.00%,,,6,3,,,,,1,33.33%,,,1,,,,,,2,,,,,,,2,,1,50.00%,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17761,CRISTIAN,ROMERO,ROMERO C.,27-04-1998,132629,97,,,,,,,,82,72,87.80%,,,66,3,,,,5,2,66.67%,1,20.00%,,,,3,,,8,2,25.00%,8,100.00%,1,12.50%,,,2,25.00%,2,100.00%,,2,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,3,,,,,,,,,,,,,,,,,,,,2,66.67%,,,14,,,,,1,12.50%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15904,NICOLAS,TAGLIAFICO,TAGLIAFICO N.,31-08-1992,132629,67,1,,,1,100.00%,,,30,23,76.67%,2,8.00%,25,7,,,,4,,,1,25.00%,1,1,100.00%,3,,,11,2,18.18%,8,72.73%,2,25.00%,2,25.00%,3,27.27%,1,33.33%,1,2,,,,,,,,,0.067,0.000,0.000,0.000,0.067,-0.067,0.067,0.000,421,,,,,,1,4.00%,,,,,,,,,,,,,,,,,,1,,,,,1,9.09%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,
47715,ALI,AHMED,AHMED A.,10-10-2000,132629,39,,,,,,,,18,16,88.89%,1,5.26%,19,3,,,,,1,33.33%,,,5,2,40.00%,2,1,50.00%,10,,,3,30.00%,2,66.67%,5,166.67%,1,10.00%,,,2,,,,,,,,,,0.000,0.000,0.109,0.000,0.109,0.000,0.000,0.000,3914,1,4,22.22%,3,75.00%,2,10.53%,,,,,,,,1,,,,,,2,66.67%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
16511,STEPHEN,ANTUNES EUSTAQUIO,EUSTAQUIO S.,21-12-1996,132629,74,,,,,,,,40,33,82.50%,1,3.23%,31,6,1,,,2,1,16.67%,,,,,,,,,3,,,1,33.33%,,,2,200.00%,2,66.67%,1,50.00%,1,,,,,,,,,,0.000,0.000,0.129,0.050,0.129,0.000,0.000,0.000,3914,1,1,2.50%,,,,,1,,,,,,,,1,100.00%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,
11695,MATHIEU,CHOINIERE,CHOINIERE M.,07-02-1999,132629,23,,,,,,,,25,25,100.00%,1,4.55%,22,,1,,,1,,,1,100.00%,1,1,100.00%,1,,,6,2,33.33%,4,66.67%,3,75.00%,2,50.00%,1,16.67%,,,1,2,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,2,,,,,,,,,,,,,,,1,100.00%,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36779,DEREK,CORNELIUS,CORNELIUS D.,25-11-1997,132629,97,,,,,,,,50,43,86.00%,,,39,3,,,,6,,,,,,,,1,,,5,,,3,60.00%,1,33.33%,1,33.33%,,,,,2,,,,,,,,,,0.000,0.000,0.375,0.036,0.375,0.000,0.000,0.000,3914,2,3,6.00%,1,33.33%,1,2.56%,1,,,,,,,,,,,,,,,1,50.00%,6,1,100.00%,,,2,40.00%,2,100.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
51059,MAXIME,CREPEAU,CREPEAU M.,11-05-1994,132629,97,,,,,,,,34,32,94.12%,,,20,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,3,1,33.33%,3,19,19,100.00%,12,4,33.33%,1,8.33%,,,7,58.33%,1.286,-0.714,,,,,,,2,2,66.67%,1,100.00%,2,,,,
23346,JONATHAN,DAVID,DAVID J.,14-01-2000,132629,67,1,1,100.00%,1,100.00%,,,22,18,81.82%,3,13.04%,23,5,1,1,100.00%,1,1,20.00%,,,2,,,1,,,7,,,2,28.57%,,,5,250.00%,3,42.86%,1,33.33%,1,,,,,,,,1,100.00%,0.240,0.743,0.634,0.019,0.371,0.503,0.240,0.000,3914,2,4,18.18%,3,75.00%,4,17.39%,1,,,,,,,,,,,,,,,1,50.00%,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,1,,2,,,,,,1,100.00%,,
22446,ALPHONSO,DAVIES,DAVIES A.,02-11-2000,132629,74,1,1,100.00%,,,1,100.00%,24,20,83.33%,1,5.56%,18,3,1,,,3,1,33.33%,,,4,3,75.00%,1,,,8,,,5,62.50%,1,20.00%,2,40.00%,3,37.50%,1,33.33%,,,,,,,,,,,0.070,0.057,0.291,0.000,0.155,-0.013,0.070,0.000,3914,1,2,8.33%,1,50.00%,1,5.56%,,,,,,,,,1,100.00%,,,,2,66.67%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,2,,,,,,,,1,100.00%
36781,ALISTAIR,JOHNSTON,JOHNSTON A.,08-10-1998,132629,97,,,,,,,,55,48,87.27%,,,46,4,,,,5,,,1,20.00%,2,,,3,2,66.67%,10,1,10.00%,4,40.00%,2,50.00%,3,75.00%,3,30.00%,2,66.67%,1,1,,,,,,,,,0.000,0.000,0.685,0.022,0.685,0.000,0.000,0.000,3914,4,6,10.91%,2,33.33%,1,2.17%,1,,,1,,,,1,,,,1,20.00%,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
36785,ISMAEL,KONE',KONE' I.,16-06-2002,132629,97,2,1,50.00%,,,2,100.00%,68,63,92.65%,3,4.76%,63,7,4,3,75.00%,4,1,14.29%,1,25.00%,5,2,40.00%,2,1,50.00%,11,,,5,45.45%,3,60.00%,6,120.00%,3,27.27%,2,66.67%,1,,,,,,,,,,0.153,0.373,0.178,0.000,0.105,0.220,0.153,0.000,3914,3,2,2.94%,1,50.00%,,,,,,,,,,,1,25.00%,,1,25.00%,2,28.57%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,1,100.00%
28652,CYLE,LARIN,LARIN C.,17-04-1995,132629,97,,,,,,,,19,15,78.95%,4,18.18%,22,9,,,,1,2,22.22%,1,100.00%,1,1,100.00%,,,,8,,,1,12.50%,1,100.00%,5,500.00%,1,12.50%,,,4,,,,,,,,,,0.000,0.000,0.669,0.141,0.366,0.000,0.000,0.000,3914,3,3,15.79%,1,33.33%,2,9.09%,3,,,,,,,,,,,,,,,1,33.33%,1,1,33.33%,,,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
36782,RICHIE,LARYEA,LARYEA R.,07-01-1995,132629,58,,,,,,,,9,9,100.00%,1,9.09%,11,3,,,,3,2,66.67%,2,66.67%,2,,,,,,7,1,14.29%,3,42.86%,3,100.00%,3,100.00%,2,28.57%,1,50.00%,,1,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,1,,,,,,,,,,,,,,,,,,1,33.33%,,,,,1,,,,,2,28.57%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
49309,MOISE BOMBITO,LUMPUNGU,BOMBITO M.,30-03-2000,132629,97,,,,,,,,67,60,89.55%,,,52,2,,,,7,1,50.00%,1,14.29%,,,,1,1,100.00%,4,,,2,50.00%,,,,,2,50.00%,2,100.00%,1,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,,,,,,,,,,,,,,,,,,,1,14.29%,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
30927,LIAM,MILLAR,MILLAR L.,27-09-1999,132629,40,1,,,,,1,100.00%,19,12,63.16%,,,19,7,1,1,100.00%,3,1,14.29%,1,33.33%,,,,,,,3,,,2,66.67%,,,1,50.00%,2,66.67%,1,50.00%,,,,,,,,,,,0.033,0.000,0.831,0.000,0.663,-0.033,0.033,0.000,3914,,5,26.32%,1,20.00%,1,5.26%,,,,1,,,,1,,,,1,33.33%,,,,,,,,,,1,33.33%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56002,TANITOLUWA,OLUWATIMIKHIN OLUWASEYI,OLUWASEYI T.,15-05-2000,132629,30,2,1,50.00%,2,100.00%,,,2,2,100.00%,3,75.00%,4,1,,,,1,,,1,100.00%,,,,,,,1,,,,,,,1,,1,100.00%,,,,,,,,,,,1,100.00%,0.338,0.260,0.112,0.031,-0.099,-0.078,0.338,0.000,3914,1,1,50.00%,1,100.00%,2,50.00%,1,,,,,,,,,,,1,100.00%,,,1,100.00%,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,2,66.67%,,,,,,,,,,,,
36786,JONATHAN,OSORIO,OSORIO J.,12-06-1992,132629,23,1,1,100.00%,1,100.00%,,,18,17,94.44%,1,5.56%,18,,1,,,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,0.089,0.331,0.284,0.062,0.260,0.242,0.089,0.000,3914,1,2,11.11%,2,100.00%,2,11.11%,1,,,1,1,100.00%,,1,1,100.00%,,,,,,1,100.00%,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,
51325,JACOB,SHAFFELBURG,SHAFFELBURG J.,26-11-1999,132629,57,2,,,2,100.00%,,,15,7,46.67%,3,23.08%,13,5,,,,4,,,3,75.00%,,,,,,,3,1,33.33%,2,66.67%,1,50.00%,1,50.00%,2,66.67%,1,50.00%,,1,,,,,,,,,0.169,0.000,0.309,0.000,0.478,-0.169,0.169,0.000,3914,,2,13.33%,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
