Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,cutBack,palleLaterali,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,retiSub,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,crossRiusciti,crossRiusciti_PERC,traversoni,perdeMetaCampoProria,perdeMetaCampoProria_PERC,inFuorigioco,golProcurati,tiriDaFuori,tiriDaFuori_PERC,triFatta,triFatta_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,cutBackRiusciti,cutBackRiusciti_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDiRigore,tiriDiRigore_PERC,thirdPass,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolRigore,tiroGolRigore_PERC,tiroGolPiede,tiroGolPiede_PERC,ammonizioni,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,interventoNegativo,interventoPositivo,parataPiede,parataPiede_PERC
21438,MIKE,MAIGNAN,MAIGNAN M.,03-07-1995,131373,97,,,,,,1,,,28,,,25,89.29%,,,,,17,,,,,,,,,3,,,,2,,,,,,,,,1,1,100.00%,1,100.00%,,,,,,,,,,1,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,423,,,,,1,,,,,,1,33.33%,,,,,,,,,,,,,,2,1,5,2,40.00%,1,6,15,3,50.00%,15,100.00%,7,3,42.86%,1,14.29%,2,100.00%,1,3,42.86%,2.261,1.261,,,,,,,,,,,,,,,,,,,,
11711,KYLIAN,MBAPPE',MBAPPE' K.,20-12-1998,131373,97,6,5,83.33%,4,66.67%,2,1,50.00%,52,13,25.00%,47,90.38%,9,69.23%,9,15.52%,58,8,13.79%,,,,1,,1,5,5,3,60.00%,1,,,6,6,100.00%,,,,12,1,8.33%,8,66.67%,6,75.00%,3,37.50%,5,41.67%,1,20.00%,,1,4,80.00%,,,1.289,2.655,1.904,0.000,2.601,1.366,0.533,0.488,423,,,,,1,4,44.44%,1,100.00%,,1,20.00%,,,2,33.33%,2,40.00%,,,,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.67%,1,1,16.67%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,
7437,ADRIEN,RABIOT,RABIOT A.,03-04-1995,131373,63,,,,,,,,,41,1,2.44%,38,92.68%,1,100.00%,,,41,1,2.44%,,,,,,,7,,,,2,1,50.00%,,,,,,,11,,,3,27.27%,1,33.33%,8,266.67%,6,54.55%,2,33.33%,2,,,,,,0.000,0.000,0.144,0.000,-0.087,0.000,0.000,0.000,423,3,27.27%,1,33.33%,,,,,,,2,28.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,28.57%,,,,,,
30184,WILLIAM,SALIBA,SALIBA W.,24-03-2001,131373,97,1,,,1,100.00%,1,,,52,2,3.85%,46,88.46%,1,50.00%,1,2.56%,39,5,12.82%,,,,,,,2,,,,10,5,50.00%,,,,1,,,10,,,6,60.00%,3,50.00%,3,50.00%,4,40.00%,2,50.00%,1,,,,,,0.088,0.000,0.616,0.000,-0.569,-0.088,0.088,0.000,423,4,40.00%,3,75.00%,1,1,100.00%,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17930,AURELIEN,TCHOUAMENI,TCHOUAMENI A.,27-01-2000,131373,83,2,2,100.00%,,,,,,48,1,2.08%,43,89.58%,,,2,4.55%,44,,,,,,,,,4,,,,4,1,25.00%,,,,2,2,100.00%,13,2,15.38%,9,69.23%,3,33.33%,3,33.33%,7,53.85%,6,85.71%,1,2,,,1,25.00%,0.098,0.720,0.100,0.000,-0.362,0.622,0.098,0.098,423,1,7.69%,1,100.00%,1,,,,,,2,50.00%,,,2,100.00%,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,,,,,,
14949,DAYOT,UPAMECANO,UPAMECANO D.,27-10-1998,131373,97,1,,,1,100.00%,2,1,50.00%,49,2,4.08%,43,87.76%,2,100.00%,1,2.70%,37,4,10.81%,1,1,100.00%,,,,2,,,,6,1,16.67%,,,,,,,11,,,10,90.91%,6,60.00%,,,5,45.45%,5,100.00%,1,,,,,,0.097,0.000,0.730,0.050,-0.237,-0.097,0.097,0.000,423,5,45.45%,5,100.00%,1,1,100.00%,,,,1,50.00%,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,100.00%,,,,,,,,,,,,,,,2,100.00%,1,100.00%,1,,,
13395,JAN,BEDNAREK,BEDNAREK J.,12-04-1996,131373,97,,,,,,1,,,31,,,29,93.55%,,,,,23,,,,,,,,,1,,,,5,,,1,1,100.00%,2,2,100.00%,8,1,12.50%,4,50.00%,,,,,2,25.00%,1,50.00%,,1,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,488,2,25.00%,1,50.00%,1,,,,,,1,100.00%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13396,PAWEL,DAWIDOWICZ,DAWIDOWICZ P.,20-05-1995,131373,97,,,,,,2,,,37,,,36,97.30%,,,,,30,,,,,,,,,,,,,2,,,,,,2,2,100.00%,6,,,2,33.33%,,,2,100.00%,1,16.67%,1,100.00%,1,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,488,2,33.33%,1,50.00%,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
13402,PRZEMYSLAW,FRANKOWSKI,FRANKOWSKI P.,12-04-1995,131373,97,,,,,,4,,,57,2,3.51%,44,77.19%,,,2,4.65%,43,,,,,,,,,7,1,1,100.00%,9,,,1,,,6,5,83.33%,19,1,5.26%,6,31.58%,,,5,83.33%,8,42.11%,4,50.00%,3,1,,,,,0.000,0.000,0.149,0.000,0.149,0.000,0.000,0.000,488,,,,,1,,,,,,2,28.57%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,57.14%,,,,,,
27368,JAKUB,KIWIOR,KIWIOR J.,15-02-2000,131373,97,,,,,,2,,,54,,,48,88.89%,,,,,46,,,1,,,1,,1,5,3,1,33.33%,2,1,50.00%,1,1,100.00%,3,3,100.00%,11,2,18.18%,5,45.45%,2,40.00%,2,40.00%,4,36.36%,2,50.00%,1,2,,,,,0.000,0.000,0.000,0.037,0.000,0.000,0.000,0.000,488,,,,,1,,,1,100.00%,,,,,,,,2,66.67%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
7449,ROBERT,LEWANDOWSKI,LEWANDOWSKI R.,21-08-1988,131373,97,5,1,20.00%,3,60.00%,1,1,100.00%,22,2,9.09%,18,81.82%,1,50.00%,10,29.41%,34,2,5.88%,,,,,,,10,1,1,100.00%,2,1,50.00%,3,1,33.33%,,,,18,1,5.56%,4,22.22%,3,75.00%,9,225.00%,6,33.33%,2,33.33%,3,1,1,100.00%,1,50.00%,0.986,0.988,0.145,0.000,0.844,0.001,0.231,0.231,488,5,27.78%,,,1,2,20.00%,,,,4,40.00%,,,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.00%,,1,20.00%,1,100.00%,1,100.00%,1,100.00%,,,,1,20.00%,,,,
23936,JAKUB,MODER,MODER J.,07-04-1999,131373,97,1,,,,,6,,,77,2,2.60%,66,85.71%,,,1,1.72%,58,,,,,,1,,1,6,,,,8,3,37.50%,1,1,100.00%,1,1,100.00%,13,1,7.69%,9,69.23%,1,11.11%,2,22.22%,6,46.15%,5,83.33%,,1,,,,,0.020,0.000,0.163,0.000,0.183,-0.020,0.020,0.020,488,4,30.77%,2,50.00%,1,,,,,,2,33.33%,,,1,100.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36651,MICHAL,SKORAS,SKORAS M.,15-02-2000,131373,28,,,,,,1,,,10,,,7,70.00%,,,,,6,,,,,,,,,1,,,,2,1,50.00%,,,,,,,2,,,1,50.00%,1,100.00%,,,2,100.00%,1,50.00%,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,488,,,,,,,,,,,1,100.00%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6966,LUKASZ,SKORUPSKI,SKORUPSKI L.,05-05-1991,131373,97,,,,,,,,,28,,,26,92.86%,,,,,9,,,,,,,,,1,,,,5,,,,,,,,,1,,,1,100.00%,,,,,1,100.00%,1,100.00%,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,488,,,,,1,,,,,,,,,,,,,,,,,,,,,7,6,12,7,58.33%,1,2,8,1,50.00%,7,87.50%,18,4,22.22%,3,16.67%,4,57.14%,1,11,61.11%,6.999,5.999,,,,,,,,,,,,,,,,,,6,2,28.57%
20285,KAROL,SWIDERSKI,SWIDERSKI K.,23-01-1997,131373,28,,,,,,,,,3,,,2,66.67%,,,3,60.00%,5,1,20.00%,,,,,,,2,,,,1,,,,,,1,1,100.00%,4,2,50.00%,2,50.00%,1,50.00%,,,,,,,1,2,,,,,0.000,0.000,0.000,0.000,-0.145,0.000,0.000,0.000,488,,,,,,1,33.33%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
20280,SEBASTIAN,SZYMANSKI,SZYMANSKI S.,10-05-1999,131373,70,1,1,100.00%,1,100.00%,2,,,27,3,11.11%,22,81.48%,,,2,9.09%,22,1,4.55%,,,,1,,1,1,1,,,5,1,20.00%,,,,3,2,66.67%,10,2,20.00%,5,50.00%,,,1,20.00%,3,30.00%,2,66.67%,1,2,1,100.00%,,,0.039,0.452,0.609,0.000,0.648,0.413,0.039,0.039,488,1,10.00%,,,1,1,50.00%,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26263,KACPER,URBANSKI,URBANSKI K.,07-09-2004,131373,97,2,2,100.00%,1,50.00%,4,1,25.00%,30,1,3.33%,28,93.33%,1,100.00%,7,17.50%,40,,,2,1,50.00%,,,,13,3,,,3,,,3,2,66.67%,2,2,100.00%,24,1,4.17%,6,25.00%,1,16.67%,9,150.00%,12,50.00%,2,16.67%,2,1,1,50.00%,,,0.177,0.318,0.000,0.109,0.177,0.141,0.177,0.160,488,4,16.67%,1,25.00%,1,,,,,,8,61.54%,,,1,50.00%,3,100.00%,1,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30.77%,,,,,,
26256,NICOLA,ZALEWSKI,ZALEWSKI N.,23-01-2002,131373,70,,,,,,2,,,25,3,12.00%,19,76.00%,,,,,25,,,,,,2,,3,5,1,1,100.00%,1,,,3,2,66.67%,3,3,100.00%,13,1,7.69%,5,38.46%,,,3,60.00%,4,30.77%,2,50.00%,2,1,,,,,0.000,0.000,0.350,0.000,0.350,0.000,0.000,0.000,488,,,,,1,,,,,,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,40.00%,,,,,,
6420,PIOTR,ZIELINSKI,ZIELINSKI P.,20-05-1994,131373,97,1,1,100.00%,,,5,2,40.00%,58,4,6.90%,51,87.93%,2,50.00%,5,9.09%,55,,,2,2,100.00%,1,,1,6,2,2,100.00%,2,,,,,,1,1,100.00%,4,,,,,,,2,,3,75.00%,,,1,,,,,,0.048,0.504,0.476,0.104,0.524,0.456,0.048,0.048,488,,,,,1,,,1,100.00%,,,,,,1,100.00%,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
