Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,cross,palleLaterali,perdePalla,duelli,duelliPersiMetaCampo,duelliAerei,duelliAerei_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,giochiPortiereRicevuti,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assist,assistInArea,assistInArea_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,triangolazione,triFatta,triFatta_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,falliFatti,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,traversoni,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,FxGoT,gkGP,crossRiusciti,crossRiusciti_PERC,triChiusa,triChiusa_PERC,assistVincenti,assistVincenti_PERC,thirdPass,inFuorigioco,retiSub,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,interventoPositivo,lanciPositivi,lanciPositivi_PERC,rinvioMano,rinvioMano_PERC,retiSubGK
45372,JULIAN,QUINONES,QUINONES J.,24-03-1997,131473,101,47,4,8.51%,38,80.85%,11,21.57%,51,1,2,8,21,6,4,19.05%,0.183,0.376,0.569,0.000,0.625,0.193,0.183,0.183,245,1,,2,1,12.50%,,,8,38.10%,5,62.50%,75.00%,1,25.00%,,,3,75.00%,,,,1,1,100.00%,3,1,33.33%,3,1,33.33%,7,33.33%,4,57.14%,4,2,50.00%,1,25.00%,4,4,100.00%,1,,,,,,,1,50.00%,2,25.00%,3,75.00%,4,36.36%,3,5.88%,,2,9.52%,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,
36791,CARLOS,RODRIGUEZ,RODRIGUEZ C.,03-01-1997,131473,26,8,,,8,100.00%,,,9,,,2,2,1,2,100.00%,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,245,1,,,1,50.00%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33525,LUIS,ROMO,ROMO L.,05-06-1995,131473,71,71,5,7.04%,58,81.69%,4,7.41%,54,,,7,9,1,5,55.56%,0.088,0.035,1.199,0.254,0.927,-0.053,0.088,0.078,245,9,,9,,,3,33.33%,4,44.44%,2,50.00%,25.00%,1,20.00%,1,11.11%,1,20.00%,5,1,20.00%,,,,3,2,66.67%,2,2,100.00%,,,,,2,1,50.00%,2,100.00%,2,1,50.00%,,,,,,,,1,100.00%,,,,,1,25.00%,2,3.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.11%,,,,,1,33.33%,1,20.00%,,,,,,,,,,,
33524,ERICK,SANCHEZ,SANCHEZ E.,27-09-1999,131473,16,5,,,4,80.00%,1,20.00%,5,,,1,5,,,,0.015,0.000,0.000,0.000,0.015,-0.015,0.015,0.015,245,,,1,1,100.00%,,,2,40.00%,,,,,,,,,,,,,,,,,,,,,,4,80.00%,2,50.00%,1,,,1,100.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33521,JORGE,SANCHEZ,SANCHEZ J.,10-12-1997,131473,101,68,10,14.71%,54,79.41%,1,2.38%,42,3,3,8,15,5,1,6.67%,0.033,0.054,0.977,0.030,1.009,0.021,0.033,0.000,245,3,2,8,2,25.00%,3,37.50%,8,53.33%,5,62.50%,62.50%,1,100.00%,2,66.67%,6,60.00%,1,1,100.00%,,,,2,1,50.00%,2,1,50.00%,6,40.00%,4,66.67%,1,1,100.00%,,,5,3,60.00%,1,,,,,,,,,2,25.00%,1,100.00%,,,2,4.76%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,1,50.00%,,,,,,,,,,,,,
26673,JOHAN,VASQUEZ,VASQUEZ J.,22-10-1998,131473,101,71,,,60,84.51%,1,2.00%,50,,,5,16,1,9,56.25%,0.024,0.390,0.000,0.000,-0.127,0.366,0.024,0.024,245,1,6,9,1,20.00%,2,22.22%,9,56.25%,1,11.11%,11.11%,7,77.78%,,,,,,,,,,,,,,1,,,3,18.75%,2,66.67%,1,1,100.00%,1,100.00%,2,2,100.00%,1,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11758,MICHAIL,ANTONIO,ANTONIO M.,28-03-1990,131473,87,20,3,15.00%,10,50.00%,2,7.14%,28,1,4,10,20,6,9,45.00%,0.000,0.000,0.546,0.037,0.309,0.000,0.000,0.000,820,2,,,2,20.00%,,,12,60.00%,10,83.33%,50.00%,4,44.44%,,,1,33.33%,1,,,,,,,,,5,4,80.00%,3,15.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,1,3.57%,1,3,15.00%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,
22757,DI'SHON JOEL,BERNARD,BERNARD D.,14-10-2000,131473,75,26,,,18,69.23%,,,14,,,2,6,,2,33.33%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,820,4,2,4,1,50.00%,,,3,50.00%,,,,,,,,,,,,,,,,,,,,,,1,16.67%,1,100.00%,,,,,,2,,,1,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55173,RENALDO SHOWAYNE,CEPHAS,CEPHAS R.,18-12-1999,131473,14,4,2,50.00%,3,75.00%,,,3,1,1,,1,,,,0.000,0.000,0.243,0.000,0.243,0.000,0.000,0.000,820,,,,,,,,1,100.00%,1,100.00%,,,,,,1,50.00%,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58438,BOBBY ARMANI,DE CORDOVA-REID,DE CORDOVA-REID B.,02-02-1993,131473,87,44,7,15.91%,32,72.73%,1,3.70%,27,,,7,10,2,,,0.031,0.035,1.130,0.054,0.840,0.004,0.031,0.031,820,2,,7,1,14.29%,3,42.86%,5,50.00%,,,40.00%,,,1,50.00%,3,42.86%,1,1,100.00%,,,,,,,3,1,33.33%,5,50.00%,4,80.00%,1,1,100.00%,1,100.00%,1,1,100.00%,1,,,,,,,1,100.00%,,,,,,,2,7.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14.29%,,,,,,,,,,,1,,,,,,,,
131151,KAHEIM,DIXON,DIXON K.,04-10-2004,131473,14,4,1,25.00%,3,75.00%,2,28.57%,7,,,2,2,1,1,50.00%,0.037,0.000,0.292,0.000,0.329,-0.037,0.037,0.037,820,,2,,,,,,1,50.00%,1,100.00%,100.00%,,,,,,,,,,,,,,,,1,1,100.00%,,,,,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,1,14.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,100.00%,,,,,,
12817,DEMARAI,GRAY,GRAY D.,28-06-1996,131473,75,20,1,5.00%,15,75.00%,2,10.00%,20,,,5,5,3,1,20.00%,0.037,0.000,0.118,0.000,0.156,-0.037,0.037,0.037,820,,,1,2,40.00%,,,1,20.00%,1,100.00%,300.00%,,,,,1,100.00%,,,,,,,,,,3,1,33.33%,1,20.00%,,,1,,,1,100.00%,,,,,,,,,,,,,2,40.00%,,,,,1,5.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98295,MICHAEL ANTHONY JAMES,HECTOR,HECTOR M.,19-07-1992,131473,26,15,1,6.67%,12,80.00%,,,8,1,1,1,2,,1,50.00%,0.000,0.000,0.282,0.000,0.282,0.000,0.000,0.000,820,1,,3,,,2,66.67%,2,100.00%,2,100.00%,,1,100.00%,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,1,,,,,,,,
98296,JOEL OWEN,LATIBEAUDIERE,LATIBEAUDIERE J.,06-01-2000,131473,101,40,,,32,80.00%,,,21,,,2,5,1,4,80.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,820,3,2,8,2,100.00%,1,12.50%,3,60.00%,,,33.33%,3,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
98284,GREGORY ALEX,LEIGH,LEIGH G.,30-09-1994,131473,101,45,4,8.89%,29,64.44%,3,10.71%,28,2,3,7,10,1,4,40.00%,0.000,0.000,0.260,0.000,0.260,0.000,0.000,0.000,820,,1,6,2,28.57%,,,5,50.00%,2,40.00%,20.00%,4,100.00%,,,2,50.00%,,,,,,,,,,,,,4,40.00%,,,,,,,,1,1,100.00%,,,,,,,,,,2,28.57%,,,,,,,,1,10.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,1,,,,,,,,
81731,DEXTER JOENG WOO,LEMBIKISA,LEMBIKISA D.,04-11-2003,131473,101,40,6,15.00%,24,60.00%,4,16.00%,25,4,4,6,15,2,2,13.33%,0.054,0.928,0.767,0.043,0.821,0.874,0.054,0.054,820,2,,7,1,16.67%,1,14.29%,11,73.33%,6,54.55%,18.18%,2,100.00%,1,50.00%,2,33.33%,1,1,100.00%,,,,,,,3,3,100.00%,5,33.33%,2,40.00%,3,3,100.00%,2,66.67%,3,1,33.33%,,,,,,,,2,66.67%,,,1,33.33%,,,,,,2,13.33%,2,1,33.33%,,,,,,,,,,,,,,,,,,,,,1,14.29%,,,2,50.00%,,,,,,,1,,,1,,,,,
51308,DAMION,LOWE,LOWE D.,05-05-1993,131473,26,17,4,23.53%,12,70.59%,1,9.09%,11,,,3,7,2,3,42.86%,0.000,0.000,0.572,0.000,0.234,0.000,0.000,0.000,820,3,,3,1,33.33%,2,66.67%,4,57.14%,3,75.00%,50.00%,1,33.33%,1,33.33%,2,50.00%,,,,,,,,,,,,,3,42.86%,3,100.00%,,,,,,,,,1,,,,,,,,,,,,,,,2,18.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,1,,,,,,,,
31131,SHAMAR AMARO,NICHOLSON,NICHOLSON S.,16-03-1997,131473,101,21,2,9.52%,13,61.90%,9,29.03%,31,,1,13,17,11,10,58.82%,0.609,0.000,0.617,0.099,0.345,-0.609,0.609,0.573,820,4,1,1,2,15.38%,,,5,29.41%,3,60.00%,220.00%,3,30.00%,,,1,50.00%,3,,,,,,,,,1,,,4,23.53%,1,25.00%,4,,,2,50.00%,1,1,100.00%,,,,,,,,,,,,2,50.00%,3,33.33%,6,19.35%,1,1,5.88%,1,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,100.00%,,,,,,
14171,KASEY REMEL,PALMER,PALMER K.,09-11-1996,131473,101,39,,,30,76.92%,1,3.23%,31,,,7,13,2,2,15.38%,0.113,0.053,0.115,0.000,-0.196,-0.061,0.113,0.113,820,2,1,6,2,28.57%,2,33.33%,7,53.85%,,,28.57%,2,100.00%,,,,,,,,,,,,,,,,,6,46.15%,4,66.67%,2,1,50.00%,2,100.00%,3,2,66.67%,2,,,,,,,1,100.00%,,,,,,,1,3.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.67%,,,,,,,,,,,1,,,,,,,,
58385,ETHAN RUPERT,PINNOCK,PINNOCK E.,29-05-1993,131473,101,55,6,10.91%,42,76.36%,,,36,,,9,11,3,6,54.55%,0.000,0.000,0.879,0.046,0.564,0.000,0.000,0.000,820,2,2,11,3,33.33%,1,9.09%,8,72.73%,2,25.00%,37.50%,3,50.00%,,,3,50.00%,1,,,,,,,,,1,1,100.00%,2,18.18%,2,100.00%,,,,,,1,,,,,,,,,,,,4,44.44%,,,,,1,2.78%,,1,9.09%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,
98290,JAHMALI DANTE,WAITE,WAITE J.,24-12-1998,131473,101,30,,,26,86.67%,,,11,,,4,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,820,,,5,3,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,,,,,,,,,,,,,,,,,8,4,9,8,88.89%,7,7,7,100.00%,16,2,12.50%,8,100.00%,10,62.50%,,,3.153,2.153,,,,,,,,,1,,,,4,57.14%,4,25.00%,1
