Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,cross,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,interventoPositivo,ammonizioni,espulsioni,doppieAmm,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,dribblingPositivo,dribblingPositivo_PERC,interventoNegativo,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,traversoni,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,inFuorigioco,assistVincenti,assistVincenti_PERC,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,tiroGolPiede,tiroGolPiede_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,thirdPass
13414,MIKEL,OYARZABAL UGARTE,OYARZABAL M.,21-04-1997,132450,52,1,20,,,19,95.00%,4,22.22%,18,,,1,1,100.00%,1,,,1,2,1,50.00%,1,50.00%,3,3,100.00%,1,,,,7,,,4,57.14%,2,50.00%,3,75.00%,1,14.29%,1,100.00%,5,71.43%,2,40.00%,,,,,,,1,0.102,0.000,0.000,0.046,-0.195,-0.102,0.102,0.000,2,,,2,66.67%,,,3,,,3,100.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16756,FABIAN,RUIZ,FABIAN RUIZ,03-04-1996,132450,108,9,76,3,3.95%,68,89.47%,6,9.68%,62,,,2,,,3,1,1,4,3,2,66.67%,1,33.33%,6,2,33.33%,2,1,1,100.00%,8,1,12.50%,4,50.00%,3,75.00%,4,100.00%,1,12.50%,,,1,12.50%,1,100.00%,2,1,,1,,,1,0.210,0.000,0.562,0.108,0.772,-0.210,0.210,0.000,2,,,1,16.67%,,,2,,,2,100.00%,,,1,33.33%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38941,JOSE' LUIS,SANMARTIN MATO,JOSELU,27-03-1990,132450,25,,3,,,2,66.67%,,,3,,,,,,,,,1,,,,,,1,1,100.00%,,,,,3,1,33.33%,3,100.00%,1,33.33%,,,2,66.67%,2,100.00%,,,,,,1,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,1,100.00%,1,100.00%,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14553,UNAI,SIMON MENDIBIL,SIMON U.,11-06-1997,132450,133,4,52,3,5.77%,37,71.15%,,,27,,,,,,,,,12,,,,,,9,1,11.11%,,,,,1,,,1,100.00%,,,,,1,100.00%,1,100.00%,,,,,,,3,1,,,1,0.000,0.000,1.644,0.000,1.261,0.000,0.000,0.000,2,8,66.67%,1,11.11%,6,50.00%,,,,,,,,,,,,,17,7,41.18%,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,5,83.33%,17,18,9,52.94%,17,94.44%,6,35.29%,4,23.53%,5,100.00%,1,3.778,2.778,,,,,,,,,,
17790,FERRAN,TORRES GARCIA,FERRAN TORRES,29-02-2000,132450,69,,16,4,25.00%,14,87.50%,2,9.52%,21,1,4.76%,,,,,1,1,6,1,,,1,100.00%,,,,1,1,1,100.00%,9,1,11.11%,3,33.33%,2,66.67%,4,133.33%,3,33.33%,2,66.67%,1,11.11%,,,2,1,,1,,,1,0.145,0.000,0.936,0.000,1.081,-0.145,0.145,0.000,2,3,50.00%,,,2,33.33%,2,,,,,,,3,75.00%,,,,,,,2,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35462,NICHOLAS,WILLIAMS ARTHUER,WILLIAMS N.,12-07-2002,132450,81,,26,4,15.38%,21,80.77%,6,19.35%,31,3,9.68%,2,,,,2,3,9,3,3,100.00%,,,2,,,6,,,,13,1,7.69%,6,46.15%,1,16.67%,4,66.67%,,,,,4,30.77%,2,50.00%,2,1,,,,,,0.048,0.000,1.149,0.000,0.994,-0.048,0.048,0.000,2,1,11.11%,,,,,1,,,1,100.00%,,,2,50.00%,3,50.00%,,,,,,,,,1,,,,,,,,,,,1,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31404,LAMINE,YAMAL NASRAOUI EBANA,LAMINE YAMAL,13-07-2007,132450,64,3,17,6,35.29%,14,82.35%,1,5.00%,20,2,10.00%,,,,3,,,6,,,,,,3,2,66.67%,4,1,,,13,1,7.69%,7,53.85%,5,71.43%,3,42.86%,,,,,7,53.85%,4,57.14%,,1,,,,,,0.105,0.045,0.953,0.185,0.640,-0.060,0.105,0.000,2,1,16.67%,,,2,33.33%,2,1,50.00%,2,100.00%,1,100.00%,4,66.67%,1,25.00%,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,2,66.67%,1,50.00%,,,,
30865,ROBERT,ANDRICH,ANDRICH R.,22-09-1994,132450,86,8,39,1,2.56%,33,84.62%,3,12.00%,25,,,1,1,100.00%,2,,,2,1,,,1,100.00%,10,6,60.00%,,2,1,50.00%,15,1,6.67%,7,46.67%,2,28.57%,6,85.71%,4,26.67%,1,25.00%,5,33.33%,4,80.00%,3,1,,1,,,2,0.244,0.459,0.130,0.088,-0.073,0.215,0.244,0.000,11,,,,,,,3,1,33.33%,3,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8214,EMRE,CAN,EMRE CAN,12-01-1994,132450,47,,22,1,4.55%,19,86.36%,3,13.04%,23,1,4.35%,,,,,,,3,,,,,,,,,1,2,1,50.00%,7,1,14.29%,2,28.57%,,,1,50.00%,1,14.29%,,,1,14.29%,,,1,1,,,,,,0.000,0.000,0.221,0.000,-0.157,0.000,0.000,0.000,11,3,100.00%,,,2,66.67%,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14216,NICLAS,FULLKRUG,FULLKRUG N.,09-02-1993,132450,75,4,20,3,15.00%,13,65.00%,6,20.00%,30,10,33.33%,2,2,100.00%,4,,,10,,,,,,,,,,1,1,100.00%,12,1,8.33%,8,66.67%,6,75.00%,2,25.00%,8,66.67%,5,62.50%,2,16.67%,2,100.00%,,1,,,,,1,0.681,0.228,0.888,0.206,-0.317,-0.453,0.681,0.000,11,5,50.00%,,,6,60.00%,6,1,16.67%,,,,,3,100.00%,,,,,,,6,100.00%,4,66.67%,,,,,,,,1,100.00%,3,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,1,25.00%,,,,,,
7218,ILKAY,GUNDOGAN,GUNDOGAN I.,24-10-1990,132450,58,1,25,2,8.00%,21,84.00%,6,25.00%,24,1,4.17%,,,,,,,3,,,,,,3,1,33.33%,1,,,,11,3,27.27%,6,54.55%,2,33.33%,2,33.33%,,,,,6,54.55%,3,50.00%,1,3,,,,,1,0.000,0.000,0.335,0.000,0.233,0.000,0.000,0.000,11,1,33.33%,1,33.33%,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13310,KAI,HAVERTZ,HAVERTZ K.,11-06-1999,132450,96,1,24,7,29.17%,18,75.00%,8,27.59%,29,6,20.69%,,,,,1,2,10,,,,,,3,1,33.33%,2,,,,11,,,2,18.18%,2,100.00%,6,300.00%,5,45.45%,1,20.00%,3,27.27%,,,1,,,,,,1,0.693,1.462,0.926,0.000,0.236,0.768,0.693,0.000,11,2,20.00%,1,33.33%,2,20.00%,4,3,75.00%,1,25.00%,,,4,57.14%,1,50.00%,,,,,3,75.00%,1,25.00%,,,,,,,,3,100.00%,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,1,,,
9831,JOSHUA,KIMMICH,KIMMICH J.,08-02-1995,132450,133,6,78,11,14.10%,70,89.74%,2,3.23%,62,3,4.84%,3,,,5,6,8,7,1,,,1,100.00%,7,6,85.71%,,4,4,100.00%,13,2,15.38%,6,46.15%,3,50.00%,4,66.67%,3,23.08%,2,66.67%,3,23.08%,2,66.67%,1,2,,,,,2,0.000,0.041,2.203,0.276,1.875,0.041,0.000,0.000,11,1,14.29%,6,85.71%,2,28.57%,1,1,100.00%,1,100.00%,1,100.00%,6,54.55%,,,,,,,,,,,1,,,,,,,,,1,50.00%,1,1,20.00%,3,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,3,50.00%,3,60.00%,1,33.33%,,,,
7487,TONI,KROOS,KROOS T.,04-01-1990,132450,133,8,92,10,10.87%,81,88.04%,,,69,1,1.45%,1,,,2,,1,4,1,1,100.00%,,,8,3,37.50%,,2,1,50.00%,19,1,5.26%,6,31.58%,2,33.33%,9,150.00%,2,10.53%,1,50.00%,9,47.37%,3,33.33%,5,1,,1,,,2,0.000,0.000,1.778,0.075,1.259,0.000,0.000,0.000,11,2,50.00%,2,25.00%,2,50.00%,,,,,,,,6,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25.00%,2,100.00%,,,1,1,100.00%,
15741,MAXIMILIAN,MITTELSTADT,MITTELSTADT M.,18-03-1997,132450,75,,32,6,18.75%,28,87.50%,1,4.17%,24,,,1,,,,4,5,,,,,,,4,1,25.00%,,6,2,33.33%,12,,,7,58.33%,5,71.43%,2,28.57%,4,33.33%,2,50.00%,1,8.33%,1,100.00%,1,,,1,,,1,0.072,0.600,1.253,0.000,1.146,0.528,0.072,0.000,11,,,,,,,1,1,100.00%,1,100.00%,1,100.00%,4,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7455,THOMAS,MULLER,MULLER T.,13-09-1989,132450,52,2,21,6,28.57%,16,76.19%,2,10.53%,19,2,10.53%,,,,2,3,3,3,,,,,,1,,,,2,1,50.00%,11,1,9.09%,4,36.36%,3,75.00%,2,50.00%,3,27.27%,,,4,36.36%,2,50.00%,1,1,,,,,1,0.464,0.000,0.521,0.087,0.832,-0.464,0.464,0.000,11,3,100.00%,,,4,133.33%,1,,,,,,,3,50.00%,,,,,,,1,100.00%,,,,,,,,,,,,1,50.00%,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24707,JAMAL,MUSIALA,MUSIALA J.,26-02-2003,132450,133,4,36,5,13.89%,30,83.33%,6,13.33%,45,5,11.11%,,,,1,1,2,8,2,2,100.00%,,,5,1,20.00%,8,2,,,20,4,20.00%,15,75.00%,3,20.00%,4,26.67%,,,,,5,25.00%,2,40.00%,1,4,,,,,2,0.232,0.000,0.720,0.040,0.077,-0.232,0.232,0.000,11,4,50.00%,,,6,75.00%,3,,,2,66.67%,,,1,20.00%,7,87.50%,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,,,,,1,,,
7446,MANUEL,NEUER,NEUER M.,27-03-1986,132450,133,,39,,,37,94.87%,,,20,,,,,,,,,2,,,,,,7,2,28.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.000,0.000,1.210,0.000,0.641,0.000,0.000,0.000,11,1,50.00%,2,28.57%,,,,,,,,,,,,,,,17,8,47.06%,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6,4,66.67%,2,20,1,50.00%,19,95.00%,7,41.18%,2,11.76%,4,100.00%,2,1.981,-0.019,,,,,,,,,,
25117,DAVID,RAUM,RAUM D.,22-04-1998,132450,58,,37,4,10.81%,28,75.68%,1,3.85%,26,3,11.54%,1,,,,,2,8,,,,,,7,1,14.29%,1,3,1,33.33%,12,1,8.33%,7,58.33%,5,71.43%,1,14.29%,1,8.33%,,,5,41.67%,3,60.00%,1,1,,1,,,1,0.000,0.000,0.394,0.000,0.394,0.000,0.000,0.000,11,2,25.00%,,,,,,,,,,,,,,1,100.00%,,,,,,,,,1,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
14210,WALDEMAR,RIPTSOV ANTON,ANTON W.,20-07-1996,132450,37,1,22,,,17,77.27%,,,17,,,2,2,100.00%,,,,5,,,,,,2,2,100.00%,,,,,1,,,,,,,,,,,,,1,100.00%,,,,,,,,,1,0.000,0.000,0.246,0.000,-0.324,0.000,0.000,0.000,11,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8755,ANTONIO,RUDIGER,RUDIGER A.,03-03-1993,132450,133,4,74,6,8.11%,69,93.24%,,,59,,,4,,,2,5,5,2,,,,,,10,4,40.00%,,2,1,50.00%,7,,,1,14.29%,,,1,100.00%,3,42.86%,,,1,14.29%,,,1,,,1,,,2,0.000,0.000,1.035,0.139,1.035,0.000,0.000,0.000,11,,,1,10.00%,,,,,,,,,,3,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,3,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,1,50.00%,,,,,,
7766,LEROY,SANE',SANE' L.,11-01-1996,132450,47,,10,1,10.00%,7,70.00%,,,12,,,,,,,1,1,5,1,1,100.00%,,,1,1,100.00%,1,1,1,100.00%,4,,,,,,,1,,,,,,1,25.00%,,,1,,,,,,,0.000,0.000,0.236,0.000,0.114,0.000,0.000,0.000,11,3,60.00%,1,100.00%,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20932,NICO,SCHLOTTERBECK,SCHLOTTERBECK N.,01-12-1999,132450,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9565,JONATHAN,TAH,TAH J.,11-02-1996,132450,82,2,48,2,4.17%,43,89.58%,1,2.50%,40,1,2.50%,4,,,,,,2,,,,,,6,1,16.67%,,1,,,7,,,4,57.14%,4,100.00%,3,75.00%,3,42.86%,1,33.33%,2,28.57%,2,100.00%,1,,,,,,1,0.098,0.168,0.186,0.000,0.074,0.070,0.098,0.000,11,,,,,,,1,1,100.00%,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43196,DENIZ,UNDAV,UNDAV D.,19-07-1996,132450,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23830,FLORIAN,WIRTZ,WIRTZ F.,03-05-2003,132450,86,4,43,10,23.26%,36,83.72%,6,14.29%,42,5,11.90%,1,1,100.00%,2,3,5,8,2,,,2,100.00%,3,,,2,2,1,50.00%,12,,,5,41.67%,3,60.00%,6,120.00%,1,8.33%,,,4,33.33%,3,75.00%,3,,,1,,,2,0.510,0.819,1.198,0.139,0.722,0.309,0.510,0.000,11,3,37.50%,,,6,75.00%,3,1,33.33%,1,33.33%,,,5,50.00%,1,50.00%,,,,,2,66.67%,,,1,1,33.33%,1,100.00%,,,1,100.00%,1,16.67%,,,,1,33.33%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,1,25.00%,1,50.00%,,,1,,,
