Player ID,First Name,Last Name,Known Name,Born Date,Season ID,playTime,playTime_MEAN,tiri,tiri_MEAN,tiriInPorta,tiriInPorta_PERC,tiriInPorta_MEAN,tiriDaArea,tiriDaArea_PERC,tiriDaArea_MEAN,passChiave,passChiave_MEAN,pass,pass_MEAN,passInArea,passInArea_PERC,passInArea_MEAN,passRiusciti,passRiusciti_PERC,passRiusciti_MEAN,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevuti_MEAN,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passChiaveRicevutiInArea_MEAN,passRicevuti,passRicevuti_MEAN,passRicevutiInArea,passRicevutiInArea_PERC,passRicevutiInArea_MEAN,palleLaterali,palleLaterali_MEAN,perdePalla,perdePalla_MEAN,triangolazione,triangolazione_MEAN,triFatta,triFatta_PERC,triFatta_MEAN,triChiusa,triChiusa_PERC,triChiusa_MEAN,recuperaPalla,recuperaPalla_MEAN,perdeMetaCampoProria,perdeMetaCampoProria_PERC,perdeMetaCampoProria_MEAN,dribbling,dribbling_MEAN,dribblingPositivo,dribblingPositivo_PERC,dribblingPositivo_MEAN,dribblingSub,dribblingSub_MEAN,duelli,duelli_MEAN,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliFalliDiGioco_MEAN,duelliVinti,duelliVinti_PERC,duelliVinti_MEAN,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliVintiMetaCampo_MEAN,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliPersiMetaCampo_MEAN,duelliAerei,duelliAerei_PERC,duelliAerei_MEAN,duelliTackle,duelliTackle_PERC,duelliTackle_MEAN,duelliTackleVinti,duelliTackleVinti_PERC,duelliTackleVinti_MEAN,falliFatti,falliFatti_MEAN,falliSubiti,falliSubiti_MEAN,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaArea_MEAN,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,perdeTerzoDifensivo_MEAN,xG,xG_MEAN,xGoT,xGoT_MEAN,xA,xA_MEAN,xAe,xAe_MEAN,xOvA,xOvA_MEAN,shotQuality,shotQuality_MEAN,np_xG,np_xG_MEAN,op_xG,op_xG_MEAN,tiriDaFuori,tiriDaFuori_PERC,tiriDaFuori_MEAN,passInAreaRiusciti,passInAreaRiusciti_PERC,passInAreaRiusciti_MEAN,giochiPortiereRicevuti,giochiPortiereRicevuti_MEAN,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,giochiPortiereRicevutiMetaCampoAvversaria_MEAN,cross,cross_MEAN,traversoni,traversoni_MEAN,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,recuperaMetaCampoAvversaria_MEAN,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,dribblingSubitoNegativo_MEAN,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriDaAreaPiccola_MEAN,tiroGol,tiroGol_PERC,tiroGol_MEAN,tiroGolArea,tiroGolArea_PERC,tiroGolArea_MEAN,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolAreaPiccola_MEAN,tiroGolPiede,tiroGolPiede_PERC,tiroGolPiede_MEAN,retiSub,retiSub_MEAN,passChiaveInArea,passChiaveInArea_PERC,passChiaveInArea_MEAN,assist,assist_MEAN,assistVincenti,assistVincenti_PERC,assistVincenti_MEAN,assistInArea,assistInArea_PERC,assistInArea_MEAN,crossRiusciti,crossRiusciti_PERC,crossRiusciti_MEAN,traversoniRiusciti,traversoniRiusciti_PERC,traversoniRiusciti_MEAN,cutBack,cutBack_MEAN,cutBackRiusciti,cutBackRiusciti_PERC,cutBackRiusciti_MEAN,duelliAereiVinti,duelliAereiVinti_PERC,duelliAereiVinti_MEAN,inFuorigioco,inFuorigioco_MEAN,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,tiriInPortaDaFuori_MEAN,interventoNegativo,interventoNegativo_MEAN,ammonizioni,ammonizioni_MEAN,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,recuperaTerzoOffensivo_MEAN,tiriDiTesta,tiriDiTesta_PERC,tiriDiTesta_MEAN,assistVincentiInArea,assistVincentiInArea_PERC,assistVincentiInArea_MEAN,interventoPositivo,interventoPositivo_MEAN,parate,parate_MEAN,uscite,uscite_MEAN,tiriInPortaSubitiPortiere,tiriInPortaSubitiPortiere_MEAN,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriInPortaSubitiParati_MEAN,tiriRigoreSubiti,tiriRigoreSubiti_MEAN,lanci,lanci_MEAN,passaggiPortiere,passaggiPortiere_MEAN,lanciPositivi,lanciPositivi_PERC,lanciPositivi_MEAN,passaggiPortierePositivi,passaggiPortierePositivi_PERC,passaggiPortierePositivi_MEAN,rinvio,rinvio_MEAN,rinvioMano,rinvioMano_PERC,rinvioMano_MEAN,rinvioPiede,rinvioPiede_PERC,rinvioPiede_MEAN,parataMano,parataMano_PERC,parataMano_MEAN,parataPiede,parataPiede_PERC,parataPiede_MEAN,retiSubGK,retiSubGK_MEAN,rinvioDalFondo,rinvioDalFondo_PERC,rinvioDalFondo_MEAN,FxGoT,FxGoT_MEAN,gkGP,gkGP_MEAN,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,golSviluppoPunizioneCentrale_MEAN,golSviluppoCorner,golSviluppoCorner_PERC,golSviluppoCorner_MEAN,tiroGolTesta,tiroGolTesta_PERC,tiroGolTesta_MEAN,thirdPass,thirdPass_MEAN,thirdPassVincenti,thirdPassVincenti_PERC,thirdPassVincenti_MEAN,tiriDiRigore,tiriDiRigore_PERC,tiriDiRigore_MEAN,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolFuoriArea_MEAN,reteDaPunizioneDiretta,reteDaPunizioneDiretta_PERC,reteDaPunizioneDiretta_MEAN,golProcurati,golProcurati_MEAN,tiroGolRigore,tiroGolRigore_PERC,tiroGolRigore_MEAN,espulsioni,espulsioni_MEAN,doppieAmm,doppieAmm_MEAN,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,golSviluppoPunizioneLaterale_MEAN,traversoniVincenti,traversoniVincenti_PERC,traversoniVincenti_MEAN,crossVincenti,crossVincenti_PERC,crossVincenti_MEAN,autogol,autogol_MEAN,golSviluppoPunizioneDiretta,golSviluppoPunizioneDiretta_PERC,golSviluppoPunizioneDiretta_MEAN,cutBackVincenti,cutBackVincenti_PERC,cutBackVincenti_MEAN,tiriRigoreParati,tiriRigoreParati_PERC,tiriRigoreParati_MEAN
36779,DEREK,CORNELIUS,CORNELIUS D.,25-11-1997,2023,478,80,1,0.17,1,100.00%,0.17,1,100.00%,0.17,14,2.33,216,36.00,5,2.31%,0.83,173,80.09%,28.83,1,0.68%,0.17,1,100.00%,0.17,146,24.33,4,2.74%,0.67,,,16,2.67,,,,,,,,,34,5.67,2,12.50%,0.33,,,,,,5,0.83,50,8.33,1,2.00%,0.17,32,64.00%,5.33,3,9.38%,0.50,6,18.75%,1.00,21,42.00%,3.50,14,28.00%,2.33,13,92.86%,2.17,9,1.50,1,0.17,1,100.00%,0.17,4,25.00%,0.67,0.051,0.009,0.045,0.008,0.375,0.063,0.140,0.023,-0.097,-0.016,-0.007,-0.001,0.051,0.009,0.000,0.000,,,,1,20.00%,0.17,13,2.17,,,,,,,,,,,2,40.00%,0.33,,,,,,,,,,,,,,,,6,1.00,1,7.14%,0.17,3,0.50,,,,1,33.33%,0.17,,,,,,,,,,,,15,71.43%,2.50,,,,,,,,2,0.33,,,,,,,,,,6,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51059,MAXIME,CREPEAU,CREPEAU M.,11-05-1994,2023,501,100,,,,,,,,,1,0.20,138,27.60,3,2.17%,0.60,118,85.51%,23.60,,,,,,,51,10.20,,,,,,14,2.80,,,,,,,,,23,4.60,4,28.57%,0.80,,,,,,1,0.20,1,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14.29%,0.40,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,1,4.35%,0.20,1,100.00%,0.20,,,,,,,,,,,,,,,,5,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.00,21,4.20,21,4.20,26,5.20,19,73.08%,3.80,,,15,3.00,49,9.80,5,33.33%,1.00,46,93.88%,9.20,74,14.80,23,31.08%,4.60,15,20.27%,3.00,18,85.71%,3.60,3,14.29%,0.60,5,1.00,36,48.65%,7.20,12.148,2.430,4.148,0.830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23346,JONATHAN,DAVID,DAVID J.,14-01-2000,2023,496,83,8,1.33,4,50.00%,0.67,5,62.50%,0.83,13,2.17,141,23.50,15,10.64%,2.50,117,82.98%,19.50,24,14.81%,4.00,4,16.67%,0.67,162,27.00,11,6.79%,1.83,2,0.33,41,6.83,7,1.17,4,57.14%,0.67,3,42.86%,0.50,14,2.33,15,36.59%,2.50,12,2.00,5,41.67%,0.83,8,1.33,74,12.33,13,17.57%,2.17,37,50.00%,6.17,16,43.24%,2.67,20,54.05%,3.33,8,10.81%,1.33,28,37.84%,4.67,12,42.86%,2.00,5,0.83,13,2.17,3,75.00%,0.50,4,9.76%,0.67,2.756,0.459,4.143,0.691,2.844,0.474,0.274,0.046,3.908,0.651,1.387,0.231,1.245,0.208,0.093,0.016,3,37.50%,0.50,9,60.00%,1.50,2,0.33,1,50.00%,0.17,,,2,0.33,6,42.86%,1.00,4,50.00%,0.67,1,12.50%,0.17,2,25.00%,0.33,2,100.00%,0.33,,,,2,100.00%,0.33,6,1.00,5,38.46%,0.83,7,1.17,,,,3,42.86%,0.50,,,,,,,,,,,,3,37.50%,0.50,1,0.17,1,25.00%,0.17,,,1,0.17,2,14.29%,0.33,1,12.50%,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22446,ALPHONSO,DAVIES,DAVIES A.,02-11-2000,2023,512,85,6,1.00,3,50.00%,0.50,2,33.33%,0.33,7,1.17,224,37.33,31,13.84%,5.17,178,79.46%,29.67,7,4.61%,1.17,2,28.57%,0.33,152,25.33,5,3.29%,0.83,5,0.83,35,5.83,3,0.50,2,66.67%,0.33,1,33.33%,0.17,40,6.67,10,28.57%,1.67,27,4.50,11,40.74%,1.83,7,1.17,76,12.67,6,7.89%,1.00,37,48.68%,6.17,12,32.43%,2.00,24,64.86%,4.00,6,7.89%,1.00,28,36.84%,4.67,15,53.57%,2.50,3,0.50,6,1.00,,,,6,17.14%,1.00,2.033,0.339,1.587,0.265,4.137,0.690,0.126,0.021,5.294,0.882,-0.448,-0.075,0.522,0.087,0.000,0.000,4,66.67%,0.67,13,41.94%,2.17,2,0.33,,,,2,0.33,2,0.33,5,12.50%,0.83,4,57.14%,0.67,,,,,,,,,,,,,,,,6,1.00,1,14.29%,0.17,2,0.33,,,,1,50.00%,0.17,,,,1,50.00%,0.17,1,0.17,,,,2,33.33%,0.33,,,3,100.00%,0.50,,,1,0.17,1,2.50%,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36781,ALISTAIR,JOHNSTON,JOHNSTON A.,08-10-1998,2023,565,94,1,0.17,1,100.00%,0.17,1,100.00%,0.17,11,1.83,303,50.50,32,10.56%,5.33,248,81.85%,41.33,1,0.57%,0.17,1,100.00%,0.17,176,29.33,3,1.70%,0.50,5,0.83,28,4.67,2,0.33,2,100.00%,0.33,,,,47,7.83,6,21.43%,1.00,4,0.67,1,25.00%,0.17,18,3.00,81,13.50,5,6.17%,0.83,49,60.49%,8.17,13,26.53%,2.17,15,30.61%,2.50,16,19.75%,2.67,30,37.04%,5.00,22,73.33%,3.67,8,1.33,5,0.83,1,100.00%,0.17,,,,0.061,0.010,0.409,0.068,2.942,0.490,0.094,0.016,2.615,0.436,0.348,0.058,0.061,0.010,0.000,0.000,,,,14,43.75%,2.33,6,1.00,,,,5,0.83,,,8,17.02%,1.33,6,33.33%,1.00,,,,,,,,,,,,,,,,6,1.00,4,36.36%,0.67,3,0.50,,,,2,66.67%,0.33,2,40.00%,0.33,,,,,,,,,9,56.25%,1.50,,,,,,,,1,0.17,4,8.51%,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36785,ISMAEL,KONE',KONE' I.,16-06-2002,2023,348,70,5,1.00,3,60.00%,0.60,1,20.00%,0.20,9,1.80,193,38.60,10,5.18%,2.00,161,83.42%,32.20,12,6.98%,2.40,1,8.33%,0.20,172,34.40,2,1.16%,0.40,1,0.20,26,5.20,5,1.00,4,80.00%,0.80,1,20.00%,0.20,19,3.80,7,26.92%,1.40,10,2.00,7,70.00%,1.40,5,1.00,47,9.40,8,17.02%,1.60,28,59.57%,5.60,19,67.86%,3.80,12,42.86%,2.40,3,6.38%,0.60,17,36.17%,3.40,7,41.18%,1.40,4,0.80,8,1.60,1,33.33%,0.20,4,15.38%,0.80,2.015,0.403,2.845,0.569,0.909,0.182,0.000,0.000,2.031,0.406,0.829,0.166,0.504,0.101,0.000,0.000,4,80.00%,0.80,5,50.00%,1.00,2,0.40,,,,1,0.20,,,9,47.37%,1.80,1,20.00%,0.20,,,,1,20.00%,0.20,1,100.00%,0.20,,,,1,100.00%,0.20,5,1.00,1,11.11%,0.20,,,,,,,,,,,,,,,,,,,,2,66.67%,0.40,1,0.20,2,66.67%,0.40,,,3,0.60,4,21.05%,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,0.20,,,,,,,,,,,,,,,,,,1,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
28652,CYLE,LARIN,LARIN C.,17-04-1995,2023,424,85,5,1.00,2,40.00%,0.40,5,100.00%,1.00,5,1.00,77,15.40,6,7.79%,1.20,54,70.13%,10.80,20,16.81%,4.00,4,20.00%,0.80,119,23.80,12,10.08%,2.40,1,0.20,53,10.60,2,0.40,1,50.00%,0.20,1,50.00%,0.20,4,0.80,12,22.64%,2.40,11,2.20,4,36.36%,0.80,2,0.40,83,16.60,3,3.61%,0.60,22,26.51%,4.40,14,63.64%,2.80,49,222.73%,9.80,32,38.55%,6.40,27,32.53%,5.40,5,18.52%,1.00,9,1.80,3,0.60,2,100.00%,0.40,8,15.09%,1.60,0.971,0.194,0.888,0.178,1.265,0.253,0.315,0.063,0.134,0.027,-0.084,-0.017,0.971,0.194,0.083,0.017,,,,4,66.67%,0.80,2,0.40,,,,1,0.20,,,1,25.00%,0.20,2,100.00%,0.40,1,20.00%,0.20,,,,,,,,,,,,,4,0.80,3,60.00%,0.60,5,1.00,,,,3,60.00%,0.60,1,100.00%,0.20,,,,,,,,,10,31.25%,2.00,1,0.20,,,,,,,,,,,1,20.00%,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36782,RICHIE,LARYEA,LARYEA R.,07-01-1995,2023,402,67,4,0.67,1,25.00%,0.17,2,50.00%,0.33,7,1.17,98,16.33,9,9.18%,1.50,79,80.61%,13.17,8,9.09%,1.33,4,50.00%,0.67,88,14.67,6,6.82%,1.00,7,1.17,18,3.00,,,,,,,,,21,3.50,8,44.44%,1.33,8,1.33,4,50.00%,0.67,9,1.50,65,10.83,13,20.00%,2.17,37,56.92%,6.17,14,37.84%,2.33,15,40.54%,2.50,7,10.77%,1.17,25,38.46%,4.17,12,48.00%,2.00,4,0.67,13,2.17,1,100.00%,0.17,4,22.22%,0.67,0.207,0.035,0.309,0.052,1.624,0.271,0.113,0.019,1.082,0.180,0.102,0.017,0.207,0.035,0.041,0.007,2,50.00%,0.33,3,33.33%,0.50,2,0.33,,,,2,0.33,1,0.17,7,33.33%,1.17,3,33.33%,0.50,,,,,,,,,,,,,,,,6,1.00,3,42.86%,0.50,3,0.50,,,,3,100.00%,0.50,,,,,,,3,0.50,2,66.67%,0.33,2,28.57%,0.33,,,,,,,,1,0.17,1,4.76%,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49309,MOISE BOMBITO,LUMPUNGU,BOMBITO M.,30-03-2000,2023,599,100,1,0.17,,,,1,100.00%,0.17,16,2.67,313,52.17,4,1.28%,0.67,261,83.39%,43.50,1,0.50%,0.17,1,100.00%,0.17,201,33.50,5,2.49%,0.83,,,16,2.67,1,0.17,,,,1,100.00%,0.17,57,9.50,8,50.00%,1.33,3,0.50,3,100.00%,0.50,11,1.83,66,11.00,1,1.52%,0.17,39,59.09%,6.50,8,20.51%,1.33,5,12.82%,0.83,26,39.39%,4.33,21,31.82%,3.50,16,76.19%,2.67,4,0.67,1,0.17,,,,,,,1.684,0.281,1.956,0.326,0.434,0.072,0.091,0.015,1.336,0.223,0.272,0.045,0.172,0.029,0.000,0.000,,,,1,25.00%,0.17,19,3.17,,,,,,,,9,15.79%,1.50,5,45.45%,0.83,,,,,,,,,,,,,,,,7,1.17,1,6.25%,0.17,2,0.33,1,50.00%,0.17,1,50.00%,0.17,,,,,,,,,,,,13,50.00%,2.17,,,,,,1,0.17,1,0.17,1,1.75%,0.17,1,100.00%,0.17,1,100.00%,0.17,,,,,,,,,,,,,,,,,,,,,,,,2,0.33,,,,,,,,,,,,,,,2,100.00%,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30927,LIAM,MILLAR,MILLAR L.,27-09-1999,2023,265,44,5,0.83,2,40.00%,0.33,3,60.00%,0.50,3,0.50,88,14.67,13,14.77%,2.17,67,76.14%,11.17,6,6.06%,1.00,1,16.67%,0.17,99,16.50,2,2.02%,0.33,5,0.83,27,4.50,3,0.50,1,33.33%,0.17,2,66.67%,0.33,8,1.33,9,33.33%,1.50,12,2.00,4,33.33%,0.67,10,1.67,48,8.00,2,4.17%,0.33,16,33.33%,2.67,7,43.75%,1.17,20,125.00%,3.33,5,10.42%,0.83,15,31.25%,2.50,4,26.67%,0.67,4,0.67,2,0.33,2,100.00%,0.33,10,37.04%,1.67,1.155,0.193,0.861,0.144,1.626,0.271,0.034,0.006,2.253,0.376,-0.294,-0.049,0.399,0.067,0.000,0.000,2,40.00%,0.33,4,30.77%,0.67,,,,,,3,0.50,1,0.17,3,37.50%,0.50,7,70.00%,1.17,,,,,,,,,,,,,,,,3,0.50,,,,1,0.17,,,,,,,1,33.33%,0.17,,,,,,,,,3,60.00%,0.50,,,,,,,,1,0.17,1,12.50%,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36777,KAMAL,MILLER,MILLER K.,16-05-1997,2023,56,28,,,,,,,,,1,0.50,30,15.00,,,,22,73.33%,11.00,,,,,,,15,7.50,,,,,,5,2.50,,,,,,,,,10,5.00,3,60.00%,1.50,,,,,,,,12,6.00,,,,8,66.67%,4.00,1,12.50%,0.50,,,,8,66.67%,4.00,4,33.33%,2.00,4,100.00%,2.00,,,,,,,,2,40.00%,1.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,1,0.50,,,,,,,,1,10.00%,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,50.00%,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56002,TANITOLUWA,OLUWATIMIKHIN OLUWASEYI,OLUWASEYI T.,15-05-2000,2023,160,32,9,1.80,3,33.33%,0.60,9,100.00%,1.80,2,0.40,36,7.20,5,13.89%,1.00,27,75.00%,5.40,15,25.42%,3.00,8,53.33%,1.60,59,11.80,13,22.03%,2.60,1,0.20,26,5.20,3,0.60,,,,3,100.00%,0.60,2,0.40,2,7.69%,0.40,,,,,,1,0.20,33,6.60,1,3.03%,0.20,6,18.18%,1.20,5,83.33%,1.00,25,416.67%,5.00,13,39.39%,2.60,14,42.42%,2.80,3,21.43%,0.60,5,1.00,1,0.20,3,100.00%,0.60,,,,1.942,0.388,0.854,0.171,1.533,0.307,0.097,0.019,0.747,0.149,-1.088,-0.218,1.942,0.388,0.000,0.000,,,,4,80.00%,0.80,2,0.40,2,100.00%,0.40,,,,,1,50.00%,0.20,1,100.00%,0.20,1,11.11%,0.20,,,,,,,,,,,,,1,0.20,2,100.00%,0.40,2,0.40,,,,2,100.00%,0.40,,,,,,,1,0.20,,,,2,15.38%,0.40,1,0.20,,,,,,2,0.40,1,50.00%,0.20,2,22.22%,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36786,JONATHAN,OSORIO,OSORIO J.,12-06-1992,2023,352,59,3,0.50,3,100.00%,0.50,3,100.00%,0.50,5,0.83,152,25.33,12,7.89%,2.00,130,85.53%,21.67,6,4.58%,1.00,2,33.33%,0.33,131,21.83,4,3.05%,0.67,2,0.33,12,2.00,3,0.50,1,33.33%,0.17,2,66.67%,0.33,10,1.67,6,50.00%,1.00,2,0.33,1,50.00%,0.17,7,1.17,28,4.67,1,3.57%,0.17,15,53.57%,2.50,2,13.33%,0.33,6,40.00%,1.00,3,10.71%,0.50,12,42.86%,2.00,7,58.33%,1.17,3,0.50,1,0.17,3,100.00%,0.50,,,,0.502,0.084,1.001,0.167,1.382,0.230,0.062,0.010,1.098,0.183,0.498,0.083,0.502,0.084,0.000,0.000,,,,7,58.33%,1.17,1,0.17,,,,2,0.33,,,5,50.00%,0.83,2,28.57%,0.33,,,,,,,,,,,,,,,,3,0.50,2,40.00%,0.33,1,0.17,,,,1,100.00%,0.17,1,50.00%,0.17,,,,,,,,,1,33.33%,0.17,,,,,,1,0.17,,,,,,1,33.33%,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58436,LUC,ROLLET DE FOUGEROLLES,DE FOUGEROLLES L.,12-10-2005,2023,69,69,,,,,,,,,,,17,17.00,1,5.88%,1.00,15,88.24%,15.00,,,,,,,12,12.00,3,25.00%,3.00,,,4,4.00,,,,,,,,,4,4.00,2,50.00%,2.00,,,,,,4,4.00,12,12.00,1,8.33%,1.00,7,58.33%,7.00,2,28.57%,2.00,3,42.86%,3.00,4,33.33%,4.00,2,16.67%,2.00,1,50.00%,1.00,1,1.00,1,1.00,,,,,,,0.000,0.000,0.000,0.000,0.331,0.331,0.000,0.000,0.028,0.028,0.000,0.000,0.000,0.000,0.000,0.000,,,,1,100.00%,1.00,2,2.00,,,,,,,,3,75.00%,3.00,1,25.00%,1.00,,,,,,,,,,,,,,,,1,1.00,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,2.00,,,,,,,,1,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45804,JACEN,RUSSELL-ROWE,RUSSELL-ROWE J.,13-09-2002,2023,10,10,,,,,,,,,,,3,3.00,,,,1,33.33%,1.00,,,,,,,3,3.00,,,,,,2,2.00,,,,,,,,,,,2,100.00%,2.00,,,,,,,,1,1.00,,,,1,100.00%,1.00,,,,,,,,,,1,100.00%,1.00,1,100.00%,1.00,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51325,JACOB,SHAFFELBURG,SHAFFELBURG J.,26-11-1999,2023,379,63,5,0.83,3,60.00%,0.50,4,80.00%,0.67,8,1.33,101,16.83,27,26.73%,4.50,49,48.51%,8.17,16,14.95%,2.67,1,6.25%,0.17,107,17.83,9,8.41%,1.50,18,3.00,44,7.33,1,0.17,,,,1,100.00%,0.17,9,1.50,5,11.36%,0.83,15,2.50,5,33.33%,0.83,9,1.50,53,8.83,4,7.55%,0.67,19,35.85%,3.17,13,68.42%,2.17,26,136.84%,4.33,5,9.43%,0.83,18,33.96%,3.00,5,27.78%,0.83,2,0.33,4,0.67,2,66.67%,0.33,2,4.55%,0.33,0.753,0.126,1.828,0.305,5.311,0.885,0.467,0.078,5.640,0.940,1.074,0.179,0.753,0.126,0.000,0.000,1,20.00%,0.17,6,22.22%,1.00,,,,,,7,1.17,8,1.33,5,55.56%,0.83,7,77.78%,1.17,,,,1,20.00%,0.17,1,100.00%,0.17,,,,1,100.00%,0.17,5,0.83,4,50.00%,0.67,8,1.33,1,12.50%,0.17,4,50.00%,0.67,2,28.57%,0.33,2,25.00%,0.33,1,0.17,,,,3,60.00%,0.50,1,0.17,1,33.33%,0.17,,,1,0.17,1,11.11%,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36775,DAYNE TRISTAN,ST. CLAIR,ST. CLAIR D.,09-05-1997,2023,98,98,,,,,,,,,,,25,25.00,,,,21,84.00%,21.00,,,,,,,11,11.00,,,,,,2,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.00,3,3.00,7,7.00,5,5.00,3,60.00%,3.00,,,5,5.00,8,8.00,4,80.00%,4.00,8,100.00%,8.00,12,12.00,5,41.67%,5.00,5,41.67%,5.00,2,66.67%,2.00,1,33.33%,1.00,2,2.00,2,16.67%,2.00,5.942,5.942,-0.058,-0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
