Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,giochiPortiereRicevuti,traversoni,dribblingPositivo,dribblingPositivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,inFuorigioco,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,interventoPositivo,tiriDiTesta,tiriDiTesta_PERC,crossRiusciti,crossRiusciti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,triangolazione,triChiusa,triChiusa_PERC,ammonizioni,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,triFatta,triFatta_PERC,traversoniRiusciti,traversoniRiusciti_PERC,thirdPass,parataPiede,parataPiede_PERC
28929,MATHEUS LUIZ,NUNES,MATHEUS NUNES,27-08-1998,132451,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25752,NUNO ALEXANDRE,TAVARES MENDES,NUNO MENDES,19-06-2002,132451,124,1,1,100.00%,1,100.00%,,,4,,,108,4,3.70%,100,92.59%,,,3,3.26%,1,33.33%,92,2,2.17%,1,,,2,3,7,4,2,28.57%,,,8,19,2,10.53%,11,57.89%,6,54.55%,6,54.55%,7,36.84%,3,42.86%,,2,1,100.00%,,,2,28.57%,0.905,1.573,0.818,0.043,1.135,0.668,0.150,0.000,427,2,,,,,,,2,1,4,50.00%,1,50.00%,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,
32536,BRADLEY,BARCOLA,BARCOLA B.,02-09-2002,132451,15,1,,,1,100.00%,,,,,,3,,,3,100.00%,,,1,16.67%,,,6,,,,,,,,1,,,,,,1,3,,,1,33.33%,1,100.00%,2,200.00%,1,33.33%,,,,,,,,,,,0.756,0.967,0.000,0.000,0.756,0.211,0.000,0.000,423,,,,1,33.33%,,,,,1,100.00%,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21574,EDUARDO,CAMAVINGA,CAMAVINGA E.,10-11-2002,132451,93,2,,,1,50.00%,1,50.00%,4,,,55,3,5.45%,50,90.91%,1,33.33%,2,4.26%,1,50.00%,47,1,2.13%,1,,,1,1,2,7,,,3,42.86%,,8,1,12.50%,4,50.00%,2,50.00%,4,100.00%,2,25.00%,2,100.00%,3,1,,,1,14.29%,,,0.259,0.000,0.655,0.030,0.483,-0.259,0.259,0.000,423,2,1,50.00%,,,,,,,,,,,,1,50.00%,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,
11048,OUSMANE,DEMBELE',DEMBELE' O.,15-05-1997,132451,57,2,,,,,2,100.00%,6,2,33.33%,26,8,30.77%,20,76.92%,4,50.00%,4,15.38%,,,26,,,6,2,33.33%,1,4,3,,,,,,5,10,,,6,60.00%,5,83.33%,4,66.67%,3,30.00%,1,33.33%,1,,,,,,,,0.808,0.979,1.860,0.226,2.667,0.172,0.052,0.000,423,1,,,,,,,,1,4,80.00%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30850,YOUSSOUF,FOFANA,FOFANA Y.,10-01-1999,132451,30,,,,,,,,2,,,16,,,15,93.75%,,,,,,,16,,,,,,,,1,,1,100.00%,,,,2,,,,,,,,,,,,,1,,,,,,,,0.756,0.800,0.128,0.000,0.471,0.044,0.000,0.000,423,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7617,ANTOINE,GRIEZMANN,GRIEZMANN A.,21-03-1991,132451,66,1,1,100.00%,,,1,100.00%,2,,,37,3,8.11%,35,94.59%,3,100.00%,6,17.65%,,,34,1,2.94%,1,,,1,1,2,2,,,,,1,4,1,25.00%,4,100.00%,3,75.00%,,,1,25.00%,1,100.00%,,1,,,,,,,0.040,0.322,0.444,0.020,0.206,0.282,0.040,0.000,423,1,,,,,,,,,1,100.00%,,,,,,1,100.00%,,,,1,100.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,
15562,THEO BERNARD FRANCOIS,HERNANDEZ,HERNANDEZ T.,06-10-1997,132451,124,1,1,100.00%,,,1,100.00%,1,,,61,2,3.28%,52,85.25%,,,3,5.36%,1,33.33%,56,1,1.79%,1,,,1,3,7,7,2,28.57%,,,,9,1,11.11%,6,66.67%,1,16.67%,2,33.33%,5,55.56%,3,60.00%,,1,,,,,2,28.57%,0.793,1.028,0.194,0.030,0.874,0.235,0.038,0.000,423,3,1,33.33%,,,,,,1,,,,,,,,1,100.00%,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,100.00%,1,100.00%,,,
11041,N'GOLO,KANTE',KANTE' N.,29-03-1991,132451,124,2,2,100.00%,,,2,100.00%,5,1,20.00%,72,3,4.17%,67,93.06%,1,33.33%,5,7.35%,1,20.00%,68,2,2.94%,1,,,1,2,3,3,1,33.33%,1,33.33%,2,9,,,3,33.33%,,,2,66.67%,5,55.56%,2,40.00%,1,,,,1,33.33%,,,0.141,0.295,0.367,0.038,0.405,0.154,0.141,0.000,423,1,,,,,,,3,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
25704,RANDAL,KOLO MUANI,KOLO MUANI R.,05-12-1998,132451,85,1,,,1,100.00%,,,,,,19,1,5.26%,15,78.95%,,,3,13.64%,1,33.33%,22,2,9.09%,,,,,,5,3,2,40.00%,1,33.33%,2,12,1,8.33%,4,33.33%,,,3,75.00%,3,25.00%,1,33.33%,2,1,,,,,2,40.00%,0.158,0.000,0.447,0.000,0.150,-0.158,0.158,0.000,423,1,,,3,25.00%,1,33.33%,,,,,,,1,,,,,,,,,,,,,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,
17928,JULES,KOUNDE',KOUNDE' J.,12-11-1998,132451,124,,,,,,,,2,1,50.00%,66,6,9.09%,57,86.36%,1,16.67%,1,2.04%,,,49,,,1,1,100.00%,3,6,5,7,,,,,1,12,,,8,66.67%,2,25.00%,2,25.00%,5,41.67%,3,60.00%,,,,,,,,,0.756,0.986,1.241,0.044,1.996,0.231,0.000,0.000,423,4,2,50.00%,2,16.67%,2,100.00%,,1,1,100.00%,,,,,,,,,,,,,1,,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21438,MIKE,MAIGNAN,MAIGNAN M.,03-07-1995,132451,124,,,,,,,,2,,,26,,,22,84.62%,,,,,,,17,,,,,,,,3,3,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,0.000,0.000,1.453,0.000,1.157,0.000,0.000,0.000,423,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,4,6,4,4,100.00%,3,14,,,14,100.00%,9,6,66.67%,1,11.11%,2,50.00%,2,22.22%,5.998,2.998,,,,,,1,25.00%
11711,KYLIAN,MBAPPE',MBAPPE' K.,20-12-1998,132451,108,5,3,60.00%,2,40.00%,3,60.00%,4,1,25.00%,38,4,10.53%,33,86.84%,1,25.00%,9,21.43%,1,11.11%,42,1,2.38%,2,,,1,2,6,2,,,,,4,7,1,14.29%,3,42.86%,1,33.33%,3,100.00%,1,14.29%,1,100.00%,,1,1,33.33%,,,,,0.518,0.567,0.610,0.070,0.225,0.049,0.518,0.000,423,,,,1,14.29%,,,1,,1,25.00%,,,1,,,2,66.67%,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
30184,WILLIAM,SALIBA,SALIBA W.,24-03-2001,132451,124,,,,,,,,4,,,45,,,43,95.56%,,,,,,,33,,,1,,,,,1,4,1,100.00%,1,25.00%,,7,,,2,28.57%,,,1,50.00%,4,57.14%,2,50.00%,2,,,,1,25.00%,2,200.00%,0.000,0.000,0.000,0.037,0.000,0.000,0.000,0.000,423,,,,1,14.29%,,,4,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,100.00%,,,,,,,,,
17930,AURELIEN,TCHOUAMENI,TCHOUAMENI A.,27-01-2000,132451,124,2,1,50.00%,,,2,100.00%,6,,,87,1,1.15%,82,94.25%,,,3,3.90%,,,77,,,3,,,,,5,4,2,40.00%,2,50.00%,,7,,,3,42.86%,,,1,33.33%,2,28.57%,1,50.00%,2,,,,2,50.00%,4,80.00%,0.092,0.232,0.184,0.116,0.022,0.140,0.092,0.000,423,3,1,33.33%,,,,,,,,,,,,,,1,100.00%,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20214,MARCUS,THURAM,THURAM M.,06-08-1997,132451,38,1,,,,,1,100.00%,,,,10,,,10,100.00%,,,7,53.85%,,,13,1,7.69%,,,,,,2,2,1,50.00%,,,3,6,,,2,33.33%,2,100.00%,3,150.00%,3,50.00%,,,,,,,,,,,0.130,0.000,0.174,0.000,-0.019,-0.130,0.130,0.000,423,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14949,DAYOT,UPAMECANO,UPAMECANO D.,27-10-1998,132451,124,,,,,,,,6,,,54,1,1.85%,49,90.74%,,,,,,,47,2,4.26%,,,,,,1,4,,,,,,9,1,11.11%,6,66.67%,1,16.67%,1,16.67%,3,33.33%,3,100.00%,1,1,,,,,,,0.000,0.000,0.272,0.000,-0.753,0.000,0.000,0.000,423,2,1,50.00%,2,22.22%,1,50.00%,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
