Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,cross,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,golSviluppoCorner,golSviluppoCorner_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,falliFatti,interventoPositivo,assist,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,thirdPass,interventoNegativo,ammonizioni,tiriDiTesta,tiriDiTesta_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,tiriRigoreParati,tiriRigoreParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,FxGoT,gkGP,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cutBack,inFuorigioco,assistVincentiInArea,assistVincentiInArea_PERC,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,retiSub,cutBackRiusciti,cutBackRiusciti_PERC,traversoni,retiSubGK,traversoniRiusciti,traversoniRiusciti_PERC,tiriDiRigore,tiriDiRigore_PERC
16756,FABIAN,RUIZ,FABIAN RUIZ,03-04-1996,131357,98,1,1,100.00%,1,100.00%,4,53,3,5.66%,48,90.57%,5,9.09%,,,55,,,2,,,6,2,,,2,100.00%,2,2,33.33%,1,50.00%,3,2,66.67%,8,1,12.50%,5,62.50%,4,80.00%,2,40.00%,,,4,50.00%,2,50.00%,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,0.121,0.623,0.502,0.070,0.268,0.502,0.121,0.121,2,,,,,,,,1,,,,,,1,33.33%,1,100.00%,,,,,,,,,,,,,,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14553,UNAI,SIMON MENDIBIL,SIMON U.,11-06-1997,131357,98,,,,,,2,40,,,33,82.50%,,,,,30,,,,,,4,,,,,,,2,50.00%,,,,,,1,,,1,100.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,,,,1,100.00%,,3,,11,6,54.55%,,,,,,,,,,1,,,,,,,,,,2,50.00%,4,5,4,4,100.00%,1,1,100.00%,9,20,5,55.56%,19,95.00%,4,36.36%,1,9.09%,4,100.00%,3.690,3.690,,,,,,,,,,,,,,,,,,,
17790,FERRAN,TORRES GARCIA,FERRAN TORRES,29-02-2000,131357,9,1,1,100.00%,1,100.00%,,3,1,33.33%,2,66.67%,2,100.00%,,,2,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,0.054,0.268,0.157,0.000,0.211,0.214,0.054,0.054,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35462,NICHOLAS,WILLIAMS ARTHUER,WILLIAMS N.,12-07-2002,131357,70,,,,,,1,17,4,23.53%,13,76.47%,4,19.05%,,,21,1,4.76%,3,1,2,10,1,1,100.00%,,,1,2,20.00%,1,100.00%,5,1,20.00%,13,,,3,23.08%,3,100.00%,6,200.00%,2,15.38%,4,30.77%,1,25.00%,,,,,,,,,,,,,,0.000,0.000,0.521,0.039,0.521,0.000,0.000,0.000,2,1,1,100.00%,1,50.00%,1,,1,,,,1,100.00%,1,25.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,1,1,,,,,,,,,,,,,,,
31404,LAMINE,YAMAL NASRAOUI EBANA,LAMINE YAMAL,13-07-2007,131357,89,3,2,66.67%,2,66.67%,3,21,5,23.81%,17,80.95%,6,26.09%,1,16.67%,23,1,4.35%,1,2,3,2,2,,,2,100.00%,1,1,50.00%,,,4,3,75.00%,12,,,4,33.33%,3,75.00%,6,150.00%,,,2,16.67%,,,,,,,,,,1,50.00%,,,,,0.388,1.021,0.614,0.155,0.728,0.632,0.388,0.341,2,5,4,80.00%,,,1,,3,,,,2,66.67%,3,60.00%,1,33.33%,2,66.67%,,,,,,1,33.33%,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,1,1,50.00%,2,100.00%,1,50.00%,,,,,,,,,
24828,MARTIN,ZUBIMENDI IBANEZ,ZUBIMENDI M.,02-02-1999,131357,10,,,,,,1,9,,,9,100.00%,,,,,6,,,,,,,,,,,,2,,,,,,,,2,,,1,50.00%,,,,,1,50.00%,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7092,MARCELO,BROZOVIC,BROZOVIC M.,16-11-1992,131357,98,1,1,100.00%,,,5,67,1,1.49%,63,94.03%,1,1.61%,,,62,,,2,1,1,3,1,,,1,100.00%,,1,33.33%,,,,,,6,,,2,33.33%,1,50.00%,,,2,33.33%,2,33.33%,1,50.00%,,,,,,,,,,,,,,0.259,0.778,0.174,0.026,0.433,0.519,0.259,0.259,4,2,2,100.00%,1,50.00%,1,,1,,,,1,20.00%,1,100.00%,,,1,100.00%,,,,,,1,100.00%,,,1,100.00%,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,3,,,,,,,,
8950,ANTE,BUDIMIR,BUDIMIR A.,22-07-1991,131357,58,1,,,1,100.00%,,6,1,16.67%,3,50.00%,1,6.67%,1,100.00%,15,4,26.67%,3,,,5,,,,,,1,2,40.00%,,,,,,18,,,7,38.89%,4,57.14%,5,71.43%,13,72.22%,4,22.22%,1,25.00%,,,,,,,,,,,,,,0.064,0.000,0.723,0.000,-0.344,-0.064,0.064,0.064,4,,,,6,46.15%,1,,,,,,,,1,100.00%,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,3,,,,,,,,
25074,JOSKO,GVARDIOL,GVARDIOL J.,23-01-2002,131357,98,2,1,50.00%,1,50.00%,1,40,1,2.50%,38,95.00%,4,12.12%,1,25.00%,33,1,3.03%,,,,4,1,,,1,100.00%,2,3,75.00%,,,1,,,8,,,2,25.00%,1,50.00%,4,200.00%,1,12.50%,3,37.50%,1,33.33%,,,,,,,,,,,,,,0.102,0.109,0.307,0.000,-0.066,0.006,0.102,0.036,4,2,1,50.00%,,,1,,,,,,,,1,100.00%,,,,,,,,,,1,50.00%,,,1,100.00%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
6101,MATEO,KOVACIC,KOVACIC M.,06-05-1994,131357,68,2,1,50.00%,1,50.00%,3,39,3,7.69%,36,92.31%,3,7.32%,,,41,1,2.44%,,,1,3,3,2,66.67%,1,33.33%,,3,100.00%,,,8,8,100.00%,14,1,7.14%,9,64.29%,5,55.56%,1,11.11%,,,2,14.29%,,,1,,,,,,,1,100.00%,,,,,0.152,0.573,0.819,0.041,0.832,0.422,0.152,0.152,4,2,2,100.00%,,,1,,1,,,,,,3,100.00%,,,,,,,,,,1,50.00%,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,1,100.00%,,,,,,
7248,ANDREJ,KRAMARIC,KRAMARIC A.,19-06-1991,131357,75,1,,,,,2,27,6,22.22%,23,85.19%,8,26.67%,,,30,2,6.67%,1,2,3,6,,,,,,1,3,50.00%,,,1,1,100.00%,9,,,2,22.22%,1,50.00%,4,200.00%,2,22.22%,5,55.56%,,,,,,,,,,,,,,,,0.022,0.000,0.939,0.068,-0.070,-0.022,0.022,0.022,4,1,1,100.00%,1,50.00%,,,2,,,,,,2,33.33%,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,3,,,1,,,,,
13072,DOMINIK,LIVAKOVIC,LIVAKOVIC D.,09-01-1995,131357,98,,,,,,,35,,,29,82.86%,,,,,22,,,,,,5,,,,,,3,3,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4,,,,,,,1,,12,8,66.67%,,,,,,,,,,,,,,,,,,,,2,40.00%,4,4,7,3,42.86%,,,,10,13,5,50.00%,12,92.31%,4,33.33%,,,4,100.00%,3.132,0.132,,,,,,,,,,,3,,,,3,,,,
19437,LOVRO,MAJER,MAJER L.,17-01-1998,131357,98,1,,,1,100.00%,4,60,3,5.00%,56,93.33%,3,5.45%,,,55,2,3.64%,,,1,4,3,3,100.00%,,,5,1,25.00%,2,40.00%,,,,11,2,18.18%,7,63.64%,3,42.86%,2,28.57%,2,18.18%,4,36.36%,2,50.00%,2,,,,,,,,,,,1,20.00%,0.316,0.000,0.859,0.062,1.175,-0.316,0.316,0.316,4,2,,,1,50.00%,1,,2,,,,1,25.00%,2,66.67%,,,1,50.00%,,,,,,,,,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,1,100.00%,,
7243,LUKA,MODRIC,MODRIC L.,09-09-1985,131357,68,,,,,,4,41,2,4.88%,37,90.24%,1,3.03%,,,33,,,,,1,1,3,3,100.00%,,,3,,,1,33.33%,1,1,100.00%,9,1,11.11%,3,33.33%,2,66.67%,2,66.67%,,,3,33.33%,1,33.33%,1,,,,,,,,,,,,,0.000,0.000,0.336,0.000,0.336,0.000,0.000,0.000,4,2,2,100.00%,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,
9188,MARIO,PASALIC,PASALIC MARIO,09-02-1995,131357,30,,,,,,1,12,1,8.33%,11,91.67%,,,,,11,1,9.09%,,,,1,1,,,1,100.00%,1,1,100.00%,1,100.00%,,,,4,,,2,50.00%,1,50.00%,1,50.00%,1,25.00%,2,50.00%,2,100.00%,,,,,,,,,,,,,,0.000,0.000,0.188,0.000,-0.042,0.000,0.000,0.000,4,,,,,,1,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7244,IVAN,PERISIC,PERISIC I.,02-02-1989,131357,40,3,2,66.67%,1,33.33%,,14,4,28.57%,6,42.86%,5,35.71%,1,20.00%,14,1,7.14%,1,3,5,5,,,,,,1,1,20.00%,1,100.00%,,,,6,,,3,50.00%,3,100.00%,2,66.67%,4,66.67%,,,,,,,,,,,,,,,,1,100.00%,0.104,0.729,0.563,0.000,0.493,0.626,0.104,0.072,4,1,1,100.00%,3,75.00%,2,,,,,,,,1,25.00%,,,,,,,,1,33.33%,2,66.67%,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,1,,,,,
5965,BRUNO,PETKOVIC,PETKOVIC B.,16-09-1994,131357,24,1,1,100.00%,1,100.00%,1,6,,,5,83.33%,5,50.00%,,,10,1,10.00%,1,,,3,1,1,100.00%,,,,,,,,1,,,5,2,40.00%,3,60.00%,1,33.33%,2,66.67%,1,20.00%,,,,,2,,,,,,,1,100.00%,,,,,0.756,0.977,0.000,0.033,0.480,0.221,0.000,0.000,4,1,1,100.00%,1,100.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%
16445,MARIN,PONGRACIC,PONGRACIC M.,11-09-1997,131357,98,,,,,,1,64,,,57,89.06%,,,,,46,,,2,,,3,,,,,,8,2,66.67%,1,12.50%,1,1,100.00%,15,2,13.33%,7,46.67%,2,28.57%,1,14.29%,4,26.67%,4,26.67%,3,75.00%,2,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4,2,2,100.00%,1,25.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
27428,JOSIP,STANISIC,STANISIC J.,02-04-2000,131357,98,1,1,100.00%,1,100.00%,2,58,2,3.45%,48,82.76%,3,6.52%,,,46,,,1,1,2,9,5,,,5,100.00%,5,2,22.22%,2,40.00%,1,1,100.00%,19,,,10,52.63%,4,40.00%,3,30.00%,7,36.84%,7,36.84%,3,42.86%,,,,,,,,1,100.00%,,,,,0.142,0.524,0.144,0.068,0.287,0.381,0.142,0.000,4,4,,,2,28.57%,,,1,,,,1,50.00%,2,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,3,,,,,,,,
24936,LUKA,SUCIC,SUCIC L.,08-09-2002,131357,30,,,,,,5,22,,,20,90.91%,1,5.26%,,,19,1,5.26%,,,,2,,,,,,1,,,,,,,,3,1,33.33%,2,66.67%,1,50.00%,1,50.00%,1,33.33%,1,33.33%,1,100.00%,1,,,,,,,,,,,,,0.000,0.000,0.106,0.056,-0.082,0.000,0.000,0.000,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30189,JOSIP,SUTALO,SUTALO J.,28-02-2000,131357,98,,,,,,6,71,,,69,97.18%,,,,,63,,,6,,,2,,,,,,8,1,50.00%,3,37.50%,3,3,100.00%,17,4,23.53%,12,70.59%,,,,,2,11.76%,5,29.41%,2,40.00%,4,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4,2,1,50.00%,2,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
