Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,palleLaterali,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,falliSubiti,inFuorigioco,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,traversoni,ammonizioni,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,parate,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,FxGoT,gkGP,crossRiusciti,crossRiusciti_PERC,cutBack,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,thirdPass,uscite,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC
8564,VIRGIL,VAN DIJK,VAN DIJK V.,08-07-1991,131372,96,1,46,1,2.17%,41,89.13%,,,31,7,,9,,,3,33.33%,1,,,8,6,75.00%,1,16.67%,4,50.00%,3,75.00%,1,12.50%,1,100.00%,1,,,0.000,0.000,0.386,0.000,0.158,0.000,0.000,0.000,411,,,,,,,,,,,,,,1,3.23%,,,,,,,,,1,12.50%,,,1,,,,,,,,,,,,,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32408,JOEY,VEERMAN,VEERMAN J.,19-11-1998,131372,23,2,14,1,7.14%,11,78.57%,,,10,1,4,2,1,25.00%,,,1,,,3,1,33.33%,,,1,33.33%,,,1,33.33%,,,,,,0.000,0.000,0.228,0.000,0.228,0.000,0.000,0.000,411,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28329,BART,VERBRUGGEN,VERBRUGGEN B.,18-08-2002,131372,96,,34,,,34,100.00%,,,30,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,100.00%,3,1,3,3,100.00%,2,30,2,100.00%,30,100.00%,2,66.67%,1,33.33%,1.558,1.558,,,,,,,,,,,,,,,,
14245,WOUT,WEGHORST,WEGHORST W.,07-08-1992,131372,17,,4,,,4,100.00%,2,50.00%,4,,1,1,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7314,GEORGINIO,WIJNALDUM,WIJNALDUM G.,11-11-1990,131372,23,,3,,,2,66.67%,,,3,,1,1,,,,,,,,5,5,100.00%,2,40.00%,1,20.00%,1,100.00%,1,20.00%,1,100.00%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,2,40.00%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6132,KINGSLEY,COMAN,COMAN K.,13-06-1996,131372,21,,10,1,10.00%,9,90.00%,1,9.09%,11,,1,,1,100.00%,,,,,,1,,,,,,,,,1,100.00%,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,423,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11048,OUSMANE,DEMBELE',DEMBELE' O.,15-05-1997,131372,76,3,41,5,12.20%,34,82.93%,6,13.64%,44,1,6,2,2,33.33%,1,50.00%,1,1,100.00%,19,8,42.11%,5,62.50%,3,15.79%,,,7,36.84%,4,57.14%,2,1,50.00%,0.209,0.160,1.227,0.093,1.262,-0.049,0.209,0.000,423,2,1,50.00%,1,50.00%,1,50.00%,2,66.67%,2,40.00%,,,1,2.27%,2,2,100.00%,2,4,4,2,50.00%,2,10.53%,6,75.00%,2,,,,1,100.00%,,,,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,2,100.00%,1,4,1,25.00%,3,75.00%,,,,,,,,
7723,OLIVIER,GIROUD,GIROUD O.,30-09-1986,131372,21,,3,1,33.33%,1,33.33%,,,5,,1,,,,,,,,,2,2,100.00%,2,100.00%,2,100.00%,2,100.00%,,,,,,,,0.000,0.000,0.390,0.000,0.060,0.000,0.000,0.000,423,,,,,,,,,,,,,,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7617,ANTOINE,GRIEZMANN,GRIEZMANN A.,21-03-1991,131372,96,3,47,10,21.28%,36,76.60%,7,15.91%,44,,7,1,1,14.29%,,,,,,6,5,83.33%,,,1,16.67%,1,100.00%,1,16.67%,1,100.00%,,,,0.981,1.276,2.291,0.032,1.878,0.295,0.981,0.000,423,5,3,60.00%,3,60.00%,2,40.00%,,,1,10.00%,3,42.86%,4,9.09%,1,,,2,2,1,,,3,50.00%,1,20.00%,3,,2,66.67%,1,33.33%,,,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.00%,,,,,,
15562,THEO BERNARD FRANCOIS,HERNANDEZ,HERNANDEZ T.,06-10-1997,131372,96,1,57,1,1.75%,51,89.47%,1,1.96%,51,,4,5,1,25.00%,1,20.00%,,,,8,4,50.00%,,,1,12.50%,,,5,62.50%,2,40.00%,,,,0.000,0.000,0.452,0.000,0.452,0.000,0.000,0.000,423,,,,,,,,,,,,,,,,,,,1,1,,,,2,25.00%,3,75.00%,2,,,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,
11041,N'GOLO,KANTE',KANTE' N.,29-03-1991,131372,96,6,64,3,4.69%,59,92.19%,7,11.48%,61,,4,2,,,,,2,1,50.00%,8,4,50.00%,3,75.00%,1,12.50%,1,100.00%,1,12.50%,1,100.00%,2,,,0.127,0.000,0.978,0.173,0.833,-0.127,0.127,0.000,423,2,,,1,50.00%,1,50.00%,2,33.33%,3,100.00%,1,14.29%,1,1.64%,3,2,66.67%,,,2,1,50.00%,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,33.33%,2,66.67%,,,1,,,,,
17928,JULES,KOUNDE',KOUNDE' J.,12-11-1998,131372,96,3,71,7,9.86%,59,83.10%,1,1.89%,53,1,4,3,,,1,33.33%,,,,9,5,55.56%,5,100.00%,3,33.33%,1,33.33%,5,55.56%,3,60.00%,,1,33.33%,0.000,0.000,1.066,0.070,1.066,0.000,0.000,0.000,423,,,,,,,,2,66.67%,2,28.57%,,,2,3.77%,2,2,100.00%,4,5,1,1,100.00%,,,3,60.00%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21438,MIKE,MAIGNAN,MAIGNAN M.,03-07-1995,131372,96,,21,,,18,85.71%,,,13,,2,1,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,14.29%,4,3,5,4,80.00%,5,9,2,40.00%,9,100.00%,3,75.00%,1,25.00%,2.414,2.414,,,,,,,,,,,,1,3,42.86%,3,42.86%
7437,ADRIEN,RABIOT,RABIOT A.,03-04-1995,131372,96,8,67,4,5.97%,65,97.01%,3,4.69%,64,,2,4,,,2,50.00%,1,,,8,7,87.50%,1,14.29%,,,,,5,62.50%,4,80.00%,,,,0.270,0.000,0.856,0.114,0.492,-0.270,0.270,0.000,423,1,,,1,100.00%,,,2,25.00%,3,75.00%,2,66.67%,4,6.25%,3,1,33.33%,1,2,1,1,100.00%,1,12.50%,1,14.29%,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,5,4,80.00%,1,20.00%,,,,,,,,
30184,WILLIAM,SALIBA,SALIBA W.,24-03-2001,131372,96,1,84,,,84,100.00%,,,77,3,1,5,1,100.00%,,,,,,4,3,75.00%,,,,,,,3,75.00%,2,66.67%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,423,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,,,1,,,,,,,,,,,,,,2,2,100.00%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17930,AURELIEN,TCHOUAMENI,TCHOUAMENI A.,27-01-2000,131372,96,5,108,2,1.85%,104,96.30%,3,3.03%,99,1,4,3,,,1,33.33%,,,,5,2,40.00%,1,50.00%,1,20.00%,1,100.00%,2,40.00%,1,50.00%,2,1,33.33%,0.211,0.122,0.381,0.000,0.262,-0.090,0.211,0.000,423,3,1,33.33%,1,33.33%,2,66.67%,,,1,50.00%,1,33.33%,1,1.01%,,,,2,2,,,,,,2,100.00%,,,,,1,100.00%,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,1,1,100.00%,,,,,1,,,,,
20214,MARCUS,THURAM,THURAM M.,06-08-1997,131372,76,1,13,4,30.77%,12,92.31%,8,50.00%,16,1,5,2,1,20.00%,2,100.00%,,,,7,2,28.57%,2,100.00%,1,14.29%,,,3,42.86%,,,1,2,100.00%,0.256,0.000,0.554,0.000,0.571,-0.256,0.256,0.000,423,2,,,1,50.00%,1,50.00%,1,100.00%,4,100.00%,2,25.00%,2,12.50%,,,,,,1,1,100.00%,1,14.29%,4,200.00%,1,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,100.00%,,,,,,,,
14949,DAYOT,UPAMECANO,UPAMECANO D.,27-10-1998,131372,96,6,115,,,110,95.65%,,,104,4,1,7,,,,,2,1,50.00%,7,4,57.14%,,,,,,,3,42.86%,2,66.67%,1,,,0.000,0.000,0.000,0.059,0.000,0.000,0.000,0.000,423,,,,,,,,,,,,,,,,2,,,,,,,,1,14.29%,1,25.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
