Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,falliSubiti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passInAreaRiusciti,passInAreaRiusciti_PERC,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,cross,palleLaterali,duelliAerei,duelliAerei_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,assist,tiriDiTesta,tiriDiTesta_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,ammonizioni,traversoni,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assistVincenti,assistVincenti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,golSviluppoCorner,golSviluppoCorner_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,thirdPass,thirdPassVincenti,thirdPassVincenti_PERC,crossRiusciti,crossRiusciti_PERC,traversoniRiusciti,traversoniRiusciti_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,FxGoT,gkGP,assistVincentiInArea,assistVincentiInArea_PERC,inFuorigioco,retiSub,interventoPositivo,parataPiede,parataPiede_PERC,retiSubGK
23343,GIOVANNI,REYNA,REYNA G.,13-11-2002,131474,67,38,6,15.79%,33,86.84%,33,4,4,3,75.00%,3,,,14,4,28.57%,12,85.71%,4,0.000,0.000,0.521,0.023,0.284,0.000,0.000,0.000,819,4,4,66.67%,2,1,1,100.00%,,,,,1,25.00%,6,50.00%,1,8.33%,3,21.43%,2,66.67%,,,,,,,,,1,3.03%,,,2,6.06%,,2,2,,,,,,,,,,,1,25.00%,,,1,,,2,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24935,CHRISTOPHER JEFFREY,RICHARDS,RICHARDS C.,28-03-2000,131474,96,74,1,1.35%,66,89.19%,67,3,,,,,,,6,,,3,50.00%,,0.000,0.000,0.129,0.000,0.129,0.000,0.000,0.000,819,1,,,7,,,,,,1,14.29%,,,,,1,33.33%,3,50.00%,1,33.33%,1,,,,,,,,,,,,,,4,,,2,33.33%,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17797,ANTONEE,ROBINSON,ROBINSON A.,08-08-1997,131474,96,70,10,14.29%,58,82.86%,43,10,3,3,100.00%,2,1,50.00%,15,1,6.67%,11,73.33%,1,0.089,0.690,1.378,0.353,1.319,0.601,0.089,0.000,819,8,5,50.00%,3,,,,,,,,1,10.00%,6,54.55%,3,27.27%,5,33.33%,3,60.00%,,,,2,2,100.00%,,,2,4.65%,,,1,2.33%,1,5,8,4,26.67%,,,,,,,,,1,10.00%,3,75.00%,5,,,5,62.50%,4,80.00%,,1,2,100.00%,2,100.00%,1,100.00%,,,1,1,100.00%,,,,,,,,,2,40.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
36637,JOE,SCALLY,SCALLY J.,31-12-2002,131474,96,56,5,8.93%,48,85.71%,47,3,4,4,100.00%,1,1,100.00%,18,3,16.67%,11,61.11%,3,0.000,0.000,0.542,0.022,0.542,0.000,0.000,0.000,819,2,4,80.00%,7,,,,,,3,42.86%,2,66.67%,8,72.73%,4,36.36%,7,38.89%,4,57.14%,,2,28.57%,,,,,,,,,,1,2.13%,1,1,1,3,16.67%,,,,,,,,,1,33.33%,,,1,,,2,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36635,MATT,TURNER,TURNER M.,24-06-1994,131474,96,26,1,3.85%,19,73.08%,19,1,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819,1,,,5,,,,,,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,3,2,3,3,100.00%,10,12,5,50.00%,11,91.67%,3,75.00%,1,25.00%,3,100.00%,0.646,0.646,,,,,,,,
17803,TIMOTHY,WEAH,WEAH T.,22-02-2000,131474,87,40,8,20.00%,36,90.00%,38,,3,3,100.00%,1,1,100.00%,13,,,5,38.46%,,0.493,0.575,0.995,0.051,0.830,0.083,0.493,0.000,819,3,6,75.00%,6,1,,,1,100.00%,1,16.67%,,,5,100.00%,7,140.00%,5,38.46%,1,20.00%,2,,,3,1,33.33%,3,100.00%,6,15.79%,3,50.00%,4,10.53%,1,2,3,2,15.38%,,,,,,,1,100.00%,,,1,50.00%,2,,,1,33.33%,1,50.00%,,1,,,,,1,100.00%,1,50.00%,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,,,,,
48446,CARMELO,ALGARANAZ,ALGARANAZ C.,27-01-1996,131474,27,7,1,14.29%,4,57.14%,11,,1,1,100.00%,,,,6,,,1,16.67%,,0.000,0.000,0.132,0.000,0.015,0.000,0.000,0.000,779,,,,6,,,,,,2,33.33%,,,1,100.00%,3,300.00%,3,50.00%,,,2,,,,,,,,,,,,,,,,,1,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54469,HECTOR MANUEL,CUELLAR ROSALES,CUELLAR H.,16-08-2000,131474,49,30,2,6.67%,22,73.33%,17,5,2,1,50.00%,6,5,83.33%,16,,,8,50.00%,,0.000,0.000,0.293,0.000,0.293,0.000,0.000,0.000,779,,,,5,,,,,,1,20.00%,2,40.00%,4,50.00%,1,12.50%,6,37.50%,5,83.33%,1,2,40.00%,,,,,,,,,,,,,2,2,1,6.25%,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20503,ROBERTO,FERNANDEZ,FERNANDEZ ROBERTO,12-07-1999,131474,77,43,3,6.98%,28,65.12%,31,4,5,5,100.00%,6,6,100.00%,23,3,13.04%,16,69.57%,3,0.031,0.284,0.565,0.000,0.596,0.253,0.031,0.000,779,,,,7,1,1,100.00%,,,,,1,25.00%,10,62.50%,,,6,26.09%,6,100.00%,1,,,1,1,100.00%,,,1,3.23%,,,,,1,2,2,2,8.70%,,,,,,,,,,,2,100.00%,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
20448,LUIS FERNANDO,HAQUIN LOPEZ,HAQUIN L.,15-11-1997,131474,96,50,2,4.00%,43,86.00%,39,6,,,,2,2,100.00%,16,,,11,68.75%,,0.000,0.000,0.114,0.000,0.114,0.000,0.000,0.000,779,,,,3,,,,,,1,33.33%,3,50.00%,5,45.45%,,,9,56.25%,7,77.78%,1,,,,,,,,,,,,,,3,,,4,25.00%,,,,,,,,,,,4,100.00%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
20450,LEONEL,JUSTINIANO ARAUZ,JUSTINIANO L.,02-07-1992,131474,47,19,1,5.26%,15,78.95%,13,3,,,,,,,2,,,1,50.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,3,,,,,,1,33.33%,,,1,100.00%,,,1,50.00%,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
48440,DIEGO DANIEL,MEDINA,MEDINA D.,13-01-2002,131474,47,7,,,5,71.43%,7,2,1,,,1,,,10,1,10.00%,7,70.00%,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,6,,,,,,2,33.33%,,,1,14.29%,3,42.86%,4,40.00%,3,75.00%,,4,66.67%,,,,,,,,,,,,1,,,3,30.00%,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
55032,CESAR ALEJANDRO,MENACHO CLAROS,MENACHO C.,09-08-1999,131474,47,5,1,20.00%,4,80.00%,9,2,,,,1,1,100.00%,10,1,10.00%,1,10.00%,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,6,1,,,1,100.00%,1,16.67%,,,,,5,500.00%,4,40.00%,,,1,,,,,,,,,,,,,,2,1,1,3,30.00%,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,
54994,BRUNO,MIRANDA VILLAGOMEZ,MIRANDA B.,10-02-1998,131474,69,14,,,12,85.71%,17,1,,,,,,,6,1,16.67%,1,16.67%,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,5,,,,,,3,60.00%,1,100.00%,,,2,200.00%,4,66.67%,,,,6,120.00%,,,,,,,,,,,,1,,,1,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
11313,RODRIGO LUIS,RAMALLO CORNEJO,RAMALLO R.,19-10-1990,131474,49,11,1,9.09%,10,90.91%,15,2,2,,,,,,12,,,4,33.33%,,0.000,0.000,0.176,0.037,0.176,0.000,0.000,0.000,779,1,,,6,,,,,,2,33.33%,2,100.00%,2,50.00%,7,175.00%,6,50.00%,3,50.00%,,4,66.67%,,,,,,,,,,,,1,1,1,4,33.33%,,,,,,,,,1,50.00%,1,25.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26505,JESUS MANUEL,SAGREDO CHAVEZ,SAGREDO JESUS,10-03-1994,131474,96,25,,,24,96.00%,19,1,1,1,100.00%,4,1,25.00%,12,,,6,50.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,2,,,,,,1,50.00%,,,,,1,16.67%,2,16.67%,2,100.00%,3,,,,,,,,,,,,,,,,,2,16.67%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
66316,JOSE',SAGREDO CHAVEZ,SAGREDO JOSE',10-03-1994,131474,96,42,1,2.38%,38,90.48%,30,6,2,1,50.00%,2,2,100.00%,16,2,12.50%,13,81.25%,2,0.000,0.000,0.306,0.035,0.306,0.000,0.000,0.000,779,1,,,2,,,,,,1,50.00%,1,16.67%,2,15.38%,1,7.69%,7,43.75%,7,100.00%,,2,100.00%,,,,,,1,3.33%,,,,,1,1,1,3,18.75%,,,,,,,,,,,3,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
11311,FERNANDO JAVIER,SAUCEDO PEREYRA,SAUCEDO F.,15-03-1990,131474,96,31,3,9.68%,21,67.74%,26,2,3,,,5,5,100.00%,13,,,,,,0.013,0.307,0.470,0.041,0.483,0.294,0.013,0.000,779,1,,,9,,,,,,,,,,,,8,,2,15.38%,,,3,,,1,1,100.00%,,,,,,,,,1,1,1,1,7.69%,,,,,,,,,,,,,1,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
48445,MIGUEL ANGEL,TERCEROS ACUNA,MIGUELITO,25-04-2004,131474,49,8,,,7,87.50%,10,1,1,,,1,1,100.00%,6,1,16.67%,4,66.67%,1,0.125,0.056,0.000,0.000,0.125,-0.069,0.125,0.000,779,,,,2,,,,,,1,50.00%,1,100.00%,2,50.00%,1,25.00%,3,50.00%,3,100.00%,,,,2,1,50.00%,,,2,20.00%,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,2,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20453,RAMIRO,VACA,VACA R.,01-07-1999,131474,19,9,,,9,100.00%,10,1,,,,2,2,100.00%,6,,,2,33.33%,,0.040,0.000,0.000,0.000,0.040,-0.040,0.040,0.000,779,1,,,1,,,,,,,,,,,,2,100.00%,4,66.67%,2,50.00%,,,,1,,,,,1,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48441,GABRIEL ALEJANDRO,VILLAMIL,VILLAMIL G.,28-06-2001,131474,96,55,,,52,94.55%,42,9,2,1,50.00%,3,3,100.00%,21,,,7,33.33%,,0.053,0.000,0.000,0.035,0.053,-0.053,0.053,0.000,779,1,,,4,,,,,,2,50.00%,6,66.67%,3,42.86%,9,128.57%,10,47.62%,5,50.00%,4,2,50.00%,1,,,,,,,,,,,,,,2,9.52%,,,,,,,,,1,11.11%,1,50.00%,1,,,,,,,1,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
48438,GUILLERMO,VISCARRA,VISCARRA G.,07-02-1993,131474,96,20,,,15,75.00%,13,2,,,,,,,1,,,1,100.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,2,,,,,,,,1,50.00%,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,5,4,80.00%,,,,,,,,5,3,7,5,71.43%,10,5,6,60.00%,5,100.00%,,,1,20.00%,3,60.00%,5.357,3.357,,,,2,3,2,40.00%,2
