Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cross,palleLaterali,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,falliSubiti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,giochiPortiereRicevuti,dribblingPositivo,dribblingPositivo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackleVinti,duelliTackleVinti_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,falliFatti,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,traversoni,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,cutBack,triFatta,triFatta_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,FxGoT,gkGP,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,ammonizioni,retiSub,traversoniRiusciti,traversoniRiusciti_PERC,thirdPass,inFuorigioco,interventoPositivo,retiSubGK,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC
10593,GIOVANNI,DI LORENZO,DI LORENZO G.,04-08-1993,132291,95,2,,,56,,,49,87.50%,,,,,44,,,,,,,,,,,,6,1,1,100.00%,5,3,50.00%,1,20.00%,,10,1,10.00%,8,80.00%,2,25.00%,,,2,20.00%,1,10.00%,1,1,20.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,,,2,100.00%,1,100.00%,,,,4,66.67%,2,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,
8715,GIANLUIGI,DONNARUMMA,DONNARUMMA G.,25-02-1999,132291,95,,,,25,,,22,88.00%,,,,,11,,,,,,,,,,,,2,,,,10,2,100.00%,,,,1,1,100.00%,1,100.00%,,,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,,,,,,,12,7,58.33%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,2,50.00%,3,10,1,33.33%,10,100.00%,4,33.33%,1,8.33%,2,100.00%,2.804,0.804,,,,,,2,,,,,1,2,,
6167,STEPHAN,EL SHAARAWY,EL SHAARAWY S.,27-10-1992,132291,48,,,,9,,,8,88.89%,,,1,8.33%,12,1,8.33%,,,,,,,,,,4,,,,1,2,50.00%,,,3,11,2,18.18%,4,36.36%,3,75.00%,2,50.00%,2,18.18%,,,2,,,0.086,0.313,0.000,0.000,-0.103,0.227,0.086,0.000,1,,1,33.33%,1,50.00%,,,,,,2,50.00%,2,1,1,100.00%,1,100.00%,,,1,100.00%,,,,1,100.00%,,,,,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
16063,NICOLO',FAGIOLI,FAGIOLI N.,12-02-2001,132291,89,3,2,66.67%,91,10,10.99%,78,85.71%,3,30.00%,2,2.53%,79,,,2,,,1,50.00%,,,,,5,,,,6,2,40.00%,1,16.67%,3,12,,,4,33.33%,1,25.00%,3,75.00%,1,8.33%,4,33.33%,,1,16.67%,0.052,0.000,1.475,0.038,1.527,-0.052,0.052,0.000,1,,2,66.67%,1,100.00%,1,25.00%,,,,2,40.00%,1,1,,,,,1,100.00%,,,,,,,,,,,,,3,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14083,DAVIDE,FRATTESI,FRATTESI D.,22-09-1999,132291,6,,,,2,,,2,100.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8834,GIANLUCA,MANCINI,MANCINI G.,17-04-1996,132291,95,1,,,66,,,63,95.45%,,,,,56,,,,,,,,,,,,1,,,,8,1,100.00%,,,,9,1,11.11%,5,55.56%,1,20.00%,4,80.00%,3,33.33%,3,33.33%,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,5,,,2,66.67%,2,66.67%,,,,2,200.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,
7227,LORENZO,PELLEGRINI,PELLEGRINI LO.,19-06-1996,132291,18,1,,,20,2,10.00%,19,95.00%,1,50.00%,1,5.88%,17,,,1,,,,,,,,1,,,,,2,,,1,50.00%,,1,,,,,,,1,,,,,,,1,50.00%,0.049,0.000,0.331,0.032,0.381,-0.049,0.049,0.000,1,,,,,,,,,,,,,1,1,,,,,1,100.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38196,MATEO,RETEGUI,RETEGUI M.,29-04-1999,132291,29,,,,2,2,100.00%,,,,,1,25.00%,4,2,50.00%,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,0.070,0.740,0.000,0.295,-0.020,0.091,0.000,1,,,,,,,,,,,,,,1,1,100.00%,,,1,100.00%,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14684,GIANLUCA,SCAMACCA,SCAMACCA G.,01-01-1999,132291,95,1,,,14,,,11,78.57%,,,4,25.00%,16,2,12.50%,1,,,,,,,,,7,,,,2,3,42.86%,2,100.00%,,8,1,12.50%,5,62.50%,2,40.00%,2,40.00%,3,37.50%,4,50.00%,1,1,50.00%,0.455,0.000,0.118,0.033,-0.127,-0.455,0.455,0.000,1,1,,,2,66.67%,2,50.00%,,,,,,,2,,,1,50.00%,1,50.00%,1,25.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,50.00%
8666,MATTIA,ZACCAGNI,ZACCAGNI M.,16-06-1995,132291,47,2,1,50.00%,22,5,22.73%,19,86.36%,2,40.00%,2,10.00%,20,2,10.00%,2,,,1,50.00%,,,2,2,2,1,1,100.00%,2,,,,,4,9,1,11.11%,7,77.78%,6,85.71%,2,28.57%,2,22.22%,2,22.22%,1,,,0.000,0.000,0.961,0.087,0.597,0.000,0.000,0.000,1,,4,100.00%,1,50.00%,1,50.00%,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
