Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,perdePalla,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,assist,assistInArea,assistInArea_PERC,cross,palleLaterali,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,falliFatti,falliSubiti,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,thirdPass,ammonizioni,crossRiusciti,crossRiusciti_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,tiriDiTesta,tiriDiTesta_PERC,interventoNegativo,espulsioni,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,cutBack,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,triangolazione,triChiusa,triChiusa_PERC,triFatta,triFatta_PERC,uscite,interventoPositivo,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,inFuorigioco,golProcurati
36817,KEVIN,RODRIGUEZ,RODRIGUEZ K.,04-03-2000,131472,65,14,2,14.29%,10,71.43%,13,1,7.69%,,,,4,3,3,,,23,6,26.09%,14,233.33%,7,30.43%,6,26.09%,2,33.33%,0.000,0.000,0.697,0.059,0.697,0.000,0.000,0.000,419,1,,,,,2,15.38%,1,,,1,1,,,,,1,3,13.04%,3,50.00%,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,14.29%,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32693,JEREMY,SARMIENTO,SARMIENTO J.,16-06-2002,131472,67,10,,,6,60.00%,12,,,,,,3,2,4,3,75.00%,17,10,58.82%,1,10.00%,2,11.76%,2,11.76%,2,100.00%,0.201,0.528,0.000,0.000,0.201,0.326,0.201,0.000,419,1,,,,,2,16.67%,,,,,,1,33.33%,,,5,3,17.65%,5,50.00%,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,3,60.00%,,,1,100.00%,,,,,,,,,,,1,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
36811,FELIX,TORRES,TORRES F.,11-01-1997,131472,100,37,2,5.41%,29,78.38%,25,2,8.00%,2,,,5,7,,,,15,9,60.00%,1,11.11%,10,66.67%,5,33.33%,3,60.00%,0.156,0.000,0.296,0.000,0.081,-0.156,0.156,0.000,419,4,,,,,1,4.00%,,,,,,3,60.00%,1,14.29%,,,,1,11.11%,,,2,4,80.00%,,,,,,,,,,,,,,,,,,,,,,,1,,,1,100.00%,,,6,60.00%,,,,,,,,,,1,100.00%,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,
11255,ENNER,VALENCIA,VALENCIA E.,04-11-1989,131472,18,3,,,3,100.00%,2,,,,,,1,,,,,1,,,1,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,419,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
59457,JOHN,YEBOAH ZAMORA,YEBOAH J.,23-06-2000,131472,35,7,1,14.29%,5,71.43%,8,,,,,,2,1,,,,3,,,2,,2,66.67%,,,,,0.200,0.447,0.000,0.000,0.200,0.247,0.200,0.000,419,1,,,,,1,12.50%,,,,,,1,50.00%,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,100.00%,,,1,100.00%,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,
45521,EDUARD,BELLO,BELLO E.,20-08-1995,131472,50,20,4,20.00%,13,65.00%,15,2,13.33%,1,1,100.00%,5,1,,,,3,2,66.67%,1,50.00%,1,33.33%,1,33.33%,,,0.504,0.900,0.866,0.047,1.370,0.396,0.504,0.000,781,1,,,1,25.00%,2,13.33%,1,,,,3,1,20.00%,1,100.00%,1,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,1,1,100.00%,1,100.00%,,,,,,,,,,,,,
60481,JHONDER LEONEL,CADIZ FERNANDEZ,CADIZ J.,29-07-1995,131472,50,13,4,30.77%,4,30.77%,15,4,26.67%,1,1,100.00%,9,1,,,,12,4,33.33%,7,175.00%,7,58.33%,2,16.67%,,,0.211,1.116,1.198,0.000,0.587,0.905,0.211,0.000,781,,,,,,3,20.00%,,,,,,1,11.11%,1,100.00%,1,1,8.33%,4,100.00%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,100.00%,1,50.00%,1,100.00%,3,42.86%,1,50.00%,1,50.00%,,,,1,100.00%,1,33.33%,,,,,1,50.00%,1,100.00%,1,100.00%,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,
32689,CRISTIAN SLEIKER,CASSERES YEPES JR.,CASSERES C.,20-01-2000,131472,50,10,,,7,70.00%,12,2,16.67%,,,,5,2,,,,8,2,25.00%,4,200.00%,1,12.50%,5,62.50%,1,20.00%,0.000,0.000,0.000,0.000,-0.476,0.000,0.000,0.000,781,,,,,,3,25.00%,,,,,1,1,20.00%,2,100.00%,,1,12.50%,1,50.00%,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32685,NAHUEL ADOLFO,FERRARESI HERNANDEZ,FERRARESI N.,19-11-1998,131472,100,72,1,1.39%,63,87.50%,56,,,6,,,4,12,,,,18,15,83.33%,,,7,38.89%,4,22.22%,3,75.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,2,,,,,,,,,,,,,,,,3,4,22.22%,3,20.00%,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,71.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50549,ALEXANDER,GONZALEZ,GONZALEZ A.,13-09-1992,131472,100,51,12,23.53%,40,78.43%,38,1,2.63%,,,,7,4,2,1,50.00%,9,5,55.56%,3,60.00%,1,11.11%,2,22.22%,1,50.00%,0.000,0.000,1.493,0.078,1.493,0.000,0.000,0.000,781,3,1,33.33%,7,58.33%,,,1,1,100.00%,5,5,1,14.29%,1,25.00%,3,,,3,60.00%,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,1,100.00%,,,,,,,,1,25.00%,,,,,3,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15898,YANGEL,HERRERA,HERRERA Y.,07-01-1998,131472,96,75,2,2.67%,69,92.00%,68,1,1.47%,,,,1,4,3,3,100.00%,23,12,52.17%,9,75.00%,4,17.39%,6,26.09%,2,33.33%,0.122,0.000,0.000,0.038,-0.266,-0.122,0.122,0.000,781,4,,,2,100.00%,2,2.94%,1,,,,,,,3,75.00%,5,3,13.04%,6,50.00%,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,100.00%,3,60.00%,2,50.00%,,,,,,,,1,25.00%,1,50.00%,,,,,,,,,,,,,1,100.00%,,,,,,,,,,1,1,100.00%,,,,,,,,,,
16748,DARWIN,MACHIS,MACHIS D.,07-02-1993,131472,50,14,5,35.71%,6,42.86%,17,,,,,,6,2,2,1,50.00%,8,2,25.00%,4,200.00%,,,3,37.50%,,,0.303,0.174,0.540,0.042,0.843,-0.129,0.303,0.000,781,2,1,50.00%,1,20.00%,1,5.88%,1,1,100.00%,5,5,2,33.33%,2,100.00%,1,,,2,100.00%,2,,1,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,3,1,33.33%,1,33.33%,,,,,,,2,66.67%,,,,1,50.00%,,,,1,1,20.00%,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,
32688,JOSE' ANDRES,MARTINEZ TORRES,MARTINEZ J. A.,07-08-1994,131472,100,60,3,5.00%,53,88.33%,48,,,1,,,1,4,4,4,100.00%,13,8,61.54%,2,25.00%,,,1,7.69%,1,100.00%,0.101,0.402,0.289,0.000,0.390,0.301,0.101,0.000,781,4,,,1,33.33%,,,,,,,2,,,1,25.00%,3,2,15.38%,4,50.00%,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,100.00%,,,2,66.67%,,,,,2,100.00%,,,,1,25.00%,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,
32687,MIGUEL ANGEL,NAVARRO ZARATE,NAVARRO M.,26-02-1999,131472,100,69,5,7.25%,57,82.61%,47,1,2.13%,,,,4,6,,,,3,2,66.67%,,,2,66.67%,,,,,0.000,0.000,0.426,0.000,0.311,0.000,0.000,0.000,781,4,1,25.00%,3,60.00%,2,4.26%,,,,2,3,,,2,33.33%,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,1,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,1,,,1,100.00%,,,,,,,,
20504,YORDAN,OSORIO,OSORIO Y.,10-05-1994,131472,100,72,,,64,88.89%,51,1,1.96%,2,,,3,8,,,,9,6,66.67%,1,16.67%,5,55.56%,2,22.22%,1,50.00%,0.640,0.950,0.000,0.000,0.160,0.310,0.640,0.000,781,2,,,,,1,1.96%,,,,,,1,33.33%,2,25.00%,1,,,1,16.67%,1,,1,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,1,100.00%,5,100.00%,1,100.00%,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,
29537,ERIC KLEYBEL,RAMIREZ MATHEUS,RAMIREZ E.,20-11-1998,131472,12,4,2,50.00%,4,100.00%,6,2,33.33%,,,,2,,,,,4,2,50.00%,2,100.00%,2,50.00%,2,50.00%,1,50.00%,0.060,0.059,0.400,0.000,0.460,-0.001,0.060,0.000,781,,,,2,100.00%,3,50.00%,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,1,50.00%,,,1,100.00%,,,,,,1,33.33%,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,
6528,TOMAS,RINCON,RINCON T.,13-01-1988,131472,4,,,,,,1,,,,,,,,,,,1,1,100.00%,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,,,,,,,,,,,,,,,,,,1,100.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9018,RAFAEL,ROMO,ROMO R.,25-02-1990,131472,100,24,1,4.17%,23,95.83%,10,,,,,,1,4,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,1,,,1,100.00%,,,,,,,,,,1,25.00%,,,,,,,,1,,,5,4,3,75.00%,2,9,2,100.00%,9,100.00%,13,7,53.85%,3,23.08%,5,100.00%,1,3,23.08%,1.408,0.408,,,,,,,,,,,,,,,,,1,25.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,
7958,SALOMON,RONDON,RONDON S.,16-09-1989,131472,88,19,8,42.11%,14,73.68%,25,9,36.00%,,,,6,1,2,,,15,6,40.00%,7,116.67%,6,40.00%,3,20.00%,,,0.225,0.487,2.845,0.336,1.444,0.262,0.225,0.000,781,2,2,100.00%,3,37.50%,5,20.00%,2,2,100.00%,1,1,,,1,100.00%,,3,20.00%,4,66.67%,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,50.00%,1,50.00%,,,3,50.00%,1,100.00%,1,50.00%,,,,1,100.00%,1,20.00%,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,1,50.00%,1,50.00%,1,1
20457,JEFFERSON,SAVARINO,SAVARINO J.,11-11-1996,131472,12,8,,,7,87.50%,9,1,11.11%,,,,3,1,,,,1,1,100.00%,,,,,,,,,0.000,0.000,0.000,0.000,-0.189,0.000,0.000,0.000,781,,,,,,1,11.11%,,,,,,,,1,100.00%,,1,100.00%,1,100.00%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20459,YEFERSON,SOTELDO,SOTELDO Y.,30-06-1997,131472,88,37,7,18.92%,29,78.38%,35,,,,,,10,3,3,1,33.33%,12,7,58.33%,3,42.86%,1,8.33%,3,25.00%,1,33.33%,0.000,0.000,1.085,0.000,1.085,0.000,0.000,0.000,781,1,,,3,42.86%,3,8.57%,,,,2,2,2,20.00%,1,33.33%,1,4,33.33%,5,71.43%,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
