Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,traversoni,cutBack,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,interventoPositivo,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,inFuorigioco,ammonizioni,golProcurati,golSviluppoCorner,golSviluppoCorner_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK,FxGoT,gkGP,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC
30927,LIAM,MILLAR,MILLAR L.,27-09-1999,133245,19,,,,8,2,25.00%,5,62.50%,,,,,7,,,,,,,,,,,,,,,2,1,,,1,100.00%,1,,,1,100.00%,1,,,3,,,1,33.33%,1,100.00%,1,100.00%,,,,,1,33.33%,1,100.00%,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56002,TANITOLUWA,OLUWATIMIKHIN OLUWASEYI,OLUWASEYI T.,15-05-2000,133245,69,1,1,100.00%,22,4,18.18%,17,77.27%,3,75.00%,6,20.00%,30,6,20.00%,2,2,100.00%,1,1,100.00%,,,,,1,1,12,2,,,2,100.00%,,2,16.67%,,,,,,16,1,6.25%,3,18.75%,2,66.67%,11,366.67%,5,31.25%,,,6,37.50%,2,33.33%,4,1,1,0.626,0.174,1.063,0.066,0.406,-0.452,0.626,0.000,3914,1,1,100.00%,,3,1,33.33%,3,100.00%,,,,,,,1,100.00%,,,,,4,66.67%,,1,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36786,JONATHAN,OSORIO,OSORIO J.,12-06-1992,133245,79,,,,28,4,14.29%,26,92.86%,4,100.00%,4,15.38%,26,2,7.69%,,,,,,,,,,,,,2,1,,,1,100.00%,2,,,2,100.00%,1,,,5,,,1,20.00%,,,3,300.00%,1,20.00%,,,2,40.00%,1,50.00%,1,,1,0.413,0.670,0.365,0.000,0.105,0.256,0.413,0.000,3914,,,,,2,2,100.00%,2,100.00%,,,,,,,2,100.00%,,,,,1,25.00%,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58436,LUC,ROLLET DE FOUGEROLLES,DE FOUGEROLLES L.,12-10-2005,133245,69,,,,17,1,5.88%,15,88.24%,1,100.00%,,,12,3,25.00%,2,,,,,,,,,,,,4,,,,,,4,2,50.00%,3,75.00%,,,,12,1,8.33%,7,58.33%,2,28.57%,3,42.86%,4,33.33%,2,50.00%,2,16.67%,1,50.00%,1,1,1,0.000,0.000,0.331,0.000,0.028,0.000,0.000,0.000,3914,4,1,25.00%,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51325,JACOB,SHAFFELBURG,SHAFFELBURG J.,26-11-1999,133245,98,1,,,26,7,26.92%,8,30.77%,1,14.29%,3,13.04%,23,2,8.70%,,,,1,,,1,,,2,1,5,10,,,,,,,,,,,2,1,50.00%,9,,,3,33.33%,3,100.00%,4,133.33%,,,,,4,44.44%,1,25.00%,,,2,0.000,0.000,1.704,0.013,1.704,0.000,0.000,0.000,3914,3,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36775,DAYNE TRISTAN,ST. CLAIR,ST. CLAIR D.,09-05-1997,133245,98,,,,25,,,21,84.00%,,,,,11,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,16.67%,3,7,5,3,60.00%,5,8,4,80.00%,8,100.00%,5,41.67%,5,41.67%,2,66.67%,1,33.33%,2,5.942,-0.058,,,,,,
45313,MAXIMILIANO,ARAUJO,ARAUJO M.,15-02-2000,133245,63,,,,11,2,18.18%,4,36.36%,1,50.00%,2,12.50%,16,,,,,,,,,1,1,100.00%,,,1,9,,,,,,1,4,44.44%,,,2,1,50.00%,12,3,25.00%,4,33.33%,2,50.00%,2,50.00%,,,,,4,33.33%,,,2,3,1,0.140,0.439,0.202,0.000,0.342,0.299,0.140,0.000,246,1,1,100.00%,,1,1,100.00%,1,100.00%,,,,,,,1,100.00%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14080,RODRIGO,BENTANCUR,BENTANCUR R.,25-06-1997,133245,98,2,,,33,1,3.03%,23,69.70%,,,2,7.69%,26,2,7.69%,,,,,,,,,,,,,6,1,1,100.00%,,,5,2,33.33%,1,20.00%,4,2,50.00%,21,,,8,38.10%,2,25.00%,3,37.50%,1,4.76%,1,100.00%,8,38.10%,4,50.00%,4,,2,0.976,1.270,0.105,0.000,0.534,0.293,0.220,0.000,246,4,3,75.00%,,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,1,50.00%,,1,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,
45207,SEBASTIAN,CACERES,CACERES S.,18-08-1999,133245,98,1,1,100.00%,51,3,5.88%,37,72.55%,1,33.33%,,,29,1,3.45%,,,,1,1,100.00%,,,,,,,5,,,,,,10,2,40.00%,1,10.00%,1,1,100.00%,16,3,18.75%,14,87.50%,3,21.43%,,,7,43.75%,5,71.43%,3,18.75%,3,100.00%,,3,2,0.000,0.000,1.218,0.069,1.022,0.000,0.000,0.000,246,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,80.00%
13443,GIORGIAN,DE ARRASCAETA,DE ARRASCAETA G.,01-06-1994,133245,50,1,1,100.00%,25,9,36.00%,20,80.00%,6,66.67%,4,25.00%,16,2,12.50%,,,,1,1,100.00%,,,,,,,3,1,,,1,100.00%,1,1,33.33%,,,,,,5,,,1,20.00%,,,3,300.00%,,,,,3,60.00%,1,33.33%,2,,1,0.756,0.925,1.532,0.088,2.132,0.169,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7671,JOSE' MARIA,GIMENEZ,GIMENEZ J.,20-01-1995,133245,98,5,1,20.00%,56,2,3.57%,47,83.93%,1,50.00%,1,2.63%,38,4,10.53%,2,,,1,1,100.00%,,,,,,,4,,,,,,11,,,2,18.18%,1,1,100.00%,14,1,7.14%,12,85.71%,2,16.67%,,,7,50.00%,5,71.43%,4,28.57%,4,100.00%,,1,2,0.146,0.000,0.686,0.074,-0.007,-0.146,0.146,0.000,246,1,,,,1,,,1,100.00%,,,,,,,,,,,,,1,100.00%,,,,,,,,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13863,NAHITAN,NANDEZ,NANDEZ N.,28-12-1995,133245,98,2,1,50.00%,43,3,6.98%,30,69.77%,1,33.33%,2,10.53%,19,,,1,,,,,,,,,,,,5,1,1,100.00%,,,5,2,40.00%,,,2,2,100.00%,13,1,7.69%,9,69.23%,1,11.11%,1,11.11%,,,,,5,38.46%,5,100.00%,1,1,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,4,3,75.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24912,DARWIN,NUNEZ,NUNEZ D.,24-06-1999,133245,47,1,,,6,,,4,66.67%,,,1,9.09%,11,,,,,,1,,,,,,,,,7,,,,,,,4,57.14%,,,7,2,28.57%,13,1,7.69%,3,23.08%,3,100.00%,5,166.67%,2,15.38%,,,2,15.38%,,,1,1,1,0.061,0.000,0.000,0.038,0.061,-0.061,0.061,0.000,246,,,,,1,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28.57%
69991,LUCAS RENE',OLAZA CATROFE,OLAZA L.,21-07-1994,133245,29,1,1,100.00%,14,4,28.57%,9,64.29%,1,25.00%,,,9,,,,,,1,1,100.00%,3,1,33.33%,,,3,,,,,,,2,,,1,50.00%,,,,2,1,50.00%,1,50.00%,1,100.00%,1,100.00%,,,,,,,,,1,1,1,0.000,0.000,0.560,0.016,0.560,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51068,CRISTIAN,OLIVERA,OLIVERA C.,17-04-2002,133245,34,1,,,6,1,16.67%,3,50.00%,,,,,8,,,,,,1,,,,,,,,1,2,,,,,,1,1,50.00%,,,3,2,66.67%,8,2,25.00%,5,62.50%,1,20.00%,1,20.00%,,,,,1,12.50%,1,100.00%,2,2,1,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%
36655,FACUNDO,PELLISTRI,PELLISTRI F.,20-12-2001,133245,63,,,,10,1,10.00%,7,70.00%,,,1,9.09%,11,,,,,,,,,,,,,1,1,7,1,,,1,100.00%,4,3,42.86%,1,25.00%,1,,,14,1,7.14%,4,28.57%,,,5,125.00%,1,7.14%,1,100.00%,5,35.71%,1,20.00%,4,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26458,SERGIO,ROCHET,ROCHET S.,23-03-1993,133245,98,,,,27,,,17,62.96%,,,,,9,,,,,,,,,,,,,,,5,,,,,,7,2,40.00%,,,,,,2,1,50.00%,2,100.00%,,,,,1,50.00%,1,100.00%,,,,,,1,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,17.65%,4,5,6,4,66.67%,6,4,,,3,75.00%,8,47.06%,6,35.29%,3,75.00%,1,25.00%,2,6.117,1.117,,,,,,
26464,PAUL BRIAN,RODRIGUEZ BRAVO,BRIAN RODRIGUEZ,20-05-2000,133245,34,1,,,13,4,30.77%,9,69.23%,1,25.00%,2,20.00%,10,2,20.00%,,,,,,,1,,,,1,2,1,1,,,1,100.00%,1,,,1,100.00%,1,1,100.00%,1,,,1,100.00%,1,100.00%,,,,,,,,,,,,,1,0.112,0.000,0.863,0.000,0.739,-0.112,0.112,0.000,246,,,,,1,,,1,100.00%,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7420,LUIS,SUAREZ,SUAREZ L.,24-01-1987,133245,50,1,1,100.00%,9,1,11.11%,6,66.67%,1,100.00%,5,27.78%,18,5,27.78%,,,,,,,,,,,,1,5,,,,,,,,,,,4,2,50.00%,8,1,12.50%,3,37.50%,3,100.00%,5,166.67%,,,,,2,25.00%,,,1,1,1,1.252,2.322,0.281,0.000,0.589,1.070,0.496,0.000,246,,,,,3,3,100.00%,3,100.00%,1,33.33%,1,100.00%,1,100.00%,3,100.00%,,,,,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29661,MANUEL,UGARTE,UGARTE M.,11-04-2001,133245,47,1,,,16,,,13,81.25%,,,2,16.67%,12,,,,,,,,,,,,,,,3,,,,,,4,3,100.00%,,,1,1,100.00%,5,1,20.00%,3,60.00%,,,,,,,,,2,40.00%,1,50.00%,,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%
16801,FEDERICO,VALVERDE,VALVERDE F.,22-07-1998,133245,98,7,1,14.29%,36,3,8.33%,30,83.33%,3,100.00%,1,3.70%,27,,,,,,1,1,100.00%,,,,,,,3,2,1,50.00%,1,50.00%,4,1,33.33%,1,25.00%,1,1,100.00%,3,,,2,66.67%,2,100.00%,,,,,,,,,,,,,2,0.837,0.987,0.332,0.039,1.170,0.150,0.082,0.000,246,2,1,50.00%,,2,,,1,50.00%,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26459,MATIAS,VINA,VINA M.,09-11-1997,133245,68,,,,36,1,2.78%,27,75.00%,,,1,3.70%,27,,,,,,,,,,,,,,,7,1,1,100.00%,,,3,2,28.57%,,,1,,,11,1,9.09%,5,45.45%,1,20.00%,2,40.00%,4,36.36%,3,75.00%,4,36.36%,1,25.00%,,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
