Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passRicevuti,perdePalla,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passInArea,passInArea_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,recuperaPalla,dribbling,duelliPersiMetaCampo,duelliAerei,duelliAerei_PERC,inFuorigioco,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,traversoni,palleLaterali,triangolazione,triFatta,triFatta_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliPersiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,triChiusa,triChiusa_PERC,dribblingPositivo,dribblingPositivo_PERC,falliFatti,tiriDaFuori,tiriDaFuori_PERC,cross,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,crossRiusciti,crossRiusciti_PERC,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,thirdPass,interventoPositivo,ammonizioni,cutBack,passaggiPortierePositivi,passaggiPortierePositivi_PERC,cutBackRiusciti,cutBackRiusciti_PERC
59257,MARCOS JOHAN,LOPEZ LANFRANCO,LOPEZ M.,20-11-1999,131471,66,,20,12,60.00%,15,8,6,,,3,50.00%,,,,,,0.000,0.000,0.675,0.000,0.496,0.000,0.000,0.000,780,4,20.00%,1,6.67%,1,2,2,1,16.67%,,,,,,,,,1,2,1,1,100.00%,2,25.00%,1,100.00%,2,,,66.67%,,,,,2,25.00%,1,25.00%,1,100.00%,1,6.67%,,,1,50.00%,1,,,1,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,
17908,SERGIO,PENA,PENA S.,28-09-1995,131471,100,4,51,39,76.47%,36,10,12,1,8.33%,6,50.00%,3,25.00%,2,66.67%,1,0.005,0.000,0.704,0.052,0.710,-0.005,0.005,0.005,780,7,13.73%,2,5.56%,8,1,4,4,33.33%,,1,,,,,,,,,3,,,2,20.00%,4,50.00%,2,,,66.67%,1,25.00%,,,2,20.00%,5,71.43%,,,,,3,100.00%,,,1,1,100.00%,,4,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,100.00%,2,2,100.00%,1,12.50%,,,,,,,,
11238,ANDY JORMAN,POLO ANDRADE,POLO A.,29-09-1994,131471,89,1,23,16,69.57%,19,9,13,1,7.69%,4,30.77%,2,15.38%,1,50.00%,1,0.000,0.000,0.356,0.032,0.073,0.000,0.000,0.000,780,2,8.70%,1,5.26%,4,4,7,1,7.69%,,,,,,,,,,3,1,1,100.00%,1,11.11%,,,2,1,50.00%,175.00%,1,100.00%,,,,,1,50.00%,,,2,10.53%,,,,,3,,,1,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,1,,,,,,,,,,,,
54906,PIERO ALDAIR,QUISPE CORDOVA,QUISPE P.,14-08-2001,131471,76,2,21,16,76.19%,15,5,7,1,14.29%,6,85.71%,3,42.86%,2,66.67%,1,0.000,0.000,0.405,0.051,0.405,0.000,0.000,0.000,780,2,9.52%,,,10,1,1,1,14.29%,1,,,,,,,,,2,,,,1,20.00%,,,1,,,16.67%,1,100.00%,,,2,40.00%,,,,,,,,,1,100.00%,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,1,,,,,,,,,,,,
37197,OLIVER,SONNE,SONNE O.,10-11-2000,131471,12,,3,2,66.67%,,1,1,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,780,,,,,2,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20460,CARLOS AUGUSTO,ZAMBRANO OCHANDARTE,ZAMBRANO C.,10-07-1989,131471,100,3,29,22,75.86%,14,4,11,3,27.27%,9,81.82%,1,9.09%,1,100.00%,3,0.000,0.000,0.151,0.000,0.151,0.000,0.000,0.000,780,1,3.45%,,,11,,1,4,36.36%,,,,,,,,,,,,,,2,50.00%,2,18.18%,2,,,11.11%,3,75.00%,,,2,50.00%,,,,,,,,,,,1,,,,3,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,
56464,MARCOS NIKOLAS,BOLADOS HIDALGO,BOLADOS M.,28-02-1996,131471,31,,6,3,50.00%,9,4,7,,,1,14.29%,2,28.57%,,,,0.000,0.000,0.732,0.000,0.732,0.000,0.000,0.000,412,4,66.67%,3,33.33%,1,1,6,1,14.29%,,,,,,,,,,3,,,,1,25.00%,1,100.00%,,,,600.00%,1,100.00%,,,2,50.00%,1,25.00%,1,33.33%,2,22.22%,,,,,3,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
9825,CLAUDIO,BRAVO,BRAVO C.,13-04-1983,131471,100,2,34,28,82.35%,20,5,2,1,50.00%,2,100.00%,1,50.00%,1,100.00%,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412,,,,,4,,,,,,,,,,,,,,,,,,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,66.67%,4,15,2,50.00%,17,5,29.41%,7,41.18%,2,100.00%,5,29.41%,0.726,0.726,,,,,,,,,,,,,,,,,14,93.33%,,
26497,BEN,BRERETON,BRERETON B.,18-04-1999,131471,31,,9,7,77.78%,11,1,7,,,3,42.86%,2,28.57%,1,50.00%,,0.085,0.057,0.000,0.000,-0.122,-0.028,0.085,0.036,412,1,11.11%,7,63.64%,,2,3,3,42.86%,,2,1,50.00%,1,50.00%,1,50.00%,,,,,,,,,,,,,100.00%,1,33.33%,,,,,,,1,14.29%,2,18.18%,,,1,50.00%,,1,50.00%,,3,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32908,VICTOR,DAVILA,DAVILA V.,04-11-1997,131471,69,2,18,9,50.00%,23,10,10,2,20.00%,6,60.00%,3,30.00%,2,66.67%,2,0.605,0.652,0.541,0.065,0.428,0.047,0.605,0.605,412,3,16.67%,9,39.13%,,1,2,2,20.00%,,3,2,66.67%,2,66.67%,1,33.33%,,1,,,,3,30.00%,,,,,,33.33%,1,50.00%,1,50.00%,,,,,2,22.22%,2,8.70%,,,1,100.00%,2,1,33.33%,,4,66.67%,1,50.00%,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,1,50.00%,1,1,100.00%,,,,,1,1,,,1,100.00%
14032,PAULO CESAR,DIAZ HUINCALES,DIAZ P.,25-08-1994,131471,100,2,81,71,87.65%,59,1,13,3,23.08%,8,61.54%,1,7.69%,1,100.00%,3,0.000,0.000,0.126,0.000,0.126,0.000,0.000,0.000,412,2,2.47%,,,16,1,2,5,38.46%,,,,,,,,,,,,,,,,2,12.50%,,,,25.00%,4,80.00%,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,1,100.00%,,,,,,,6,,,,,,,,,,2,12.50%,,,,,,,,
53502,RODRIGO EDUARDO,ECHEVERRIA SAEZ,ECHEVERRIA R.,07-04-1995,131471,11,,7,7,100.00%,6,,1,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412,,,,,2,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8631,MAURICIO ANIBAL,ISLA,ISLA M.,12-06-1988,131471,100,10,78,66,84.62%,66,12,8,1,12.50%,5,62.50%,2,25.00%,1,50.00%,1,0.000,0.000,0.395,0.043,0.395,0.000,0.000,0.000,412,4,5.13%,1,1.52%,5,2,2,2,25.00%,1,,,,,,,,,3,2,2,100.00%,1,8.33%,,,1,,,40.00%,2,100.00%,,,,,3,75.00%,,,3,4.55%,,,,,,,,3,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,2,,,1,33.33%,1,10.00%,1,1,100.00%,,,1,,,,,,,
20526,IGOR,LICHNOVSKY,LICHNOVSKY I.,07-03-1994,131471,100,2,75,65,86.67%,56,7,13,,,10,76.92%,2,15.38%,2,100.00%,,0.035,0.000,0.000,0.000,0.035,-0.035,0.035,0.000,412,,,,,8,,2,9,69.23%,,1,,,1,100.00%,1,100.00%,,,,,,4,57.14%,1,12.50%,,,,20.00%,8,88.89%,,,,,,,,,,,,,,,2,,,,1,10.00%,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,12.50%,,,,,,,,
26491,MARCELINO,NUNEZ,NUNEZ M.,01-03-2000,131471,89,4,37,29,78.38%,27,4,13,1,7.69%,9,69.23%,3,23.08%,3,100.00%,1,0.027,0.055,0.146,0.000,0.173,0.028,0.027,0.027,412,1,2.70%,4,14.81%,5,1,2,4,30.77%,,1,1,100.00%,,,,,,,,,,4,100.00%,1,20.00%,2,,,22.22%,3,75.00%,,,2,50.00%,,,,,,,,,,,2,1,100.00%,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56611,DARIO ESTEBAN,OSORIO OSORIO,OSORIO D.,24-01-2004,131471,50,1,13,10,76.92%,15,5,10,,,2,20.00%,2,20.00%,,,,0.000,0.000,0.000,0.061,0.000,0.000,0.000,0.000,412,2,15.38%,2,13.33%,3,3,7,3,30.00%,,,,,,,,,,,,,,,,1,33.33%,2,2,100.00%,350.00%,1,33.33%,,,,,2,100.00%,,,,,,,1,33.33%,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
8679,ERICK,PULGAR,PULGAR E.,15-01-1994,131471,100,6,52,46,88.46%,33,4,14,3,21.43%,9,64.29%,4,28.57%,4,100.00%,3,0.017,0.043,0.000,0.000,0.017,0.026,0.017,0.000,412,2,3.85%,1,3.03%,11,1,3,2,14.29%,,1,1,100.00%,,,,,,,,,,,,3,27.27%,3,1,33.33%,33.33%,,,,,,,1,50.00%,,,,,,,,,1,1,100.00%,,4,44.44%,1,100.00%,,,,,,,,,,,,,,,,,,,,,2,,,,,1,16.67%,,,,,,,,1,,,,,
7720,ALEXIS ALEJANDRO,SANCHEZ SANCHEZ,SANCHEZ A.,19-12-1988,131471,100,4,50,35,70.00%,53,16,12,3,25.00%,5,41.67%,4,33.33%,,,3,0.410,0.000,1.173,0.082,1.078,-0.410,0.410,0.084,412,11,22.00%,8,15.09%,,2,6,2,16.67%,,2,,,2,100.00%,,,,,2,,,1,6.25%,,,1,1,100.00%,120.00%,2,100.00%,,,,,5,45.45%,1,12.50%,2,3.77%,2,100.00%,,,,,,,3,60.00%,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,50.00%,2,1,50.00%,,,,,1,,,,,
29873,GABRIEL,SUAZO,SUAZO G.,09-08-1997,131471,100,8,61,49,80.33%,43,7,13,2,15.38%,10,76.92%,1,7.69%,1,100.00%,2,0.000,0.000,0.425,0.118,0.298,0.000,0.000,0.000,412,2,3.28%,,,7,1,2,3,23.08%,,,,,,,,,,1,,,,,,,,4,,,20.00%,2,66.67%,,,,,1,50.00%,,,1,2.33%,,,1,100.00%,2,,,1,1,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,12.50%,2,1,50.00%,,,,,,,,,,
16793,DIEGO,VALDES,VALDES D.,30-01-1994,131471,51,,17,16,94.12%,16,3,1,,,,,,,,,,0.000,0.000,0.110,0.000,0.110,0.000,0.000,0.000,412,1,5.88%,2,12.50%,1,,,,,,,,,,,,,,,,,,1,33.33%,1,100.00%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11318,EDUARDO JESUS,VARGAS ROJAS,VARGAS E.,20-11-1989,131471,69,1,12,10,83.33%,11,4,7,,,3,42.86%,1,14.29%,,,,0.000,0.000,0.599,0.047,0.410,0.000,0.000,0.000,412,2,16.67%,4,36.36%,1,,2,2,28.57%,,,,,,,,,,,,,,2,50.00%,,,2,,,66.67%,1,50.00%,,,,,2,100.00%,,,1,9.09%,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
