Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passRicevuti,perdePalla,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,giochiPortiereRicevuti,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,palleLaterali,dribbling,tiriInPortaDaArea,tiriInPortaDaArea_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingPositivo,dribblingPositivo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliFatti,falliSubiti,ammonizioni,FxGoT,gkGP,cross,crossRiusciti,crossRiusciti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,triangolazione,triFatta,triFatta_PERC,thirdPass,triChiusa,triChiusa_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,tiriDiTesta,tiriDiTesta_PERC,traversoni,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,golProcurati,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,inFuorigioco,interventoNegativo,autogol,tiroGolTesta,tiroGolTesta_PERC
7243,LUKA,MODRIC,MODRIC L.,09-09-1985,131364,100,126,109,86.51%,107,10,4,3,75.00%,,,1,25.00%,,,2,0.109,0.187,1.588,0.249,1.339,0.078,0.109,0.000,4,2,1,50.00%,,,2,100.00%,1,0.93%,,6,2,33.33%,1,,,,,1,25.00%,1,100.00%,1,100.00%,2,33.33%,7,1,14.29%,11,8.73%,2,18.18%,,,1,0.93%,2,,,1,50.00%,,,,,,2,,,,,,,,1,25.00%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
9188,MARIO,PASALIC,PASALIC MARIO,09-02-1995,131364,53,20,19,95.00%,22,,8,6,75.00%,5,83.33%,2,25.00%,1,50.00%,1,0.588,0.000,0.811,0.000,0.189,-0.588,0.588,0.000,4,3,,,3,100.00%,,,4,18.18%,2,2,2,100.00%,,,,1,16.67%,6,75.00%,5,83.33%,,,1,50.00%,,,,1,5.00%,,,4,100.00%,5,22.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100.00%,,1,50.00%,2,66.67%,,,,,,,,,,
7244,IVAN,PERISIC,PERISIC I.,02-02-1989,131364,86,46,39,84.78%,38,5,8,2,25.00%,1,50.00%,3,37.50%,1,33.33%,1,0.052,0.467,2.940,0.179,2.826,0.415,0.052,0.000,4,1,1,100.00%,,,1,100.00%,2,5.26%,,5,,,,,,6,300.00%,3,37.50%,1,33.33%,1,100.00%,,,3,3,100.00%,14,30.43%,7,50.00%,,,3,7.89%,3,,,3,100.00%,,,,,,9,,,,,,,,,,2,,,,,7,3,42.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
5965,BRUNO,PETKOVIC,PETKOVIC B.,16-09-1994,131364,70,13,10,76.92%,20,5,14,11,78.57%,6,54.55%,3,21.43%,1,33.33%,1,0.574,0.000,1.373,0.038,1.007,-0.574,0.574,0.000,4,2,,,2,100.00%,,,6,30.00%,1,,,,,,,3,27.27%,6,42.86%,5,83.33%,,,,,1,1,100.00%,4,30.77%,2,50.00%,2,33.33%,5,25.00%,1,,,1,100.00%,,,,,,,2,,,1,20.00%,2,100.00%,3,21.43%,1,3,,,,,,,,,2,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,
13987,BORNA,SOSA,SOSA B.,21-01-1998,131364,14,2,1,50.00%,2,1,,,,,,,,,,1,0.000,0.000,0.232,0.000,0.232,0.000,0.000,0.000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24936,LUKA,SUCIC,SUCIC L.,08-09-2002,131364,53,22,20,90.91%,23,1,6,4,66.67%,1,25.00%,5,83.33%,3,60.00%,1,0.596,0.752,0.323,0.040,0.223,0.156,0.596,0.000,4,3,3,100.00%,3,100.00%,,,2,8.70%,,2,,,,,,1,25.00%,,,,,,,,,3,,,1,4.55%,,,2,100.00%,2,8.70%,1,,,,,,,,,,,1,3,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
30189,JOSIP,SUTALO,SUTALO J.,28-02-2000,131364,100,62,59,95.16%,46,2,27,21,77.78%,5,23.81%,16,59.26%,14,87.50%,2,0.327,0.000,0.000,0.000,0.327,-0.327,0.327,0.000,4,1,,,1,100.00%,,,1,2.17%,3,15,5,33.33%,,,,3,14.29%,6,22.22%,6,100.00%,,,,,1,,,,,,,1,100.00%,1,2.17%,,,,,,,,,,,,,,,1,50.00%,,,1,3.70%,4,1,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,1,100.00%,,,,,,,,,,
7332,ARLIND,AJETI,AJETI AR.,25-09-1993,131364,100,18,14,77.78%,9,1,7,,,,,,,,,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,463,,,,,,,,,,,2,,,1,1,100.00%,1,,5,71.43%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46129,JASIR,ASANI,ASANI J.,19-05-1995,131364,65,9,6,66.67%,13,4,18,10,55.56%,2,20.00%,7,38.89%,5,71.43%,,0.000,0.000,0.346,0.099,0.346,0.000,0.000,0.000,463,,,,,,,,,,,2,,,2,2,100.00%,3,30.00%,2,11.11%,2,100.00%,,,,,2,1,50.00%,2,22.22%,1,50.00%,,,,,1,1,100.00%,1,100.00%,1,100.00%,,,,1,2,,,,,,,3,16.67%,2,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,100.00%,1,100.00%,1,,,,
25333,KRISTJAN,ASLLANI,ASLLANI K.,09-03-2002,131364,100,49,39,79.59%,41,8,8,3,37.50%,,,4,50.00%,2,50.00%,2,0.297,0.366,0.935,0.050,0.999,0.069,0.297,0.000,463,2,2,100.00%,1,50.00%,1,50.00%,1,2.44%,1,2,,,1,1,100.00%,4,133.33%,2,25.00%,,,1,50.00%,,,6,,,5,10.20%,1,20.00%,,,,,1,,,,,,,,,,1,,1,50.00%,4,50.00%,,,1,12.50%,,1,,,,1,,,2,25.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16535,NEDIM,BAJRAMI,BAJRAMI N.,28-02-1999,131364,100,26,19,73.08%,28,11,6,2,33.33%,1,50.00%,4,66.67%,1,25.00%,2,0.227,0.000,0.559,0.000,0.786,-0.227,0.227,0.000,463,2,,,2,100.00%,,,5,17.86%,1,4,,,,,,3,150.00%,,,,,,,,,,,,2,7.69%,1,50.00%,,,1,3.57%,,,,,,,,,,,1,2,,,1,9.09%,1,50.00%,,,,,,,,1,,,2,18.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,1,,,,
70041,MIRLIND,DAKU,DAKU M.,01-01-1998,131364,14,4,3,75.00%,6,4,5,3,60.00%,3,100.00%,2,40.00%,1,50.00%,,0.306,0.763,0.416,0.079,0.025,0.457,0.306,0.000,463,1,1,100.00%,1,100.00%,,,1,16.67%,,,,,1,,,2,66.67%,1,20.00%,1,100.00%,,,,,3,,,,,,,1,100.00%,2,33.33%,2,,,,,,,,,,,,1,100.00%,,,,,,,1,,1,,,,,,,,1,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
10288,BERAT,DJIMSITI,DJIMSITI B.,19-02-1993,131364,100,42,38,90.48%,30,1,9,5,55.56%,,,3,33.33%,1,33.33%,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,463,,,,,,,,,,4,8,1,12.50%,1,,,2,40.00%,3,33.33%,2,66.67%,,,,,3,,,,,,,,,1,3.33%,,,,,,,,,,,,,,,,,,,1,11.11%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36090,KLAUS,GJASULA,GJASULA K.,14-12-1989,131364,26,10,6,60.00%,8,3,6,1,16.67%,,,3,50.00%,,,2,0.412,1.100,0.173,0.000,0.180,0.688,0.412,0.000,463,2,2,100.00%,1,50.00%,1,50.00%,1,12.50%,,,,,,,,2,200.00%,2,33.33%,1,50.00%,1,50.00%,,,,,,1,10.00%,1,100.00%,,,,,,,,,,,,,,,,,1,50.00%,2,66.67%,,,,,1,,1,,,,,,2,66.67%,1,1,100.00%,,,,1,50.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
57447,ARBER,HOXHA,HOXHA A.,06-10-1998,131364,14,8,7,87.50%,10,2,5,2,40.00%,2,100.00%,2,40.00%,1,50.00%,,0.071,0.438,0.257,0.000,0.176,0.367,0.071,0.000,463,1,1,100.00%,,,1,100.00%,3,30.00%,,1,1,100.00%,,,,2,100.00%,1,20.00%,,,1,100.00%,1,100.00%,,,,1,12.50%,1,100.00%,,,,,,,,,,,,,,,1,2,,,,,1,50.00%,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
6403,ELSEID,HYSAJ,HYSAJ E.,02-02-1994,131364,100,22,17,77.27%,12,4,8,3,37.50%,1,33.33%,4,50.00%,3,75.00%,2,0.196,0.450,0.236,0.103,0.432,0.254,0.196,0.000,463,2,1,50.00%,1,50.00%,1,50.00%,2,16.67%,,5,,,,,,,,4,50.00%,,,1,100.00%,,,3,1,33.33%,2,9.09%,1,50.00%,,,,,2,,,1,50.00%,,,,,,1,,,,,,,,,,,,1,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26403,QAZIM,LACI,LACI Q.,19-01-1996,131364,74,23,16,69.57%,18,5,8,4,50.00%,1,25.00%,5,62.50%,2,40.00%,1,0.198,0.609,0.712,0.036,0.436,0.410,0.198,0.000,463,1,1,100.00%,1,100.00%,,,3,16.67%,1,1,,,,,,3,75.00%,1,12.50%,1,100.00%,,,,,2,,,3,13.04%,1,33.33%,1,33.33%,2,11.11%,1,,,,,,,,,,,1,1,100.00%,3,60.00%,1,100.00%,,,1,,,,,,,,4,80.00%,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,1,100.00%,,,,,,,,,,,1,100.00%
8717,REY,MANAJ,MANAJ R.,24-02-1997,131364,86,16,12,75.00%,30,17,32,9,28.13%,5,55.56%,15,46.88%,2,13.33%,2,0.216,0.156,0.103,0.000,0.083,-0.060,0.216,0.000,463,1,1,100.00%,1,100.00%,,,4,13.33%,2,4,2,50.00%,,,,17,188.89%,10,31.25%,3,30.00%,,,1,25.00%,,,,,,,,1,25.00%,1,3.33%,,,,,,,,,,,,,1,100.00%,3,17.65%,,,4,12.50%,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,1,50.00%,,,,,,,,,,,,
36390,MARIO,MITAJ,MITAJ M.,06-08-2003,131364,100,42,36,85.71%,33,1,12,6,50.00%,2,33.33%,4,33.33%,3,75.00%,2,0.000,0.000,0.208,0.000,0.208,0.000,0.000,0.000,463,,,,,,,,,,,6,,,1,1,100.00%,2,33.33%,4,33.33%,1,25.00%,,,,,,,,2,4.76%,,,,,,,,,,,,,,,,,2,1,,,,,1,100.00%,1,8.33%,1,1,,,,1,,,,,1,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17004,YLBER,RAMADANI,RAMADANI Y.,12-04-1996,131364,86,30,28,93.33%,25,3,5,4,80.00%,2,50.00%,,,,,2,0.000,0.000,0.174,0.000,0.174,0.000,0.000,0.000,463,,,,,,,,,,,6,2,33.33%,1,1,100.00%,,,,,,,,,1,16.67%,,,,1,3.33%,,,,,,,,,,,,,,,,,1,1,,,2,66.67%,1,100.00%,3,60.00%,,3,,,,1,,,4,133.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26406,TAULANT,SEFERI,SEFERI T.,15-11-1996,131364,35,10,8,80.00%,8,2,5,3,60.00%,3,100.00%,3,60.00%,1,33.33%,2,0.041,0.319,0.757,0.069,0.541,0.278,0.041,0.000,463,1,1,100.00%,,,1,100.00%,1,12.50%,,3,2,66.67%,1,,,2,66.67%,,,,,1,100.00%,,,1,1,100.00%,2,20.00%,1,50.00%,,,1,12.50%,1,,,1,100.00%,,,,,,1,,,,,,,,1,20.00%,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6142,THOMAS,STRAKOSHA,STRAKOSHA T.,19-03-1995,131364,100,35,31,88.57%,9,3,1,1,100.00%,,,,,,,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,463,,,,,,,,,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.634,1.634,,,,,,,,,,,,,,,,,,8,2,,9,7,77.78%,6,5,4,66.67%,5,100.00%,24,5,20.83%,8,33.33%,8,100.00%,2,11,45.83%,,,,,,,,,,,,,,,,,
