Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingSub,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,giochiPortiereRicevuti,traversoni,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,dribblingPositivo,dribblingPositivo_PERC,ammonizioni,interventoNegativo,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,tiriDiRigore,tiriDiRigore_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,inFuorigioco,tiriInPortaDaArea,tiriInPortaDaArea_PERC,thirdPass,parate,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,uscite,tiriRigoreSubiti,tiriRigoreParati,tiriRigoreParati_PERC,rinvioPiede,rinvioPiede_PERC,cutBack
25136,VITOR,MACHADO FERREIRA,VITINHA,13-02-2000,132293,67,3,2,66.67%,2,66.67%,2,,,57,4,7.02%,54,94.74%,2,50.00%,2,4.26%,47,1,2.13%,,,,1,,,1,3,1,,,1,100.00%,1,,3,,,1,33.33%,,,,,1,33.33%,,,1,33.33%,,,,,1,50.00%,1,100.00%,,,0.399,0.371,0.928,0.000,0.941,-0.028,0.399,0.000,427,,,,,,,,1,100.00%,,,1,33.33%,,,,,1,50.00%,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16514,DIOGO,MEIRELES DA COSTA,DIOGO COSTA,19-09-1999,132293,128,,,,,,,,,21,,,19,90.48%,,,,,12,,,,,,,,,,3,3,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.824,0.000,0.824,0.000,0.000,0.000,427,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,100.00%,2,10,1,50.00%,9,90.00%,9,6,66.67%,1,50.00%,1,50.00%,3,33.33%,3.221,3.221,,,,,,,,,,,
7413,BERNARDO,MOTA VEIGA DE CARVALHO E SILVA,BERNARDO SILVA,10-08-1994,132293,128,1,,,,,1,,,69,3,4.35%,63,91.30%,1,33.33%,3,4.76%,63,1,1.59%,1,,,1,,,2,9,1,1,11.11%,1,100.00%,1,,9,,,1,11.11%,1,100.00%,6,600.00%,1,11.11%,,,7,77.78%,1,14.29%,,,,,1,100.00%,2,22.22%,0.904,0.986,1.060,0.051,0.960,0.082,0.149,0.000,427,,,1,,,1,100.00%,,,,,1,100.00%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25752,NUNO ALEXANDRE,TAVARES MENDES,NUNO MENDES,19-06-2002,132293,128,,,,,,1,,,105,5,4.76%,95,90.48%,,,,,92,1,1.09%,1,,,2,,,3,8,10,3,37.50%,4,40.00%,8,1,31,3,9.68%,15,48.39%,6,40.00%,6,40.00%,6,19.35%,2,33.33%,13,41.94%,4,30.77%,,3,,,4,40.00%,4,50.00%,0.000,0.000,1.338,0.025,0.974,0.000,0.000,0.000,427,1,1,2,1,50.00%,1,50.00%,6,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,
13315,DIOGO JOSE',TEIXEIRA DA SILVA,JOTA D.,04-12-1996,132293,62,1,1,100.00%,,,1,1,100.00%,14,2,14.29%,8,57.14%,1,50.00%,1,4.76%,21,1,4.76%,1,1,100.00%,,,,1,8,1,4,50.00%,1,100.00%,4,,17,2,11.76%,9,52.94%,5,55.56%,3,33.33%,6,35.29%,2,33.33%,4,23.53%,3,75.00%,1,2,,,,,6,75.00%,0.000,0.129,0.113,0.046,0.113,0.129,0.000,0.000,427,,1,,,,,,2,50.00%,,,1,100.00%,1,100.00%,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15846,JURE,BALKOVEC,BALKOVEC J.,09-09-1994,132293,128,,,,,,1,,,38,5,13.16%,25,65.79%,1,20.00%,,,19,,,1,,,1,,,1,11,4,6,54.55%,1,25.00%,,8,24,,,17,70.83%,8,47.06%,4,23.53%,3,12.50%,2,66.67%,12,50.00%,10,83.33%,1,,,,1,25.00%,6,54.55%,0.756,0.937,0.661,0.041,1.416,0.181,0.000,0.000,516,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,37.50%,,,,,,,,,
17403,JAKA,BIJOL,BIJOL J.,05-02-1999,132293,128,1,,,,,1,,,30,1,3.33%,20,66.67%,,,1,5.26%,19,1,5.26%,,,,,,,,5,5,3,60.00%,1,20.00%,,1,11,,,6,54.55%,3,50.00%,1,16.67%,4,36.36%,3,75.00%,5,45.45%,3,60.00%,1,,,,,,4,80.00%,0.058,0.000,0.175,0.000,0.098,-0.058,0.058,0.000,516,3,,,,,,,,,1,,1,100.00%,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,
19385,ZAN,CELAR,CELAR Z.,14-03-1999,132293,52,1,,,1,100.00%,,,,10,,,8,80.00%,,,,,15,1,6.67%,,,,,,,,8,1,4,50.00%,,,1,,10,,,2,20.00%,1,50.00%,2,100.00%,3,30.00%,1,33.33%,6,60.00%,1,16.67%,,,,,,,4,50.00%,0.000,0.000,0.000,0.000,-0.268,0.000,0.000,0.000,516,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70169,VANJA,DRKUSIC,DRKUSIC V.,30-10-1999,132293,128,,,,,,,,,24,1,4.17%,16,66.67%,1,100.00%,,,11,1,9.09%,,,,,,,,3,7,1,33.33%,3,42.86%,,5,23,,,13,56.52%,4,30.77%,2,15.38%,8,34.78%,6,75.00%,7,30.43%,5,71.43%,3,,,,,,2,66.67%,0.000,0.000,0.313,0.000,0.118,0.000,0.000,0.000,516,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,60.00%,,,,,,,,,
25095,TIMI MAX,ELSNIK,ELSNIK T.,29-04-1998,132293,112,1,,,,,,,,23,4,17.39%,16,69.57%,2,50.00%,1,6.67%,15,1,6.67%,,,,,,,,4,6,1,25.00%,2,33.33%,1,4,21,1,4.76%,13,61.90%,3,23.08%,4,30.77%,4,19.05%,2,50.00%,9,42.86%,9,100.00%,2,1,,,1,16.67%,2,50.00%,0.124,0.000,0.416,0.000,0.308,-0.124,0.124,0.000,516,,,,,,,,1,100.00%,,,1,100.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,4,100.00%,,,,,,,,,
23908,ADAM,GNEZDA CERIN,CERIN A.,16-07-1999,132293,128,1,,,1,100.00%,1,1,100.00%,34,4,11.76%,26,76.47%,2,50.00%,2,11.76%,17,,,1,1,100.00%,1,,,1,5,8,1,20.00%,2,25.00%,,5,18,1,5.56%,7,38.89%,4,57.14%,7,100.00%,5,27.78%,3,60.00%,5,27.78%,1,20.00%,2,1,,,1,12.50%,,,0.056,0.000,0.439,0.012,0.495,-0.056,0.056,0.000,516,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,60.00%,,,,,,,,,
9347,JON,GORENC STANKOVIC,GORENC STANKOVIC J.,14-01-1996,132293,52,1,,,1,100.00%,,,,14,,,13,92.86%,,,1,10.00%,10,,,,,,,,,,1,2,,,1,50.00%,,,3,,,2,66.67%,1,50.00%,,,1,33.33%,1,100.00%,1,33.33%,1,100.00%,1,,,,1,50.00%,,,0.057,0.000,0.111,0.000,0.062,-0.057,0.057,0.000,516,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6045,JOSIP,ILICIC,ILICIC J.,29-01-1988,132293,16,1,1,100.00%,1,100.00%,,,,4,1,25.00%,2,50.00%,,,,,2,,,,,,,,,,1,1,1,100.00%,1,100.00%,,,2,,,2,100.00%,2,100.00%,,,,,,,2,100.00%,2,100.00%,,,1,100.00%,1,100.00%,2,200.00%,0.756,1.086,0.000,0.000,0.756,0.330,0.000,0.000,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30898,ZAN,KARNICNIK,KARNICNIK Z.,18-09-1994,132293,128,,,,,,1,,,32,1,3.13%,25,78.13%,,,,,17,,,,,,1,,,1,6,7,5,83.33%,,,,6,19,1,5.26%,13,68.42%,3,23.08%,3,23.08%,1,5.26%,,,10,52.63%,7,70.00%,2,1,,,,,2,33.33%,0.000,0.000,0.270,0.000,0.270,0.000,0.000,0.000,516,1,,1,,,1,100.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.67%,,,,,,,,,
13500,JAN,MLAKAR,MLAKAR J.,23-10-1998,132293,76,,,,,,,,,15,1,6.67%,9,60.00%,,,,,15,,,,,,,,,,3,1,1,33.33%,,,,1,10,,,3,30.00%,,,5,166.67%,4,40.00%,2,50.00%,4,40.00%,1,25.00%,1,,,,,,2,66.67%,0.000,0.000,0.235,0.000,0.235,0.000,0.000,0.000,516,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,2,66.67%,,,,,,,
7660,JAN,OBLAK,OBLAK J.,07-01-1993,132293,128,,,,,,,,,42,,,33,78.57%,,,,,7,,,,,,,,,,8,8,5,62.50%,3,37.50%,,,4,2,50.00%,4,100.00%,2,50.00%,,,2,50.00%,2,100.00%,,,,,,2,,,3,37.50%,2,25.00%,0.000,0.000,1.448,0.000,1.273,0.000,0.000,0.000,516,,,,,,,,,,,,,,,,,,,,,,,,6,2,6,6,100.00%,12,6,8,66.67%,5,83.33%,24,2,8.33%,6,100.00%,,,13,54.17%,4.861,1.861,,,,,4,1,1,100.00%,9,37.50%,
27995,BENJAMIN,SESKO,SESKO B.,31-05-2003,132293,128,3,2,66.67%,2,66.67%,,,,24,1,4.17%,17,70.83%,1,100.00%,1,2.94%,34,1,2.94%,,,,1,,,1,9,5,3,33.33%,,,,3,33,1,3.03%,12,36.36%,6,50.00%,16,133.33%,15,45.45%,6,40.00%,11,33.33%,3,27.27%,3,1,2,100.00%,,,2,22.22%,0.150,0.257,0.112,0.000,-0.418,0.107,0.150,0.000,516,2,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,
9064,ANDRAZ,SPORAR,SPORAR A.,27-02-1994,132293,76,,,,,,1,,,19,1,5.26%,14,73.68%,,,,,25,1,4.00%,1,,,,,,,13,1,3,23.08%,,,1,,18,,,5,27.78%,4,80.00%,9,180.00%,11,61.11%,5,45.45%,5,27.78%,,,1,,,,,,4,30.77%,0.000,0.000,0.000,0.043,-0.112,0.000,0.000,0.000,516,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,
8052,PETAR,STOJANOVIC,STOJANOVIC P.,07-10-1995,132293,88,,,,,,1,1,100.00%,28,3,10.71%,16,57.14%,1,33.33%,,,26,1,3.85%,1,1,100.00%,1,1,100.00%,2,10,2,2,20.00%,,,2,5,17,,,8,47.06%,2,25.00%,4,50.00%,1,5.88%,1,100.00%,8,47.06%,6,75.00%,1,,,,,,2,20.00%,0.000,0.000,0.582,0.015,0.582,0.000,0.000,0.000,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,80.00%,,,,,,,,,1
12488,BENJAMIN,VERBIC,VERBIC B.,27-11-1993,132293,40,1,,,1,100.00%,,,,7,1,14.29%,2,28.57%,,,,,10,1,10.00%,,,,1,,,1,6,2,4,66.67%,1,50.00%,1,1,12,1,8.33%,6,50.00%,3,50.00%,3,50.00%,1,8.33%,1,100.00%,8,66.67%,4,50.00%,,1,,,1,50.00%,6,100.00%,0.799,0.942,0.000,0.000,0.486,0.143,0.043,0.000,516,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,
