Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,perdePalla,triangolazione,triFatta,triFatta_PERC,dribblingSub,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,interventoPositivo,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriDaFuori,tiriDaFuori_PERC,assist,palleLaterali,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passChiaveInArea,passChiaveInArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,giochiPortiereRicevuti,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,falliFatti,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,traversoni,tiriInPorta,tiriInPorta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,ammonizioni,triChiusa,triChiusa_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,assistVincenti,assistVincenti_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,assistVincentiInArea,assistVincentiInArea_PERC,crossVincenti,crossVincenti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,cutBack,tiroGolPiede,tiroGolPiede_PERC,inFuorigioco,golSviluppoCorner,golSviluppoCorner_PERC
53963,KERVIN MARIO,ANDRADE NAVARRO,ANDRADE K.,13-04-2005,131488,20,1,10,8,80.00%,1,10.00%,10,,,1,2,2,100.00%,,2,1,50.00%,2,100.00%,2,100.00%,1,50.00%,1,100.00%,1,,,0.019,0.372,0.539,0.058,0.558,0.353,0.019,0.000,781,1,1,100.00%,1,1,,,,,,,,,,,,,,,,,,,,,2,20.00%,,,,,,1,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,
48528,WILKER JOSE',ANGEL ROMERO,ANGEL W. J.,18-03-1993,131488,94,2,40,37,92.50%,,,31,1,3.23%,2,,,,1,10,,,6,60.00%,2,33.33%,4,40.00%,4,100.00%,,,,0.000,0.000,0.000,0.000,-0.188,0.000,0.000,0.000,781,,,,,,7,,,1,14.29%,,,,1,100.00%,1,16.67%,4,40.00%,2,50.00%,,,,,1,2.50%,1,100.00%,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48466,JON MIKEL,ARAMBURU,ARAMBURU J.,23-07-2002,131488,82,1,25,23,92.00%,,,22,2,9.09%,3,,,,6,14,,,6,42.86%,2,33.33%,5,35.71%,3,60.00%,,,,0.062,0.000,0.449,0.132,0.511,-0.062,0.062,0.000,781,1,1,100.00%,1,2,4,2,66.67%,3,75.00%,,,,3,50.00%,2,33.33%,,,,,4,133.33%,1,100.00%,2,8.00%,1,50.00%,,1,100.00%,2,1,50.00%,3,,,,,,,,,,,,3,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,
45521,EDUARD,BELLO,BELLO E.,20-08-1995,131488,94,2,27,14,51.85%,6,24.00%,25,7,28.00%,8,,,,1,8,1,12.50%,4,50.00%,4,100.00%,4,50.00%,1,25.00%,1,,,0.384,0.855,1.756,0.066,1.606,0.471,0.384,0.000,781,1,,,2,7,1,2,25.00%,1,100.00%,,,,,,4,100.00%,2,25.00%,1,50.00%,,,,,11,40.74%,2,18.18%,,,,4,1,25.00%,,1,100.00%,1,100.00%,3,50.00%,,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,
50549,ALEXANDER,GONZALEZ,GONZALEZ A.,13-09-1992,131488,94,1,63,52,82.54%,,,37,,,8,2,,,2,13,,,9,69.23%,7,77.78%,7,53.85%,3,42.86%,,,,0.000,0.000,1.247,0.000,1.247,0.000,0.000,0.000,781,,,,,7,6,1,12.50%,1,16.67%,3,3,100.00%,,,4,44.44%,1,7.69%,1,100.00%,,,,,7,11.11%,3,42.86%,,,,6,2,33.33%,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15898,YANGEL,HERRERA,HERRERA Y.,07-01-1998,131488,61,1,23,19,82.61%,4,16.00%,25,2,8.00%,4,1,1,100.00%,,9,2,22.22%,4,44.44%,2,50.00%,2,22.22%,1,50.00%,2,,,0.296,0.268,0.508,0.053,0.243,-0.028,0.296,0.000,781,2,1,50.00%,1,3,2,1,25.00%,2,100.00%,,,,,,1,25.00%,4,44.44%,1,25.00%,,,,,3,13.04%,,,,,,2,,,1,1,50.00%,,,,,,1,50.00%,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,
16748,DARWIN,MACHIS,MACHIS D.,07-02-1993,131488,60,1,23,16,69.57%,4,22.22%,18,2,11.11%,4,1,1,100.00%,2,7,,,4,57.14%,3,75.00%,2,28.57%,2,100.00%,,,,0.050,0.449,1.042,0.040,1.092,0.399,0.050,0.000,781,2,2,100.00%,1,4,3,,,3,100.00%,2,1,50.00%,1,50.00%,2,50.00%,,,,,,,,,10,43.48%,5,50.00%,,,,4,2,50.00%,1,,,,,,,,1,50.00%,,,1,33.33%,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,
32686,CHRISTIAN,MAKOUN,MAKOUN C.,05-03-2000,131488,12,,7,5,71.43%,,,4,,,1,1,1,100.00%,,,,,,,,,,,,,,,,0.000,0.000,0.190,0.000,0.190,0.000,0.000,0.000,781,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,14.29%,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32688,JOSE' ANDRES,MARTINEZ TORRES,MARTINEZ J. A.,07-08-1994,131488,94,6,50,44,88.00%,,,40,,,7,1,1,100.00%,5,15,,,3,20.00%,2,66.67%,6,40.00%,2,33.33%,,,,0.042,0.000,0.215,0.036,0.258,-0.042,0.042,0.000,781,1,1,100.00%,1,1,7,3,42.86%,5,71.43%,,,,4,80.00%,5,166.67%,2,13.33%,,,,,1,16.67%,4,8.00%,2,50.00%,1,,,1,,,2,,,,,,,,,,,,1,14.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20504,YORDAN,OSORIO,OSORIO Y.,10-05-1994,131488,94,4,44,41,93.18%,,,32,2,6.25%,3,,,,2,10,,,6,60.00%,3,50.00%,3,30.00%,2,66.67%,,,,0.000,0.000,0.309,0.000,-0.036,0.000,0.000,0.000,781,,,,,1,9,,,2,22.22%,1,,,,,2,33.33%,4,40.00%,2,50.00%,,,,,2,4.55%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
29537,ERIC KLEYBEL,RAMIREZ MATHEUS,RAMIREZ E.,20-11-1998,131488,12,,2,2,100.00%,2,50.00%,4,,,,2,1,50.00%,1,2,,,,,,,,,,,,,,0.258,0.616,0.000,0.000,0.258,0.358,0.258,0.000,781,2,,,,,,,,,,1,,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,1,50.00%,1,100.00%,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,100.00%,,,,,,1,100.00%,,,
6528,TOMAS,RINCON,RINCON T.,13-01-1988,131488,33,5,27,22,81.48%,,,21,,,1,,,,1,3,,,1,33.33%,1,100.00%,,,,,,,,0.087,0.000,0.181,0.000,0.152,-0.087,0.087,0.000,781,1,1,100.00%,,1,2,,,1,50.00%,,,,,,1,100.00%,1,33.33%,,,,,,,2,7.41%,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9018,RAFAEL,ROMO,ROMO R.,25-02-1990,131488,94,,21,17,80.95%,,,11,,,3,,,,,1,,,1,100.00%,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,,,,,,1,1,33.33%,,,,,,,,,,1,100.00%,1,100.00%,2,66.67%,,,2,9.52%,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,1,100.00%,3,7,,,6,85.71%,11,3,27.27%,1,100.00%,,8,72.73%,0.410,0.410,,,,,,,,,,,,,,,,,,,,,,,,
7958,SALOMON,RONDON,RONDON S.,16-09-1989,131488,82,2,16,13,81.25%,8,33.33%,24,7,29.17%,6,1,,,,11,,,5,45.45%,5,100.00%,5,45.45%,3,60.00%,,,,0.905,1.674,0.600,0.082,0.568,0.769,0.905,0.000,781,4,1,25.00%,2,1,,1,16.67%,,,1,,,,,4,80.00%,5,45.45%,2,40.00%,2,33.33%,,,4,25.00%,2,50.00%,,,,1,,,,3,75.00%,,,3,37.50%,,3,75.00%,2,66.67%,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,1,25.00%,1,100.00%,,,,,,1,100.00%,1,1,100.00%
39971,TELASCO JOSE',SEGOVIA PEREZ,SEGOVIA T.,02-04-2003,131488,74,8,41,36,87.80%,8,19.51%,41,,,7,2,1,50.00%,3,12,1,8.33%,5,41.67%,4,80.00%,5,41.67%,1,20.00%,1,,,0.046,0.000,0.336,0.107,0.383,-0.046,0.046,0.000,781,1,1,100.00%,2,,3,1,14.29%,1,33.33%,1,1,100.00%,1,33.33%,6,120.00%,,,,,2,28.57%,4,50.00%,7,17.07%,6,85.71%,,1,50.00%,,,,2,,,,,,,,,,,,1,33.33%,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20459,YEFERSON,SOTELDO,SOTELDO Y.,30-06-1997,131488,34,1,15,12,80.00%,2,12.50%,16,,,2,3,,,1,3,,,,,,,1,33.33%,,,,,,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,781,,,,1,,1,1,50.00%,,,1,,,1,100.00%,2,,,,,,,,,,1,6.67%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
